Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
158714780827513,UNFPA,UNFPA,329,67
152412094629799,Gouverneur Miroidi Ali Abdallah,Gouverneur Miroidi Ali Abdallah,≤100,8
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,7
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,71
1631440933762601,Bogo-city de Moroni,These ads ran without a disclaimer,≤100,7
201805447340493,OUI à Azali,These ads ran without a disclaimer,≤100,16
119652697789471,Nuances du mal,These ads ran without a disclaimer,≤100,1
2065056783567420,Hespress Français,These ads ran without a disclaimer,≤100,1
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,≤100,1
267410650127820,NRD Companies,These ads ran without a disclaimer,≤100,3
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,2
100278421776784,Olympique De Moroni,These ads ran without a disclaimer,≤100,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,37
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
270546880097177,La Mairie de Moroni,These ads ran without a disclaimer,≤100,5
1087491177963859,EU vs Disinformation,These ads ran without a disclaimer,≤100,1
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100,26
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
117621581593054,TV5MONDE Afrique,These ads ran without a disclaimer,≤100,4
113850851219092,China Chat,These ads ran without a disclaimer,≤100,14
238830586551883,Omar Ibn Abdillah,These ads ran without a disclaimer,≤100,2
2371071496554597,La Vérité,These ads ran without a disclaimer,≤100,2
108670608036445,SAID ALI SAID Chayhane,These ads ran without a disclaimer,≤100,1
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
2309448245771586,Global Center on Adaptation,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,15
176451929056436,Redress Design Award,These ads ran without a disclaimer,≤100,3
565225540184937,CGTN,These ads ran without a disclaimer,≤100,77
2078571719077963,Axx,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,87
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,65
153632746935,FRANCE 24,These ads ran without a disclaimer,≤100,2
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,≤100,2
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,75
893704437379805,Power Africa,These ads ran without a disclaimer,≤100,1
371171589575669,China.org.cn,These ads ran without a disclaimer,≤100,7
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,≤100,11
112880083626983,Shanhui Zhang 张善辉,These ads ran without a disclaimer,≤100,4
102877471454350,Kande Gao,These ads ran without a disclaimer,≤100,2
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
261930630540936,Books2Africa UK,These ads ran without a disclaimer,≤100,1
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,44
105377709205130,The new ASID - African Society for Immunodeficiencies,These ads ran without a disclaimer,≤100,1
414199331956727,Union Européenne  - Comores,These ads ran without a disclaimer,≤100,1
116924765152540,Fawezi,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,38
146627512070062,International Air Transport Association (IATA),These ads ran without a disclaimer,≤100,3
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
450761249007293,Gnongo,These ads ran without a disclaimer,≤100,1
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,≤100,12
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,5
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,11
7258206754,Jeune Afrique,These ads ran without a disclaimer,≤100,27
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,42
586595588477707,Matso Matso,These ads ran without a disclaimer,≤100,1
268550343659117,Front Démocratique des Comores,These ads ran without a disclaimer,≤100,1
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,18
166151886589271,Bourhane Hamidou,These ads ran without a disclaimer,≤100,2
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,9
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,24
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
169687486427698,Jentezen Franklin,These ads ran without a disclaimer,≤100,1
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,9
108562300939027,Relève,These ads ran without a disclaimer,≤100,3
119096577794445,Oasismore,These ads ran without a disclaimer,≤100,14
1592184267758930,Round-Table,These ads ran without a disclaimer,≤100,4
105335655161969,CEMENTIS IO,These ads ran without a disclaimer,≤100,1
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,12
100929648464258,Global Alliance of Territorial Communities,These ads ran without a disclaimer,≤100,1
1600262000010146,Mory Conde,These ads ran without a disclaimer,≤100,1
107954162096392,Institute of Public Policy & Diplomacy Research,These ads ran without a disclaimer,≤100,2
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,8
102164338173839,Fadoul Zakaria Fadoul,These ads ran without a disclaimer,≤100,1
1590877284560136,Patti Harris,These ads ran without a disclaimer,≤100,5
101489936134366,NovelOasis,These ads ran without a disclaimer,≤100,31
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,12
986930541352325,Pas 2 Quartier,These ads ran without a disclaimer,≤100,2
152000511496023,UBC Sauder School of Business,These ads ran without a disclaimer,≤100,2
110924622512,Amnesty International Bénin,These ads ran without a disclaimer,≤100,2
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,12
1448903671990351,China.org.cn,These ads ran without a disclaimer,≤100,4
176104589110851,IEEE,These ads ran without a disclaimer,≤100,4
535503280269676,Xinhua Culture&Travel,These ads ran without a disclaimer,≤100,4
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,6
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,4
1826241344357594,MultiChoice Group,These ads ran without a disclaimer,≤100,3
112014055141188,Andrea Longo,These ads ran without a disclaimer,≤100,5
109980084934101,Houmany Camara,These ads ran without a disclaimer,≤100,1
1129445490476594,La Tribune Afrique,These ads ran without a disclaimer,≤100,1
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
241664783089008,Xin,These ads ran without a disclaimer,≤100,14
6756153498,Mike Bloomberg,These ads ran without a disclaimer,≤100,2
110250330354380,Discover Beijing,These ads ran without a disclaimer,≤100,6
220247148525333,Rabindranath Tagore Literary Prize,These ads ran without a disclaimer,≤100,1
102462685866079,Bladymaniac,These ads ran without a disclaimer,≤100,7
105374557808288,Le chinois avec Xu Li,These ads ran without a disclaimer,≤100,2
89529786318,Elizabeth Glaser Pediatric AIDS Foundation,These ads ran without a disclaimer,≤100,3
285530825204,Klitschko,These ads ran without a disclaimer,≤100,85
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,3
581009929249479,Main Hoon Anjali,These ads ran without a disclaimer,≤100,1
443464592695498,Owl Pro Drones,These ads ran without a disclaimer,≤100,1
110268564951923,Wildlife Solutions,These ads ran without a disclaimer,≤100,2
102458909040981,CSCEC in Central and West Africa,These ads ran without a disclaimer,≤100,2
213990476094907,Université Saint Louis-Bruxelles,These ads ran without a disclaimer,≤100,2
13001924893,Fondation Prince Albert II de Monaco,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,14
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,1
77779328853,Islamic Relief South Africa,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,13
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
188872144758,CCTV,These ads ran without a disclaimer,≤100,10
683691358311390,CRI Persian- چین امروز,These ads ran without a disclaimer,≤100,2
107700665175923,Sommet de la Francophonie de Djerba 2022,These ads ran without a disclaimer,≤100,1
147109888636038,Netafim,These ads ran without a disclaimer,≤100,8
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,3
662799514151711,Global Earth Repair,These ads ran without a disclaimer,≤100,1
1108711572555122,GE Africa,These ads ran without a disclaimer,≤100,2
105356718352359,Ny_Avo_h.,These ads ran without a disclaimer,≤100,1
103096928451939,Lucia studio,These ads ran without a disclaimer,≤100,8
103449517822304,CNPC,These ads ran without a disclaimer,≤100,4
1702802313289659,China Xinhua News,These ads ran without a disclaimer,≤100,2
149572951788851,Quotidien du Peuple,These ads ran without a disclaimer,≤100,3
1635372166480101,TOP 2,These ads ran without a disclaimer,≤100,1
349837788460874,CRI Kiswahili,These ads ran without a disclaimer,≤100,4
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,31
102860875465067,New Marco Polo,These ads ran without a disclaimer,≤100,2
103583955836259,Tout sur l'Afrique,These ads ran without a disclaimer,≤100,1
290457440821141,Czerka Labs,These ads ran without a disclaimer,≤100,1
402052193189194,Siemens,These ads ran without a disclaimer,≤100,4
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,4
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,3
119405895873,Huawei,These ads ran without a disclaimer,≤100,2
193394557345243,Devex,These ads ran without a disclaimer,≤100,7
845620825830146,Deel,These ads ran without a disclaimer,≤100,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
714631765241932,CRIbangla,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,50
431672620250052,Doug Batchelor,These ads ran without a disclaimer,≤100,2
684480475094920,Discover Inner Mongolia,These ads ran without a disclaimer,≤100,3
169799706487474,CGTN Français,These ads ran without a disclaimer,≤100,1
1567453056849352,Joshua Long,These ads ran without a disclaimer,≤100,1
178699812177670,CGTN Malay,These ads ran without a disclaimer,≤100,1
208685479508187,U-Report,These ads ran without a disclaimer,≤100,3
228073447064109,Arts Of Palestine,These ads ran without a disclaimer,≤100,3
100444065759459,The Renata,These ads ran without a disclaimer,≤100,3
10606591490,TIME,These ads ran without a disclaimer,≤100,3
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,16
148423685184180,"איל""ן - איגוד ישראלי לילדים נפגעים",These ads ran without a disclaimer,≤100,1
185139171667,Daymond John,These ads ran without a disclaimer,≤100,4
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,47
1756570321330981,CIMEF International,These ads ran without a disclaimer,≤100,1
180520171996876,IslamInSpanish,These ads ran without a disclaimer,≤100,2
678954262167350,Discover China,These ads ran without a disclaimer,≤100,3
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,2
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,≤100,4
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,14
947141812042694,Egypt Energy Show - Egypes,These ads ran without a disclaimer,≤100,20
106479017486767,Mercy to Humanity - جَمْعِيَة رَحْمَةً لِلْعَالَمِين,These ads ran without a disclaimer,≤100,8
550280998481446,Rasha Kelej,These ads ran without a disclaimer,≤100,3
104015742220554,Mimic,These ads ran without a disclaimer,≤100,6
100248344873399,CNDHL Comores,These ads ran without a disclaimer,≤100,1
449554621832200,IOM Uganda,These ads ran without a disclaimer,≤100,1
