Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
1610188675675694,PLP,The Peoples Labour Party,18554,82
1445910995432293,St. Kitts-Nevis Labour Party,St. Kitts-Nevis Labour Party,15917,57
112624875453716,Backwards with Labour,Backwards with Labour,8915,25
144718522264443,Stachio Williams,Peoples Labour Party,8131,33
110816128327584,Andrew Talbo Bass,Peoples Labour Party,5613,45
103764359004202,Nubian Greaux,Peoples Labour Party,5260,36
1657832337622784,Concerned Citizens Movement,Micahail Manners,5165,26
269762589738287,Jacqueline Bryan,Peoples Labour Party,3901,25
301044787236986,Akilah Byron-Nisbett,Peoples Labour Party,3452,25
112620541441862,Kendale Liburd,Peoples Labour Party,3173,17
108079531918059,Very Concerned Citizens of Nevis,Very Concerned Citizens,3090,16
1919483074949645,The Nevis Reformation Party,Nevis Reformation Party,1534,9
109356615865830,A Secure Future for the People,A  Secure Future,1322,7
106210815449876,PAM Against Labour,PAM Against Labour,948,7
237770349710734,Hon. Konris G M Maynard,Dr Terrance Drew,938,3
106939522016688,Dr. Marc Williams,Peoples Labour Party,842,7
112252581522101,Liamuiga News,Liamuiga News,759,3
549946078399788,Hon. Dr. Terrance Drew,St. Kitts-Nevis Labour Party,412,3
797580720614356,PLP Youths SKN,Peoples Labour Party,346,5
106939522016688,Dr. Marc Williams,Jeremy J Burke,164,3
287683225711,UN Environment Programme,UN Environment Programme,140,16
1028337614004834,Taiwan in St. Kitts and Nevis,Embassy of the Republic of China (Taiwan) in St. Kitts and Nevis,135,1
100263332637558,Samal Duggins,St Kitts Nevis Labour Party,121,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
1028337614004834,Taiwan in St. Kitts and Nevis,These ads ran without a disclaimer,≤100,1
350063285605302,St. Kitts Nevis Riddim,These ads ran without a disclaimer,≤100,2
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,8
1445910995432293,St. Kitts-Nevis Labour Party,These ads ran without a disclaimer,≤100,3
577499995690673,United St. Maarten Party,These ads ran without a disclaimer,≤100,1
269762589738287,Jacqueline Bryan,These ads ran without a disclaimer,≤100,6
1610188675675694,PLP,These ads ran without a disclaimer,≤100,1
61209229244,Hon. Shawn K. Richards,These ads ran without a disclaimer,≤100,2
845620825830146,Deel,These ads ran without a disclaimer,≤100,7
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,79
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,31
103764359004202,Nubian Greaux,These ads ran without a disclaimer,≤100,2
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,13
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,6
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,14
247959278915319,Dr. The Honourable Timothy Harris,These ads ran without a disclaimer,≤100,1
110816128327584,Andrew Talbo Bass,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
104388868562707,"Straight Talk with Ian ""Patches"" Liburd",These ads ran without a disclaimer,≤100,1
421192607946537,Hon. Jonel Powell,These ads ran without a disclaimer,≤100,2
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
111068544938808,The Journal SKN,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
109356615865830,A Secure Future for the People,Peoples Labour Party,≤100,1
8057376739,The Nature Conservancy,These ads ran without a disclaimer,≤100,1
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,≤100,4
726293697471336,PAM-The People's Action Movement,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
109514650629878,pete_nice27,These ads ran without a disclaimer,≤100,1
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,35
110816128327584,Andrew Talbo Bass,Jeremy J Burke,≤100,1
129656348592276,Principles Production,These ads ran without a disclaimer,≤100,1
1610188675675694,PLP,Jeremy J Burke,≤100,1
1090974694258672,Tropical Realism,These ads ran without a disclaimer,≤100,1
144718522264443,Stachio Williams,Jeremy J Burke,≤100,2
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,5
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,53
