Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
110187358493395,Khaled AlShatti,Khalid AlShatti,17069,25
105666828017163,Dr Hesham AlSaleh,Dr Hesham AlSaleh,12794,11
106410695546488,عبدالوهاب عارف العيسى,عبدالوهاب عارف العيسى,5892,4
100416899481949,Hamad Alolayan,Hamad Alolayan,5504,5
156961937665270,Alrai Newspaper Kuwait,Alrai Media Group Co.,3200,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,2568,17
107436368768560,Thamer Enezi - تامر العنزي,Zaher Mourad,2013,11
108372365363766,Majidmsaadmedia,IMPACT DIGITAl,1988,5
104408962431926,abdullahakash.media,IMPACT DIGITAl,1851,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1680,3
105631197967982,Ayman Alshatti,Ayman Alshatti,1379,4
101415822729550,1962.kwt,1962.me,1331,9
100256639489027,محمد بدر الجوعان,Mohammad Aljouan,1274,5
270228996370157,المحامي أسامة عيسى الشاهين,المحامي أسامة عيسى الشاهين,1189,4
105586322300270,Ahmad Askar,These ads ran without a disclaimer,1074,2
341172936435891,Alekhlas Rehab,These ads ran without a disclaimer,924,5
100453526158279,alhadiamedia,IMPACT DIGITAl,910,3
115447564821002,مجموعة قياس,مجموعة قياس,878,10
105198769003903,Jarrahalfouzan,Jarrah Alfouzan,828,7
102614571880993,Public Investment Fund,These ads ran without a disclaimer,781,3
106710595534956,drkhalil_media,Hussain Hussain,758,7
1486050808304738,Ray White International -  Dubai,These ads ran without a disclaimer,733,6
109358948154671,diettime.kw,These ads ran without a disclaimer,715,4
100416899481949,Hamad Alolayan,These ads ran without a disclaimer,707,2
103148162565059,khaledalshulaimymedia,IMPACT DIGITAl,617,3
112239011455144,الشطي التميمي Bo Rajab 1403,These ads ran without a disclaimer,586,6
601714013183183,Bhushan Ashok Bhatt,These ads ran without a disclaimer,550,1
110179901833236,Alia f alkhaled,Alia Alkhaled,534,9
103834908974494,الدكتور سامي المانع,Ehab Said,527,2
104030452104180,Helena Health Shop,These ads ran without a disclaimer,486,11
439228360238493,Okq999,These ads ran without a disclaimer,452,3
103642889195480,كونا,These ads ran without a disclaimer,417,1
103044674778375,Ali D,Ali D,408,5
100760452498703,Nasser Aleidan,ناصر العيدان,399,2
105586322300270,Ahmad Askar,Ahmad Askar,398,3
110187358493395,Khaled AlShatti,These ads ran without a disclaimer,357,5
104832305713721,النائب السابق حمد سيف,Hamad Saif Alharshani,347,1
106725868296068,Clever-Inv,These ads ran without a disclaimer,333,4
107436368768560,Thamer Enezi - تامر العنزي,These ads ran without a disclaimer,320,4
102233755042472,خليل ابراهيم الصالح,خليل ابراهيم الصالح,295,4
102583152596537,Ashour Ads,These ads ran without a disclaimer,230,2
108073001676806,مقراب الشرق,These ads ran without a disclaimer,216,1
220128938133929,Annual Investment Meeting,These ads ran without a disclaimer,212,2
102453295943217,eid_alenezy,These ads ran without a disclaimer,198,2
1459647680717861,AlBannay Clinic,These ads ran without a disclaimer,190,2
611126525889689,Y   Perfumes,These ads ran without a disclaimer,165,1
120550924309637,maljouan,محمد الجوعان,162,1
102233755042472,خليل ابراهيم الصالح,These ads ran without a disclaimer,155,3
100645076047107,blue_diamond_creamery,These ads ran without a disclaimer,151,2
100172405791638,betshar2020,These ads ran without a disclaimer,147,2
241313779312561,الهيئة الدولية للتحكيم,These ads ran without a disclaimer,145,1
106559338860408,الدكتور \ احمد فهد الرشيدي,These ads ran without a disclaimer,145,4
1605921202976370,دليل الكويت للاعلانات التجارية,These ads ran without a disclaimer,142,4
2194614020577243,حمود خليفة الماجد.,These ads ran without a disclaimer,132,2
107987508064889,Moba,These ads ran without a disclaimer,128,1
112841564644648,Socialgy Ads,Socialgy Ads,123,8
101984151488327,elghala_278,These ads ran without a disclaimer,121,2
103635742487791,عزام بدر العميم,Azzam Alomaim,121,1
2265435786831695,وزارة الثقافة Ministry of Culture,These ads ran without a disclaimer,119,1
115490011542238,خليل ابراهيم الصالح,خليل أحمد الصالح,115,3
130227567044448,الهيئة الخيرية الاسلامية العالمية | IICO,These ads ran without a disclaimer,110,3
104704111013790,KIC Kuwait,These ads ran without a disclaimer,105,1
102952496137005,د. علي الكندري,These ads ran without a disclaimer,104,2
984133645119564,عبدالرحمن محمد السليمان,These ads ran without a disclaimer,≤100,1
108834845293326,alajmi_ammar_,These ads ran without a disclaimer,≤100,2
119770257779468,Hamad Alobaid,These ads ran without a disclaimer,≤100,1
267387670017944,City University Ajman,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,75
247976565238053,Hand in Hand for Aid and Development,These ads ran without a disclaimer,≤100,1
101712322155952,Sum Firm,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
100893899563839,wallpaper_6666,These ads ran without a disclaimer,≤100,1
129250058984141,live.alrashaida,These ads ran without a disclaimer,≤100,4
108737894222271,Digital Design Agency,These ads ran without a disclaimer,≤100,4
2414117638817194,OptimizeApp,These ads ran without a disclaimer,≤100,3
100256639489027,محمد بدر الجوعان,These ads ran without a disclaimer,≤100,1
102486002610558,Engaz Media - إنجاز ميديا الكويت,These ads ran without a disclaimer,≤100,1
113440484594196,AlSabah.Kuwait,These ads ran without a disclaimer,≤100,2
449789912207195,المحاميه بشاير حبيب جعفر,These ads ran without a disclaimer,≤100,3
100193448849942,emushrifkw,These ads ran without a disclaimer,≤100,1
104628671615713,q8presss,These ads ran without a disclaimer,≤100,2
112050101720241,mallorca_floor14,These ads ran without a disclaimer,≤100,1
109861955202885,mhmd_yaqoub_sarkhoh,These ads ran without a disclaimer,≤100,1
110835638407095,aaaljomah,These ads ran without a disclaimer,≤100,3
100805712537970,jasemaljuraid,These ads ran without a disclaimer,≤100,2
107470622086977,الشيخة مريم بنت محمد بن راشد آل مكتوم,These ads ran without a disclaimer,≤100,4
102689642587773,ahmadmalhamad,These ads ran without a disclaimer,≤100,1
105245410850748,Yal Kw,These ads ran without a disclaimer,≤100,1
103044674778375,Ali D,These ads ran without a disclaimer,≤100,4
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
105823678161650,Capital Marketing and PR,These ads ran without a disclaimer,≤100,1
107777118979433,Redio mrsoool,These ads ran without a disclaimer,≤100,2
100347182173230,ناصر الكندري,ناصر الكندري,≤100,2
101555969368992,m_quraifah,These ads ran without a disclaimer,≤100,1
105770962259304,q8elect2022,These ads ran without a disclaimer,≤100,1
111625621681508,bnhofan_camp,These ads ran without a disclaimer,≤100,2
100584985679140,mohamed_alghemlas,These ads ran without a disclaimer,≤100,2
646607889009971,جتس لأنظمة المعلومات,These ads ran without a disclaimer,≤100,1
102807955911436,Hamadmedia2,These ads ran without a disclaimer,≤100,1
109574478550240,mkannews,These ads ran without a disclaimer,≤100,1
311045425676624,صحيفة الرؤية,These ads ran without a disclaimer,≤100,2
102130401888154,wedding_kw7,These ads ran without a disclaimer,≤100,1
106718607809696,Bader Basheer ALrashidi,These ads ran without a disclaimer,≤100,1
101463041634579,بوبيان - للمعدات البحريه,These ads ran without a disclaimer,≤100,1
106863268753540,Rawaby_kw,These ads ran without a disclaimer,≤100,1
1528405520592041,Raybal Group,These ads ran without a disclaimer,≤100,2
106231205357546,layaly_united,These ads ran without a disclaimer,≤100,2
104541599070348,Khaled Al Omaira,These ads ran without a disclaimer,≤100,1
