Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
110920265152036,Kazakh.inform,Kazakh.inform,85296,145
100893452838279,Qaz_press,Qaz_press,62470,107
104507215694852,Kerr Dickerson,These ads ran without a disclaimer,31392,1
120414899350215,Бүгінгі Шығыс,Бүгінгі Шығыс,26473,91
107245640677814,Ақорда жаңалықтары,Ақорда жаңалықтары,19115,868
209953059873414,Азаматхан Амиртаев,Азаматхан Амиртаев,17092,268
324882354342147,Krivosheev.live,Denis Krivosheyev,12251,296
110307253876087,Akorda.news,Akorda.news,10634,724
177049878817574,Toqayev Vibe,Toqayev Vibe,9782,1548
115515608097291,Amanat Партиясы Астана қалалық филиалы,Amanat Партиясы Астана қалалық филиалы,7160,419
2221910871281012,Байтақ жасылдар партиясы,«Baytaq» Жасылдар партиясы,6826,60
324882354342147,Krivosheev.live,Krivosheev.live,6459,212
490537527710049,AMANAT,AMANAT,6385,318
110454625307832,Asset Matayev,perfomance,5652,65
115610528117458,Уразалы Ержанов,Уразалы Ержанов,4843,18
110613384105393,Beeline.people,These ads ran without a disclaimer,4454,17
913146795478521,AMANAT партиясы Алматы қалалық филиалы,AMANAT партиясы Алматы қалалық филиалы,4436,279
657779317764978,Amanat партиясы Түркістан облыстық филиалы,Amanat партиясы Түркістан облыстық филиалы,4005,300
1346759552051549,Amanat Павлодар облысы,Amanat Павлодар облысы,3966,317
998389413592713,Amanat партиясы Батыс Қазақстан облыстық филиалы,Amanat партиясы Батыс Қазақстан облыстық филиалы,3924,351
1541070159298387,Amanat Алматы облысы,Amanat Алматы облысы,3902,256
428542784340635,Amanat партиясы Шымкент қалалық филиалы,Amanat партиясы Шымкент қалалық филиалы,3875,240
1756876291006118,Amanat Қарағанды облысы,Amanat Қарағанды облысы,3839,218
1882118935398476,Amanat партиясы Маңғыстау облыстық филиалы,Amanat партиясы Маңғыстау облыстық филиалы,3829,269
580652392144260,Amanat партиясы Солтүстік Қазақстан облысы,Amanat партиясы Солтүстік Қазақстан облысы,3825,298
111385478077643,«Amanat» партиясының Абай облыстық филиалы,«Amanat» партиясының Абай облыстық филиалы,3783,333
1811344202415686,Amanat партиясының Ақмола облыстық филиалы,Amanat партиясының Ақмола облыстық филиалы,3733,263
1761465517499771,Amanat партиясы Актөбе облыстық филиалы,Amanat партиясы Актөбе облыстық филиалы,3664,358
2020111184883247,Amanat Шығыс Қазақстан облысы,Amanat Шығыс Қазақстан облысы,3654,271
271211603304542,Amanat Атырау облысы,Amanat Атырау облысы,3653,214
287857001626817,Amanat Қызылорда облысы,Amanat Қызылорда облысы,3645,268
306915726566102,Amanat партиясы Жамбыл облыстық филиалы,Amanat партиясы Жамбыл облыстық филиалы,3624,313
1209694105814132,Amanat Қостанай облысы,Amanat Қостанай облысы,3456,165
103460506005425,Amanat Партиясы Жетісу облыстық филиалы,Amanat Партиясы Жетісу облыстық филиалы,3363,265
116277931350959,Amanat партиясы Ұлытау облыстық филиалы,Amanat партиясы Ұлытау облыстық филиалы,3265,215
425380981004454,ҚР ПІБ Медициналық орталығының ауруханасы,ҚР ПІБ Медициналық орталығының ауруханасы,2950,105
103977222642903,Eltagdyry,Республиканское общественное объединение «Республиканская политическая партия «Ел тағдыры»,2894,40
613142792176360,Sotreport.kz,Sotreport.kz,2467,341
239662758001551,Sergeyev Vladislav,Sergeyev Vladislav,2387,28
100131195669625,Тауар бизнесін бізбен баста,These ads ran without a disclaimer,2382,1
110920265152036,Kazakh.inform,Galamat Media,2284,13
100893452838279,Qaz_press,Галамат Медиа,2212,13
102479715947531,JIBEK JOLY,JIBEK JOLY,2191,67
942798169115360,Қазақстан Республикасы Президентінің телерадиокешені,НАО «Телерадиокомплекс Президента Республики Казахстан»,2162,47
254153404625528,Деловой портал Капитал.kz,Деловой портал Капитал.kz,2142,213
2167237173351506,Tursunbek Omurzakov,Tursunbek Omurzakov,2006,22
138841656150203,Halyk Bank,Halyk Bank,1944,7
0,Instagram User 9770329431,These ads ran without a disclaimer,1875,21
113399854332655,Tiger Films,Tiger Films,1807,37
106369298780721,Арман Джумагельдиев,Арман Джумагельдиев,1568,8
109251748604268,Shop19 22901359,These ads ran without a disclaimer,1532,12
110603815302809,Дәулетхан Есімовтың штабы,Дәулетхан Есімовтың штабы,1439,100
170032706814473,Республика - Kazakhstan 2.0,Республика - Kazakhstan 2.0,1409,269
100461106169354,Shop19 22253133,These ads ran without a disclaimer,1408,13
107083975344440,Қазақстан жаңалықтары,Қазақстан жаңалықтары,1394,77
104161494669237,Azamat Omurzakov,Azamat Omurzakov,1390,22
101123629387802,Iposage,These ads ran without a disclaimer,1376,3
107268522140103,Bebroi Popawe,These ads ran without a disclaimer,1353,1
1945250445581724,Ведомости Казахстана,Валерий Самарец-Сурганов,1348,60
425106448078044,"Ministry of Law, Singapore",These ads ran without a disclaimer,1341,1
110468761965601,Kuanyshbek Mukash,Куанышбек Мукаш,1329,59
103670602507845,Shop Top,These ads ran without a disclaimer,1316,4
106607305511065,Выбор Страны - Ел Таңдауы,These ads ran without a disclaimer,1280,46
111629610661700,Фонд кандидата в городской маслихат Жуванышева А.С.,Фонд кандидата в городской маслихат Жуванышева А.С.,1244,49
272627482768775,АО НК «КазМунайГаз»,АО НК «КазМунайГаз»,1235,124
274885655699517,Schitaetsya.kz,ТОО «FCBARTGROUP-ALMATY (ЭфСиБиАртГрупп-Алматы)»,1232,6
108844431809201,Косай Маханбаев,Косай Маханбаев,1211,32
102685462466040,Invest News,These ads ran without a disclaimer,1127,2
1632844526930854,Almaty AQJOL,Aq jol,1117,18
108189145379289,Shop19 60840745,These ads ran without a disclaimer,1063,22
104488792423486,Shop19 54679067,These ads ran without a disclaimer,1059,2
102445081237594,Togjan Qojaly,Togjan Qojaly,1054,31
101946548962746,Тимур Елеусизов,Тимур Елеусизов,986,32
101720929392107,Дмитрий Олейников,Дмитрий Олейников,954,54
562459700586472,Светлана Романовская,Национальная Палата Медиаторов,944,8
101650962606809,Eco ankle,These ads ran without a disclaimer,887,10
170032706814473,Республика - Kazakhstan 2.0,Юлия Козлова,879,175
106032115600721,Shop19 61634861,These ads ran without a disclaimer,865,4
105771609114201,Utemissov Murat,Murat Utemissov,836,29
613719202064495,Stars Medical Assistance Center - SMAC,These ads ran without a disclaimer,813,11
194132123783824,Qarakz,Qarakz,810,53
104663284951240,JVteam.kz,These ads ran without a disclaimer,807,16
104288002359320,Bisekenov Nurgali,Bisekenov Nurgali,798,23
1565881920377695,Fragment.kz,Dalanews,797,228
1355571097788416,mirceramiki.kz,These ads ran without a disclaimer,795,14
101286249578183,Асылбек Кожахметов,kozhakhmetovteam.kz,782,41
105793202322890,Toqaev2022,Toqaev2022,780,68
115427418147799,Бейбит Турабаев,Beibit Turabayev,763,11
102202385990431,Shop19 4980932,These ads ran without a disclaimer,759,11
112814633682545,Happyfreedom Style,These ads ran without a disclaimer,750,1
1708551332521007,Омаркет Академиясы,These ads ran without a disclaimer,745,2
112034364974227,Движение вперед,These ads ran without a disclaimer,741,20
110559735291651,Куреш Солсанов,Куреш Солсанов,739,19
169682256224189,Toqayev Life,Toqayev Life,728,137
111722851851900,Ворожейкин Сергей Юрьевич,Ворожейкин Сергей Юрьевич,721,17
102176196145746,Azamat,Azamat Orynbassarov,707,19
100238551968133,КМГИнв,These ads ran without a disclaimer,707,8
2329940843948537,Клуб «Polyton»,Дмитрий Тихонов,701,56
106345892390362,Тимур Печенкин,Riza Kids,681,12
100683416107082,Открытое равновесие,These ads ran without a disclaimer,665,6
105011865858478,Нартай Искаков,Nartay  Iskakov,633,14
114240408265581,Махамбет Хасенов,Makhambet Khassenov,615,17
100909669335249,Verdad,These ads ran without a disclaimer,606,16
109918387978015,Used Car Tycoon Game,These ads ran without a disclaimer,601,2
110277805025942,Алға Қазақстан,Алға Қазақстан,590,7
2143772719195836,Ляйля Абдрахманова,Ляйля Абдрахманова,589,21
110713903816528,Qonaev Қонаев,Dalanews.kz,587,196
104302211240264,Middleman,These ads ran without a disclaimer,547,1
106457569043598,Болатбек Нажметдинұлы,Болатбек Нажметдинұлы,541,28
103267379377394,Смагулов Назымбек Ерсаинович,Interoil-Marketing & Services Kazakhstan,524,35
103451052269763,Respublica партиясы Батыс Қазақстан облыстық филиалы,Respublica партиясы Батыс Қазақстан облыстық филиалы,517,10
100510205784235,Клуб здоровья и развития детей “Balance”,These ads ran without a disclaimer,510,2
101957788899975,Tranh Decor Treo Tường,These ads ran without a disclaimer,509,8
112297724815774,Kaztwitter,Kaztwitter,507,41
105734652409530,Aygul Rakhimzhanova,Aygul Rakhimzhanova,503,14
109841828018376,Goszakup turaly,Goszakup turaly,502,10
1485128615058439,Казинформ,МИА «Казинформ»,498,13
108668778663230,Online Store 42214,These ads ran without a disclaimer,497,3
101876762841072,Аян Зикирин,Аян Зикирин,495,19
346620708783001,BI Group Алматы,These ads ran without a disclaimer,494,14
108516508682991,Shop20 49047898,These ads ran without a disclaimer,493,11
102524589270070,Invst Best,These ads ran without a disclaimer,493,11
485903081877514,Система Бизнес,These ads ran without a disclaimer,490,1
1079743815448235,Glencore,These ads ran without a disclaimer,485,8
106393422160536,Mythus niobic34,These ads ran without a disclaimer,483,9
304442539619110,Ballet Globe,These ads ran without a disclaimer,474,1
1229407500488797,Grafikbär,These ads ran without a disclaimer,469,27
103060881247212,Казахстанская Ассоциация региональных экологических инициатив «ECOJER»,Казахстанская Ассоциация региональных экологических инициатив «ECOJER»,468,24
108471275279710,Binancdengi,These ads ran without a disclaimer,464,3
104929638832465,Проверенная,These ads ran without a disclaimer,457,1
1213782318723637,Señal 24 Tv,These ads ran without a disclaimer,448,3
1945250445581724,Ведомости Казахстана,Ведомости Казахстана,444,38
111535028099492,New Reality,These ads ran without a disclaimer,433,2
102780655891580,Amlaak Marketing - PT,These ads ran without a disclaimer,432,1
103858385873677,Фабрика контента Nukte,Фабрика контента Nukte,426,17
102280032809687,Медет Шакаев,Медет Шакаев,423,13
108999155343702,Бартон Марк,These ads ran without a disclaimer,423,1
100366986336687,Дулат Абильдин,Dulat Abildin,422,6
2346326165646155,Тастекей Дулат,Dulat Tastekey,422,11
100857809607972,Айбек Барысов,Айбек Барысов,418,1
116981597981022,Рахмет Жандос Қанатұлы,Zhandos Rakhmet,415,47
474479536654393,"Информационное агентство ""Репортер""",Сергей Васильев,414,10
110468761965601,Kuanyshbek Mukash,Kuanyshbek Mukash,411,34
102588169218439,Doctor,These ads ran without a disclaimer,409,2
108893015225266,Hakolic,These ads ran without a disclaimer,404,18
102607722597535,Новый мир,These ads ran without a disclaimer,401,3
101718615927163,Управление жизни,These ads ran without a disclaimer,399,9
101427992165610,todeento,These ads ran without a disclaimer,399,4
107051132038015,DM invest stroy,These ads ran without a disclaimer,396,4
107922644997612,Jetztsparen.eu,These ads ran without a disclaimer,394,2
106015229016898,Respublica Partiyasy,Respublica Partiyasy,393,5
615577439094039,คืนแห่งความเหงา Music JL,These ads ran without a disclaimer,393,1
107395815519193,Наблюдатели от HAQ,Shyngys Ainabek,392,16
509003725920383,ERG Kazakhstan,ERG Kazakhstan,385,3
111898085171725,Новая страница,Мархабат Жайымбетов,384,5
116277931350959,Amanat партиясы Ұлытау облыстық филиалы,Amanat  partiyasy Ulytau oblystyk filialy,382,24
102271309349248,Stenge Online,These ads ran without a disclaimer,374,2
103315152698469,Данияр Азимбаев,Данияр Азимбаев,373,11
100429629407733,Shop Tuck,These ads ran without a disclaimer,372,16
108035018746036,Xerwa AA,These ads ran without a disclaimer,371,2
104586019236894,Манзоров Багдат,Кандидат в депутаты маслихата Манзоров Багдат Сайланбаевич,370,82
357543730992619,Это Финляндия,These ads ran without a disclaimer,367,8
209953059873414,Азаматхан Амиртаев,Азаматхан Әміртай,366,32
110920265152036,Kazakh.inform,These ads ran without a disclaimer,363,2
100893452838279,Qaz_press,These ads ran without a disclaimer,360,2
100132926325630,Наlуk,These ads ran without a disclaimer,352,14
105747815677191,Батальон обречённых,Айдар Бөгембайұлы,351,42
580547215722998,Компенсационный Центр,These ads ran without a disclaimer,346,4
105676312144450,Ұлы Дала ҰБТ 2,These ads ran without a disclaimer,341,3
101897379028132,Языковая школа Linguastan,These ads ran without a disclaimer,337,4
110804394486585,Мастер класс,These ads ran without a disclaimer,329,1
0,Instagram User 2280888140,These ads ran without a disclaimer,327,6
108645052143119,Jasa Qazaq,These ads ran without a disclaimer,320,4
104643525594273,Laurina,These ads ran without a disclaimer,319,3
970948479671657,Bakdaulet Jandildaev,Bakdaulet Jandildaev,314,4
103234866087593,Qazaq language center,These ads ran without a disclaimer,312,2
108900638805574,Respublica Business,Salihaddin  Kushekenov,308,26
782212048562001,D3 Impressões,These ads ran without a disclaimer,307,1
109625538414867,GET point,These ads ran without a disclaimer,306,10
105805005604193,Косметика,These ads ran without a disclaimer,305,2
100756076037660,Success Is Not Far Off,These ads ran without a disclaimer,297,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,291,3
1225078974284928,Serene Nara Pool Villa ชะอำ-หัวหิน,These ads ran without a disclaimer,284,7
105676385526382,Apart Online,These ads ran without a disclaimer,283,8
106453078786884,Cutoye,These ads ran without a disclaimer,278,5
104140118999246,online_business.school1,These ads ran without a disclaimer,273,5
110942868441604,Rogers On Cloud,These ads ran without a disclaimer,272,4
107781455413870,Joelribon,These ads ran without a disclaimer,271,6
100246962686189,Научно-методический журнал,These ads ran without a disclaimer,269,1
104570814596277,Lovelyypet Here,These ads ran without a disclaimer,265,2
101102126028692,Курсы Английского Языка Караганда,These ads ran without a disclaimer,264,2
105267268982741,Haverne,These ads ran without a disclaimer,262,2
100460989405375,Алаш Пресс,Алаш Пресс,262,16
103298349367941,Hilal capital,These ads ran without a disclaimer,260,2
102307052800629,Abzal Aidarkhanov,Abzal Aidarkhanov,260,13
109293221840636,Deport634,These ads ran without a disclaimer,258,11
104657235906625,Олжас Билялов,Билялов Олжас,256,7
100945929376903,The leader of the organization,These ads ran without a disclaimer,254,10
231914860883494,Macrosem,These ads ran without a disclaimer,249,9
143567058849859,Monster Trucks,These ads ran without a disclaimer,245,6
481902735339305,Қайрақбай Жанабеков,Қайрақбай Жанабеков,245,7
1547265975501800,Mauro Salfo Realtor,These ads ran without a disclaimer,243,35
134573327143443,"فريق ""حالة"" للتنوير بالفن",These ads ran without a disclaimer,237,5
1471220409637049,Love studios,These ads ran without a disclaimer,235,2
102638989440804,Андрей Дупик,Andrey Dupik,229,3
112139064831303,Delilahb Feld,These ads ran without a disclaimer,222,3
104435338168712,Амиржан Набиев,Амиржан Набиев,221,2
104986575633025,KZ live,These ads ran without a disclaimer,219,2
106594115527714,liliya_savenkkova,These ads ran without a disclaimer,217,6
103849622488962,Shop19 22125953,These ads ran without a disclaimer,217,9
852323181806668,baruga30,These ads ran without a disclaimer,217,1
748425485249215,Ерлан Стамбеков,Yerlan Stambekov,215,4
107633372272721,Дастан Акимов,Dastan Akimov,213,7
103392512710764,Адильбек Жумадилов,These ads ran without a disclaimer,213,53
103968285979222,Вероника Ким,Вероника Ким,212,4
102138799343089,Академия Политической Компетентности,Ирина Ткаченко,207,11
101896927980436,Qazaq Life,Qazaq Life,206,6
101421712739769,Shop20 46427025,These ads ran without a disclaimer,206,9
136772206333551,Amnesty International Eastern Europe & Central Asia,These ads ran without a disclaimer,203,10
103050925929537,Tauten redistribute,These ads ran without a disclaimer,203,1
106884287884164,Nomad Biopharm,These ads ran without a disclaimer,201,7
103755162432595,SMG Shymkent,These ads ran without a disclaimer,200,1
108819378509544,K Store 25170383,These ads ran without a disclaimer,198,1
102818092446728,Казахстанские Новости KZ,Казахстанские Новости KZ,198,24
109302168759481,Талмас Бейсембаев,Бейсембаев Талмас Серикулы,196,11
657858184336690,Gravidade Music,These ads ran without a disclaimer,195,3
111057355013665,Nomeus parrel32,These ads ran without a disclaimer,194,4
2223599184341013,Tesla Education,These ads ran without a disclaimer,194,7
108238288883751,Назигуль Жасулановна,Nazigul Shaimardanova,193,12
106229567713587,Qazaqstan Daily,These ads ran without a disclaimer,190,4
703280343215878,مركز الابداع و التميز الثقافي,These ads ran without a disclaimer,190,5
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,185,8
584377121746844,Nico di bennardo,These ads ran without a disclaimer,184,3
100178955947495,Объединение сознательных граждан Астаны,Объединение сознательных граждан Астаны,183,2
108625635333873,Online Store 41823,These ads ran without a disclaimer,182,1
103810742416215,Star Audience,These ads ran without a disclaimer,180,4
105291688684413,Almaty Romantic,These ads ran without a disclaimer,179,5
109943558586279,Cpa Lighting,These ads ran without a disclaimer,179,6
547780275278528,Матрица.kz,Aygerim  Bolat,178,11
102532189133268,Future,These ads ran without a disclaimer,178,4
246087925999987,Jana Cekara,Dauren Akhmetov,178,8
100467852800720,Tedious Pull,These ads ran without a disclaimer,177,8
1705491213037989,Explore CURUG,These ads ran without a disclaimer,177,8
113623908342170,Гүлжанат Рахатқызы,Гүлжанат Рахатқызы,176,12
912696552136702,Bar Das Coleguinhas,These ads ran without a disclaimer,175,2
109570115211287,altynuya_oskemen,These ads ran without a disclaimer,175,2
108359322028281,Shop19 55076163,These ads ran without a disclaimer,174,2
101648839353576,Slew a,These ads ran without a disclaimer,172,2
101989012635233,Stop Fake IPO,Stop Fake IPO,171,10
1421777468069338,Kazinform,МИА «Казинформ»,170,5
104759055546420,Chai Gally Bhilai,These ads ran without a disclaimer,169,3
102665372545534,Smart Bridge,These ads ran without a disclaimer,167,1
257265711589821,SchoolWorld,These ads ran without a disclaimer,167,1
2221910871281012,Байтақ жасылдар партиясы,«Байтақ» жасылдар партиясы,167,7
111209858290215,Кітапқұмар Балақай,Рахимбеков Толеутай Сатаевич,166,32
109474075130749,KZ GAZ,These ads ran without a disclaimer,163,3
250939168627968,Kaspiprof,These ads ran without a disclaimer,162,4
897915210257967,DIF Guerrero,These ads ran without a disclaimer,162,9
114333136602716,Лучшая версия себя,These ads ran without a disclaimer,158,1
102156845976628,Genious,These ads ran without a disclaimer,156,4
101896445444133,Билеты на концерт по всему миру,These ads ran without a disclaimer,156,2
106692342044966,T A C,These ads ran without a disclaimer,156,4
106506344747439,moms.pops.tots,These ads ran without a disclaimer,155,2
105747815677191,Батальон обречённых,Батальон обречённых,154,16
112996948288265,Қарақат Абден,Избирательный фонд Каракат Абден,152,14
1790149127865609,Globus Education Kazakhstan,These ads ran without a disclaimer,151,2
101154828557448,Barber Shop Julio,These ads ran without a disclaimer,151,10
110208341711808,Запуск нового проекта,These ads ran without a disclaimer,150,5
102350801495257,Gaster Officiel,These ads ran without a disclaimer,150,1
100956749338505,Ravishing mj7,These ads ran without a disclaimer,148,4
102006998726614,MilaShop,These ads ran without a disclaimer,148,3
107184817975707,Liibansane,These ads ran without a disclaimer,147,1
102600365590109,DT,These ads ran without a disclaimer,146,2
105275392545274,Faer Buki,These ads ran without a disclaimer,145,2
101147365431305,CANAL RICOS news,These ads ran without a disclaimer,145,8
103208147704985,Мой Шымкент,Мой Шымкент,144,7
103939112431898,Masterskaya Zdorovoy Osanki,These ads ran without a disclaimer,142,4
116761314689051,Ахматов Муратбек,Мұратбек Ахматов,141,8
100940722939890,Жуванышев Азамат,"Индивидуальный предприниматель ""Керімбай""",140,12
102855572622335,123 123,These ads ran without a disclaimer,139,1
101994509355739,Disretonis,These ads ran without a disclaimer,139,4
102224124649105,Human Evolution Foundation Inc.,These ads ran without a disclaimer,137,2
101641126006271,Nausicaa game,These ads ran without a disclaimer,134,1
111276138568468,Mukhtar Serkpayev,Mukhtar  Serkpayev,133,10
102619989238724,Aurora studio,These ads ran without a disclaimer,132,2
110750548592555,Сапенов Конакбай,Zhanargul Bolatkyzy Temirbay,130,9
114375991258885,For You,These ads ran without a disclaimer,130,5
101965924497033,Астана. Казахстан. Важное,Астана. Казахстан. Важное,129,5
104598829000108,Dayli news,These ads ran without a disclaimer,129,3
103980481936257,Ziyatker high school,These ads ran without a disclaimer,129,3
110364064902102,Atom_mining,These ads ran without a disclaimer,129,1
112511215109252,Винс Николай,Николай Винс,128,35
111170164698148,НИШ,These ads ran without a disclaimer,128,6
1758960241072837,Markiz.kz,These ads ran without a disclaimer,128,4
100792392805989,Ice Cream prodazha,These ads ran without a disclaimer,127,2
105385225786593,Akberen Education,These ads ran without a disclaimer,127,2
156403987563367,Business Networking Mastery,These ads ran without a disclaimer,127,13
101058639291395,Здоровый образ,These ads ran without a disclaimer,127,3
104750226006127,halykka_komek_nazerke,These ads ran without a disclaimer,127,1
101113264862144,Desinfecter,These ads ran without a disclaimer,126,12
107929600695304,bilim_orkenieti,These ads ran without a disclaimer,125,3
232392610254329,Отбасы Банк Казахстана,These ads ran without a disclaimer,125,1
100369356146918,Help You,These ads ran without a disclaimer,124,5
157972027639100,Bro B.,These ads ran without a disclaimer,124,5
100690619126881,Barretos Burguer Nilópolis,These ads ran without a disclaimer,122,6
101718782858778,Kaiyrbek,These ads ran without a disclaimer,122,2
105622082245492,Bad things,These ads ran without a disclaimer,122,2
1485128615058439,Казинформ,These ads ran without a disclaimer,122,2
106622871802063,Тендер әлемі,These ads ran without a disclaimer,121,1
107786108648526,GPT Space,These ads ran without a disclaimer,121,3
