Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
1428873024044736,المدن - almodon,المدن - almodon‎,437909351,1659
231826956898622,Lebanese Kataeb Party حزب الكتائب اللبنانية,Lebanese Kataeb Party,409462687,72
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,384522388,713
1438703606372190,Elham Said Freiha,Elham Freiha,326027012,345
109154541241085,Lebanese Forces,Lebanese Forces,283099362,154
759324994198806,مواطنون ومواطنات في دولة,مواطنون ومواطنات في دولة,254912470,115
106197498149118,لبنان الكبير,Grand Lebanon,210886908,2608
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,164730896,779
102023711572671,أساس ميديا -  Asas Media,asasmedia,158952383,1310
137986426735344,بيروت بدها قلب - Beirut Badda Aleb,Beirut Badda Aleb,141632367,103
310630374428,Neemat Frem,Neemat Frem,112571595,34
477595069106961,وضاح الصادق - Waddah Sadek,its,103194422,111
106817274816325,سوا لِلبنان - Sawa Li Lubnan,Sawa Li Lubnan,97298507,34
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,80120007,162
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,79587833,311
394633411339696,fiftyfiftylb,FiftyFiftylb,77519473,96
154029261310643,LADE,LADE,74484844,48
110470091436602,Ici Beyrouth,Ici beyrouth,64827372,614
1489111271399223,RIFAQ,Rifaq el Qadiyya,57253731,50
107176121967815,خالد محي الدين قباني,Mo I. Shehab,53434078,27
100262779154355,Shamaluna • شمالنا,Shamaluna,52332286,45
2319249898311729,National Bloc - الكتلة الوطنيّة,national bloc,49314821,24
107698404702208,Alkalima,Alkalima Onlime,46335266,598
323356544336,KAFA (enough) Violence & Exploitation,KAFA (enough) Violence & Exploitation,45626866,29
1680404738865135,Lebanon Elections إنتخابات لبنان,Lebanon Elections 2022,44776160,10
1502687013388650,Media Factory News,كلارا صعب,44713026,188
106299388726122,رضا خالد الميس,Mohammad Mrad,43164179,25
68793499001,UNICEF,UNICEF with Facebook Ad Credits,42406667,370
141039382740595,National Commission For Lebanese Women NCLW,National Commission For Lebanese Women NCLW,41394814,78
39504861303,Lucien Bourjeily,Lucien Bourjeily,40880783,27
1462329104000678,Reine Sawane,The North Life,40109439,49
394633411339696,fiftyfiftylb,fiftyfifty,39992275,40
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,38510632,91
118794368191108,Parallel,Parallel Lebanon,36985075,27
1744356319118477,هنا لبنان,هنا لبنان,34820629,368
204634082939482,Atelier Nada Sehnaoui,Nada Sehnaoui,34102568,12
212513695502997,Annahar Newspaper | جريدة النهار,Annahar SAL,31496298,75
316674545036384,SKeyes Center for Media and Cultural Freedom,SK_Eyes,31315402,49
103410875188979,Osos أسس,shamaluna,30460923,112
101241044906111,هنا لبنان,هنا لبنان,30305251,322
149013021820628,Adyan Foundation - مؤسّسة أديان,Adyan Foundation,29797788,35
137195823051820,Maharat Foundation,Maharat Foundation,27459279,113
102023711572671,أساس ميديا -  Asas Media,Asas Media,27019129,223
109278588419023,Fadi Nahas,Fadi Nahas 2022,26042113,70
558926694254896,Fondation Diane,Fondation Diane,24671642,34
242183826252599,صفحة المحامي حسن عفيف كشلي,Hassan A Keshli,24149425,11
101253802559971,لائحة متن التغيير On Board For Change,its,23728828,28
105758000974645,TAQADDOM - تقدم,Taqaddom,23014499,65
100104459352246,Ziad Rahal - زياد رحال,The North Life,22761215,54
101145932544993,Julie Daccache - جولي الدكاش,Julie Daccache,21831662,50
105173052125020,Rabih El Chaer - ربيع الشاعر,its,21669572,72
106425851213086,L'Orient Today,L'Orient Today,21417034,16
128417954019381,Al-Moltaka,Melhem Boustany,21402557,28
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,21088587,7
1433209100135835,Ziad Akl,Ziad Akl,20884347,21
