Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
233603476696460,United Workers Party (Saint Lucia),United Workers Party,6826,223
1409638192624686,Allen Chastanet,Allen Chastanet,5694,225
55788240650,Saint Lucia Labour Party,Saint Lucia Labour Party,5375,62
103771205293248,Same Old Labour,Same Old Labour,4743,87
1547055452258211,Ernest Hilaire,Ernest Hilaire,3263,102
284538805083530,Star Struck,Star Struck,2899,37
1041704005884127,Philip J. Pierre,Philip J. Pierre,2827,71
2330698243884299,Kenson Casimir,Saint Lucia Labour Party,1186,8
1629123210711989,Office of the Prime Minister of Saint Lucia,Office of the Prime Minister,693,22
219422128096619,Dr. Gale T C Rigobert,United Workers Party,496,20
1605010136455975,SARAH for Central,United Workers Party,413,6
102731836472226,Lenard Spider Montoute,United Workers Party,412,18
100432481901357,Jeremiah Norbert,Jeremiah Norbert,346,4
452604601590409,Herod Stanislas,United Workers Party,275,10
105483748475364,Christians for Chastanet,Christians for Chastanet,267,12
1399417653716342,Maundy A. L. Lewis,Maundy Lewis,245,9
245215288982461,Edmund Estephane,United Workers Party,195,9
1707489106182181,Shawn Edward,Saint Lucia Labour Party,182,4
28312410177,World Food Programme,These ads ran without a disclaimer,178,127
804997446264798,Chic Me,These ads ran without a disclaimer,154,1
102380502125938,Vote Saint Lucia,These ads ran without a disclaimer,141,1
793731480743428,Dominic Fedee,United Workers Party,138,8
102436538099511,Sohria Alexander,Reflect The Change,138,54
927663313988581,TM ANTOINE Partners,Creative Forge,129,8
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,120,11
287683225711,UN Environment Programme,UN Environment Programme,114,16
103221468149402,Virginia Albert-Poyotte,Saint Lucia Labour Party,106,1
101484011325509,Pauline Antoine-Prospere,Saint Lucia Labour Party,≤100,2
1409638192624686,Allen Chastanet,These ads ran without a disclaimer,≤100,8
110421177325096,Alfred Prospere,Saint Lucia Labour Party,≤100,1
469018963308140,Wayne Girard,Saint Lucia Labour Party,≤100,1
79355523842,University of the People,These ads ran without a disclaimer,≤100,1
105895178157775,Aquaox St. Lucia Ltd.,Aquaox St. Lucia Ltd,≤100,5
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,65
641894092631800,Poll St Lucia,eMagine Solutions Inc,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,23
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,116
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,30
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,7
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
837299136414434,Moses Jn. Baptiste,Saint Lucia Labour Party,≤100,1
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100,14
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,40
1611053215802977,UBC Master of Engineering Leadership,These ads ran without a disclaimer,≤100,9
107282698570651,"Freedom, Rights Empower Each One",Martin G Parker,≤100,1
613727972066781,Unitedpac Saint Lucia,These ads ran without a disclaimer,≤100,12
491940294346314,Bradly Felix,United Workers Party,≤100,2
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,20
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100,28
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,21
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,16
105571128340605,Bertrand Johannes,Reflect The Change,≤100,11
134200056938950,Travel & Leisure Centre,These ads ran without a disclaimer,≤100,1
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100,1
1730630540553065,Curio,These ads ran without a disclaimer,≤100,4
1927102000913167,Saint Lucia Cancer Society,These ads ran without a disclaimer,≤100,1
251493288215444,National Green Party Saint Lucia - NGP,These ads ran without a disclaimer,≤100,1
107696981365822,You Me & Him,You Me & Him,≤100,1
108895892030693,CTA Saint Lucia,These ads ran without a disclaimer,≤100,1
284538805083530,Star Struck,Germina Y Hippolyte,≤100,2
248986568895243,Speechify,These ads ran without a disclaimer,≤100,3
1468015706558049,Moodys Tax,These ads ran without a disclaimer,≤100,10
105942588080442,Reflect The Change,Reflect The Change,≤100,9
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,≤100,3
111993011255841,Saint Lucia Tourism Authority,These ads ran without a disclaimer,≤100,1
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,51
1245931182164216,Muslim World League,These ads ran without a disclaimer,≤100,1
6013004059,The Economist,These ads ran without a disclaimer,≤100,40
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,46
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,146
115215708167689,Patient Information Corner,These ads ran without a disclaimer,≤100,2
288607211258386,ROLEX,These ads ran without a disclaimer,≤100,2
1355426087883151,Crypto.com,These ads ran without a disclaimer,≤100,1
343459706117402,Word Collect,These ads ran without a disclaimer,≤100,3
101516212181501,AIO Browser,These ads ran without a disclaimer,≤100,7
477071296024920,Taiwan in Saint Lucia,These ads ran without a disclaimer,≤100,2
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,13
845620825830146,Deel,These ads ran without a disclaimer,≤100,9
267410650127820,NRD Companies,These ads ran without a disclaimer,≤100,7
2330698243884299,Kenson Casimir,These ads ran without a disclaimer,≤100,2
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,≤100,5
110345887100098,CIJN Caribbean Investigative Journalism Network,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,≤100,8
68793499001,UNICEF,These ads ran without a disclaimer,≤100,40
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
155608484462320,Healthy Caribbean Coalition,These ads ran without a disclaimer,≤100,2
182073298490036,Gaia,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,29
102731836472226,Lenard Spider Montoute,These ads ran without a disclaimer,≤100,2
103286391424486,Developing Dominica,These ads ran without a disclaimer,≤100,2
106065484513801,Merge Friends,These ads ran without a disclaimer,≤100,4
126052760507,Mama Cash,These ads ran without a disclaimer,≤100,71
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,6
8057376739,The Nature Conservancy,These ads ran without a disclaimer,≤100,1
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,40
1041704005884127,Philip J. Pierre,These ads ran without a disclaimer,≤100,1
274064390845,Organisation of Eastern Caribbean States,These ads ran without a disclaimer,≤100,1
101810071877211,soscarbon,These ads ran without a disclaimer,≤100,2
233603476696460,United Workers Party (Saint Lucia),These ads ran without a disclaimer,≤100,2
141254455990477,American University of St. Vincent,These ads ran without a disclaimer,≤100,4
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100,49
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,4
254681821938,Vishen,These ads ran without a disclaimer,≤100,21
140441793233304,Cooking Madness - A Chef's Game Community,These ads ran without a disclaimer,≤100,1
103960591568992,Rich Patrol,These ads ran without a disclaimer,≤100,3
103968964691129,WeRead,These ads ran without a disclaimer,≤100,6
153371894688575,World Bank,These ads ran without a disclaimer,≤100,23
220849685513413,Antigua Breaking News,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF,≤100,50
100776202191315,Infinite Force,These ads ran without a disclaimer,≤100,3
115890592096050,C&W Business,These ads ran without a disclaimer,≤100,3
119006106155684,PI Energy,These ads ran without a disclaimer,≤100,30
219422128096619,Dr. Gale T C Rigobert,These ads ran without a disclaimer,≤100,2
272395789457104,Commonwealth Writers,These ads ran without a disclaimer,≤100,1
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,11
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,4
103768381387100,Partnership Initiative for Sustainable Land Management,These ads ran without a disclaimer,≤100,1
1844701205779787,Unexplained on Gaia,These ads ran without a disclaimer,≤100,1
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,≤100,9
910145682709010,Minashpro Immigration,These ads ran without a disclaimer,≤100,2
215138065124,Louis Vuitton,These ads ran without a disclaimer,≤100,1
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,18
481154935643517,Alt Air Travel & Tourism,These ads ran without a disclaimer,≤100,1
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,≤100,4
109244204824687,Captive Creator,These ads ran without a disclaimer,≤100,15
846866745325392,JILL Media,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,8
1639540319607560,Premium Home and Residential Care Services,These ads ran without a disclaimer,≤100,1
456013751424561,CESaRE,These ads ran without a disclaimer,≤100,11
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,2
1013449992051964,Daquan,These ads ran without a disclaimer,≤100,20
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,10
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,≤100,12
101368738938397,Redefined Kindness,These ads ran without a disclaimer,≤100,9
100685148155347,Friends of Confucius,These ads ran without a disclaimer,≤100,1
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,11
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,2
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
119405895873,Huawei,These ads ran without a disclaimer,≤100,19
109514650629878,pete_nice27,These ads ran without a disclaimer,≤100,1
30664024188,Medscape,These ads ran without a disclaimer,≤100,9
418231608386235,Joachim Andre Henry,These ads ran without a disclaimer,≤100,2
130025717077175,The Orangutan Project,These ads ran without a disclaimer,≤100,12
348866759526475,Gemini Gadgets,These ads ran without a disclaimer,≤100,1
104622121026372,Earth Breeze,These ads ran without a disclaimer,≤100,3
105947114116292,Photo-Synthesis Designs,These ads ran without a disclaimer,≤100,2
195047610583003,Ehem. MEP Josef Weidenholzer,These ads ran without a disclaimer,≤100,1
188785171942158,Bougee Black,These ads ran without a disclaimer,≤100,2
537406009612079,Fancy wallpaper-1,These ads ran without a disclaimer,≤100,4
1247434085425966,Outlier.org,These ads ran without a disclaimer,≤100,3
12185972707,350.org,These ads ran without a disclaimer,≤100,2
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,14
101480108037319,Domestika,These ads ran without a disclaimer,≤100,15
107623225344076,drktpella,These ads ran without a disclaimer,≤100,2
18523396549,The Church of Jesus Christ of Latter-day Saints,These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
590020074432519,Randi B,These ads ran without a disclaimer,≤100,1
220907971269104,CaribVision,These ads ran without a disclaimer,≤100,3
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
104507962060679,The Best Search,These ads ran without a disclaimer,≤100,3
100207168822316,kishoreshallow,These ads ran without a disclaimer,≤100,2
274138756817,Architonic,These ads ran without a disclaimer,≤100,2
1329741273707017,Creative Fabrica,These ads ran without a disclaimer,≤100,1
108210467509014,The HEY Campaign,These ads ran without a disclaimer,≤100,10
1671662819532975,Who's Using Who?,These ads ran without a disclaimer,≤100,3
101894826563370,Sotheby's,These ads ran without a disclaimer,≤100,2
257656731794433,The Juggernaut,These ads ran without a disclaimer,≤100,2
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100,4
