Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
104736315219423,Referendumskomitee gegen die Abänderung des Baugesetzes,Referendumskomitee gegen die Abänderung des Baugesetzes,6483,25
386589190940,Vaterländische Union (VU),Vaterländische Union,6421,206
112222891627032,Häsch #gwösst,Häsch #gwösst,1687,8
157768374252524,Landesspital Liechtenstein,Landesspital Liechtenstein,985,10
1953982967998974,DpL - Demokraten Pro Liechtenstein,Demokraten pro Liechtenstein,938,14
709351105754847,FBP-Ortsgruppe Balzers,FBP-Ortsgruppe Balzers,878,24
1546022845691718,Liechtensteinische Kraftwerke,Liechtensteinische Kraftwerke,421,3
344789435692532,FBP-Ortsgruppe Eschen-Nendeln,FBP-Ortsgruppe Eschen-Nendeln,320,16
596046163789199,FBP Vaduz,FBP Ortsgruppe Vaduz,173,23
177535295619475,Jugendunion Liechtenstein,Vaterländische Union,≤100,2
553466211453035,VU Ortsgruppe Ruggell,These ads ran without a disclaimer,≤100,4
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,8
553466211453035,VU Ortsgruppe Ruggell,Stiftung Vaterländische Union,≤100,2
120904964306490,Tsl-Projekt,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,91
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,5
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,8
135816069903817,Dirk Kreuter,These ads ran without a disclaimer,≤100,37
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,10
1392012197752262,LIHGA,These ads ran without a disclaimer,≤100,2
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,175
100314705711230,BitLife De - Lebenssimulation,These ads ran without a disclaimer,≤100,3
350358988493441,VU Ortsgruppe Schaan,Stiftung Vaterländische Union,≤100,1
147626145105652,Liechtenstein MFA,These ads ran without a disclaimer,≤100,1
431776087014516,Infranorm,These ads ran without a disclaimer,≤100,3
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,51
389165857845955,LGT Private Banking,These ads ran without a disclaimer,≤100,5
102944432128377,Der Pragmaticus,These ads ran without a disclaimer,≤100,3
111695248332317,cubanochur,These ads ran without a disclaimer,≤100,1
143931098752,Kunstmuseum Liechtenstein,These ads ran without a disclaimer,≤100,1
107582625176699,Lingard,These ads ran without a disclaimer,≤100,4
350409101491300,Tio Ted,These ads ran without a disclaimer,≤100,4
93922637103,digitec.ch,These ads ran without a disclaimer,≤100,2
111526801918998,FutureForum Alps,These ads ran without a disclaimer,≤100,1
317158175535179,BitLife,These ads ran without a disclaimer,≤100,7
110178328228079,NinjaOne Europe,These ads ran without a disclaimer,≤100,5
350782861648749,Liechtensteinisches LandesMuseum,These ads ran without a disclaimer,≤100,1
386589190940,Vaterländische Union (VU),These ads ran without a disclaimer,≤100,1
165640116635965,Energiezukunft Liechtenstein,These ads ran without a disclaimer,≤100,4
92376343177,DJ TONY TOUCH,These ads ran without a disclaimer,≤100,4
239593535901355,Freigeist Kongress,These ads ran without a disclaimer,≤100,1
111253275552680,popup communications,These ads ran without a disclaimer,≤100,4
230540700832458,Big Pun,These ads ran without a disclaimer,≤100,6
106038505777460,Tsl-Projekt,These ads ran without a disclaimer,≤100,1
121543677603432,Lawyer Europe,These ads ran without a disclaimer,≤100,1
100852774845286,AK Digital Media,These ads ran without a disclaimer,≤100,1
107982141940185,Brothers in arms,These ads ran without a disclaimer,≤100,2
582245245786161,VIER PFOTEN,These ads ran without a disclaimer,≤100,2
272968897162,Ferienregion Toggenburg,These ads ran without a disclaimer,≤100,1
104736315219423,Referendumskomitee gegen die Abänderung des Baugesetzes,These ads ran without a disclaimer,≤100,1
107619991821245,Die Zeytenwantler - Alte Zeyt trifft Neue Zeit - Gesundheit ganzheitlich,These ads ran without a disclaimer,≤100,3
1295879650424793,Gemeinde Schaan,These ads ran without a disclaimer,≤100,1
118356801554598,EU Food & Farming,These ads ran without a disclaimer,≤100,4
655479988397199,Kreativ Akademie,These ads ran without a disclaimer,≤100,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
98673036962,ROLDA,These ads ran without a disclaimer,≤100,21
176508225770197,Austrian Master Classes,These ads ran without a disclaimer,≤100,5
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
118474971246985,All About Flags,These ads ran without a disclaimer,≤100,1
102251318064432,Organon,These ads ran without a disclaimer,≤100,4
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100,2
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,25
420294331650094,EB Infotech,These ads ran without a disclaimer,≤100,23
217618662032994,Stiftung Zukunft.li,These ads ran without a disclaimer,≤100,1
102386009265966,Aline Antunes,These ads ran without a disclaimer,≤100,8
110114378680265,EU-News,These ads ran without a disclaimer,≤100,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,6
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,12
197565240098898,EU. News,These ads ran without a disclaimer,≤100,5
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,7
122828811112517,EF Academy,These ads ran without a disclaimer,≤100,7
210338655498965,Project-X,These ads ran without a disclaimer,≤100,1
845620825830146,Deel,These ads ran without a disclaimer,≤100,2
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,2
240970402426922,Life in Europe,These ads ran without a disclaimer,≤100,3
