Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
194713160185,Sajith Premadasa,Sajith Premadasa,24818,255
10150104472160567,Angajan Ramanathan,Angajan Ramanathan,19329,521
594338101078713,Sunethra Samarakoon,Sunethra Samarakoon,19063,412
335023596473,Wijeyadasa Rajapakshe,Wijeyadasa Rajapakshe,18130,432
100704634698432,Vernon Gunaratne,Kalupathirannahelage Lakmali Sanjeewani Gunaratne,16271,794
111459860543422,Kanishka Senanayake,Kanishka Senanayake,14904,1250
322161727913812,Harsha de Silva,Harsha de Silva,12651,290
813367968676851,S M Marikkar,S M Marikkar,11753,302
1544194855823120,Transparency International Sri Lanka,Transparency Sri Lanka,9317,121
104835755774891,ගොඩයමු - Godayamu,The Godayamu Collective,8273,150
249209535102376,Madhura Vithanage,Madhura Vithanage,8093,101
256572301021159,Thilanga Sumathipala,Thilanga Sumathipala,8063,185
102557421628605,Media Empowerment for a Democratic Sri Lanka - MEND,IREX MEND,6547,192
1610045235876122,Danasiri Amaratunga - ධනසිරි අමරතුංග,Nadeeka Indunil Pathirage,6298,173
56427674252,Udaya Prabhath Gammanpila,Udaya Prabhath Gammanpila,6188,97
113246220440971,Rajaputhra Weerasinghe,Hashantha Hemachandra,6080,130
856660874416858,Anura Fernando,Alphatel (Pvt) Ltd,5525,256
188624924059,Akila Viraj Kariyawasam,Akila Viraj Kariyawasam,5359,53
2201620623411178,Nipuna Ranawaka,Nipuna Ranawaka,5107,62
251506325318193,Binara Jayawardena,Binara Jayawardena,5062,220
574747679309723,Wimal Weerawansa,Anushka Gunasinghe,4785,9
177291365807221,PAFFREL,PAFFREL,4702,55
869366729824391,Ranjith Siyambalapitiya - රංජිත් සියඹලාපිටිය,H R Siyambalapitiya,4594,36
1435124643435716,Patali Champika Ranawaka,Patali Champika Ranawaka,4552,165
856660874416858,Anura Fernando,ඉන්දික ජයලත්,4347,98
1544194855823120,Transparency International Sri Lanka,Transparency International Sri Lanka,4004,41
245587956350454,Shehara Herath - නීතිඥ ෂෙහාර හේරත්,People of Gampaha,3852,154
28312410177,World Food Programme,These ads ran without a disclaimer,3852,217
615715978614911,Shiraz Yoonus,Shiraz Yoonus,3733,146
357320831038241,Anuradha Jayaratne,Kites Global,3707,147
720835494709891,Ajith Mannapperuma,Mannapperuma Appuhameylage Kapila Ajith Kumara Mannapperuma,3706,133
