Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
260152051240875,Alexander B. Cummings,Alexander B. Cummings,10970,61
102165645799178,Cllr. Charlyne M. Brumskine,Cllr. Charlyne M. Brumskine,2055,26
101555799526242,Liberians United for Cummings,Liberians United for Cummings,941,4
68793499001,UNICEF,UNICEF with Facebook Ad Credits,930,288
108886065537889,Office of Senator Nya D Twayen Jr. Nimba County,Nya D. Twayen Movement for Senate-Nimba2023,787,35
102155202062797,Stingr Liberia,These ads ran without a disclaimer,500,1
378223212521401,Dr. Clarence K. Moniba,These ads ran without a disclaimer,462,9
101216625798881,Mengistu Eddie Wolokolie,MENGISTU EDDIE WOLOKOLIE FOR PRESIDENT CAMPAIGN (WFP) INC,412,25
472860129453377,iLab_Liberia,iLab Liberia,186,8
158714780827513,UNFPA,UNFPA,172,73
1798435720478073,新華香港,These ads ran without a disclaimer,128,8
8304333127,The Wall Street Journal,These ads ran without a disclaimer,128,2
821430017924241,Sungrow,These ads ran without a disclaimer,102,7
112473175157685,"Hon. George A. Miller - aka- Abu Miller ""Talk and Do""",These ads ran without a disclaimer,≤100,9
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,2
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,17
116112588449006,Messengers of Peace- Liberia Inc(MOP-Liberia Inc),Messengers of Peace- Liberia Inc(MOP-Liberia Inc),≤100,15
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,95
410572096369317,Gwendolyn Myers-thepeacemessenger,Gwendolyn Myers,≤100,17
882588741945808,Welma B. Sampson,These ads ran without a disclaimer,≤100,7
100365328410065,Tonboi Innovative Group,Adolphus John Boimah-Porte,≤100,1
104379662461659,Daniel for PUL Presidency,These ads ran without a disclaimer,≤100,5
2142675996017151,Perspective Pro - Lib,These ads ran without a disclaimer,≤100,4
108323122094778,Rufus S. Kaine,These ads ran without a disclaimer,≤100,3
108054355042751,Hon. Alvin T. Pennue Cyber,Hon. Alvin T. Pennue Cyber,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
565225540184937,CGTN,These ads ran without a disclaimer,≤100,80
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,168
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,5
2369268379998375,Amb smiles legend�,These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
208685479508187,U-Report,These ads ran without a disclaimer,≤100,7
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
112686607906679,Hon SABAH JOMAH,These ads ran without a disclaimer,≤100,4
104941435406158,Coolgang General the blogger,These ads ran without a disclaimer,≤100,2
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,5
194267707310432,Alufibras,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,84
269934720021650,Liberia Rising,These ads ran without a disclaimer,≤100,1
120590054462637,Eddie D. Jarwolo,These ads ran without a disclaimer,≤100,5
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,12
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,11
1600262000010146,Mory Conde,These ads ran without a disclaimer,≤100,1
263896176957754,"Ministry of Information, Cultural Affairs & Tourism (MICAT)",These ads ran without a disclaimer,≤100,2
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,6
260152051240875,Alexander B. Cummings,These ads ran without a disclaimer,≤100,1
892802230824307,Edana Photography,These ads ran without a disclaimer,≤100,1
109973425151549,Together WE CAN,These ads ran without a disclaimer,≤100,2
111435495086023,Unity Party National Youth Congress,These ads ran without a disclaimer,≤100,1
220432881308201,Center for Transparency and Accountability in Liberia (CENTAL),These ads ran without a disclaimer,≤100,3
250343022015124,Bridge Liberia,These ads ran without a disclaimer,≤100,5
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,5
822874874526991,Orange,These ads ran without a disclaimer,≤100,1
106551382294162,Nana’s Tasty Sour Milk,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,87
102499315869044,Team SABAH JOMAH,These ads ran without a disclaimer,≤100,1
247122516400012,The Free Liberia Movement,These ads ran without a disclaimer,≤100,4
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,3
