Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
178362315106,European Parliament,European Parliament,132581,4008
187111975181,Knygynų tinklas „Pegasas“,Pegasas,112126,629
460195401047293,Enefit Lietuva,Enefit Lietuva,104488,740
107898832590939,European Commission,European Commission,102911,741
198404080183024,Swedbank Lietuvoje,„Swedbank“ Lietuvoje,102297,1873
151962321499506,DELFI.lt,DELFI.lt,78361,812
93535661889,TV3 televizija,TV3 televizija,76761,2761
190209177745566,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos valstiečių ir žaliųjų sąjunga,68709,776
153707501325987,Lietuvos Respublikos vyriausioji rinkimų komisija,Lietuvos Respublikos vyriausioji rinkimų komisija,67024,373
1557796401104405,Mykolas Majauskas,Mykolas Majauskas,62223,248
160851767470,Viktoras Uspaskich,Viktoras Uspaskich,60976,137
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),TS-LKD,58589,529
81004804444,Liberalai,Liberalai,55182,1586
393195034595433,Laisvės partija,Laisvės partija,52994,561
614669251958037,LNK.LT,LNK TV,50053,1907
264116120225,Darbo partija,Darbo partija,49791,498
202360056491831,Lietuvos socialdemokratų partija - LSDP,Lietuvos socialdemokratų partija - LSDP,48817,789
176464169358846,Lygių galimybių kontrolieriaus tarnyba,Lygių galimybių kontrolieriaus tarnyba,46744,402
103847712206,„Ekonomikos ir politikos žurnalas Valstybė“,Demokratijos plėtros fondas VšĮ,40583,398
76783564232,Europos Komisijos atstovybė Lietuvoje,Europos Komisijos atstovybė Lietuvoje,39419,961
1732022290384006,Nogrid,Sun Investment Group,38758,223
271442299683442,Tušti narvai,VšĮ Tušti narvai,37649,156
111167028176337,Позвони России,"Stiprūs Kartu, VšĮ",36289,12
167427916707061,SEB Lietuvoje,SEB Lietuvoje,29462,74
233692766675500,YIT Lietuva,"YIT Lietuva, UAB",29438,532
250653168401432,Neste Lietuva,Soma agency,25901,74
2214495192154107,Už Ingridą,Ingrida Šimonytė,22945,129
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,AWPL-ZCHR,22776,147
1739968129576961,Mindaugas Puidokas,Puidokas Mindaugas,20115,815
314135228442052,Dainius Žalimas,Laisvės partija,19244,54
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,17868,433
110105941453094,Demokratai „Vardan Lietuvos“,Demokratų sąjunga „Vardan Lietuvos“,17715,119
253828081147863,4 procentai,VšĮ „4 procentai“,17492,108
271442299683442,Tušti narvai,Tušti narvai,17482,46
101363029539404,CropLife Lietuva,CropLife Lietuva,16151,486
203965819474802,Prezidentas Nausėda 2024,Gitanas Nausėda,15881,65
105924376125620,Lietuvos žmogaus teisių centras,Lietuvos žmogaus teisių centras,15094,138
40711908859,15min,15min,14991,242
111530930306854,Nacionalinis susivienijimas,Nacionalinis susivienijimas,14974,137
630229464086126,Lindström,Lindström,14772,376
790530451326497,Tomas Vytautas Raskevičius,Laisvės partija,13926,62
109903418774342,Opozicijos Televizija,Lietuvos valstiečių ir žaliųjų sąjunga,13856,337
128572499128,LRT,LRT,13580,611
151322064727697,Ignas Vėgėlė. Prezidento rinkimai,Ignas Vėgėlė,13322,155
241476215897790,Remigijus Šimašius,Remigijus Šimašius,12449,139
80310998348,Lietuva,Lietuva,12399,33
469796136384195,IKEA,IKEA,11629,95
101795274521913,Audrius Petrošius,Audrius Petrošius,11618,98
324139520360,Vilniaus socialdemokratai,LSDP Vilnius,11350,118
198404080183024,Swedbank Lietuvoje,Swedbank Lietuvoje,11288,200
738507292917894,Peticijos.lt,"Peticijos, VšĮ",11014,72
1625648611083722,Lietuvos Augalų Apsaugos Asociacija,Lietuvos augalų apsaugos asociacija,10441,381
103669016025657,Žvelk giliau,Žvelk giliau,10200,404
2080715188925902,Vilniaus šilumos tinklai,AB Vilniaus šilumos tinklai,9904,70
943920815656380,Laisvos visuomenės institutas,Laisvos visuomenės institutas,9893,383
100263748441271,Lukas Savickas,"Demokratų sąjunga ""Vardan Lietuvos""",9738,79
723655267760037,Valdas Benkunskas,Valdas Benkunskas,9312,159
1739968129576961,Mindaugas Puidokas,Mindaugas Puidokas,9140,252
781362985208097,ELP frakcija Europos Parlamente,Open Agency,9000,26
738507292917894,Peticijos.lt,Peticijos.lt,8855,24
102161476501915,Centro partija - tautininkai,Centro Partija - Tautininkai,8570,103
18276748821,Antanas Guoga,Lietuvos Centro Partijos rinkimų sąskaita,8455,33
107927550729313,Remigijus Lapinskas,Lietuvos žaliųjų partija,8179,81
174772099242581,Viktoras Fiodorovas,Viktoras Fiodorovas,8076,289
163564217762927,Minfo,Gabrilavicius Marius,7942,735
585702754804749,Kretingos moterų informacijos ir mokymo centras,Kretingos moterų informacijos ir mokymo centras,7714,66
141366725876424,European Greens,European Greens,7654,172
105263208546786,Sveikatos teisės institutas STI,"Sveikatos teisės institutas, VšĮ",7084,133
147547541961576,Council of the European Union,Council of the European Union,7070,1230
1713414968692243,Moters vizija,"Woman's Vision, UAB",7068,145
188014250186,Europos Parlamento biuras Lietuvoje,Europos Parlamentas Biuras Lietuvoje,7061,43
126578638039470,Myriad Capital,"FMĮ ""Myriad capital"", UAB",6674,683
457797160968597,Lietuvos draudimas,Lietuvos draudimas,6643,120
106222374637021,Daugiau balanso,Lygių galimybių kontrolieriaus tarnyba,6326,47
125379923659,Valdovų Rūmai,Palace of the Grand Dukes of Lithuania (Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai),6317,404
62378591336,prof. dr. Vytautas Radžvilas,prof. dr. Vytautas Radžvilas,6203,45
103244998165052,Vytautas Sinica,Nacionalinis susivienijimas,6203,54
175147320246,Lietuvos Respublikos Krašto apsaugos ministerija,Krašto apsaugos ministerija,6182,95
129380060434123,Vieningas Kaunas,Vieningas Kaunas,6009,51
188014250186,Europos Parlamento biuras Lietuvoje,Europos Parlamento biuras Lietuvoje,5902,162
684534791927883,Gitanas Nausėda,Gitanas Nausėda,5820,101
112212930266818,Stasys Jakeliūnas,Stasys Jakeliūnas,5729,20
393195034595433,Laisvės partija,Laisvės partijos rinkiminė sąskaita,5510,268
232641654089767,Prof. dr. Vigilijus Jukna,Vigilijus Jukna,5467,160
448711945161881,Kauno socialdemokratai,Kauno socialdemokratai,5433,160
122074554119,EU Social,EU Social,5371,38
