Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
21710789873,déi gréng,déi gréng,34814,402
124910447379,Tageblatt,Tageblatt,33644,515
178362315106,European Parliament,European Parliament,32740,3009
107898832590939,European Commission,European Commission,31573,536
115916035102253,ADR  - Alternativ Demokratesch Reformpartei,ADR,28646,209
127971680591205,Lëtzebuerger Journal,Lëtzebuerger Journal,27196,872
228954330894550,Ministère du Logement,Ministère du Logement,20698,161
67370457805,Greenpeace Luxembourg,Fondation Greenpeace Luxembourg,20451,514
2139886662711123,Marc Goergen - Député,Marc Goergen,20441,481
183148710560,Piraten Lëtzebuerg,Piraten.lu,20378,274
602299559907363,Médecins du Monde Luxembourg,Médecins du Monde Luxembourg,19479,91
424210494343953,Banque Raiffeisen,Banque Raiffeisen,16999,187
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,\tMinistère de l'Égalité entre les femmes et les hommes,15768,75
256099791072227,Amnesty International Luxembourg,Amnesty International Luxembourg,13943,237
47216059667,LSAP,Lëtzebuerger Sozialistesch Aarbechterpartei,12442,226
115916035102253,ADR  - Alternativ Demokratesch Reformpartei,Michel Lemaire,12352,63
280875378609326,DP - Demokratesch Partei,DP - Demokratesch Partei,12076,205
67370457805,Greenpeace Luxembourg,Greenpeace Luxembourg,11939,460
498556763554039,Ville de Differdange,Ville de Differdange,10422,71
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,9532,113
101721849313379,Egalitéit liewen,Ministère de l'Égalité entre les Femmes et les Hommes,9319,50
56016549775,CSV,CSV,8905,195
141480992729926,Piraten Bezierk Osten,These ads ran without a disclaimer,7743,32
2403585623242400,Ministère de l'Intérieur Luxembourg,Ministère de l'Intérieur Luxembourg,7669,95
174116812644146,Luxembourg Times,Luxembourg Times,7241,124
257533034328600,Commission européenne au Luxembourg,Commission européenne au Luxembourg,7118,65
109079118064133,Handicap International Luxembourg,Handicap International Luxembourg,7036,48
47216059667,LSAP,Groupe parlementaire Socialiste - LSAP,7004,106
106781054009320,Ministère de la Protection des consommateurs,Ministère de la Protection des consommateurs,7001,95
1933096830349891,Reporter,Reporter,5985,226
120444648033670,déi Lénk,déi Lénk,5876,99
1527472604152597,Mouvement Ecologique,Mouvement Ecologique,5673,181
507298809422511,Creos Luxembourg,Creos Luxembourg,5630,32
174580985921902,Pfizer Belgique Luxembourg,These ads ran without a disclaimer,5291,42
240727092670506,Ministère de la Santé Luxembourg,Ministère de la Santé Luxembourg,4934,73
1942749669370373,Sven Clement,Sven Clement,4877,109
21710789873,déi gréng,groupe parlementaire déi gréng,4807,122
112307726963681,Ministère du Travail Luxembourg,Ministère du Travail Luxembourg,4734,15
1140451095979337,Digital Inclusion asbl,Digital Inclusion (asbl),4590,14
709331653192158,"Ministère de la Famille, de l'Intégration et à la Grande Région","Ministère de la Famille, de l'Intégration et à la Grande Région",4438,26
1933096830349891,Reporter,Reporter.lu,4363,111
186850465279206,ADR Norden,ADR Norden,4253,34
141096935941189,JDL Jonk Demokraten,Jonk Demokraten,4122,63
889354561125041,Wee2050 / Nee2015,Wee2050 / Nee2015,4102,94
