Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
107898832590939,European Commission,European Commission,78485,811
178362315106,European Parliament,European Parliament,77545,3935
524714174238878,Finanšu ministrija,Finanšu ministrija,45668,364
184096511636333,Progresīvie,PROGRESĪVIE,42311,1444
595950207185585,JKP Jaunā konservatīvā partija,Jaunā konservatīvā partija,39626,456
146554932048229,Delfi.lv,Delfi.lv,39132,983
176171459061779,RUS TVNET,TVNET,35177,8140
545693602214498,Русский союз Латвии,Latvijas Krievu savienība,31514,105
164326166970895,Jaunā Vienotība,Jaunā Vienotība,28908,508
142254092456168,TVNET,TVNET,26176,9764
496837527004594,Latvijas attīstībai,"partija ""Latvijas attīstībai""",24799,1023
212485185449074,Nil Ushakov,"Nils Ušakovs, MEP, Socialists & Democrats Group",24656,585
106474688778241,APVIENOTAIS SARAKSTS,"APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija",22927,81
212485185449074,Nil Ushakov,"Nils Ušakovs, MEP, Socialists & Democrats Group",21935,663
634097313600056,Attīstībai / Par,"politisko partiju apvienība ""Attīstībai/Par!""",17290,524
106474688778241,APVIENOTAIS SARAKSTS,"APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija",16619,186
1813086558946660,Kustība Par,"Kustība ""Par!""",14830,744
158021020892930,Apollo.lv,TVNET,13758,6384
595950207185585,JKP Jaunā konservatīvā partija,Konservatīvie,13149,69
1554765974735742,Press.lv,Press.lv,13117,1452
517372208321136,Neste Latvija,Neste Latvija,12959,40
326333184059682,TV3 Ziņas,TV3 Ziņas,12764,15460
1545606205726717,Bez Tabu,TV3 Group,12660,2714
1839476629666269,Raivis Dzintars,Nacionālā apvienība,11467,131
236758520084700,Centrālā vēlēšanu komisija,Centrālā vēlēšanu komisija,11334,85
710923522410743,ZLM,Ziemeļlatvijas mežsaimnieks,10994,92
418209064906648,Dzīvnieku brīvība,Dzīvnieku brīvība,10769,46
1895782043985643,Zaļo un Zemnieku savienība,ZZS,10690,280
164326166970895,Jaunā Vienotība,Partiju apvienība “Jaunā Vienotība”,9231,320
601458446716365,Viesturs Zeps,Partiju apvienība Attīstībai/Par! Progresīvie,9054,61
215486111795023,Swedbank Latvia,Swedbank Latvia,8927,41
135382249939496,PICHE,PICHE,8334,18
245252925843233,Latvijas Radio 1,Latvijas Radio 1,8261,205
534110743707105,Ansis Pūpols,Ansis Pūpols,8134,45
246477898857961,tv3.lv,tv3.lv,8080,4076
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,8000,13
380325297593,Eiropas Parlaments Latvijā,Eiropas Parlaments Latvijā,7450,110
212485185449074,Nil Ushakov,"SDP ""Saskaņa""",7182,302
595950207185585,JKP Jaunā konservatīvā partija,KONSERVATĪVIE,6512,134
1014461302014447,Degpunktā,TV3 Group,6058,3896
312475149284958,IKEA,IKEA,5810,8
212485185449074,Nil Ushakov,"Nils Ušakovs, MEP, Socialists & Democrats",5669,124
731540813660862,Krišjānis Feldmans,Jaunā konservatīvā partija,5485,99
201013056601771,SOS bērnu ciemati Latvijā,SOS bērnu ciemati Latvijā,5446,31
141366725876424,European Greens,European Greens,5324,224
837296389667198,Apvienība Latvijai,"Politiskā partija ""KPV LV""",5061,129
106505309437949,Latvian Institute of International Affairs,Latvian Institute of International Affairs,4993,190
118130241644848,Nacionālā apvienība,Nacionālā apvienība,4827,65
103230686391678,www.ir.lv,www.ir.lv,4665,229
1326924627369947,Darbi pār vārdiem,Nacionālā apvienība,4657,45
147547541961576,Council of the European Union,Council of the European Union,4623,1189
498669876982321,Artis Pabriks,Politiskā partija “Latvijas attīstībai”,4496,14
1579824998897774,Latvijas Tirdzniecības un rūpniecības kamera,Latvijas Tirdzniecības un rūpniecības kamera,4270,68
128048127265711,Satori,Satori,4219,109
284661295478684,Chayka.lv,Chayka.lv Daugavpils,4198,65
106048957658612,Oļegs Burovs - Олег Буров,Partija Gods kalpot Rīgai,4152,122
113834627035779,Dzīva Rīga,Nacionālā apvienība un Latvijas Reģionu apvienība,4090,44
108053880601905,Bilance PLZ - portāls grāmatvežiem un finanšu speciālistiem,"Lietišķās informācijas dienests, SIA",4090,46
102062354889119,Jānis Vitenbergs,Nacionālā apvienība,4010,103
103583462591700,Lato Lapsa,Lato Lapsa,3942,17
633319013488996,Zemkopības ministrija / Ministry of Agriculture of Latvia,Zemkopības Ministrija,3893,69
357025627668875,SEB Latvija,SEB Latvia,3873,122
1504445909783270,Labklājības ministrija,Labklājības Ministrija,3705,48
