Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
102697318856209,حزب السلام والازدهار,السلام والازدهار,2735,73
107265602249474,الدليل - Aldaleel,Khalil Soleman,1812,37
112437831252270,محمد خالد الغويل,محمد خالد الغويل,1678,30
142989472559414,اللجنة المركزية لانتخابات المجالس البلدية,Abdulaziz Smeda,1550,43
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,1215,7
109980421915382,إيلاف - Elaph Media,elaphmedia,969,109
632124420169233,TRT Afrika Hausa,These ads ran without a disclaimer,942,1
231575013948636,الحكومة الليبية - The Libyan Government,الحكومة الليبية - The Libyan Government,742,76
103408078398525,محمد ابولموشه,محمد ابولموشه,667,87
111370684766725,معصرة الباشا للزيوت الطبيعية ليبيا,These ads ran without a disclaimer,554,5
107531925443834,Alash \ علاش,Alash,360,51
105557452003032,جهاز مكافحة الهجرة غير الشرعية,These ads ran without a disclaimer,322,3
665485696851210,الدكتور عبد الرحمن السويحلي,Khaleel Sewehli,314,11
106968924789977,فساد وزارة الدفاع,فساد وزارة الدفاع,217,10
101020725792533,سمو الأميره سحاب بنت عبدالله بن عبدالعزيز آل سعود,These ads ran without a disclaimer,206,8
109720245220390,وزارة الصحة بالحكومة الليبية - Ministry of Health. Libyan Government,Mabroukah Asrafeel Saeid,198,48
219220655168547,د.عبدالحكيم بعيو    D. Abdelhakim Baayo,These ads ran without a disclaimer,193,4
105698712348011,منصة الداخلية الاخبارية,Aeshah Meehat,187,40
110739578575067,قائمة الصقور - بلدية غريان,Mohamad Abodena,186,21
102093112700975,مكتب الإعلام الأمني بوزارة الداخلية الليبية,Aeshah Meehat,164,25
104056175063290,المكتب الإعلامي لرئيس المجلس الرئاسي الليبي,المكتب الإعلامي لرئيس المجلس الرئاسي الليبي,160,7
100536812738714,محمد الشاوش - Mohamed Shawesh,Mohamed Shawesh,157,13
230834147675510,LabXchange,These ads ran without a disclaimer,134,1
604784409588377,المركز الليبي لحرية الصحافة -  Libyan Center For Freedom Of Press,المركز الليبي لحرية الصحافة -  Libyan Center For Freedom Of Press,133,8
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,24
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,18
106693531229580,Claim In Skin,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
110545205287812,المكتب الإعلامي لرئيس الحكومة الليبية,These ads ran without a disclaimer,≤100,4
