Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
117281538350746,حزب التجمع الوطني للأحرار -Rassemblement National des Indépendants -RNI,Rassemblement National des Indépendants,427961,5971
147084112022235,La Nouvelle Tribune,La Nouvelle Tribune,410000,1534
107627395144123,الحكومة المغربية,الحكومة المغربية,362389,2436
196448427590617,Parti de l'Istiqlal - حزب الاستقلال,Parti Istiqlal,40893,365
578201022242371,MJCC وزارة الشباب والثقافة والتواصل,"Ministère de la Jeunesse, de la Culture et de la Communication",36357,3279
1117512094962616,Ministry of Industry and Trade - وزارة الصناعة والتجارة,MCINET,31866,279
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,29467,162
103180295526797,Ministère de l’Equipement et de l’Eau - وزارة التجهيز والماء,M Equipement Maroc,25928,249
103180295526797,Ministère de l’Equipement et de l’Eau - وزارة التجهيز والماء,Ministère de l’Equipement et de l’Eau - وزارة التجهيز والماء,20431,268
456321337719707,حزب الأصالة والمعاصرة PAM,حزب الأصالة والمعاصرة,20030,158
106101625266252,Fatim-Zahra Ammor - فاطمة الزهراء عمور,Fatim-Zahra Ammor - فاطمة الزهراء عمور,19716,143
1066244736808869,الفيدرالية الوطنية للشبيبة التجمعية,Rassemblement National des Indépendants,15931,101
106044561745914,Fatima Ezzahra El Mansouri,Parti authenticité et modernité,14406,147
272535046654,HESPRESS,HESPRESS,14275,277
104513234397285,Aziz Akhannouch - عزيز أخنوش,Aziz Akhannouch,12985,59
161637767281862,LE MATIN.ma,Groupe Le Matin,12692,918
1081434028658964,وزارة الانتقال الطاقي والتنمية المستدامة,وزارة الانتقال الطاقي والتنمية المستدامة,12236,263
113949555359824,المجلس الاقتصادي والاجتماعي والبيئي CESE Maroc,CESE maroc,11968,128
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,11853,147
1117512094962616,Ministry of Industry and Trade - وزارة الصناعة والتجارة,Ministry of Industry and Trade - وزارة الصناعة والتجارة,10264,156
167254950013774,Rue20.Com,Ayoub Elkouari,9515,1156
106101625266252,Fatim-Zahra Ammor - فاطمة الزهراء عمور,"Ministère du Tourisme, de l'Artisanat et de l’Economie Sociale et Solidaire",8167,76
100194852696708,"Rabat, Capital of African Culture 2022","Ministère de la Jeunesse, de la Culture et de la Communication",8119,412
176386746081,PPS Maroc حزب التقدم و الإشتراكية,Parti du Progrès et du Socialisme | Maroc,7757,303
100132082391393,Houcine Nasrollah الحسين نصر الله,Lhoucine Nasrollah,7107,86
101269541519086,Abdellatif Ouahbi - عبد اللطيف وهبي,حزب الأصالة والمعاصرة,6898,50
578201022242371,MJCC وزارة الشباب والثقافة والتواصل,MJCC وزارة الشباب والثقافة والتواصل,6856,882
123393171111656,Mehdi Bensaid   المهدي بنسعيد,Mohammed Mehdi Bensaid,6077,501
158714780827513,UNFPA,UNFPA,5936,310
1292968250744243,Goud.ma,Goud Media,5716,771
676200292418258,הרב יאשיהו פינטו - Rabbi Yoshiyahu Pinto,These ads ran without a disclaimer,5415,155
1167758396661575,Bouchra Deau,Hatim Azaroual,5408,2
68793499001,UNICEF,UNICEF with Facebook Ad Credits,5218,373
123393171111656,Mehdi Bensaid   المهدي بنسعيد,Mehdi Bensaid   المهدي بنسعيد,5060,455
101466201576668,وزارة الفلاحة والصيد البحري والتنمية القروية والمياه والغابات,وزارة الفلاحة والصيد البحري والتنمية القروية والمياه والغابات,4595,61
303651683481268,اندبندنت عربية,These ads ran without a disclaimer,4215,37
123393171111656,Mehdi Bensaid   المهدي بنسعيد,حزب الأصالة والمعاصرة,4130,41
104027915408507,ONU Climat,These ads ran without a disclaimer,4084,5
