Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1420588184916754,Aleksa Becic - Demokrate - Demokratska Crna Gora,Aleksa Becic - Demokrate - Demokratska Crna Gora,96967,2062
313006358903165,Građanski pokret URA,Građanski pokret URA,42029,1372
58776108439,Socijaldemokratska partija Crne Gore - SDP,Socijaldemokratska partija Crne Gore - SDP,25196,1310
819639921464707,Socijaldemokrate Crne Gore,Socijaldemokrate Crne Gore,22139,899
178671462179370,Demokratska partija socijalista Crne Gore,DPS Crne Gore,19791,429
107633972588243,Milo Đukanović,DPS Crne Gore,16515,576
106107345612039,Naglasi,Naglasi,15051,136
108894298039380,Milojko Spajić,Milojko Spajić - Pokret Evropa sad,12126,34
946505742089103,Demokratski front,Demokratski front,11659,392
100672909484442,Jakov Milatović,Jakov Milatovic,10859,124
101788005008282,Marko Milačić - Prava Crna Gora,Marko Milačić,9867,452
100919256271184,Андрија Мандић - Andrija Mandić,Andrija Mandic,9057,108
102730115711909,Pokret Evropa sad,Pokret Evropa sad,6933,78
139420946128519,Centar za demokratsku tranziciju - CDT,Centar za demokratsku tranziciju - CDT,6914,190
1594195590882320,DEMOS - Miodrag Lekić,DEMOS - Miodrag Lekić,6905,439
103656618479791,SNP CG - Socijalistička narodna partija Crne Gore,Marija Radinović,6372,280
1262559373876915,Draginja Vuksanović,Socijaldemokratska partija Crne Gore - SDP,6235,90
1496330687264500,Dritan Abazović,Dritan Abazović,5399,131
293901977685160,Luka Rakčević,Građanski pokret URA,5309,112
421528787908380,Centar za monitoring i istraživanje - CeMI,Centar za monitoring i istraživanje - CeMI,5248,22
513531212081016,NVO MANS,NVO MANS,4983,88
1262559373876915,Draginja Vuksanović,Socijaldemokratska partija Crne Gore - SDP CG,4425,74
115288344477654,Milo Božović,Budva na prvom mjestu,4285,75
104961714477529,Glas javnosti,Glas javnosti,3982,94
1755968718038569,Biram Crnu Goru,Biram Crnu Goru,3743,195
100811162813844,Jelena Borovinić Bojović - zvanična stranica,Miloš Petrović,3714,151
69215616760,SDP i Građani - Svim srcem za Cetinje,Socijaldemokratska partija Crne Gore - SDP,3575,270
970400053026143,Нова српска демократија,Нова српска демократија,3553,78
1437529949875716,Ujedinjena Crna Gora - Zvanična stranica,Душан Слијепчевић,3407,300
75782787032,Pokret za Promjene,Pokret za Promjene,2814,65
105204711605926,Evropski tim za Herceg Novi,Evropski tim za Nikšić,2705,56
984815368224159,Nikšićka URA,Građanski pokret URA,2625,107
116109739824845,Vladislav Dajković,Vladislav Dajković,2560,192
118334792135186,Portal Standard,Portal Standard,2359,109
102712904881381,Zdravko Krivokapić,Jelena Krivokapić,2357,47
1496330687264500,Dritan Abazović,Dritan Abazovic,2334,70
1496330687264500,Dritan Abazović,Građanski pokret URA,2284,30
103575562072435,Raško Konjević,Socijaldemokratska partija Crne Gore,2247,205
201564167091063,Adria,ADRIA TV,2239,258
109593065224518,Svi za naš grad,Svi za naš grad,2150,41
1437529949875716,Ujedinjena Crna Gora - Zvanična stranica,Ujedinjena Crna Gora - Zvanična stranica,2012,51
103645778920740,Portal Dnevno,Portal Dnevno,1791,475
187219078305941,Tivatska Akcija - Pokret slobodnih građana Tivta,Tivatska akcija,1787,43
291831471242238,Damir Šehović,Damir Šehović,1701,129
196763830337292,MINA,MINA - Montenegro News Agency,1684,12
104046955802394,Prava stvar,Prava stvar,1486,36
106519341307340,Inicijativa Direktne Demokratije-IDD,Borislav Đurišić,1401,112
211681129037635,Portal Analitika,Portal Analitika,1305,101
504480793004623,URA Ulqin,Građanski pokret URA,1304,88
113736756668902,Hercegnovska URA,Građanski pokret URA Herceg Novi,1264,71
1825408311067601,SDP - Srcem za Nikšić - broj 3,Socijaldemokratska partija Crne Gore - SDP,1147,67
252814308920994,Digital Forensic Center - DFC,Digital Forensic Center,1114,79
103582794819949,Aleksa Becic,Aleksa Becic,1100,33
109800213980203,Narod Pobjeđuje - Народ Побјеђује,Tivatska Akcija,1095,50
287223385017971,Cetinjska URA,Građanski pokret URA,994,56
119574804749171,Aktuelno,Aktuelno,991,34
106087401950571,Demokrate Kolašin,Demokrate Kolašin,989,60
277685479250577,Vlada Crne Gore,Vlada Crne Gore,967,64
103757002580383,Sindikat Telekoma CRNE GORE,Sindikat Telekoma CRNE GORE,957,95
755768111288839,SDP Danilovgrad,SDP Danilovgrad,941,33
940571402703042,SDP Tivat,Socijaldemokratska partija Crne Gore - SDP,939,28
527393817354387,SPP - Stranka pravde i pomirenja - Crna Gora,Stranka Pravde i Pomirenja,888,96
103585292124869,Slobodna Crna Gora,Slobodna Crna Gora,853,132
281599525556415,Opštinski odbor DPS Budva,Demokratska partija socijalista Crne Gore,835,22
105204711605926,Evropski tim za Herceg Novi,Evropski tim za Herceg Novi,802,30
101344451991492,Krsto Radović,Krsto Radovic,756,36
1676159402708570,Hrvatska građanska inicijativa,Hrvatska građanska inicijativa,749,58
375962896195109,Organizacija KOD,Organizacija KOD,712,75
1685265705048858,Budvanska URA,Građanski pokret URA,709,35
100347729528097,Pokret Zajedno GRADimo Kolašin,Prava stvar,699,32
2038518382935487,LOŠI Glumci,These ads ran without a disclaimer,697,13
102411038449563,Ne damo Nikšić - Не дамо Никшић,Душан Томић,693,27
120891932822500,ЗА будућност Никшића,ЗА будућност Никшића,674,40
58776108439,Socijaldemokratska partija Crne Gore - SDP,These ads ran without a disclaimer,662,17
833961553372139,SDP Kotor,Socijaldemokratska partija Crne Gore - SDP,657,17
134396116646047,UNDP Gender Programme  Montenegro,Милан Становић,603,26
100319152078921,Miodrag Daka Davidović - Миодраг Дака Давидовић,Milos Vukovic,582,35
101148152401084,Demokrate Bar,Demokrate Bar,581,17
301270335160,SNP - Socijalisticka narodna partija Crne Gore - СНП ЦГ,Slavica Dragović,571,57
167506174012837,Opštinski odbor DPS Ulcinj - PDS Ulqin,Demokratska partija socijalista Crne Gore,569,29
658564344231323,SDP Budva,Socijaldemokratska partija Crne Gore - SDP,567,22
638633769597292,Nik Gjeloshaj,Nik Gjeloshaj,557,8
591019981036783,Forum mladih SDP Crne Gore,Socijaldemokratska partija Crne Gore - SDP,556,19
