Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
102264685970318,TG Warrior,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,UN Environment Programme,≤100,15
130945820519,FIMI,These ads ran without a disclaimer,≤100,2
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,85
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
107458845623550,The Dream Team Tribe,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,5
110801873957389,Pacific Security College,These ads ran without a disclaimer,≤100,7
102874232203527,New Page,These ads ran without a disclaimer,≤100,10
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,12
141576709631498,Pacific Island Times,These ads ran without a disclaimer,≤100,1
7297163299,Greenpeace International,These ads ran without a disclaimer,≤100,3
103733302465216,New Page,These ads ran without a disclaimer,≤100,2
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,3
102328765911090,INFO OPM TPNPB-OPM News,These ads ran without a disclaimer,≤100,2
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,6
119405895873,Huawei,These ads ran without a disclaimer,≤100,15
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,11
105808001847701,Populist Online,These ads ran without a disclaimer,≤100,19
180520171996876,IslamInSpanish,These ads ran without a disclaimer,≤100,2
115591005188475,Global Times,These ads ran without a disclaimer,≤100,6
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
1592184267758930,Round-Table,These ads ran without a disclaimer,≤100,4
101082842736363,The world of reader,These ads ran without a disclaimer,≤100,4
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,8
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
1672062519679965,Arkansas Coalition of Marshallese,These ads ran without a disclaimer,≤100,1
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,5
845620825830146,Deel,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,16
53320617721,Global Rescue,These ads ran without a disclaimer,≤100,1
712936602124528,"Pacific Theological College, Suva, Fiji Islands",These ads ran without a disclaimer,≤100,1
102114825976458,The novels,These ads ran without a disclaimer,≤100,8
1065631633538453,Medics Across Continents,These ads ran without a disclaimer,≤100,12
102235145864172,What's On,These ads ran without a disclaimer,≤100,2
68793499001,UNICEF,These ads ran without a disclaimer,≤100,6
135799599823455,Arboricultural Association,These ads ran without a disclaimer,≤100,5
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,12
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,5
461484337565161,Pacific Island Food Revolution,These ads ran without a disclaimer,≤100,3
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,15
105712015594786,Diego Andrade,These ads ran without a disclaimer,≤100,2
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,3
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100,16
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,12
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,1
