Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
829371753904952,Hristijan Mickoski,ВМРО-ДПМНЕ,40878,317
101519168409673,Dimitar Kovacevski,СДСМ,33022,462
101519168409673,Dimitar Kovacevski,Димитар Ковачевски,26593,249
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,23859,1175
66035312931,Zoran Zaev,Zoran Zaev,21511,427
148427235188637,СДСМ - Социјалдемократски сојуз на Македонија,СДСМ - Социјалдемократски сојуз на Македонија,18410,501
255990845327431,Левица,Левица / E majta / Levica,12837,199
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,11820,592
1488488174642266,ИНТЕГРА - Македонска конзервативна партија,Ljupco Ristovski,8637,130
590981394365638,Maksim Dimitrievski,Maksim Dimitrievski,8447,133
1518824821780388,Петре Шилегов,SDSM,7388,158
90137764259,"ВМРО-ДПМНЕ, ВМРО-ДЕМОКРАТСКА ПАРТИЈА ЗА МАКЕДОНСКО НАЦИОНАЛНО ЕДИНСТВО","ВМРО-ДПМНЕ, ВМРО-ДЕМОКРАТСКА ПАРТИЈА ЗА МАКЕДОНСКО НАЦИОНАЛНО ЕДИНСТВО",6938,80
148427235188637,СДСМ - Социјалдемократски сојуз на Македонија,СДСМ,6544,74
425681837519182,Мицко Кочи,Politikanti,6482,105
165298086927550,Nevzat Bejta,Nevzat Bejta,6325,96
1858965664432348,Кирил Пецаков - Градоначалник на Општина Охрид,ВМРО-ДПМНЕ,6022,61
100954761298205,frontline.mk,frontline.mk,5819,191
103887502021837,Христо Кондовски,Hristo Kondovski,5649,87
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,5408,195
324459714339171,Civil MK,Civil MK,5033,191
192483774872658,Демократи,Демократи,4877,277
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,4752,196
222383513070152,Наташа Котлар/Natasa Kotlar,Natasa Kotlar Trajkova,4741,113
1409545712647232,Александар Стојкоски,ВМРО-ДПМНЕ,4719,57
101754962766151,Рацин.мк,Рацин.мк,4667,157
164829683652900,Faktor.mk,Faktor.mk,4508,1738
563620440357466,НВО Инфоцентар,NVO Infocentar,4416,151
251107349152220,Горан Герасимовски,SDSM,4158,49
971176269757392,Дома,Институт за комуникациски студии ИКС / Institute of Communication Studies,4144,161
216014178764093,Timco Mucunski,Timco Mucunski,4066,80
149032011830930,Centar.mk,Centar.mk,3796,124
101694005032101,Bojan Maricik,Bojan Maricik,3600,115
335085593528267,Sloboden Pecat,Sloboden Pecat,3552,339
211084826136102,Јанко Бачев,Единствена Македонија,3495,395
103786094706664,Danela Arsovska,Danela Arsovska,3443,104
251107349152220,Горан Герасимовски,Goran Gerasimovski,3439,163
109598224771699,Тони Михајловски - Toni Mihajlovski,ВМРО-ДПМНЕ,3387,55
111589528018591,Parliament Support Programme,Parliament Support Programme,3386,109
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,3292,183
1786008074782827,Иван Јорданов,ВМРО-ДПМНЕ,3184,33
170683322770,Вести од Македонија,Politikanti,3116,32
102916392109438,Бобан Стефковски,ВМРО-ДПМНЕ,3050,50
419609265119764,Bilall Kasami,Levizja Besa,3029,67
109128340919755,Oliver Ilievski,Oliver Ilievski,2867,86
1503076853320130,Единствена Македонија,Единствена Македонија,2771,419
2032835176940533,Митко Јанчев,Mitko Jancev,2599,74
1869546636630956,Arben Taravari,Aleanca për Shqiptarët - Gostivar,2563,177
100444041691285,LSDM - Lidhja Socialdemokrate e Maqedonisë,СДСМ - Социјалдемократски сојуз на Македонија,2376,64
388685351225572,Д-р Оливер Зафировски,Nikola Kostovski,2336,23
114862669188674,Борис Георгиевски,Борис Георгиевски,2277,205
248531312516444,30-ти Октомври - Дојде крајот на Заев,Vmrodokraj,2275,6
461034264336817,24инфо.мк,24инфо.мк,2189,82
109841667990158,Човекот Пред Сè,Trifun Kostovski,2171,215
1491017491183933,Lëvizja BESA,Levizja Besa,2153,7
1849034522091874,Visar Ganiu,Sunaj Ramadani,2139,97
102323842222612,Слушни ме / Më dëgjo,Oliver Noveski,2130,35
109209584838708,Тони Коњановски,Тони Коњановски,2031,53
445469652211682,Bujar Osmani,Bujar Osmani,2027,38
103887502021837,Христо Кондовски,СДСМ - Социјалдемократски сојуз на Македонија,1926,51
102860779377395,Само кажувам,Само кажувам,1911,178
100426759027404,Андон Сарамандов - Градоначалник на Општина Гевгелија,ВМРО-ДПМНЕ,1911,41
191683947531941,medium.edu.mk,Институт за комуникациски студии,1887,122
234909453693976,Душко Весковски / Dusko Veskovski,Душко Весковски,1885,80
109128340919755,Oliver Ilievski,СДСМ - Социјалдемократски сојуз на Македонија,1838,55
101245041522588,Blerim Bexheti,Blerim Bexheti,1800,21
489378444428334,Brif.mk,Brif.mk,1792,61
108985250856552,Shtatë 7,Aleanca për Shqiptarët,1750,40
170683322770,Вести од Македонија,Politikanti,1685,60
326491021289841,Константин Георгиески - Градоначалник на Општина Охрид,СДСМ - Социјалдемократски сојуз на Македонија,1591,31
101519168409673,Dimitar Kovacevski,Dimitar Kovachevski SDSM,1511,24
152995591517845,Novatv Web,Novatv Web,1504,52
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,1490,17
829371753904952,Hristijan Mickoski,Hristijan Mickoski,1439,44
718010678363674,Seir,Politikanti,1403,84
234909453693976,Душко Весковски / Dusko Veskovski,СДСМ - Социјалдемократски сојуз на Македонија,1388,32
102825078811763,Vullnet Murseli,Vullnet Murseli,1318,52
1019481421413854,OO СДСМ Тетово,SDSM Tetovo,1295,24
287369438092961,Бојан Стојаноски,Бојан Стојаноски,1285,46
402368150328045,Иван Медо Живковски,Ivan Zivkovski,1283,126
274676873445175,AVAJA,AVAJA,1228,22
44069776956,Brane Petrushevski,Brane Petrusevski,1216,127
