Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
193773314132490,Ballinu Montana,an advertiser in Mali,16169,354
110569738072660,Seydou Mamadou Coulibaly,an advertiser in Mali,1717,174
158714780827513,UNFPA,an advertiser in Mali,1572,286
352064145237498,Pikos 18,an advertiser in Mali,1243,64
105677932242653,Lecteurs du Mali,an advertiser in Mali,1113,21
350915745557510,Ibrahima Diawara - officiel,These ads ran without a disclaimer,906,11
425748017543855,Abdrahamane DIARRA,These ads ran without a disclaimer,569,40
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,521,86
110569738072660,Seydou Mamadou Coulibaly,These ads ran without a disclaimer,479,20
166897033978378,Horon-Tv,an advertiser in Mali,466,27
101748934990431,Mohammed Alamine Y. H. DICKO,an advertiser in Mali,455,49
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,399,446
540364216018969,Comité international de la Croix-Rouge,These ads ran without a disclaimer,364,12
133265751515940,Malikuratv,an advertiser in Mali,338,19
341861649593066,NIANG TV,an advertiser in Mali,295,3
114086561590856,Case Same,These ads ran without a disclaimer,276,46
193773314132490,Ballinu Montana,These ads ran without a disclaimer,254,34
105620778884714,MSE,an advertiser in Mali,240,6
355892694921079,Electe,These ads ran without a disclaimer,236,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,229,26
155174084508744,Banque mondiale,These ads ran without a disclaimer,226,142
157965634225679,Nations Unies,These ads ran without a disclaimer,224,2
101132998667678,Hawa Abou Moussa Diallo,These ads ran without a disclaimer,211,5
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,208,16
112962192683417,Tieman Hubert Coulibaly,These ads ran without a disclaimer,208,5
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,197,14
821430017924241,Sungrow,These ads ran without a disclaimer,196,8
101748934990431,Mohammed Alamine Y. H. DICKO,an advertiser in Mali,192,14
124252504303223,UNICEF (FR),an advertiser in Mali,183,3
1640495506043855,Mooti Kibaruw,an advertiser in Mali,180,40
485094638639987,Serge-williams Akassaga Okinda,These ads ran without a disclaimer,174,5
491852851005574,MALI KANU,an advertiser in Mali,171,3
105972509425490,KADIST,These ads ran without a disclaimer,157,7
310748626276060,RFI Fulfulde,These ads ran without a disclaimer,149,10
109513811307057,Daouda Moussa Koné,These ads ran without a disclaimer,145,5
109778851283489,TM1 TV,These ads ran without a disclaimer,133,6
101211555291859,Phoenix Browser-give you more,These ads ran without a disclaimer,133,9
108966951479705,Mouvement républicain,an advertiser in Mali,125,6
550280998481446,Rasha Kelej,These ads ran without a disclaimer,124,16
101909379004776,News365,These ads ran without a disclaimer,119,2
124252504303223,UNICEF (FR),These ads ran without a disclaimer,118,38
104027915408507,ONU Climat,These ads ran without a disclaimer,115,5
178272723006762,Benbere,These ads ran without a disclaimer,111,19
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,108,10
231688632150213,NK MALI,These ads ran without a disclaimer,106,10
103872107722639,Habib Dackouo Officiel,an advertiser in Mali,104,13
113615355316959,WIRED UK,These ads ran without a disclaimer,101,34
108343341358179,Benkan,These ads ran without a disclaimer,≤100,1
1852759594744240,Échosmédias Mali,These ads ran without a disclaimer,≤100,1
112414790547436,Tourela,an advertiser in Mali,≤100,1
515964121935390,Cheick Oumar Diallo - COD,an advertiser in Mali,≤100,9
308211949550826,Phoenix browser,These ads ran without a disclaimer,≤100,7
104149609040078,Bamako City Tour,These ads ran without a disclaimer,≤100,2
193394557345243,Devex,These ads ran without a disclaimer,≤100,52
105337180809608,Mali-Online,These ads ran without a disclaimer,≤100,17
1195040773841878,MALI Action,an advertiser in Mali,≤100,2
113616883716936,Ondes sur Seine,These ads ran without a disclaimer,≤100,3
103872107722639,Habib Dackouo Officiel,an advertiser in Mali,≤100,9
2120039591371175,Wondershare FamiSafe,These ads ran without a disclaimer,≤100,2
124252504303223,UNICEF (FR),an advertiser in Mali,≤100,59
92572781406,"Gavi, the Vaccine Alliance",These ads ran without a disclaimer,≤100,2
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,85
226762024194595,Journaldumali.com - Officiel,These ads ran without a disclaimer,≤100,1
101055885408177,ACTE SEPT Officiel,These ads ran without a disclaimer,≤100,3
649071065505213,Ibrahim Ouédraogo - Formateur minier certifié,These ads ran without a disclaimer,≤100,4
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,148
104931748574805,Seydou M. Coulibaly,These ads ran without a disclaimer,≤100,1
117653528310634,MOUNTAGA TALL,These ads ran without a disclaimer,≤100,2
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,21
1136786203149819,Maliens Tout Court,These ads ran without a disclaimer,≤100,4
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100,14
106582681816606,Zoom Mali,These ads ran without a disclaimer,≤100,3
248311615649799,Moussa Djiré,These ads ran without a disclaimer,≤100,2
900825973382273,Arcare Concept Le Blog,These ads ran without a disclaimer,≤100,1
