Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
465746703486496,Энхбаярын Батшугар,Энхбаярын Батшугар,66464,228
104753917685808,Ард түмний ялалт,Ард түмний ялалт,42823,86
1715979395313134,ХҮН нам,ХҮН нам,38616,144
454746178067182,Purevdorj Bukhchuluun,Purevdorj Bukhchuluun,37599,431
481205495238986,Лу.Гантөмөр,Лу.Гантөмөр,33785,190
120920014698353,Монгол Ардын Нам,Монгол Ардын Нам,31157,256
111922797656729,Чинбатын НОМИН,Чинбатын НОМИН,29239,362
109246524201858,Загджавын Мэндсайхан,Загджавын Мэндсайхан,25447,207
109218978749218,Сүрэнжавын Лүндэг,Сүрэнжавын Лүндэг,24406,281
319426791557018,Бямбацогт Сандаг,Бямбацогт Сандаг,23648,196
284732468534359,MUNKHBAATAR Lkhagva,MUNKHBAATAR Lkhagva,19634,231
357494447651853,Oyunerdene Luvsannamsrai,Oyunerdene Luvsannamsrai,18911,136
100285895550731,Мэдээллийн Ажилтан,Мэдээллийн Ажилтан,17879,94
1753671498266104,Өмгөөлөгч Л.Батжав,Өмгөөлөгч Л.Батжав,16610,389
171521449877169,Жамбалын Ганбаатар,Ganbaatar Jambal,16250,336
1410356295957592,Бид Ардчиллынхан,Бид Ардчиллынхан,16198,44
251902155179325,Борхүүгийн Дэлгэрсайхан,Борхүүгийн Дэлгэрсайхан,15133,46
210175192404846,Ардчилсан нам,Ардчилсан нам,15088,121
413370328866540,Пүрэвдоржийн ГАЛИНДЭВ,Пүрэвдоржийн ГАЛИНДЭВ,15040,102
354472594637014,Энх-Амгалан Лувсанцэрэн,Энх-Амгалан Лувсанцэрэн,14340,116
1715979395313134,ХҮН нам,Хөдөлмөрийн Үндэсний Нам - ХҮН,14156,264
590135414459484,Temuulen Ganzorig,Temuulen Ganzorig,14019,139
704699303004015,Чадраабалын Өнөрбаяр,Чадраабалын Өнөрбаяр,13773,106
104402039152787,Uyanga Tsoggerel,Uyanga Tsoggerel,13717,81
248989142106053,Буяагийн ТУЛГА,Буяагийн ТУЛГА,13213,170
106105594308059,Гонгорын Дамдинням,Гонгорын Дамдинням,12691,215
692360910902075,Гомбын ГАНБААТАР,Гомбын ГАНБААТАР,12646,124
603456953061992,DiffMongolia,DiffMongolia,12645,24
1712269079064850,zarig.mn,Ган үзэгтэн ХХК,12199,111
303219586782332,Ламжавын Гүндалай,Ламжавын Гүндалай,11921,84
844579789004530,Хассуурийн Ганхуяг,Хассуурийн Ганхуяг,11445,263
405537303121670,Бат-Эрдэнэ Жадамба,Бат-Эрдэнэ Жадамба,11430,51
1972287473001467,Нада,Нада,11385,42
466337290178079,Бат-Өлзийн Бат-Эрдэнэ,Бат-Өлзийн Бат-Эрдэнэ,11146,138
1486821808275599,Тогмидын Доржханд,Тогмидын Доржханд,11001,45
