Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
108292708888062,محمد غالي ولد اشريف أحمد,Ahmed Med Cheikh,758,12
120349248031868,لحبيب ماء العينين التومي  Lehbib Melainine Tomy,Lehbib Melainine Tomy,439,16
271202350087390,النائب البرلماني : محمد بوي ولد الشيخ محمد فاضل - خيار الحق,النائب البرلماني : محمد بوي ولد الشيخ محمد فاضل - خيار الحق,312,5
102041322886335,مولاي أشرف حمود الشيخ Moulaye Achraf Hamoud Cheikh,Bah Abdellahi,196,15
113988695291857,وكالة الأخبار المستقلة,أحمدو محمد المصطفى,182,12
130555146995650,الخليل النحوي,الخليل النحوي,155,25
112996045035943,حملة مرشح الشباب: محمد ولد يحيى,اطول عمر المصطف,120,1
100456972130365,Mauri-design,Mauri-design,113,7
108292708888062,محمد غالي ولد اشريف أحمد,These ads ran without a disclaimer,111,1
158183830897328,Bellewarmedia - بلوار ميديا,Bellewarmedia - بلوار ميديا,106,14
106758591720574,النائب سيد محمد ولد السيدي,اطول عمر المصطف,105,3
100293659725893,مرشح الشباب د. محمد عبد الجليل الشيخ القاضي,Mohamed Ouwah Edje,≤100,22
110631788681313,تواصل/ الحملة الإنتخابية 2023 - معا نصنع التغيير,Abdallahi Saleck Mohamed Alem,≤100,10
809949419176660,صفحة المرشح عبد الله ولد امام,صفحة المرشح عبد الله ولد امام,≤100,5
112841998457564,Ahmed Salem El Ghabed - أحمد سالم الغابد,محمد الأمين محمد,≤100,10
101523669605768,Sid’Ahmed Bolle Cheibany - سيد أحمد بلّه الشيباني,Abdellahi Ahmed El Mostapha,≤100,5
158714780827513,UNFPA,UNFPA,≤100,73
114012888341133,"حملة اللائحة الوطنية المختلطة ل""تواصل""",Abdallahi Saleck Mohamed Alem,≤100,4
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
103424842746114,محمد انداري ولد عمار,محمد سالم جدو,≤100,9
111785821882316,أمل نواكشوط Espoir Nouakchott,اطول عمر المصطف,≤100,1
104963455926864,حملة النائب منى منت الدي-اللائحة الوطنية للنساء,Abdallahi Saleck Mohamed Alem,≤100,5
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,2
112897981710928,اللجنة الوطنية المستقلة للانتخابات,These ads ran without a disclaimer,≤100,9
113849321690856,لجنة التعبئة و التحسيس المركزية,Ishagh Ahmed Bamba,≤100,1
103191459356399,منصة الأسبوع,These ads ran without a disclaimer,≤100,4
119945934400585,منتاته منت حديد,These ads ran without a disclaimer,≤100,5
220889658511608,FRUD,FRUD,≤100,2
330841846933183,حزب التجمع الوطني للإصلاح والتنمية - تواصل,Mohamed Soueidi,≤100,18
101209586108776,حزب نداء الوطن,حزب نداء الوطن,≤100,6
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,27
108295262180553,Tekil TV,Yacoub Taleb,≤100,7
103019664707206,الصفحة الرسمية لمرشح اللائحة الوطنية للشباب أعمر ولد أعمر,These ads ran without a disclaimer,≤100,1
118809651194004,حملة حزب الإنصاف في الشامي,Abdallahi Saleck Mohamed Alem,≤100,7
116420348100139,السعد ولد أفلواط,NEJAHPROJECT,≤100,2
112362735177936,محمد عبد الله الشيخان,NEJAHPROJECT,≤100,1
