Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
159249234115841,Partit Nazzjonalista,Partit Nazzjonalista,189079,793
162461360451180,Partit Laburista,Partit Laburista,89968,406
735396419870282,MaltaGov,MaltaGov,84924,447
1343072129119715,Robert Abela,Partit Laburista,84720,350
178362315106,European Parliament,European Parliament,71218,4066
208847592959887,Bernard Grech,Partit Nazzjonalista,64418,237
208847592959887,Bernard Grech,Bernard Grech,60307,413
107898832590939,European Commission,European Commission,44153,839
103987224566212,Malta Daily,Malta Daily,40003,1384
193035580892638,David Casa,David Casa,30854,391
578649719470540,Ray Abela,Raymond Abela,22464,640
180083672068356,SEM - Servizzi Ewropej f'Malta,servizziewropejfmalta,21877,271
113370210852276,theJournal.mt,theJournal.mt,21440,254
100164765041410,finanzi,Ministry for Finance and Employment,18964,124
278117815576023,EU Justice and Consumers,EC Meetings,16534,60
1456808057941797,Clyde Caruana,Clyde Caruana,15787,233
113095853899600,Medik Store Malta,Medik Malta,15484,64
1442808799090985,Adrian Delia,Partit Nazzjonalista,14257,309
108258428190396,Edward Cassar Delia,Edward Cassar Delia,13311,772
162461360451180,Partit Laburista,These ads ran without a disclaimer,12580,18
212468218793878,Cyrus Engerer,Cyrus Engerer,12518,282
103659487699382,Malta Sustainability Forum,APS Bank,11458,115
480288348662981,The Malta Independent,Malta Independent,10048,1957
1399942566977195,Roderick Galdes,Roderick Galdes,9559,152
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,European Parliament Office in Malta,9273,110
506829903185337,Doctors for Choice Malta,Doctors for Choice,9212,57
87072433962,Aaron Farrugia,Aaron Farrugia,9150,167
958347047640309,Clifton Grima,Clifton Grima,8940,286
215890091811957,Chris Fearne,Chris Fearne,8798,72
151496594943131,Ian Borg,Ian Borg,8346,95
1343072129119715,Robert Abela,Robert Abela,7956,139
406824526101449,Roberta Metsola,Roberta Metsola,7809,307
119400288227788,Clyde Puli,Clyde Micheal Puli,7773,212
241512229256662,Rosianne Cutajar,Rosianne Cutajar,7727,105
537789116260209,Alfred Sant,Alfred Sant,7520,146
105290491207206,Akkomodazzjoni,Akkomodazzjoni,7491,5
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,7221,78
407332443157920,Tech.mt,Tech.mt,7046,80
1442808799090985,Adrian Delia,Adrian  Delia,6833,218
192244897614042,José Herrera,Jose Herrera,6691,176
1700937210129433,Lovin Malta,Lovin Malta,6302,77
1423096917943323,The Alfred Mizzi Foundation,The Alfred Mizzi Foundation,5986,27
129664277182026,Eurosport Malta,Eurosport Malta,5959,127
1475539739391691,Edukazzjoni,Edukazzjoni,5916,91
244295572094375,Thomas Bajada,Thomas Bajada,5779,200
