Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
100961755883465,Bright Msaka,Upile Jasiya Mkulumba,163,25
550280998481446,Rasha Kelej,These ads ran without a disclaimer,154,4
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,247
103531065089688,MVAMA CCAP Nkhoma SYNOD,These ads ran without a disclaimer,≤100,7
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,7
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,16
110532472000565,Sulom-Super League of Malawi,These ads ran without a disclaimer,≤100,1
164337003761709,UNICAF,These ads ran without a disclaimer,≤100,4
102021619002837,Anti-Corruption Bureau Malawi.,Anti-Corruption Bureau Malawi.,≤100,2
158714780827513,UNFPA,UNFPA,≤100,57
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,7
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,5
100961755883465,Bright Msaka,Bright Msaka,≤100,6
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,81
103412608877553,Nancy Fortune Music,Nancy Fortune Dent,≤100,2
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
431144113666450,Dr Lazarus Chakwera,These ads ran without a disclaimer,≤100,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
109035425225894,Malawi Irish Consortium on Gender Based Violence,These ads ran without a disclaimer,≤100,2
1414365378859591,Old Mutual Malawi,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,78
112705551641980,Upile Mkulumba,Upile Mkulumba,≤100,6
208685479508187,U-Report,These ads ran without a disclaimer,≤100,11
191465404397412,Hallmark Limited,Hallmark Limited,≤100,1
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
482398512152216,FUSO Trucks Southern Africa,These ads ran without a disclaimer,≤100,2
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,5
1561198654153974,European Union in Malawi,These ads ran without a disclaimer,≤100,5
106434742184385,Presidential Charity Golf Malawi,These ads ran without a disclaimer,≤100,1
107805167573167,CAWEO Cameras - Change Agent With Eye Opener,These ads ran without a disclaimer,≤100,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,8
102963759458677,KGB Holdings,These ads ran without a disclaimer,≤100,1
109881761575484,Hon Jacob Hara MP. Minister of Transport and Public Works,These ads ran without a disclaimer,≤100,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
