Page ID,Page name,Disclaimer,Amount spent (NIO),Number of ads in Library
110506498976027,Tigo Nicaragua,These ads ran without a disclaimer,106615,27
101995169082388,Embajada de China en Nicaragua,Lino Alvarado,83466,26
105907457899691,Cuenta Oficial del Partido PLC,Noralba González Palacios,55692,38
856012741442139,Ipas LAC,Neuma,53119,31
179056029415241,Posgrados y Maestrías Keiser University,These ads ran without a disclaimer,34654,2
101995169082388,Embajada de China en Nicaragua,Embajada de China en Nicaragua,25551,9
94005676787,Hitachi Vantara,These ads ran without a disclaimer,18415,1
643513979193133,Justicia para Beatriz,Neuma,17736,55
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,15682,17
953657811446042,Conciencia Nacional por la Libertad Religiosa,These ads ran without a disclaimer,9495,3
43880852708,Amnistía Internacional Américas,These ads ran without a disclaimer,9424,2
573262636121978,Onda Local,These ads ran without a disclaimer,9391,1
200311319986305,JASS Mesoamérica,These ads ran without a disclaimer,7989,1
167878593236712,UNICEF en español,These ads ran without a disclaimer,6907,4
658136670883494,Tecnológico Nacional,Instituto Nacional Tecnológico - INATEC,5260,7
147751821930575,Salud Digital Fundación Carlos Slim,These ads ran without a disclaimer,5234,3
227622537655549,CGTN en Español,These ads ran without a disclaimer,4957,12
379836622078991,Delegación de la Unión Europea-Nicaragua,Delegación de la Unión Europea en Nicaragua,4420,2
105260558775032,Fuera de Línea,These ads ran without a disclaimer,3878,9
342543309244937,People in Need América Latina,These ads ran without a disclaimer,3844,9
73006545785,Embajada de Estados Unidos Managua,These ads ran without a disclaimer,3499,2
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,3034,134
102782234082,Auditool,These ads ran without a disclaimer,2884,1
1759173050967262,San Juan del Sur,German Sandino Perez,2369,3
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,2349,4
94199711897,Hábitat para la Humanidad,These ads ran without a disclaimer,2343,14
108446567648192,CI Nicaragua,Instituto Nacional Tecnológico - INATEC,2325,6
152914224736727,Banco Mundial,These ads ran without a disclaimer,2138,182
112039897818438,Ciruelax Centroamérica,These ads ran without a disclaimer,2122,2
130369030334301,KidsRights,These ads ran without a disclaimer,2040,9
299659713702144,PepsiCo Caricam,These ads ran without a disclaimer,2009,11
131602424169035,Oxfam en Español,These ads ran without a disclaimer,1824,24
28312410177,World Food Programme,These ads ran without a disclaimer,1769,8
108991308230301,Central UNE - FNT,Santiago Vargas,1766,3
100750359032478,STIHL Nicaragua / McGregor,Carolina Nohemy Gutierrez Alvarado,1622,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1572,3
199183900150149,Platzi,These ads ran without a disclaimer,1479,5
105920425512156,SELÁ Nicaragua,These ads ran without a disclaimer,1473,1
108878695406205,Conversa,These ads ran without a disclaimer,1453,1
170074013133465,AMPM Nicaragua,These ads ran without a disclaimer,1305,1
101431026180857,Entretenimiento,These ads ran without a disclaimer,1304,9
903577146395715,Toronto Centre,These ads ran without a disclaimer,1238,4
297786364083413,Clínicas Salud Para El Mundo: Nicaragua,These ads ran without a disclaimer,1230,3
82928774489,Panda Security,These ads ran without a disclaimer,1209,16
102454815608298,Comercial el Mayoreo Nicaragua,These ads ran without a disclaimer,1209,5
1728261037388281,Carvajal Empaques Centroamérica,These ads ran without a disclaimer,1172,11
338109312883186,China Xinhua News,These ads ran without a disclaimer,1143,54
108350037422144,Hora de Hablar,These ads ran without a disclaimer,1094,8
881090331961841,Nazil,These ads ran without a disclaimer,1053,1
201916210615064,APLI Managua,These ads ran without a disclaimer,1031,4
