Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
20468812735,LO,LO,6418072,6873
135843375926,UNICEF Norge,UNICEF Norge,6089656,1634
234659001772,Arbeiderpartiet,Arbeiderpartiet,5427948,5280
14095969045,Fremskrittspartiet,Fremskrittspartiet,3994034,250
111345183340,Fagforbundet,Fagforbundet,3357985,263
6458652543,WWF Verdens naturfond,WWF Verdens naturfond,2468710,146
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,2294071,1084
10953652930,Høyre,Høyre,2008487,566
218696598731100,Equinor,Equinor,1547563,316
168617466535255,Valg i Norge,Valgdirektoratet,1411691,27
140883578419,Flyktninghjelpen,Flyktninghjelpen,1255929,168
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,1242765,1378
141589002521022,Oslo Høyre,Oslo Høyre,1216340,256
329095637110085,FRANTZ AS,Frantz as,1159104,1240
173437119340296,Akershus Arbeiderparti,Akershus Arbeiderparti,1139264,127
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,969338,143
371106536283235,DAG OG TID,Dag og Tid AS,962807,284
132368899297,Framtiden i våre hender,Framtiden i våre hender,948532,565
330180637040073,Den norske kirke,Den norske kirke,933289,85
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,824436,212
10254410675,Venstre,Venstre,816018,276
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,800029,608
33483001033,SV - Sosialistisk Venstreparti,SV - Sosialistisk Venstreparti,786630,272
10118416372,KrF Kristelig Folkeparti,KrF Kristelig Folkeparti,761860,58
11526489541,Senterpartiet,Senterpartiet,760457,66
144754334087,Trøndelag Arbeiderparti,Trøndelag Arbeiderparti,738809,299
6458652543,WWF Verdens naturfond,Stiftelse WWF Verdens naturfond,635241,55
58473863651,Amnesty International Norway,Amnesty International Norge,615818,135
128566103830426,Civita,Civita AS,593830,386
126448980866214,Klassekampen,Klassekampen AS,591192,204
277788629092,Med Israel for fred (MIFF),Med Israel for fred (MIFF),574411,115
19918483662,AUF,AUF,565182,199
305434298719,Norges Bondelag,Norges Bondelag,552674,74
116972608335219,Naturvernforbundet,Naturvernforbundet,531143,333
178151959629,Europabevegelsen,Europabevegelsen i Norge,529901,86
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,508643,309
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,488063,162
187207185000,Kirkens Bymisjon,Kirkens Bymisjon,467457,28
132368899297,Framtiden i våre hender,Framtiden i våre hender,449198,1011
728518604216173,HELT MED,Stiftelsen HELT MED,440461,99
258879260626,NAF,NAF,439660,46
203067569732001,Fellesforbundet,Fellesforbundet,439417,57
105930205897785,Aksjon for Norsk Eierskap,Aksjon for Norsk Eierskap,375295,37
124770374240753,Oslo FrP,Oslo FrP,359427,97
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,345244,34
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,342425,143
752436708102132,Liberalistene,Liberalistene,339208,151
267093316643456,Oslo Venstre,Oslo Venstre,334747,290
100970626156019,Kent Ranum - Ordførerkandidat Høyre,Kent Ranum - Ordførerkandidat Høyre,286730,46
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,274020,345
1409102172682643,Fagforbundet Vestland,Fagforbundet Vestland,268884,49
171540532874418,Arbeiderpartiet i Bergen,Arbeiderpartiet i Bergen,253266,129
126448980866214,Klassekampen,Klassekampen,244494,56
171408368520,Norad,Norad,242749,64
181166805252368,Fortum,Fortum,234033,100
157978627560195,Innlandet Arbeiderparti,Innlandet Arbeiderparti,232567,344
