Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
287683225711,UN Environment Programme,UN Environment Programme,≤100,15
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,94
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,12
130945820519,FIMI,These ads ran without a disclaimer,≤100,2
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,65
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,6
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
101082842736363,The world of reader,These ads ran without a disclaimer,≤100,4
110801873957389,Pacific Security College,These ads ran without a disclaimer,≤100,7
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,60
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,5
7297163299,Greenpeace International,These ads ran without a disclaimer,≤100,3
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,14
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,12
116114768127226,Idle Survivor Fortress Tycoon,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,49
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,6
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
108988888625598,E-Com System,These ads ran without a disclaimer,≤100,1
102874232203527,New Page,These ads ran without a disclaimer,≤100,10
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,2
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,7
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,8
