Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
102264992704261,وزارة الداخلية - سلطنة عُمان,Ministry of Interior,3726,4
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,1184,7
107059402006213,Ministry of Housing & Urban Planning,These ads ran without a disclaimer,848,1
102614571880993,Public Investment Fund,These ads ran without a disclaimer,613,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,406,3
106725868296068,Clever-Inv,These ads ran without a disclaimer,369,4
100935859469745,Siham Al Harthi Campaign,These ads ran without a disclaimer,222,1
112390002110826,Muscat Eye Laser Center,These ads ran without a disclaimer,210,1
105134625511075,sayyed.faisal1,These ads ran without a disclaimer,200,4
2265435786831695,وزارة الثقافة Ministry of Culture,These ads ran without a disclaimer,193,1
346076285996512,Orion Training Institute,These ads ran without a disclaimer,122,2
100489991542212,OQ,These ads ran without a disclaimer,120,1
109838145059635,almurqaab,These ads ran without a disclaimer,110,2
104356656288007,International Hunting and Equestrian Exhibition - Abu Dhabi,These ads ran without a disclaimer,≤100,2
267387670017944,City University Ajman,These ads ran without a disclaimer,≤100,1
119321591057474,Omran Carnivals,These ads ran without a disclaimer,≤100,1
104163205834325,Green Oman,These ads ran without a disclaimer,≤100,1
247976565238053,Hand in Hand for Aid and Development,These ads ran without a disclaimer,≤100,1
102405578025229,Taiwan in Oman 駐阿曼代表處,These ads ran without a disclaimer,≤100,3
107365875384216,Oman Week Winners’s,These ads ran without a disclaimer,≤100,1
1959645237635904,Electru store,These ads ran without a disclaimer,≤100,5
110438831844541,Biruni Medical Center,These ads ran without a disclaimer,≤100,1
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100,3
289707038178313,ABA Oman International School,These ads ran without a disclaimer,≤100,1
389831551149929,Connetics USA - Nursing,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,17
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,≤100,2
105562682486679,fatemambark,These ads ran without a disclaimer,≤100,7
102945889772393,صحيفة الاتحاد - aletihad,These ads ran without a disclaimer,≤100,1
228097472888,International Open University - IOU,These ads ran without a disclaimer,≤100,2
582894035243561,Enjoy Saudi  عيشها,These ads ran without a disclaimer,≤100,1
102247439319106,Oman king Lovers,These ads ran without a disclaimer,≤100,1
100180230174085,Red Hat,These ads ran without a disclaimer,≤100,1
339528472818156,Sohar International,These ads ran without a disclaimer,≤100,1
109651847558666,Almnii Consulting Management and Training,These ads ran without a disclaimer,≤100,2
103983538032433,marcus333art,These ads ran without a disclaimer,≤100,1
100343302552118,zittokabwe,These ads ran without a disclaimer,≤100,1
105324778563581,psych.dlal.autism,These ads ran without a disclaimer,≤100,4
105640435094754,الصفا لسقيا الماء,These ads ran without a disclaimer,≤100,2
641539016006215,Tri-World Developers,These ads ran without a disclaimer,≤100,2
107470622086977,الشيخة مريم بنت محمد بن راشد آل مكتوم,These ads ran without a disclaimer,≤100,1
100452416295441,SK 4,These ads ran without a disclaimer,≤100,1
2273898216161729,Today's gift,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
158417644209993,Gulfood,These ads ran without a disclaimer,≤100,5
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,5
325069818308631,Ahmed Salim,These ads ran without a disclaimer,≤100,1
311045425676624,صحيفة الرؤية,These ads ran without a disclaimer,≤100,2
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,3
102562122664488,Oman lifestyle 1#,These ads ran without a disclaimer,≤100,1
550280998481446,Rasha Kelej,These ads ran without a disclaimer,≤100,4
107992628677356,Oman National day,These ads ran without a disclaimer,≤100,1
106016765657131,Gama Abacus International,These ads ran without a disclaimer,≤100,1
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
104944068207070,دەسرازە/ مكبس كباب وشوايات وسياخ,These ads ran without a disclaimer,≤100,1
111385908252302,Estisharati,These ads ran without a disclaimer,≤100,1
105288085756376,سيف السعيدي,These ads ran without a disclaimer,≤100,1
124520687572343,FRiENDi mobile Oman,These ads ran without a disclaimer,≤100,1
19549406249,Tata Consultancy Services,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,69
103324189162611,fy_shopper,These ads ran without a disclaimer,≤100,3
1798578616828336,"Indus Development Foundation, Canada",These ads ran without a disclaimer,≤100,10
137626756404216,The Omani's Centre for Human Rights - المركز العماني لحقوق الإنسان,These ads ran without a disclaimer,≤100,1
100521461914031,Deem Holidays,These ads ran without a disclaimer,≤100,1
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,6
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,7
101313852689002,أوكرانيا.ua,These ads ran without a disclaimer,≤100,3
105965615571810,Subscription hub,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,50
451256781884275,Klondike Adventures,These ads ran without a disclaimer,≤100,2
68793499001,UNICEF,These ads ran without a disclaimer,≤100,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,16
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,12
103642782501866,News Today 6,These ads ran without a disclaimer,≤100,2
142288373333,HIMSS,These ads ran without a disclaimer,≤100,2
105804335637106,Al Madina Darbar,These ads ran without a disclaimer,≤100,1
10250877124,Arab News,These ads ran without a disclaimer,≤100,2
244108199019564,الأسواق العربية - Al Arabiya Business,These ads ran without a disclaimer,≤100,3
100889322590952,عطر الكلام,These ads ran without a disclaimer,≤100,2
102202384790269,DiFluid,These ads ran without a disclaimer,≤100,4
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,4
102102692798712,Imran Mirza,These ads ran without a disclaimer,≤100,1
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,≤100,1
101785965750406,සෞදි අපි - Saudi Api,These ads ran without a disclaimer,≤100,3
107090382200300,turfqatar,These ads ran without a disclaimer,≤100,1
104023691744363,alqabailhall,These ads ran without a disclaimer,≤100,1
103484892284189,පාරම්පරික ගුරුකම්,These ads ran without a disclaimer,≤100,2
