Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
48622973199,Kiko Pangilinan,Kiko Pangilinan,17970025,684
824886400914694,Ping Lacson,Ping Lacson Unity Movement,16816119,109
102391375551935,Isko Moreno - Our Philippine President,Isko Moreno Our Philippine President,13323444,133
386570178125149,Senator Win Gatchalian,Senator Win Gatchalian,12687113,936
1223547887661100,Dapat Si Leni,Supporters of Leni Robredo,12090333,10
107677411516687,GIBO Teodoro PH,Gibo Teodoro Supporters,11959307,1174
283945495056459,VP Leni Robredo,Leni Robredo,10998491,6
1453221048306604,Friends of Vice President Leni Robredo,Friends of Leni Robredo,10916096,819
100131195401623,Smoke-Free Conversations PH,smokefreeconversations.ph,9292034,213
735520873284594,Atty. Chel Diokno,Chel Diokno,9267253,68
108457488228735,Ping Lacson Army,GPMPI,6722781,23
1532802903692196,Team Leni Robredo,Team Leni Robredo,6634099,412
283945495056459,VP Leni Robredo,Dapat Si Leni,6596629,256
1161133400599621,IKOT.PH,IKOT.PH,6504537,266
51582615609,Chiz Escudero,Chiz Escudero,6233671,625
430929753772022,Women for Leni,Supporters of Leni Robredo,6230698,13
68793499001,UNICEF,UNICEF with Facebook Ad Credits,6074797,334
1499852983661200,We Support Vice President Leni Robredo,Supporters of Leni Robredo,6027811,6
1223547887661100,Dapat Si Leni,Dapat si Leni,5392684,842
107593128538279,We Love Isko,We Love Isko,5345019,123
283945495056459,VP Leni Robredo,Supporters of Leni Robredo,5275077,1048
133061833376470,Mark Villar,Nacionalista Party,5192429,139
100106265473639,Partido Reporma,OrangeStratComms,5125486,32
128801740656,Senator Risa Hontiveros,Senator Risa Hontiveros,5004314,575
250543680824,Bagong Henerasyon Partylist,Bagong Henerasyon Partylist,4498460,335
776247309143424,I am With Leni,Dapat si Leni,4375081,284
103746791919680,Pasahero Partylist,Pasahero Partylist,4340766,578
1658419084388640,Leila de Lima,Friends of Leila de Lima,4319488,104
102561162214263,Barkadahan Party-List,Supporters of Barkadahan Party-List,4176512,958
109968898302546,Todo Suporta Kay Isko,Todo Suporta Kay Isko,3917111,169
204862942932993,Nikkei Asia,These ads ran without a disclaimer,3867721,879
868396583546728,Tayo si ISKO,Tayo Si Isko,3602605,104
108372871647378,Gardy Cruz,Friends of Gardy and RC Cruz,3536624,1047
498928790144853,Neri Colmenares,Angela Un Panganiban,3499999,46
75665129515,Go Negosyo,Go Negosyo,3498744,2419
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,3455132,19
103276632289305,Pinoy Para Kay Isko,Pinoy Para kay Isko,3392876,212
105354924912699,Youth Vote for Leni,Youth for Leni,2970302,32
108457488228735,Ping Lacson Army,Ping Lacson Army,2927357,23
106053908700901,Bayanihan Para Kay Isko,Bayanihan Para Kay Isko,2918188,29
726290674149880,Marino Partylist,Marino Partylist,2832515,165
110985836193,Loren Legarda,Loren Legarda,2728368,315
143359319041777,John Rey Tiangco,John Rey Tiangco,2697843,312
185633641527060,Toby Tiangco,Toby Tiangco,2667124,327
108957324600114,SOLID LENI BICOL,Supporters of Leni Robredo,2620512,21
321351771993681,Filipinas Today Tweets,Sartine,2595940,833
225987507830,Dick Gordon,Dick Gordon,2579389,286
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,2543122,289
213537065371667,Joel Villanueva,Office of Senator Joel Villanueva,2536785,202
1717685908346213,RC Cruz,Friends of Gardy and RC,2368143,872
328767157250202,RiteMed: Gusto Mo Bang Gumaling?,These ads ran without a disclaimer,2349935,12
175045919574319,Bicol Politics,Bicol Politics,2311912,270
110906614080083,Ang Realidad PH,Clutchmedia,2305489,345
1122138654504745,Vilma Santos-Recto,One Batangas,2258449,565
186983974972946,Edu Manzano,Supporters of Leni Robredo,2177547,3
101476872284117,Sama-Sama sa Sampung Libong Pag-asa,Gabriel Villena Buluran,2158518,301
320370261490812,Harry Roque,Sulong Pilipinas,2152247,27
102587608260160,The Pink Tita,Hook Digital,2119087,177
959291374109807,Alipay,These ads ran without a disclaimer,2105261,8
162414077101948,JV Ejercito,"JV Para sa Bayan Movement, Inc.",2087749,67
229162103880856,Wanna Fact PH,WFPH,2070723,957
262290170462488,Jojo Binay,"Roque, Gonzalo IV Aldeguer",2020000,28
109924549061054,Bongbong Marcos,Bongbong Marcos,2019187,4
1959704394136944,iMPACT Leadership,iMPACT Leadership,2018456,151
106809248443111,Ren Pasco,Supporters of Ren Pasco from Barkadahan Party-List,1971441,703
113344800539749,Bangon Bayani,Bangon Bayani,1959520,61
277165087425964,Proud Taguigeño,Francisco Payomo Gargantiel,1938880,278
101009635619821,Istorya Ta,Hook Digital,1937885,150
106513518627165,Isko Moreno Supporters,Isko Moreno Supporters,1883195,37
104719191317069,Filipino Convos That Matter,Hook Digital,1863570,249
103193062083813,Nagkaisang Tugon,Katotohanan Lang,1847206,85
287695354586062,CIBAC Party-List,CIBAC Partylist,1840018,211
495629064258114,Lolita Karen Javier,Amor U. Nacional,1818034,352
100961895485678,Iskompare,Clutch Media,1798059,123
106981800000098,PDP Cares Partylist,PDP Cares,1796943,128
325780477966356,Geo 24/7,Energy Development Corporation,1770805,295
111543511379818,Solid District 1 Sandro Marcos,WeLoveBBM,1737109,76
1690369134537011,Christopher De Venecia,Kristina Marie Lequin Diamante,1723403,473
110799871409508,Tesdaman Supporters,Tesdaman Supporters,1715273,19
547821942058909,Pilipinas Today,WFPH,1699812,921
101962771388879,Manny Pacquiao Public Information,Martin Nicolo P. Delos Angeles,1667702,162
107850665016927,AP Partylist,AP Partylist,1637911,291
223618785182273,Pilipinas,WFPH,1608357,862
48622973199,Kiko Pangilinan,Supporters of Kiko Pangilinan,1595189,65
103989398528303,Trabaho Partylist,Trabaho Party,1582255,273
575952742441972,Manny Pacquiao-Lito Atienza -For God and Country,Eric Uy Cham,1572806,373
106637061760914,"Kung May Alan, May Paraan",Francisco Payomo Gargantiel,1563370,473
221595151218672,PBA Partylist,Sulong Pilipinas,1548382,21
101476872284117,Sama-Sama sa Sampung Libong Pag-asa,Francisco Payomo Gargantiel,1519745,138
224570379541697,Pinipili Ka ni Leni,Hook Digital,1512502,104
133061833376470,Mark Villar,Mark A. Villar,1497881,10
244875865557987,Insular Health Care,These ads ran without a disclaimer,1497690,33
1922749344643532,The World Tonight,The World Tonight,1492749,735
100291315635914,Bisdak Ko,Hook Digital,1483860,186
110985836193,Loren Legarda,Friends of Loren Legarda,1475377,244
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,1474560,45
245279018975702,Paul Aguinaldo Abaya,Abayanihan,1469078,162
102227058569651,Team Loren Legarda,Friends of Loren Legarda,1465002,347
62739603227,7-Eleven Philippines,Philippine Seven Corporation,1431078,10
366797844060990,Now You Know,Now You Know,1430680,780
154883128049730,Greco Belgica,Greco Belgica,1417646,17
28312410177,World Food Programme,These ads ran without a disclaimer,1409963,215
100259438736790,WiFi Partylist,Wifi Partylist Supporters,1403341,18
68793499001,UNICEF,These ads ran without a disclaimer,1358779,64
498928790144853,Neri Colmenares,Angela Bayonet Colmenares-Sabino,1348903,3
423314964466362,Congressman Migz Villafuerte,Governor Migz Villafuerte,1343486,277
