Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,6122822,17717
178362315106,European Parliament,European Parliament,3894193,3967
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,3718816,663
57544755889,Amnesty International Polska,Amnesty International Polska,2500920,3739
176114889652,Kancelaria Premiera,Kancelaria Premiera,2324532,451
107898832590939,European Commission,European Commission,1607518,843
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,1576216,729
102811109411234,Do:łącz,Dołącz,1482781,488
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,1424245,367
103979907641570,Polenergia Fotowoltaika,These ads ran without a disclaimer,1260419,2049
228168274881,wysokieobcasy,wysokieobcasy,1171342,2174
135010893177571,STS,STS,1146257,183
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,1096330,2106
126985130505102,15 X w Referendum powiedz 4x NIE,FRGI,1072584,24
102931488739,Platforma Obywatelska,Koalicyjny Komitet Wyborczy Koalicja Obywatelska PO .N IPL Zieloni,951210,486
102931488739,Platforma Obywatelska,Platforma Obywatelska,897094,1010
205519320204971,Stowarzyszenie Pokolenie,Stowarzyszenie Pokolenie,729998,18
1683534065241470,OKO.press,OKO.press,711608,2674
513969188677442,Compassion Polska,Compassion Polska,688963,636
135889759813803,Ministerstwo Zdrowia,Ministerstwo Zdrowia,686740,426
102931488739,Platforma Obywatelska,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA,684144,195
176114889652,Kancelaria Premiera,ClickAd Interactive,668547,67
339855706171439,"Dobra Fabryka - Karmimy, leczymy, uczymy, dajemy pracę",Dobra Fabryka,656606,454
137877409609952,Lewica,Komitet Wyborczy Nowa Lewica,634237,1210
380485532115847,"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Ministerstwo Rodziny i Polityki Społecznej,634152,422
114988538373074,"Fundacja ""Twój głos jest ważny""","Fundacja ""Twój Głos Jest Ważny""",630775,219
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,625414,1079
1722014601383331,BGK - Bank Gospodarstwa Krajowego,BGK,595221,555
20194572209,Liberté!,Liberté!,584555,767
137877409609952,Lewica,KOALICYJNY KOMITET WYBORCZY LEWICA,576372,820
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,569524,1484
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,497353,1350
209987935541855,Wybierzmy Przyszłość,Fundacja Liberté!,471690,125
142614625077,WWF Polska,WWF Polska,453415,521
176114889652,Kancelaria Premiera,Euvic Media,444504,23
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,426696,229
104211422472400,AJC Central Europe,AJC with Facebook ad credits,414870,7
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,405880,201
105455867750317,State of Poland,Fundacja State of Poland,372078,241
118128341386174,Twój wybór,Fundacja im. Stefana Batorego,349083,105
1227194230675141,Pratia,Monika Charuza,334509,369
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,327436,594
618179678235315,wschód,wschód,321390,165
1227194230675141,Pratia,Pratia SA,315846,640
144808095552639,ING Polska,ING Polska,313692,361
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),301627,378
109683628097,Reserved,These ads ran without a disclaimer,299947,1
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,298402,519
102346118403253,Amperio,Amperio Sp. z o.o.,290498,2119
91021863613,Szlachetna PACZKA,Stowarzyszenie Wiosna,290065,550
106204692244510,Jigsaw Polska,Jigsaw,284054,9
426784938154184,Fundacja Dom dla Kundelka,PrzyjacieleZwierzat.pl,279888,3001
178362315106,European Parliament,These ads ran without a disclaimer,277093,34
122074554119,EU Social,EU Social,269562,32
514735281965536,Demagog,Demagog,266010,256
149388985089327,L'Oréal Paris,L’Oreal Polska Sp z o.o.,262886,45
203627442993022,Portal Oświatowy,Wiedza i Praktyka,261066,84
115883558423028,Volvo Car Poland,Volvo Car Poland,259584,154
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,259390,203
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,257991,29
450781218391641,Protestuj,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,253764,93
135992529589595,Czy tak chcemy żyć?,Fundacja Liberté!,251521,75
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,249337,302
173086948664,Infor.pl,Infor.pl,247409,1034
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,246287,395
133482470024453,Newsweek Polska,Newsweek Polska,244657,1736
111465470197991,Mateusz Morawiecki,Komitet Wyborczy Prawo i Sprawiedliwość,244581,1075
83002766357,Siepomaga.pl,Siepomaga.pl,241356,131
113143203693,Santander Bank Polska,Santander Bank Polska,237148,776
107590839282206,BNP Paribas Bank Polska,BNP Paribas Bank Polska S.A.,231286,309
136884656519145,IOM Poland,International Organization for Migration,223201,293
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,220022,3021
32104614789,Greenpeace Polska,Greenpeace Polska,219128,567
514735281965536,Demagog,Stowarzyszenie Demagog,200616,410
528572717569139,Meta,Facebook,197280,5
654912251187357,Grupa PGE,Grupa PGE,195403,47
50063176484,TVN24,TVN,189085,200
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,188727,454
475584852475176,Pozytron,POZYTRON Radiologia Medyczna,187759,119
391098174296294,Super Express,se.pl,187281,1205
135498876308187,Generacja '23,Fundacja Liberté!,186520,161
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,186492,194
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,185184,2887
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,184792,223
104442609633150,Lubuskie,Lubuskie,184102,242
107758219306090,OLX Polska,OLX Polska,182397,82
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,181755,21
278117815576023,EU Justice and Consumers,EU Justice and Consumers,180935,17
252707301407911,Ministerstwo Rolnictwa i Rozwoju Wsi,Ministerstwo Rolnictwa i Rozwoju Wsi,178901,271
273827962690526,Otwarte Klatki,Otwarte Klatki,178493,215
105096862127480,Orientuj.się,Orientuj.się,173457,28
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,172754,810
230415296997772,bydgoszcz.pl,bydgoszcz.pl,172169,313
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,170992,1684
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,170594,490
174590316460026,CONVERSE,CONVERSE,170343,275
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,167740,76
102466034698538,Fidei Defensor,Biuro Fidei Defensor,167725,200
103733677761265,N Energia,N ENERGIA,166258,529
557936277656318,Igrzyska Wolności,Fundacja Liberte!,164389,121
295161506338,AKADEMIA PRZYSZŁOŚCI,AKADEMIA PRZYSZŁOŚCI,164116,1062
178415208919146,Suwerenna Polska,Solidarna Polska,161679,155
475584852475176,Pozytron,Bartłomiej Jan Ginter,161110,199
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,160633,83
106464864246053,PZBuk,Polskie Zakłady Bukmacherskie PZBuk (Cherry Online Polska),160205,167
182038191908977,Ministerstwo Cyfryzacji,Kancelaria Prezesa Rady Ministrów,156788,397
176114889652,Kancelaria Premiera,These ads ran without a disclaimer,151234,89
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,149730,870
255100403945,Polityka,Polityka,148755,874
107396187476330,LUX MED Stomatologia,"LUX MED Sp. z o.o.,",146332,268
111236021136938,Fundacja Wolności Gospodarczej,Fundacja Wolności Gospodarczej,146227,61
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,143801,82
634178786679448,Aleksander Miszalski,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA,141083,129
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,140774,518
110239025687291,Credit Agricole Bank Polska,Credit Agricole Bank Polska,140097,68
100302862419697,"Wielkopolska, tej",UMWW,139098,1526
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,138120,273
65335771090,Rafał Trzaskowski,\tKomitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,136675,156
305401181544,UNICEF Poland,UNICEF Polska,135667,319
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,135441,438
282592881929497,Huel,These ads ran without a disclaimer,134970,7
111778487054045,TOGETAIR,Kamil Magot,134767,284
145405785523396,Sage,These ads ran without a disclaimer,132488,708
103140061377835,Do Domu Wszystko,PMC,131326,673
114453729684,gazetaprawna.pl,gazetaprawna.pl,130573,606
109218848183780,Marek Woźniak,UMWW,128440,1036
381003278691136,Szymon Hołownia,KKW Trzecia Droga PSL - PL 2050 Szymona Hołowni,127367,101
1642702159393883,NASK,NASK - Państwowy Instytut Badawczy,125225,59
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,125060,211
107750507339408,Bart Staszewski,Fundacja Basta,123005,155
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,121778,339
832320483579139,Vestra,Vestra,121768,167
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,121494,98
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,121485,179
105682335811780,Partnership Hub,Partnership Hub,119881,25
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,119672,29
450454309024632,Ekopatrioci,WWF Polska,119388,128
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,116526,1574
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,116236,50
182786858438399,Fundusze Europejskie,Fundusze Europejskie,115988,95
1971966879776579,Konfederacja,Komitet Wyborczy Konfederacja Wolność i Niepodległość,114359,221
147547541961576,Council of the European Union,Council of the European Union,113008,1280
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,111650,266
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,107816,36
100947022065093,Okresowa Koalicja,Okresowa Koalicja,107520,9
123910440019,Renew Europe,Renew Europe Group,107503,18
103189994608689,20stopni.pl,Konceptlab,106465,517
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,106235,110
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,105709,155
1971966879776579,Konfederacja,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,105000,57
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,104636,28
383296170843,Puls Biznesu,Puls Biznesu,104558,1351
106058134201158,Tobiasz Bocheński,KW Prawo i Sprawiedliwość,104460,388
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,104286,384
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,103391,261
475584852475176,Pozytron,Pozytron,103299,171
65335771090,Rafał Trzaskowski,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA,103087,83
141366725876424,European Greens,European Greens,102536,45
190536713845,Fundacja JiM,Fundacja JiM,102264,240
514735281965536,Demagog,Stowarzyszenie Demagog with Facebook ads credits,99879,18
1539769832715676,Ogólnopolski Strajk Kobiet,My Voice My Choice,99681,80
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Jan Tanajno,99136,423
134214926657042,Radosław Sikorski,Radosław Sikorski,99112,233
385532321805330,Pomorskie,Pomorskie,98462,230
1465965073732774,Łukasz Kohut,Łukasz Kohut,98450,363
104921858016507,Dzień Dobry Podatki,Michał Wilk,96845,238
1181684038602267,Niepodległa,Niepodległa,96155,308
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,95330,352
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,95156,96
104581499325617,Wybory bez picu,Obywatelska Kontrola Wyborów,94737,86
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,94683,470
237466786344157,European Movement,European Movement International with Facebook ad credits,93900,76
305401181544,UNICEF Poland,UNICEF Poland with Facebook Ad Credits,93146,42
127619873953536,Stefczyk.info,Stefczyk.info,92581,1082
74863922834,Krytyka Polityczna,Krytyka Polityczna,91680,523
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,91625,462
220402816269,Miasto Stołeczne Warszawa,Miasto Stołeczne Warszawa,90999,113
111888203889045,Nie Głosuj Wybory 2020,Echo24,90680,9
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,90033,122
101876361512444,Krajowy Projekt Energetyczny - odnawialne źródła energii dla każdego,These ads ran without a disclaimer,89986,351
2246647628925721,Lewica Kobiet,KW Wiosna Roberta Biedronia,89361,58
481798668902322,Fundacja Dobroczynna Serce Anioła,Fundacja Dobroczynna Serce Anioła,87217,174
157458232131,Prawo i Sprawiedliwość,KW Prawo i Sprawiedliwość,87019,19
273238932923,OTOP - Ogólnopolskie Towarzystwo Ochrony Ptaków,Ogólnopolskie Towarzystwo Ochrony Ptaków,84232,47
868599633152789,Koncept - magazyn akademicki,Fundacja Inicjatyw Młodzieżowych,83844,511
398824790221548,Marek Balt,Marek Balt,82801,156
106215895116028,Andrzej Kulig,"KWW Andrzeja Kuliga ""Ku Przyszłości""",81066,241
223758174374154,Jarosław Obremski - Wojewoda Dolnośląski,Dolnośląski Urząd Wojewódzki we Wrocławiu,80510,651
830561370356753,Czerkawski Odszkodowania Sp z oo,Czerkawski Odszkodowania Sp z oo,80454,25
107099115544539,Zostań Dłużej,Euvic Media,80346,26
109299725535645,Piwo IGUANA,Piwo IGUANA,79876,63
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,79771,172
108566759302831,NODN Cognitus - centrum szkoleń i terapii,Cognitus Centrum Szkoleń,79354,1178
109793703689436,Prawdziwa Polska,Prawdziwa Polska,79290,112
330644215221,Bankier.pl,Bankier.pl,79256,1348
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,78406,570
142210712522850,Województwo Podlaskie,Urząd Marszałkowski Województwa Podlaskiego,77772,87
213761292155457,Samir Kayyali Doradztwo Podatkowe,Samir Kayyali Doradztwo Podatkowe,77758,183
406758116099067,Fundacja Kasisi,Fundacja Kasisi,77575,54
108007705126290,WUF11 - cities of the future,Ministerstwo Funduszy i Polityki Regionalnej,77525,203
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,77495,1193
109549034124187,Dostępne Mieszkanie,HRE Think Tank Fundacja,76120,16
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro – Prawo do życia,75754,75
262228993842853,Lidl Polska,Lidl Polska,75573,47
199446073725474,BohaterON,BohaterON,75516,211
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,75463,209
1607487699534202,Krzysztof Hetman,KKW Trzecia Droga PSL-PL2050 Szymona Hołowni,75064,396
