Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
104485445160924,الشرق للأخبار - فلسطين,These ads ran without a disclaimer,7235,45
214225965275748,وكالة وطن للأنباء,وكالة وطن للأنباء,6826,669
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,5997,159
1637132749855104,Bashar Masri بشار المصري,Bashar Masri بشار المصري,1789,6
103786149286210,Hussam Qurrish - حسام قرش,DotLine,1474,14
764871770212314,مكتب رئيس الوزراء- دولة فلسطين,Palestinian Prime Minister Office,1371,7
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,1224,7
105227242464061,كتلة المستقبل 12-24,طاهر عابدين,799,21
68793499001,UNICEF,UNICEF with Facebook Ad Credits,672,339
100268935176128,Horizon Center,Horizon Center,575,71
106353991074846,Shabab FM 101.4,Shabab FM 101.4,532,42
106396530710598,برلمان شعب,These ads ran without a disclaimer,510,2
107219538605414,Rise Luxury Real Estate - Dubai,These ads ran without a disclaimer,417,18
104579255846402,كتلة العطاء,Stand Media,411,20
101295342819551,باسل فضل عابدين - مرشح انتخابات غرفة تجارة وصناعة بيت لحم,طاهر عابدين,410,5
471887229517995,Pizza Time - بيتزا تايم,DotLine,400,25
868424133211691,Irfaa Sawtak - ارفع صوتك,These ads ran without a disclaimer,386,3
114769837785591,Mada News مدى الأخبار,Mada News مدى الأخبار,363,44
111814545139858,لينا زاهي التميمي - سعدالدين,Haj Nimr Tamimi co,359,19
1719606374937895,الاتحاد الفلسطيني للهيئات المحلية,These ads ran without a disclaimer,339,6
568444166596807,Social Developmental Forum- SDF,Social Developmental Forum- SDF,328,34
101058301345442,شركه المطبخ الذهبي لمستلزمات المطاعم والفنادق,Stand Media,302,5
536457043168255,National Insurance Company,These ads ran without a disclaimer,260,2
1416153705287549,نقابة تجارة المواد الغذائية - محافظة الخليل,نقابة تجارة المواد الغذائية - محافظة الخليل,239,4
1386243894943872,Al-amad for halva  العمد للحلاوة,These ads ran without a disclaimer,226,2
121980927856038,Mohammad Dahlan  محمد دحلان,These ads ran without a disclaimer,200,1
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,192,21
102360231459321,Rare Store,These ads ran without a disclaimer,179,3
103985668375565,راصد فلسطين RASED Palestine,راصد فلسطين RASED Palestine,177,4
541962839199606,Dr. Rami Hamdallah  - د. رامي الحمد الله,Dr. Rami Hamdallah  - د. رامي الحمد الله,166,6
107770630846691,Go,Social Developmental Forum – SDF,162,20
339678412865650,مجموعة وايت ستايل - White Style,These ads ran without a disclaimer,146,1
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,144,2
116866194683083,شبكة وطن الإعلامية,Wattan,138,17
114266928213954,المجلس التشريعي الفلسطيني PLC,المجلس التشريعي الفلسطيني PLC,138,16
105904027847270,الشبكة الفلسطينية لمناهضة خطاب الكراهية,محمد الهباش,125,3
422467781907782,IziEng - The International Studying Center,These ads ran without a disclaimer,122,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,117,3
334231304164582,وصلة,وصلة,116,11
113421654169201,Sky Palestine - سما فلسطين,أحمد مصلح,116,3
1974148782816559,مركز مدارات Madarat Center,مركز مدارات Madarat Center,109,2
105045509001061,مفوضية الإعلام والثقافة حركة فتح - المحافظات الجنوبية,حركة فتح,105,5
107577837634349,معرض العمدة للأجهزة الكهربائية,These ads ran without a disclaimer,103,13
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,101,1
757320234287779,المهندس سنتر للاجهزة الكهربائية والتكيف والتبريد,المهندس سنتر للاجهزة الكهربائية والتكيف والتبريد,≤100,1
106615675545448,Nass Group,These ads ran without a disclaimer,≤100,1
101125846648095,الخليل مدينتي,الخليل مدينتي,≤100,1
321822847069,Pal-Think for Strategic Studies,Pal-Think for Strategic Studies,≤100,9
199611583445291,مساواة | Musawa,مساواة | Musawa,≤100,19
107641902097589,Hot Event,These ads ran without a disclaimer,≤100,2
113393861617110,تحالف غزة هاشم - غرفة تجارة محافظة غزة,محمد الشيخ,≤100,15
102334822892652,عيلة عزو,Social Developmental Forum,≤100,13
101187675290243,Sky Palestine - سما فلسطين,أحمد مصلح,≤100,3
107500382129000,Momanh,These ads ran without a disclaimer,≤100,3
111122863753751,3al Ard عالأرض,3al Ard عالأرض,≤100,9
104579255846402,كتلة العطاء,Media ADV,≤100,1
100103465608073,alsarahraha8,These ads ran without a disclaimer,≤100,1
224736167387412,الأمير عبدالعزيز بن فهد آل سعود,These ads ran without a disclaimer,≤100,3
109356235333855,محمود الحوساني,معتصم دعنا,≤100,7
100307184986713,عصام ابوبكر - ابو عدي,عصام ابوبكر - ابو عدي,≤100,2
557827207560928,بلدية الخليل  - Hebron Municipality,بلدية الخليل  - Hebron Municipality,≤100,8
132091353527534,تلفزيون فلسطين Palestine TV,These ads ran without a disclaimer,≤100,2
53440812182,The Hampton Synagogue,These ads ran without a disclaimer,≤100,3
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,UNICEF,≤100,29
108058608368165,أحداث العالم اليوم,These ads ran without a disclaimer,≤100,3
103814465961630,طريق السلامة,These ads ran without a disclaimer,≤100,3
100979355077081,متجر فيوتشر للتجميل,These ads ran without a disclaimer,≤100,6
115833214837076,تكتل الشباب الفلسطيني لدعم الحق والعدالة في الخدمات العامة,تكتل الشباب الفلسطيني لدعم الحق والعدالة في الخدمات العامة,≤100,6
288014481257777,مركز المرأة للارشاد القانوني والاجتماعي (WCLAC),The Women’s Centre for Legal Aid and Counselling (WCLAC),≤100,2
109356235333855,محمود الحوساني,محمد اطرش,≤100,1
568444166596807,Social Developmental Forum- SDF,Atta Khaled Hammouda,≤100,4
103447252751709,حركة الشبيبة الطلابية - جامعة النجاح الوطنية,Odai Abu Baker,≤100,4
110000145296435,MnS Homez,These ads ran without a disclaimer,≤100,1
1244297295663794,שלמה נאמן - Shlomo Neeman,These ads ran without a disclaimer,≤100,5
80493369332,U.S. Office of Palestinian Affairs,These ads ran without a disclaimer,≤100,5
106218148850368,Valentina cosmetics & beauty,These ads ran without a disclaimer,≤100,1
0,Instagram User 6076287010,These ads ran without a disclaimer,≤100,1
978420498967432,العربي 2,These ads ran without a disclaimer,≤100,13
0,Instagram User 5714145964,These ads ran without a disclaimer,≤100,1
391841010930265,REFORM Association,REFORM Association,≤100,6
107770630846691,Go,Atta Khaled Hammouda,≤100,2
563863067052540,Palestine Public Relations Association ملتقى العلاقات العامة الفلسطيني,Palestine Public Relations Association ملتقى العلاقات العامة الفلسطيني,≤100,2
106643098944557,شركة عاشور للاستثمار-Ashour for Investment co,شركة عاشور للاستثمار-Ashour for Investment co,≤100,1
1713794648706534,مؤسسة الهموز لابواب الرول,These ads ran without a disclaimer,≤100,1
310076959718201,Ernes'to,These ads ran without a disclaimer,≤100,2
214225965275748,وكالة وطن للأنباء,These ads ran without a disclaimer,≤100,13
105436115590603,Sahat - ساحات,These ads ran without a disclaimer,≤100,4
262064054739409,Sunseed: The Journey,These ads ran without a disclaimer,≤100,6
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,92
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
1586050065045087,بحيرة ومطعم فش فرش,These ads ran without a disclaimer,≤100,4
297080483753994,راديو كل الناس - Kolalnas Radio,These ads ran without a disclaimer,≤100,3
100713642154011,أ. سمر حمد,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,10
114133711790793,qatarpressc_,These ads ran without a disclaimer,≤100,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,9
110303075510163,اريد ان اعيش,These ads ran without a disclaimer,≤100,1
368119983327926,العربي الجديد,These ads ran without a disclaimer,≤100,19
407776179674706,Hebron Expo,Hebron Exhibition Center,≤100,1
104404345344,Bethlehem Chamber of Commerce & Industry - غرفة تجارة وصناعة محافظة بيت لحم,These ads ran without a disclaimer,≤100,1
111122863753751,3al Ard عالأرض,These ads ran without a disclaimer,≤100,1
10250877124,Arab News,These ads ran without a disclaimer,≤100,1
722970091058140,شركة الشعراوي للمعدات الصناعية والتجارة,These ads ran without a disclaimer,≤100,3
114319561948157,PCRF - Palestine Children's Relief Fund,These ads ran without a disclaimer,≤100,14
112777742675827,Tareq Center مجموعة طارق سنتر لتأجير وتجارة السيارات,These ads ran without a disclaimer,≤100,1
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,47
111721801904679,شركة أبو عياش للأدوات المنزلية والاستهلاكية,These ads ran without a disclaimer,≤100,1
592121074146775,Roles for Social Change Association-ADWAR مؤسسة أدوار للتغيير الاجتماعي,These ads ran without a disclaimer,≤100,6
110487561700689,تنمية المجتمعات,These ads ran without a disclaimer,≤100,2
101012796189863,فلسطين,These ads ran without a disclaimer,≤100,2
100063922210445,شركة الحاج نمر التميمي للتجارة والنقل,These ads ran without a disclaimer,≤100,1
100638496021080,JSSH Jaffa Specialized Surgical Hospital,These ads ran without a disclaimer,≤100,1
101510748371269,إعلام الغرب,These ads ran without a disclaimer,≤100,4
353907448126652,קרן גוש עציון לפיתוח,These ads ran without a disclaimer,≤100,1
100385612192222,تجمع الكل الفلسطيني,These ads ran without a disclaimer,≤100,2
110725658244089,حراس أرض اليادودة . الموقوفة لهم .,These ads ran without a disclaimer,≤100,1
1619665108284683,وطن في الميدان,وطن في الميدان,≤100,2
566812770350450,متراس - Metras,These ads ran without a disclaimer,≤100,1
105698942288777,اخر الاخبار,These ads ran without a disclaimer,≤100,2
188056891229888,وزارة النقل والمواصلات,These ads ran without a disclaimer,≤100,4
2159084537489401,Takween Center مركز تكوين,These ads ran without a disclaimer,≤100,1
108298755462816,بدر يونس صبرة - Bader Y Sabra,صلاح الدين صبره,≤100,3
474667069220116,شبيبة + shabiba,These ads ran without a disclaimer,≤100,2
110696711982612,Mazaya Fm,These ads ran without a disclaimer,≤100,1
142375212503142,EU Neighbourhood & Enlargement,These ads ran without a disclaimer,≤100,3
103354172542773,اخبار فلسطين,These ads ran without a disclaimer,≤100,4
100577502223874,أخبار غزة,These ads ran without a disclaimer,≤100,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,73
638851756139603,Oxfam in Jerusalem,These ads ran without a disclaimer,≤100,2
334231304164582,وصلة,Atta Khaled Hammouda,≤100,3
108786031738282,معهد 001 كفرعقب,These ads ran without a disclaimer,≤100,1
107419095591589,almosafiron_ksa,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
107079315391445,منظمات غزة,These ads ran without a disclaimer,≤100,2
0,Instagram User 2824796592,These ads ran without a disclaimer,≤100,1
343564272396227,Studio Al Helo ستوديو الحلو,These ads ran without a disclaimer,≤100,1
1472186696381123,مكتبة الموارد للطباعة والنشر والتوزيع,These ads ran without a disclaimer,≤100,1
101855805880094,اخبار فلسطين,These ads ran without a disclaimer,≤100,4
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100,2
108214557696587,متجر زوم للتسوق والعروض الدائمه•zoom,These ads ran without a disclaimer,≤100,1
165257420151060,Raya FM,These ads ran without a disclaimer,≤100,2
114769837785591,Mada News مدى الأخبار,These ads ran without a disclaimer,≤100,2
103977015793836,"سقي الغيث لحفر الآبار _alghaith """,These ads ran without a disclaimer,≤100,6
105422889138890,هدهد News,These ads ran without a disclaimer,≤100,5
112215796934667,__ipman,These ads ran without a disclaimer,≤100,1
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,9
113455930536787,جمعية أصحاب المسارح وتجهيز الحفلات,These ads ran without a disclaimer,≤100,1
630448873650534,صندوق النفقة الفلسطيني,صندوق النفقة الفلسطيني,≤100,1
112221511732421,رجل الأعمال/ حسام محمد الحويطي,رجل الأعمال/ حسام محمد الحويطي,≤100,15
109609691365129,mha.algaith,These ads ran without a disclaimer,≤100,2
