Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
1468570519872644,Santiago Peña,PRANA SA,1002746951,410
325540631525675,En La Tecla,En la Tecla,368846234,888
862862090459595,Seba Villarejo,Juan Sebastian Villarejo Velilla,288861910,784
532716330164048,Sole Núñez,Soledad Núñez,271792528,216
532716330164048,Sole Núñez,PautaPY,208036163,166
1310731702357133,GEN,GEN,197712937,934
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,195369309,499
102266292553995,Sucia Política,Diego Ricardo Ramírez,186891090,638
196599783696918,Efrain Alegre,Comunicá,164587290,811
386081914814521,Martin Burt,Martin 2023,159033132,317
110447625137045,Pilar Callizo,PautaPY,156818017,194
175406365841914,Arnoldo Wiens,Global Agencia,156024320,159
103771265752808,Vysokolán,Stephan Vysokolán,151151811,79
1741690962733932,Crédito Amigo - Paraguay,Crédito Amigo | Paraguay,150178893,3
102917519228790,Bruno Defelippe,PautaPY,114999991,151
1222077187832207,Gustavo Leite,Gustavo Alfredo Leite Gusinky,110275046,188
1479241699007158,Luis Paciello,Alianza Lambaré,104315477,127
647864758888200,Seba Garcia,Sebastian Garcia,95394455,278
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,88095655,833
102963512483270,PyElige,PY Elige,86286905,251
266016903502005,Senador Carlos Gómez Zelada,Senador Carlos Gómez Zelada,84606254,110
132554373464255,La Nación,La Nación,79826213,193
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,74278166,318
241512319274531,Sixto Pereira,Sixto Pereira,70455948,188
1743207422388410,Paraguay Vota,Pablo Benítez,68616944,39
153958777947957,Paulo Reichardt,Paulo Reichardt,66293182,143
1964503917155087,Stephan Rasmussen,Stephan Rasmussen Gonzales,65913340,174
242118359309178,Ricardo Estigarribia,Douglas Mateus Hendges,63921074,360
105787598141250,Ever Rojas Borja,Georginio Ever Rojas Borja,63403561,94
1151984808290856,Hugo Portillo,Hugo Portillo,61827228,989
242118359309178,Ricardo Estigarribia,Martin Ricardo Stachon,60942163,234
108246601026063,Diputado Derlis Rodríguez,Derlis Manuel Rodríguez Baez,60290302,778
102467002671611,Jorge Heisecke,Jorge Heisecke,59848904,172
532716330164048,Sole Núñez,Sole Núñez,55679149,180
137071910500968,Alvaro Grau,Oscar David Baez Alvarenga,53470325,254
160267643996513,Juanjo Arnold,Juan Jose Arnold Garcia,45506342,142
196599783696918,Efrain Alegre,Pedro Efraín Alegre Sasiain,45425176,74
100959471597014,José Antonio Galeano,José Antonio Galeano,44992101,67
285454849768,PATRIA QUERIDA,Juan Gabriel Nuñez Caceres,42339040,317
124476131441330,Partido Hagamos,Partido Político Hagamos,41240975,134
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,39732638,197
242118359309178,Ricardo Estigarribia,Ricardo Estigarribia,39557070,203
386081914814521,Martin Burt,These ads ran without a disclaimer,39238046,10
283132325082901,Esperanza Martínez,Esperanza Martinez De Portillo,37320727,186
114979542421407,Kattya González,Kattya Mabel Gonzalez Villanueva,36055293,23
1692624097481207,Mujeres GANAR,Mujeres GANAR,35749906,182
105902187763083,Edgar A. Colmán - Ministro de la Juventud,Edgar Abdón Colmán Miranda,35630422,22
107104641909575,Rubén Rubin,Rubén Rubin,35524723,18
725834240910220,Noticiero Paraguay,Noticiero Paraguay,35474243,957
106257452820864,Tito Saguier,Tito Saguier,33849109,129
150229055012487,UNICEF Paraguay,UNICEF Paraguay,33752072,24
943824938962084,Luis Fernando,Luis Fernando,33381488,203
309537729651941,JuanMa Brunetti,Global Agencia,32943967,57
266016903502005,Senador Carlos Gómez Zelada,PautaPY,31345709,87
100617802815343,Orlando Penner Senador 2023,Orlando Penner Senador 2023,29199283,26
292909490881181,Carlos Echeverría Intendente,TEJUParaguay,28693010,116
100566575581065,Ramón Montanía,Ramón Montania Fernandez,27945336,83
101684376194219,Se Van Paraguay,Solucionet Global,26977713,20
100188219465134,Senador Derlis Osorio,Derlis Ariel Alejandro Osorio Nunes,26362581,157
842985112443215,Ulises Quintana,IMAGEN DE GOBIERNO,24822587,173
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,24375603,91
73662043873,Teletón Paraguay,Teletón Paraguay,24181762,37
105796025619350,Tati Giménez Diputado 2023,Tati Giménez Diputado 2023,23557138,52
326351758062718,Juan Grassi,Juan Domingo Galeano Grassi,21306538,15
445512212154414,Lic Juan Vera,Juan Basilio Vera Ibarra,20499786,12
111914702306103,Enrique Riera Escudero,Marcia Irmina Elizabeth López De Baez,20304127,12
100445112671378,Fernando Camacho Senador 2023,Fernando Camacho Senador 2023,19958059,35
100617802815343,Orlando Penner Senador 2023,Orlando Penner Dürksen,19497859,66
1813746978719204,Diputado Nacional Pastor Soria Melo,Pastoremilio Soria Melo,19340991,93
100325609698250,Paraguay Decide,Pablo Benítez,19295370,8
665680343451704,Lider Amarilla,Lider Santiago Amarilla Rios,19284260,70
105386388829016,Martín Presidente,Hugo Ildefonso Espinola Ricardo,19218538,95
109626041763537,Natalicio Chase,Global Agencia,18988033,84
102193762632115,Patricia dos Santos,Patricia Dos Santos,18971475,35
102917519228790,Bruno Defelippe,Bruno Defelippe,18228743,96
437169856308185,Juntos por la Educación,Juntos por la Educación,17932842,59
111353505103100,Santi Mbatara,Somos Paraguay,17644899,102
1753251591598763,Dani Mujica,Dani Mujica,17507466,90
1547194582252394,Denis Lichi,Global Agencia,17292294,98
842985112443215,Ulises Quintana,Ulises Quintana,17244571,27
1608625919447826,Blanca Ovelar Senadora Nacional,Blanca Ovelar Senadora Nacional,17188556,63
1510805942583059,Norma Zarate de Monges,Norma Zarate,17181971,186
108911470486666,El Independiente PY,El Independiente,17159062,28
517426394969535,Ricardo Canese,Ricardo Canese,16891427,112
109700221917436,Rodrigo Blanco Amarilla,Rodrigo Blanco Amarilla,16804880,95
103681832340596,Kpeto Cano,Kpeto Cano,16704652,42
105796025619350,Tati Giménez Diputado 2023,Patria Querida,16685582,72
301344520359825,Carlitos Rejala,Américo Alberto Bolaños Sanchez,16351374,70
196406677113756,Rafael Filizzola,Comunicá,16175558,60
405176719648043,Dr. César Meza Bría,Pauta Py,16014179,49
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,15827319,49
1659775060937880,Guido González,Rosa Agustin Gonzalez,15773516,228
1578713372208578,TaDa Delivery Paraguay,These ads ran without a disclaimer,15436137,21
132554373464255,La Nación,Nación Media,15382046,40
1856745507987901,Dr. Guillermo Rodriguez Duré,Douglas Mateus Hendges,15222078,125
