Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
107475815326689,منصة مشيرب - Msheireb Platform,منصة مشيرب - Msheireb Platform,95829,899
109838145059635,almurqaab,These ads ran without a disclaimer,6497,6
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,5961,17
232479886816529,Cambridge Institute for Sustainability Leadership,These ads ran without a disclaimer,4377,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,4374,3
105847949124690,Ask AI - Chat App powered by GPT-4,These ads ran without a disclaimer,3300,1
305351836213206,National Human Rights Committee,National Human Rights Committee,3264,9
780374638763460,chikili.com,These ads ran without a disclaimer,2877,1
1486050808304738,Ray White International -  Dubai,These ads ran without a disclaimer,2655,6
116121844898700,FAST_Organisation,These ads ran without a disclaimer,2364,2
115654877692105,Aqary Bay,These ads ran without a disclaimer,1899,1
102614571880993,Public Investment Fund,These ads ran without a disclaimer,1826,3
320851183286,Qatar Foundation,These ads ran without a disclaimer,1450,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,1300,9
1357862551024328,AVT Digital Media,These ads ran without a disclaimer,1242,1
216311481960,Bill Gates,These ads ran without a disclaimer,1113,102
106695651835392,Riyadh Expo 2030,These ads ran without a disclaimer,1055,2
2265435786831695,وزارة الثقافة Ministry of Culture,These ads ran without a disclaimer,982,1
112462961647177,Msheirebqa,These ads ran without a disclaimer,892,13
297056677032058,Cityscape Qatar,These ads ran without a disclaimer,852,1
490239101085465,The Soul of Europe,These ads ran without a disclaimer,838,2
105071785722504,Secrets & Lies,These ads ran without a disclaimer,834,2
101837288924546,Muslimi,These ads ran without a disclaimer,755,97
1246179392089770,Rooda Al_Qebaisi,These ads ran without a disclaimer,729,12
1273112062772099,Exposing the Truth,These ads ran without a disclaimer,631,1
113106835150100,Jassim Alsharshani,Puzzle Marketing And Advertising,604,6
112390002110826,Muscat Eye Laser Center,These ads ran without a disclaimer,594,1
110138012022107,Children Of Gaza,These ads ran without a disclaimer,593,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,590,79
266790296879,Bloomberg,These ads ran without a disclaimer,586,20
146102945513369,The Pearl Island,These ads ran without a disclaimer,540,2
715337551812957,One Ummah,These ads ran without a disclaimer,522,13
1396191080609563,Doha College,These ads ran without a disclaimer,513,1
2132195447090867,AL_KHOYOUL_qtr,These ads ran without a disclaimer,483,3
105515468783832,qat_ch,These ads ran without a disclaimer,450,1
139811132700987,Doha Bank,These ads ran without a disclaimer,426,1
220128938133929,AIM Congress,These ads ran without a disclaimer,399,2
107808304894608,مفروشات وستائر قطر,These ads ran without a disclaimer,352,2
165060786689489,Coastal Business Advisors,These ads ran without a disclaimer,272,2
106725868296068,Clever-Inv,These ads ran without a disclaimer,267,2
28312410177,World Food Programme,These ads ran without a disclaimer,267,31
236829849700741,Al-Monitor,These ads ran without a disclaimer,258,1
100180230174085,Red Hat,These ads ran without a disclaimer,258,1
241313779312561,الهيئة الدولية للتحكيم,These ads ran without a disclaimer,256,1
100573865009935,WHO Foundation,These ads ran without a disclaimer,242,4
490043977685216,O/A level Memes by Zohaib Asad Academies,These ads ran without a disclaimer,239,51
111230774789987,Exolid,These ads ran without a disclaimer,237,1
102985641160017,مندوب الدوحة لتخليص المعاملات & Mandoob aldoha for clearing,These ads ran without a disclaimer,229,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,223,1
286407896530363,Vaal Turkey,These ads ran without a disclaimer,215,3
104408135050196,Infinity Property,These ads ran without a disclaimer,210,1
107475815326689,منصة مشيرب - Msheireb Platform,These ads ran without a disclaimer,206,6
100335382814549,Debagikuwait,These ads ran without a disclaimer,206,1
105645815681144,Jakir Hossain babu,These ads ran without a disclaimer,204,4
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,204,1
102983348817387,يونس عباد على النوبي,These ads ran without a disclaimer,203,6
102643112351705,Modern Families,These ads ran without a disclaimer,200,5
