Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
178362315106,European Parliament,European Parliament,4269631,3071
291177524360702,Partidul Social Democrat,Partidul Social Democrat,2877536,3094
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,2229949,4022
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,2226364,772
1058116737612843,USR,Uniunea Salvați România,2109224,778
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,1687539,2191
107898832590939,European Commission,European Commission,1395054,565
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,788567,1027
990747367737692,Cătălin Drulă,Uniunea Salvați România,725313,265
799949990211564,Ioana Ramona Bruynseels,Ramona Ioana Bruynseels,631019,854
149371012371397,Newsweek Romania,Newsweek Romania,533499,4514
176989973158138,Guvernare.net,Guvernare.net,527750,393
207255636351408,Dan Barna,Uniunea Salvați România - USR,512232,249
2546711162025064,Politice.net,politice.net,453118,512
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,413774,110
163943696987223,Ziarul Puterea,Ziarul Puterea,391986,5635
1504323906337545,Litere.net,litere.net,387127,407
686190454826244,Declic,Declic,385335,6322
123526378261795,Stiri Locale,Stiri Locale,378404,435
102601499822802,RMDSZ,RMDSZ,377918,2149
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,372261,159
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,357473,113
112664490103704,Salvăm România,Salvăm România,333300,261
1058116737612843,USR,Uniunea Salvați România - USR,312856,236
445242878916307,Readlog,Readlog News,304538,317
291132089193,Greenpeace Romania,Greenpeace Romania,299361,888
181375448581167,Partidul Naţional Liberal,Future Innovation SRL,293515,65
1449284915381234,Ionel Bogdan,PNL Maramureş,286685,1208
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,263897,415
181375448581167,Partidul Naţional Liberal,Future Innovation,252947,114
167669676772029,Vasile Cristian Lungu - Senator PMP,Partidul Mișcarea Populară,242614,213
770704223323599,Dezvoltăm România,Future Innovation,238025,181
1208682419220715,Sorin Grindeanu,Partidul Social Democrat,234824,283
106302366059916,Salvati Copiii Romania,Andra Apreotesei,227193,21
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,216630,142
207741001672,Speranta pentru Romania,Speranta pentru Romania,214743,261
175293925828191,Kelemen Hunor,RMDSZ,200619,1165
1100459663338217,News.ro,News.ro,196474,1161
252950101538687,PNL Cluj,TMK Research Services,189634,213
1537065229900944,Daniel Florea,Daniel Florea,174530,167
697451833786949,Mihai Polițeanu,POLITEANU MIHAI-LAURENTIU,173711,798
102025778125741,Robert Cazanciuc,Partidul Social Democrat,169236,246
1585170161775563,PSD Galati,Partidul Social Democrat Galati,163409,245
108295090637741,ASAP România,ASAP Romania,159498,296
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,159412,270
181375448581167,Partidul Naţional Liberal,Partidul Național Liberal,155380,68
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,152784,249
321890494859228,Vlad Gheorghe,GHEORGHE VLAD-DAN,152310,510
230785173665770,Nicușor Dan,Nicușor Dan,148562,273
148993498505135,PNL Prahova,PNL Prahova,141371,751
115223543730170,Ludovic Orban,Partidul Naţional Liberal,140212,106
1769713886444816,Râsu Plânsu,Râsu Plânsu,136052,171
795022763862618,Viorel Cataramă,Dreapta Liberala,134879,55
168243139877442,BZI,BZI,133493,782
772823779394341,Mugur Cozmanciuc,Partidul Național Liberal,132832,108
178362315106,European Parliament,These ads ran without a disclaimer,130367,29
147547541961576,Council of the European Union,Council of the European Union,130174,908
336513669713770,PSD Brasov,PSD Brasov,127537,179
731035500293728,Siegfried Muresan,Siegfried Muresan,127110,58
1424043861019646,Partidul Mișcarea Populară Cluj,Partidul Mișcarea Populară,125422,207
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Puterii Umaniste - Social Liberal,124070,81
1055101664610946,PSD Bucuresti,PSD București,123098,63
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,120592,77
678840505584990,PNL Bucuresti,PNL Filiala București,119786,429
1210260295704425,USR Arad,Uniunea Salvați Romania,118891,205
1592660281028385,USR Bihor,Uniunea Salvati Romania,115660,151
2177244962290894,PRO România,Networld IT&C SRL,111807,81
1792449434342411,USR Iași,Uniunea Salvați România - USR,111479,163
220579784732993,Daniel Buda,Buda Daniel,107790,2958
1933828876850844,Sondaje România,Sondaje.net,105487,189
1469610256621123,PNL Dambovita,PNL Dambovita,104944,1030
123910440019,Renew Europe,Renew Europe Group,103042,45
111755087129437,Știri din Cluj,Știri din Cluj,103004,31
427656597297153,Gabriela Firea,PSD București,100040,79
109556372802910,USR Dolj,Uniunea Salvați România,97259,205
243027859216579,Alfred Simonis,Partidul Social Democrat,97052,139
164390367008767,PNL Sibiu,PNL Sibiu,96370,1335
180167272027251,B1.ro,B1.ro,96229,664
227922987222524,Calin Popescu Tariceanu,ALDE,94464,251
100121064913116,Alianța USR PLUS Cluj,"Partidul Libertate, Unitate și Solidaritate",93500,103
678840505584990,PNL Bucuresti,Partidul Naţional Liberal,92465,448
112571523480822,Un Om Presedinte,Deep Knowledge,90952,196
182546041796641,Costel Alexe,Costel Alexe,90660,314
1465792233677604,PNL Maramureş,PNL Maramureş,88339,455
108295090637741,ASAP România,Fundatia The Institute,87944,193
574372066308729,Basism,Grupul de Investigatii Politice,87583,48
949310328493328,E5 News,E5News,87047,107
329619180721358,Cosette Chichirău,Uniunea Salvați România - USR,85225,56
28312410177,World Food Programme,These ads ran without a disclaimer,84951,231
230785173665770,Nicușor Dan,Partidul Național Liberal,84785,24
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,83713,83
100281298230215,Alianța USR PLUS Ilfov,"Partidul ""Uniunea Salvați România""",83266,22
298765223557508,Ionel Arsene,Media PR Grup,82993,172
100187575506085,Bogdan Balaniscu,Partidul Social Democrat,82653,174
505785196105852,Florian Bodog,Partidul Social Democrat,82315,103
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,82021,81
188485217832992,NewsFalcon,NewsFalcon,81629,56
150967671609795,Victor Ponta,Partidul PRO România București,81489,16
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,80608,49
670691623386469,Cristian Moș,Cristian Alin Mos,80074,392
291871461655780,PLUS Bucureşti,PLUS Bucureşti,79703,101
932511363436611,Cristian Dima,OPYUM ADVERTISING CA SRLD,77179,154
2274642619442922,Dominic Fritz,USR Timiș,76936,119
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,76910,38
108331397335412,Eduard Ciceu,Eduard Ciceu,76682,396
215328865181171,Borboly Csaba,Borboly Csaba,76613,627
143378845861681,PNL Mures,PNL Mures,75599,1170
873737539404529,USR Timiș,USR Timiș,75537,120
104339127576831,Ziareazi.ro,ziareazi.ro,75404,1401
1723480164579572,USR Brașov,Uniunea Salvați România,74122,67
708767705922205,Eurotrans Alapítvány,Eurotrans Alapítvány,73966,1205
1362765070466111,PMP Prahova - Oficial,PMP Prahova,73358,479
1587678041519354,PNL Neamt,Partidul National Liberal,73001,131
196347590385196,NewsGroup.biz,News-Group.biz,72657,52
117682741602835,Online Report,Online Report,71343,103
185088338177066,PNL IASI,PNL IASI,71288,458
252218321561994,Lia Olguta Vasilescu,PSD Dolj,71090,53
616741628836453,Adrian Câciu,Partidul Social Democrat,71015,99
697032654017634,Voicu Ion Valentin,ALDE Sector 5 - Alianta Liberalilor si Democratilor,70326,178
325161187517978,Marian Oprișan,Marian Oprișan,70030,101
100121064913116,Alianța USR PLUS Cluj,Partidul Uniunea Salvati Romania,69858,245
236992636715917,Simona Maria Vlădica,Partidul Mișcarea Populară Călărași,67930,158
144439666313596,Știri 365,Știri 365,67887,56
