Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
191969467500496,Српска напредна странка,Српска напредна странка,69037,185
258513235094823,Dela Govore,Српска напредна странка,58845,182
102590064995876,Alo.rs,Alo.rs,57886,64
246944101993258,CRTA,CRTA,57023,816
102921657972863,Nova.rs,Nova.rs,52306,667
434923669883731,Александар Вучић,Српска напредна странка,44528,62
100923032707648,Wine Vision by Open Balkan,Open Balkan,41545,266
434923669883731,Александар Вучић,Александар Вучић,40808,71
183252701187,Istinomer.rs,Istinomer.rs,40135,1386
101082364645477,Двери - Dveri,Двери,38446,158
246511218867585,Danas,Danas,38333,957
304120226274952,Aleksandar Šapić,aleksandar sapic,37769,127
103423108705260,Gorući problem,Gorući problem,29063,161
1616815218590191,KRIK - Mreža za istraživanje kriminala i korupcije,KRIK - Mreža za istraživanje kriminala i korupcije,27791,777
293271104377513,N1 Srbija,N1 Srbija,27750,467
245282178877178,Telegraf,Telegraf,23677,268
235273483632649,Покрет обнове Краљевине Србије - ПОКС,Покрет обнове Краљевине Србије,20954,55
345800998930745,Ne davimo Beograd,Ne davimo Beograd,19578,494
103153208678698,Naš Beograd,nas beograd,19482,173
984695034950461,Национално Демократска Алтернатива - НАДА,Покрет обнове Краљевине Србије,18684,65
337416710313392,Pristojna Srbija,Pristojna Srbija,17366,189
235273483632649,Покрет обнове Краљевине Србије - ПОКС,Покрет обнове Краљевине Србије - POKS,17212,204
215439965995258,Stranka slobode i pravde,Stranka slobode i pravde,16337,858
106722111386667,Vojvodina Uživo,Katarina Miskovic,16161,1669
49870370056,Boris Tadic,Socijaldemokratska stranka,15670,29
102267682034717,Градске инфо,Gradske Info,15660,663
210065145672911,EU u Srbiji,EU u Srbiji,15127,452
1397123287198679,ДЈБ - Суверенисти,DJB Suverenisti,14796,185
140578452656879,Direktno.rs,Direktno.rs,14612,1149
2130156697257912,Objektiv,Objektiv,14605,1044
1469729383308853,EU info point Novi Sad,EU u Srbiji,13784,587
204276009718,Beogradska otvorena škola,Beogradska otvorena škola,13111,603
111427980362336,Opre Roma Srbija,Opre Roma Srbija,12796,709
111483078092875,MORAMO,Moramo,12512,454
156860654437020,Otvoreni parlament,Otvoreni parlament,12157,398
111333260723944,Zdravko Ponoš,"Grupa građana za ujedinjenu, pravednu i stabilnu Srbiju",10998,49
393052167941941,Naprednjaci,Naprednjaci,10673,155
1973160299611530,Dr. Pásztor Bálint,VMSZ,10661,120
1704843222876910,Горан Весић,Goran Vesic,10314,421
387530212111708,Za Evropu,za evropu,10239,104
258513235094823,Dela Govore,150+ Borba za bolji zivot u Srbiji,9765,166
108993577687481,Neću da ćutim,Homepage,9331,220
110977823826831,Pásztor István,VMSZ,9153,69
1527870447492963,Cenzolovka,Cenzolovka,8709,441
1834120283540997,Милош Јовановић,Милош Јовановић,8438,62
343373246385000,Volimo srpsku opoziciju,volimo srpsku opoziciju,8176,13
1973160299611530,Dr. Pásztor Bálint,Dr. Pásztor Bálint,8046,462
1704843222876910,Горан Весић,Горан Весић,7818,449
116110645099483,Propulsion,Propulsion,7194,361
387530212111708,Za Evropu,Za Evropu,7062,84
1441842582699732,Socijaldemokratska stranka,Socijaldemokratska stranka,6980,92
107823704142670,Nova.rs sport,Nova.rs sport,6775,116
263845257057091,Krovna Organizacija Mladih Srbije,Krovna organizacija mladih Srbije,6731,254
307026496011499,Vajdasági Magyar Szövetség - VMSZ,VMSZ,6648,46
106722111386667,Vojvodina Uživo,Vojvodina uživo,5998,704
777163245994524,Potent - Nacionalni centar za seksualno i reproduktivno zdravlje,Nacionalni centar za seksualno i reproduktivno zdravlje - Potent,5749,76
117377498325884,Kurir,Adria media group,5721,28
107217828565403,Ujedinjeni za pobedu Srbije,Ujedinjeni za pobedu,5620,21
216096575131486,Novinska agencija BETA,Novinska agencija Beta,5443,259
107082327552063,Nova.rs showbiz,Nova.rs,5147,68
1771333296460672,Demostat,Demostat,5001,501
103096075252034,Srbija Inovira,Srbija Inovira,4914,99
393052167941941,Naprednjaci,Naprednjaci sns,4870,44
103824001579111,Pravo na život - Meri,Pokret pravo na život - Meri,4496,18
152767948661281,Raskrikavanje,RasKRIKavanje,4496,320
2039702679637751,RERI,RERI Regulatorni institut za obnovljivu energiju i životnu sredinu,4491,69
1650732258548484,ДВЕРИ Београд,Двери,4476,32
1360006864069408,Српски јунаци,Vazno,4388,67
102556346053828,Zajedno Beograd,Zajedno,4308,49
121761709667742,Novi dan Srbija,N1 Srbija,4280,101
102456295621194,Danas - Niš,Danas,4230,113
101562892383715,Predsednik opštine Ruma,Ana Pavlović,4059,86
101851901674740,Ovako stoje stvari,Propulsion,4000,167
263845257057091,Krovna Organizacija Mladih Srbije,Krovna Organizacija Mladih Srbije,3952,124
603319446444399,EU info point Nis,EU info point Nis,3910,168
154138921968046,A11 - Inicijativa za ekonomska i socijalna prava,A11 - Inicijativa za ekonomska i socijalna prava,3905,35
102123055654743,Danas - Kragujevac,Danas,3884,89
1700745466810574,Prosperitati - A közös jövőért,Prosperitati,3775,29
100708749133700,Danas - Subotica,Danas,3697,87
108826771639193,Danas - Zrenjanin,Danas,3681,92
101817319019852,Danas - Užice,Danas,3636,95
110780056089231,Pokret slobodnih građana,Pokret slobodnih građana,3588,124
143733409088932,Милош Вучевић,Miloš Vučević,3313,39
324754587355,Liga socijaldemokrata Vojvodine,Liga socijaldemokrata Vojvodine,3298,148
101079362428793,Danas - Novi Sad,Danas,3168,68
103153208678698,Naš Beograd,Naš Beograd,3037,52
102739219007640,Београд те зове,Ujedinjeni za pobedu,3020,31
1876417009336904,Glas Šumadije,Glas Šumadije,2993,314
324311091398726,Министарство унутрашњих послова Републике Србије,Homepage,2949,112
104830385644206,Srbija uživo,Srbija uživo,2933,31
107870867370960,Otvorena vrata pravosuđa,YUCOM Komitet pravnika za ljudska prava/Lawyers' Committee for Human Rights,2933,168
106366015019404,За Косово и Метохију,За Косово и Метохију,2925,42
595361640508229,Stranka pravde i pomirenja - SPP,Stranka pravde i pomirenja,2909,30
108304948358453,Danas - Novi Pazar,Danas,2851,72
240702313919592,24sedam,24sedam,2847,48
106423655289757,Danas - Šabac,Danas,2813,66
1436113986674689,Српска странка Заветници,Српска странка Заветници,2812,39
103580352172539,Danas - Vranje,Danas,2717,79
346897832851471,SNS Zaječar,Za budućnost Zaječara - Aleksandar Vučić,2713,7
212784378797050,POKS Novi Sad - Покрет обнове Краљевине Србије Нови Сад,POKS Novi Sad - Покрет обнове Краљевине Србије Нови Сад,2709,61
108305784081042,Juhász Bálint,VMSZ,2572,13
113610607896658,Danas - Zaječar,Danas,2553,68
111142288175510,IDE GLAS,Centar e8,2341,24
104110142280282,Војислав Михаиловић,Покрет обнове Краљевине Србије,2337,5
109452798317671,Danas - Jagodina,Danas,2324,54
107992368833439,Beogradski duh Nove godine,Beogradski duh,2302,91
153043894903253,CINS - Centar za istraživačko novinarstvo Srbije,CINS - Centar za istraživačko novinarstvo Srbije,2257,145
104961714477529,Glas javnosti,Glas javnosti,2240,171
237101165054,Medija centar,Medija centar,2192,162
121145601249278,A1 Srbija,These ads ran without a disclaimer,2179,2
736583270091163,Покрет обнове Краљевине Србије Бечеј - POKS BEČEJ,Jasmin Hamzić,2158,56
28312410177,World Food Programme,These ads ran without a disclaimer,2148,206
713203985462065,Милица Ђурђевић,Српска странка Заветници,2113,20
511144218927666,Zajedno,Zajedno Moramo,2076,85
1237357383044587,CESID - Centar za slobodne izbore i demokratiju,Centar za slobodne izbore i demokratiju,2075,23
50419870913,Зајечарско пиво,These ads ran without a disclaimer,2072,6
87573883393,SDP,Dzemaludin Paucinac,2054,63
742677192449159,Institut za evropske poslove,IEP,2039,48
100504564868806,Kovács Elvira,VMSZ,2020,26
371764683018,Bezbednost.org,Bezbednost.org,2005,122
100983904748751,Vladan Zagradjanin,Vladan Zagradjanin,2003,101
105240548669810,Danas - Majdanpek,Danas,1999,45
108174687251720,Magyarország Főkonzulátusa Szabadka,Magyarország Főkonzulátusa Szabadka,1937,11
153043894903253,CINS - Centar za istraživačko novinarstvo Srbije,CINS,1922,102
101562892383715,Predsednik opštine Ruma,Opština Ruma,1922,47
245282178877178,Telegraf,Telegraf.rs,1895,33
246833378660829,Partneri Srbija,Partneri Srbija,1894,28
217288163671,Министарство одбране и Војска Србије,Homepage Doo,1838,19
1650732258548484,ДВЕРИ Београд,Александар Новаковић,1805,16
176964432373293,BIZLife Portal,BIZLife Portal,1752,65
111233287017099,Fremond Árpád,VMSZ,1749,12
1461069347444203,Slavko Curuvija fondacija,Slavko Curuvija fondacija,1725,76
110544521465268,Danas - Kikinda,Danas,1673,41
