Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
100904822517086,Non-trivial,These ads ran without a disclaimer,≤100,14
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,8
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
2342751672484288,Isaac Agape Israel,These ads ran without a disclaimer,≤100,1
105453162341318,Africa Key Stories,These ads ran without a disclaimer,≤100,1
91380973561,The Elders,These ads ran without a disclaimer,≤100,1
256403061555011,Lead Africa International,These ads ran without a disclaimer,≤100,4
565225540184937,CGTN,These ads ran without a disclaimer,≤100,37
107401631044949,The Africa Soft Power Project,These ads ran without a disclaimer,≤100,1
287277955614,Apostle Mary Magdalene Wangui,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,7
112480938779166,Kakande Ministries,These ads ran without a disclaimer,≤100,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,4
749451805163666,Australian Iranian Community of Newcastle - AICN,These ads ran without a disclaimer,≤100,1
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
102502621977163,UAE Africa Connect,These ads ran without a disclaimer,≤100,5
115011283241670,Ellen Kampire,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,10
110305757909105,Ecowatt,These ads ran without a disclaimer,≤100,3
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,3
101465785851866,trustdaniel,These ads ran without a disclaimer,≤100,1
2092419117716420,Kusi Ideas Festival,These ads ran without a disclaimer,≤100,1
259722110859156,Slum2School Africa,These ads ran without a disclaimer,≤100,1
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,≤100,13
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,37
121666050921250,frm.com,These ads ran without a disclaimer,≤100,5
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,3
119983801001513,Centre d'Alerte et de Prévention des Conflits-CENAP,These ads ran without a disclaimer,≤100,1
116399550485521,MAMA,These ads ran without a disclaimer,≤100,1
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,6
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,28
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,≤100,11
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,29
358856381422626,livinepistle,These ads ran without a disclaimer,≤100,2
189047741150528,UN-REDD Programme (FAO/UNDP/UNEP),These ads ran without a disclaimer,≤100,2
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
550280998481446,Rasha Kelej,These ads ran without a disclaimer,≤100,9
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,24
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,39
131189377574,MDPI,These ads ran without a disclaimer,≤100,43
2025869760851914,Jean Claude M. Abayo,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,2
199105454128,German Information Centre Africa,These ads ran without a disclaimer,≤100,3
1108711572555122,GE Africa,These ads ran without a disclaimer,≤100,2
134278719946186,Bayer,These ads ran without a disclaimer,≤100,4
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
485947941433645,Novo Nordisk Haemophilia Foundation,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,29
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,10
153687711327670,Clean Cooking Alliance,These ads ran without a disclaimer,≤100,4
153632746935,FRANCE 24,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,14
150865011605059,DreamTeaM SC.,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,9
151409322217001,Berlin School of Business & Innovation - BSBI,These ads ran without a disclaimer,≤100,3
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,5
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
106827194681183,Africa Equity Media,These ads ran without a disclaimer,≤100,14
114232667071135,amuka_sasa,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,7
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
371171589575669,China.org.cn,These ads ran without a disclaimer,≤100,7
106783670710235,ADESIS GROUP,These ads ran without a disclaimer,≤100,1
164432246934163,Chopard,These ads ran without a disclaimer,≤100,2
1826241344357594,MultiChoice Group,These ads ran without a disclaimer,≤100,3
176585044433,FRANCE 24 English,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,65
401958913937196,Denise Nyakeru Tshisekedi,These ads ran without a disclaimer,≤100,1
106531742236577,pawpafrica,These ads ran without a disclaimer,≤100,1
621512811261027,IMF Africa,These ads ran without a disclaimer,≤100,1
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,≤100,1
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,22
104981945827295,kicks__emporium502,These ads ran without a disclaimer,≤100,1
371227786709544,Refund Express LLC,These ads ran without a disclaimer,≤100,3
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,6
104832258393471,excelasaph,These ads ran without a disclaimer,≤100,1
101733281582598,Grupa93,These ads ran without a disclaimer,≤100,1
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,6
106321962111925,taboo_empower,These ads ran without a disclaimer,≤100,2
18017481462,Acton Institute,These ads ran without a disclaimer,≤100,1
105012451157797,Uniathena - Short Courses,These ads ran without a disclaimer,≤100,2
108012784979216,rruz_design,These ads ran without a disclaimer,≤100,2
250343022015124,Bridge Liberia,These ads ran without a disclaimer,≤100,3
358481724165689,UTS International Students,These ads ran without a disclaimer,≤100,1
117621581593054,TV5MONDE Afrique,These ads ran without a disclaimer,≤100,1
119405895873,Huawei,These ads ran without a disclaimer,≤100,2
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,9
100151016279664,CHW 2023 Symposium Liberia,These ads ran without a disclaimer,≤100,1
112880083626983,Mon Pékin Express avec Shanhui,These ads ran without a disclaimer,≤100,4
110250330354380,Discover Beijing,These ads ran without a disclaimer,≤100,4
112204658447734,Ca Ro Le Hess,These ads ran without a disclaimer,≤100,1
106423254910166,Le Docteur Aicha Yatabary,These ads ran without a disclaimer,≤100,8
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,4
101485672752513,Scholarships Academics,These ads ran without a disclaimer,≤100,3
454368994983849,Enterprising China,These ads ran without a disclaimer,≤100,2
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,2
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,19
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,4
176104589110851,IEEE,These ads ran without a disclaimer,≤100,2
146627512070062,International Air Transport Association (IATA),These ads ran without a disclaimer,≤100,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
105186365579238,Fatima BEYINA-MOUSSA,These ads ran without a disclaimer,≤100,2
719924228354168,Dr. Sèdami Medegan Fagla,These ads ran without a disclaimer,≤100,1
971722152871838,Impact Mapper,These ads ran without a disclaimer,≤100,3
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,3
114186743283123,Australia Express,These ads ran without a disclaimer,≤100,1
117741954907367,TeachingEnglish - British Council,These ads ran without a disclaimer,≤100,1
1767096530199949,Zhejiang University,These ads ran without a disclaimer,≤100,4
107823491099101,01_jay_kayy_nottz,These ads ran without a disclaimer,≤100,1
198722273488352,The World's 50 Best Restaurants,These ads ran without a disclaimer,≤100,1
103583955836259,Tout sur l'Afrique,These ads ran without a disclaimer,≤100,1
110544031660373,Enjoy Love Story,These ads ran without a disclaimer,≤100,3
104862035734034,Inua Mama Mashinani Jenga Taifa,These ads ran without a disclaimer,≤100,1
184494515713,On The Run With P,These ads ran without a disclaimer,≤100,1
193159954041877,New Narratives,These ads ran without a disclaimer,≤100,4
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,4
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,4
