Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
101266249141558,هيئة تطوير محمية الملك سلمان بن عبدالعزيز الملكية,هيئة تطوير محمية الملك سلمان بن عبدالعزيز الملكية,115289,25
100249492929972,المنصة العامة,These ads ran without a disclaimer,59598,15
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,33968,17
111954503484058,Emirates NBD بنك الإمارات دبي الوطني,These ads ran without a disclaimer,32087,2
102614571880993,Public Investment Fund,These ads ran without a disclaimer,24970,6
285057535745790,Graphics Boutique,Graphics Boutique,21900,8
104686411709223,Al Awsat Academy,These ads ran without a disclaimer,18579,4
103089325663070,Saudi Arabia-New Year Winners,These ads ran without a disclaimer,17574,55
266790296879,Bloomberg,These ads ran without a disclaimer,10783,36
105847949124690,Ask AI - Chat App powered by GPT-4,These ads ran without a disclaimer,10728,1
104184946332304,Anghami,These ads ran without a disclaimer,10329,11
101664125980253,مـنـحـة الـخيـر والامـل,These ads ran without a disclaimer,9680,130
386952022175153,Matarat Holding,These ads ran without a disclaimer,9000,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,8583,4
106695651835392,Riyadh Expo 2030,These ads ran without a disclaimer,8032,2
109543748087098,عبايه أمول,These ads ran without a disclaimer,7894,8
110590894763202,أخبارنا السعودية,These ads ran without a disclaimer,7755,1
2265435786831695,وزارة الثقافة Ministry of Culture,These ads ran without a disclaimer,7100,5
101092582713366,مـنـحـة الـخيـر والامـل,These ads ran without a disclaimer,7099,58
100405782604182,Saudi Arabia-New Year Winners,These ads ran without a disclaimer,6668,14
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,6332,12
216311481960,Bill Gates,These ads ran without a disclaimer,5814,110
376577805687634,6thStreet,These ads ran without a disclaimer,5393,2
100855015889777,Saudi Arabia-New Year Winners,These ads ran without a disclaimer,4096,11
271672772867718,المراعي - Almarai,These ads ran without a disclaimer,3988,2
101837288924546,Muslimi,These ads ran without a disclaimer,3253,102
393320984448975,On Time Cafe & Resturant,These ads ran without a disclaimer,3032,8
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,2943,9
143360106221153,الأسطول الحديث لتأجير السيارات,These ads ran without a disclaimer,2938,1
101769820286547,Prince Mohammed Bin Salman College - MBSC,These ads ran without a disclaimer,2907,6
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,2661,24
220128938133929,AIM Congress,These ads ran without a disclaimer,2620,5
347135082762359,Salman F Rahman,These ads ran without a disclaimer,2543,3
425106448078044,"Ministry of Law, Singapore",These ads ran without a disclaimer,2517,1
102788938573192,The Investor,These ads ran without a disclaimer,2383,5
162952627207905,Moaid Mahjoub,These ads ran without a disclaimer,2345,7
147958921897855,Boehringer Ingelheim,These ads ran without a disclaimer,2317,1
100535281791786,meskcares,These ads ran without a disclaimer,2291,21
106271212357768,مـنـحـة الـخيـر والامـل,These ads ran without a disclaimer,2273,25
241313779312561,الهيئة الدولية للتحكيم,These ads ran without a disclaimer,2254,2
117543108105571,القضية الغامضة,These ads ran without a disclaimer,2203,1
1024026127662237,Ministry of Energy - Kingdom of Saudi Arabia وزارة الطاقة,These ads ran without a disclaimer,2107,7
552568131915630,KingdomNow2030,These ads ran without a disclaimer,1893,1
111572581677199,المجمع التخصصي الطبي سوان,These ads ran without a disclaimer,1828,5
106922439149584,Bluejayy,These ads ran without a disclaimer,1780,1
111029958476501,51Talk Saudi Arabia,These ads ran without a disclaimer,1764,1
107125018725776,حلويات كادي - Cady sweets,These ads ran without a disclaimer,1698,1
826236487386897,امتلاك العقارية,These ads ran without a disclaimer,1662,1
190297627669223,Jarir Bookstore مكتبة جرير,These ads ran without a disclaimer,1651,1
119405895873,Huawei,These ads ran without a disclaimer,1628,16
134177196454156,Sater-01,These ads ran without a disclaimer,1603,1
156850176567,المجلة,These ads ran without a disclaimer,1551,37
100256512851613,May Purple,These ads ran without a disclaimer,1540,1
236829849700741,Al-Monitor,These ads ran without a disclaimer,1460,2
103957031902669,Foundation International Management- مؤسسة الإدارة الدولية,These ads ran without a disclaimer,1403,3
110138012022107,Children Of Gaza,These ads ran without a disclaimer,1355,1
115654877692105,Aqary Bay,These ads ran without a disclaimer,1332,3
104790695492730,Saudi Arabia-New Year Winners,These ads ran without a disclaimer,1318,3
358062631452491,Saudi Water Sports & Diving Federation,الاتحاد العربي السعودي للرياضات البحرية,1301,6
0,Instagram User 2674766807,These ads ran without a disclaimer,1252,1
112167551744075,رحلات تجديد الزيارة العائليه من مكه وجده,These ads ran without a disclaimer,1180,1
490043977685216,O/A level Memes by Zohaib Asad Academies,These ads ran without a disclaimer,1079,51
715337551812957,One Ummah,These ads ran without a disclaimer,1069,13
192381083777,Hyundai Worldwide,These ads ran without a disclaimer,1019,9
105671161979887,أخبار السعودية,These ads ran without a disclaimer,979,2
285057535745790,Graphics Boutique,These ads ran without a disclaimer,979,2
