Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1435086316509353,UNDP Solomon Islands,These ads ran without a disclaimer,≤100,4
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
652715724788292,Solomon Islands Electoral Commission,Solomon Islands Electoral Commission,≤100,3
110801873957389,Pacific Security College,These ads ran without a disclaimer,≤100,8
791961090884741,BenarNews,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,UN Environment Programme,≤100,15
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,95
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,67
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
111650998303687,Conwoman CATHY ROY VUNI,These ads ran without a disclaimer,≤100,1
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,5
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,72
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,4
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,16
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,2
110949418465229,ICT & Internet,These ads ran without a disclaimer,≤100,1
119405895873,Huawei,These ads ran without a disclaimer,≤100,15
7297163299,Greenpeace International,These ads ran without a disclaimer,≤100,3
208685479508187,U-Report,These ads ran without a disclaimer,≤100,7
102629751401610,Agnes Gateway Hotel,These ads ran without a disclaimer,≤100,1
101337529525178,David Mae,These ads ran without a disclaimer,≤100,1
104399134715456,CRC Public Relations Pacific,These ads ran without a disclaimer,≤100,1
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,13
211113992385727,It's a Penalty,These ads ran without a disclaimer,≤100,1
609245665885381,The University of the South Pacific Students' Association,These ads ran without a disclaimer,≤100,3
109649454603118,FAO Pacific,These ads ran without a disclaimer,≤100,1
461484337565161,Pacific Island Food Revolution,These ads ran without a disclaimer,≤100,3
102328765911090,INFO OPM TPNPB-OPM News,These ads ran without a disclaimer,≤100,2
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,21
102874232203527,New Page,These ads ran without a disclaimer,≤100,10
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,9
106905656797560,Nia Tero,These ads ran without a disclaimer,≤100,1
168599115038,UNICEF Pacific,These ads ran without a disclaimer,≤100,1
106903467464832,View Information,These ads ran without a disclaimer,≤100,5
100929648464258,Global Alliance of Territorial Communities,These ads ran without a disclaimer,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,6
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,16
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,8
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,6
578993635565332,One Voice Weekday Devotionals with Maria Adams,These ads ran without a disclaimer,≤100,1
104159349207247,B O S E,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,6
105561681849302,Spires Project,These ads ran without a disclaimer,≤100,1
6651543066,CNN Business,These ads ran without a disclaimer,≤100,14
106019112417663,Bougainville College,These ads ran without a disclaimer,≤100,1
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,7
115591005188475,Global Times,These ads ran without a disclaimer,≤100,6
103733302465216,New Page,These ads ran without a disclaimer,≤100,2
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,11
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,≤100,2
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
147075582050749,Pacific-Community-SPC,These ads ran without a disclaimer,≤100,1
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,52
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,44
104304855324448,Saudi Arabia's Reality,These ads ran without a disclaimer,≤100,6
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,11
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,69
179531808860625,Claytan,These ads ran without a disclaimer,≤100,8
265345800469382,Hyundai Motor Group,These ads ran without a disclaimer,≤100,3
125292411482862,New Zealand Ministry of Foreign Affairs and Trade,These ads ran without a disclaimer,≤100,2
105808001847701,Populist Online,These ads ran without a disclaimer,≤100,17
738777416145406,The Agam Agenda,These ads ran without a disclaimer,≤100,4
143784343079023,PCRIC,These ads ran without a disclaimer,≤100,1
106300009132183,Pacific Women in Power,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,19
845620825830146,Deel,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,4
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,6
712936602124528,"Pacific Theological College, Suva, Fiji Islands",These ads ran without a disclaimer,≤100,1
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,35
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,16
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,13
101082842736363,The world of reader,These ads ran without a disclaimer,≤100,4
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,47
101368689303795,New China Research,These ads ran without a disclaimer,≤100,5
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,12
218487628613023,"Acatech Aviation College, PNG",These ads ran without a disclaimer,≤100,2
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,2
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,4
122107795658000754,FLORY Green Material,These ads ran without a disclaimer,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,78
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,6
525102824185497,Indo-Pacific Defense Forum,These ads ran without a disclaimer,≤100,6
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,4
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
111934001883608,Emília Anastasia,These ads ran without a disclaimer,≤100,1
110979294923104,Secretos de la Música,These ads ran without a disclaimer,≤100,2
102235145864172,What's On,These ads ran without a disclaimer,≤100,2
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100,2
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100,2
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,≤100,9
598705943508458,ADB Publications,These ads ran without a disclaimer,≤100,1
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100,8
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,6
1740336349557186,Colby Jeffers,These ads ran without a disclaimer,≤100,2
106366418121233,Australia Awards Philippines,These ads ran without a disclaimer,≤100,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,5
1174024365982168,Howard的家居好物推荐,These ads ran without a disclaimer,≤100,1
115363288200059,Henrique M. Lopes,These ads ran without a disclaimer,≤100,1
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,4
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,28
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,10
102860875465067,New Marco Polo,These ads ran without a disclaimer,≤100,2
105232749009654,The Journal,These ads ran without a disclaimer,≤100,1
159050394216641,The Jerusalem Post,These ads ran without a disclaimer,≤100,7
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,8
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,3
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,43
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
2610140028997323,Uniathena,These ads ran without a disclaimer,≤100,5
106479017486767,Mercy to Humanity - جَمْعِيَة رَحْمَةً لِلْعَالَمِين,These ads ran without a disclaimer,≤100,6
1670562993161219,Wameblood,These ads ran without a disclaimer,≤100,1
107996315091233,月旦港事,These ads ran without a disclaimer,≤100,7
109872218653593,American SolarX,These ads ran without a disclaimer,≤100,1
156438014212695,Blessed Online Business Pacific,These ads ran without a disclaimer,≤100,1
100621219452909,Guoou sweater factory,These ads ran without a disclaimer,≤100,1
100823192690476,Jennifer Davis,These ads ran without a disclaimer,≤100,1
111416867840112,Massey University: College of Humanities and Social Sciences,These ads ran without a disclaimer,≤100,1
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100,3
220247148525333,Rabindranath Tagore Literary Prize,These ads ran without a disclaimer,≤100,1
182776058253873,Kadere Party,These ads ran without a disclaimer,≤100,1
101485486059705,Fusion Shearing Crusher,These ads ran without a disclaimer,≤100,1
1435681100007859,Uniting Church NSW & ACT,These ads ran without a disclaimer,≤100,2
1478384049138593,Samson Lee Fiji,These ads ran without a disclaimer,≤100,1
102300279228311,MadeinChina,These ads ran without a disclaimer,≤100,2
1587313088233587,Ideagen,These ads ran without a disclaimer,≤100,1
1590877284560136,Patti Harris,These ads ran without a disclaimer,≤100,5
107920015955441,Webmedia South Pacific,These ads ran without a disclaimer,≤100,2
153371894688575,World Bank,These ads ran without a disclaimer,≤100,11
105712015594786,Diego Andrade,These ads ran without a disclaimer,≤100,2
33575580843,Microsoft Research,These ads ran without a disclaimer,≤100,1
1881543645439590,Tech It Out with Yang Zhao,These ads ran without a disclaimer,≤100,7
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,2
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,≤100,1
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,25
103438711696898,Angelo Caltagirone - Meridiano Music,These ads ran without a disclaimer,≤100,1
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,4
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,14
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,6
101462499658434,Easy PdF/08,These ads ran without a disclaimer,≤100,1
212428362170262,"NGO & Civil Society Center, Asian Development Bank ADB",These ads ran without a disclaimer,≤100,3
123572367496203,Mɪᴄʜᴇʟʟᴇ Rᴏᴅʀɪɢᴜᴇᴢ Fans,These ads ran without a disclaimer,≤100,1
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,5
10606591490,TIME,These ads ran without a disclaimer,≤100,3
111520808657005,Jason Koesana Sareke,These ads ran without a disclaimer,≤100,1
1285540898206012,Zimbabwe Farm Project,These ads ran without a disclaimer,≤100,1
858692494244840,"Casas De Walker - Brenda and Chris Walker, Keller Williams PSL",These ads ran without a disclaimer,≤100,1
101103628988991,China Says,These ads ran without a disclaimer,≤100,2
110367131856162,海南自由貿易港,These ads ran without a disclaimer,≤100,3
101998658413144,Black Streak Anime,These ads ran without a disclaimer,≤100,9
145327659223282,Nature Index,These ads ran without a disclaimer,≤100,1
105558754896,Deadline Hollywood,These ads ran without a disclaimer,≤100,2
106615745485833,Crime News Online,These ads ran without a disclaimer,≤100,2
126063053927713,Pro Power Efficiency Tech Inovation,These ads ran without a disclaimer,≤100,1
137690650043,Bain & Company,These ads ran without a disclaimer,≤100,1
18017481462,Acton Institute,These ads ran without a disclaimer,≤100,1
109926774968672,"Shenzhen Top-Peak Electronics Co.,Ltd.",These ads ran without a disclaimer,≤100,2
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100,3
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
986013844824671,In Zhejiang,These ads ran without a disclaimer,≤100,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
111916678305116,Warninski,These ads ran without a disclaimer,≤100,1
1456172994602986,Beacon of Hope,These ads ran without a disclaimer,≤100,1
