Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1730106533895976,Linyon Demokratik Seselwa,Vesna Rakic,2045,95
28312410177,World Food Programme,These ads ran without a disclaimer,289,202
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,143,78
1730106533895976,Linyon Demokratik Seselwa,Vesna Rakić,124,23
1445235859102828,Malaysia Education Centre - Seychelles,These ads ran without a disclaimer,≤100,1
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,16
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,41
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,≤100,15
1730106533895976,Linyon Demokratik Seselwa,These ads ran without a disclaimer,≤100,9
863792707294426,One Seychelles,These ads ran without a disclaimer,≤100,6
804997446264798,Chic Me,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
199492753720347,"Real People, Real Lives",These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,45
158714780827513,UNFPA,UNFPA,≤100,239
248986568895243,Speechify,These ads ran without a disclaimer,≤100,19
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,≤100,3
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,192
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100,14
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,23
1695889637360770,Hempire,These ads ran without a disclaimer,≤100,22
105700517879777,"Petisyon pour enpoz en moratwar lo louvertisman senkyenm generasyon, 5G",These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,53
101516212181501,AIO Browser,These ads ran without a disclaimer,≤100,7
1611053215802977,UBC Master of Engineering Leadership,These ads ran without a disclaimer,≤100,8
830015703781124,Arden University,These ads ran without a disclaimer,≤100,29
105447214916923,The Office of the Leader of United Seychelles,These ads ran without a disclaimer,≤100,2
1730630540553065,Curio,These ads ran without a disclaimer,≤100,4
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,19
1642147852781049,JOBO.sc,These ads ran without a disclaimer,≤100,3
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100,11
224533947578997,Airtel Seychelles,These ads ran without a disclaimer,≤100,1
115366836686423,Regrow My Planet,These ads ran without a disclaimer,≤100,355
157965634225679,Nations Unies,These ads ran without a disclaimer,≤100,2
584311918440395,World Health Organization African Region,These ads ran without a disclaimer,≤100,10
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,54
6013004059,The Economist,These ads ran without a disclaimer,≤100,39
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,4
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,44
109244204824687,Captive Creator,These ads ran without a disclaimer,≤100,15
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,≤100,8
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,97
101368738938397,Redefined Kindness,These ads ran without a disclaimer,≤100,9
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
104027915408507,ONU Climat,These ads ran without a disclaimer,≤100,4
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,52
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,22
68793499001,UNICEF,These ads ran without a disclaimer,≤100,44
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,14
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,4
687589164666184,MasterClass,These ads ran without a disclaimer,≤100,5
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,≤100,5
343459706117402,Word Collect,These ads ran without a disclaimer,≤100,3
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,6
106472402025613,Immigration offre d'emploi canadienne,These ads ran without a disclaimer,≤100,1
106065484513801,Merge Friends,These ads ran without a disclaimer,≤100,4
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,417
882544658795678,SlideQuest,These ads ran without a disclaimer,≤100,7
1355426087883151,Crypto.com,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,3
100126129326486,MSD for Mothers,These ads ran without a disclaimer,≤100,2
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,17
6431878727,The Economist Intelligence Unit,These ads ran without a disclaimer,≤100,23
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,26
130025717077175,The Orangutan Project,These ads ran without a disclaimer,≤100,17
1691667177798461,Brut,These ads ran without a disclaimer,≤100,1
157438094324143,The Nature Conservancy in Africa,These ads ran without a disclaimer,≤100,24
101414535360571,Raise Three Fingers,These ads ran without a disclaimer,≤100,11
103925538691221,Handcrafted Best,These ads ran without a disclaimer,≤100,5
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100,6
100685148155347,Friends of Confucius,These ads ran without a disclaimer,≤100,1
328771631175563,"Breeze: mood journal, diary",These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,10
124252504303223,UNICEF (FR),UNICEF,≤100,47
101625794824211,FBS Trader,These ads ran without a disclaimer,≤100,18
