Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
109555293685,gov.sg,Gov.sg,215254,469
453961014813944,UOB,UOB,131358,163
109555293685,gov.sg,These ads ran without a disclaimer,129304,73
322502513454,Singapore Democratic Party (SDP),Singapore Democratic Party (SDP),127723,90
176560205832891,Our SG – Home of Forward SG,Our SG – Home of Forward SG,121627,112
105680701779175,Founders' Memorial Singapore,Founders' Memorial Singapore,119530,147
365481993536188,TAFEP Tripartite Alliance for Fair and Progressive Employment Practices,TAFEP,115152,267
160823460655497,Lianhe Zaobao 联合早报,Lianhe Zaobao 联合早报,105407,1140
103944372988172,Singapore Ministry of Manpower,Singapore Ministry of Manpower,99592,59
129011692114,The Straits Times,The Straits Times,97901,318
176678252464215,OCBC,OCBC Bank,91911,192
343347583411734,歡樂大東家,These ads ran without a disclaimer,86319,40
108973843175,WWF-Singapore,WWF – World Wide Fund for Nature (Singapore),82690,302
110691394524219,SG New Homes,Ong Han Yang,80111,1677
288031731262011,The Business Times,The Business Times,72344,173
92744267226,REACHSingapore,REACHSingapore,66860,73
176678252464215,OCBC,These ads ran without a disclaimer,61899,633
204862942932993,Nikkei Asia,These ads ran without a disclaimer,59942,1367
425106448078044,"Ministry of Law, Singapore","Ministry of Law, Singapore",59269,441
109647569125933,"PUB, Singapore's National Water Agency",These ads ran without a disclaimer,57741,66
219541704832846,National Reading Movement,National Reading Movement,55868,95
103944372988172,Singapore Ministry of Manpower,Ministry of Manpower,53195,47
104519497996545,SG Homes.co,Ong Han Yang,52312,1282
121826275151894,NBA2K Mobile,These ads ran without a disclaimer,51682,4
103201521907090,Singapore New Launches,Ong Han Yang,49013,1378
699812100045380,SG Enable,SG Enable,46954,41
168442899846653,Ministry of Finance (Singapore),Ministry of Finance (Singapore),46795,35
626687907492630,MOSG,Millennials of Singapore,42941,51
259077840923556,AOX Singapore,AOX Singapore,41478,32
215341045518389,GIC,GIC,38896,15
109647569125933,"PUB, Singapore's National Water Agency","PUB, Singapore's National Water Agency",37767,25
119241174807079,NTUC LearningHub,NTUC LearningHub,34184,95
112251290459413,Temasek Trust,Temasek Trust,33377,48
349837171746401,Ministry of Trade & Industry,"Ministry of Trade and Industry, Singapore",32444,174
329706457215943,SkillsFuture SG,SkillsFuture SG,31786,12
115161084044,World Vision Singapore,World Vision Singapore,31289,246
107885086854,Clean & Green Singapore,National Environment Agency,30961,7
1816982155194392,NTUC Singapore,National Trades Union Congress,30022,60
102925526216666,Ng Kok Song,ACCSS Asia Pte Ltd,29522,185
279378280574499,Singapore New Home,Sim Hanwen,28863,321
165507888765,People's Association,The People's Association,28088,12
108914572502597,National Museum of Singapore,National Museum of Singapore,27858,5
168442899846653,Ministry of Finance (Singapore),These ads ran without a disclaimer,26295,37
102925526216666,Ng Kok Song,ACCSS Digital Pte Ltd,25561,193
192784814073493,Standard Chartered Singapore,These ads ran without a disclaimer,24685,15
553734938300855,Steve Tan,These ads ran without a disclaimer,24497,1113
403165229849291,Smart Nation Singapore,Smart Nation Singapore,24473,87
136176823413276,Eco-Business,Eco-Business,23968,177
312988068815449,DBS,DBS,22119,23
168071043252655,Pro Enterprise Panel - PEP,"Pro-Enterprise Panel, Ministry of Trade & Industry",21962,3
499886730606,National Youth Council Singapore,National Youth Council Singapore,21357,141
214889341167,Families for Life,Families for Life,20985,22
68793499001,UNICEF,These ads ran without a disclaimer,20795,139
358075914270353,Climate Change SG,Climate Change SG,20570,67
125279958350,Give.Asia,These ads ran without a disclaimer,20408,115
28312410177,World Food Programme,These ads ran without a disclaimer,19995,250
107219868780189,SG.TL 12,These ads ran without a disclaimer,19941,42
105293981720865,Ova Healthcare,These ads ran without a disclaimer,19104,6
108914572502597,National Museum of Singapore,These ads ran without a disclaimer,18574,5
110675714394503,SG Homes,Ong Han Yang,18398,498
129011692114,The Straits Times,These ads ran without a disclaimer,18197,121
1431290720462304,The Best of You - Julie's,Julie’s Manufacturing Sdn. Bhd.,17648,217
2093351790978732,Imprint: Learn Visually,These ads ran without a disclaimer,16702,6
106517704482191,Youthopia SG,National Youth Council,15594,134
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,15510,90
121790674546188,AsiaOne,AsiaOne,14369,407
109794604113535,Salt + Light Consultants,Lee Kai Teing,14097,13
101810572200610,Digital for Life - Singapore,Infocomm Media Development Authority (IMDA) Singapore,13898,12
176678252464215,OCBC,OCBC Bank,13896,15
1485486608381824,Singapore Chinese Cultural Centre 新加坡华族文化中心,Singapore Chinese Cultural Centre,13498,30
365481993536188,TAFEP Tripartite Alliance for Fair and Progressive Employment Practices,These ads ran without a disclaimer,13385,40
349837171746401,Ministry of Trade & Industry,Ministry of Trade & Industry,13268,90
108973843175,WWF-Singapore,These ads ran without a disclaimer,12306,132
205362186029,Credit Suisse,These ads ran without a disclaimer,12060,25
403165229849291,Smart Nation Singapore,Smart Nation and Digital Government Office (SNDGO),11648,57
467260466759436,Global Ehsan Relief,Global Ehsan Relief,11641,55
413150835409724,"Ministry of Culture, Community and Youth - MCCY","Ministry of Culture, Community and Youth - MCCY",11608,8
219808688070361,Ministry of Sustainability and the Environment,These ads ran without a disclaimer,11451,23
492779724105442,Calvin Cheng,Calvin Cheng,11243,50
287195427978924,Our Better World,Our Better World,10873,183
312988068815449,DBS,These ads ran without a disclaimer,10699,35
419647824743004,My Digital Lock Pte Ltd,These ads ran without a disclaimer,10268,1
105193687974134,TWC2 Tamil,Transient Workers Count Too - TWC2,10205,126
