Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,315120,762
107898832590939,European Commission,European Commission,170958,538
178362315106,European Parliament,European Parliament,137139,2875
600235073447674,Sme rodina,Sme rodina,117458,280
102146246492040,SMER - SSD,SMER - SD,102997,1068
121130481252381,Slovenská národná strana,Slovenská národná strana,93770,766
353195602108,Aliancia - Szövetség / Platforma Most-Híd Platform,Most-Híd (Híd-Most),92691,2356
1680731138870391,Štefan Harabin,Vlasť,86840,243
142965026500972,Michal Truban,Progresívne Slovensko,85376,907
1495199624026639,Andrej Danko - predseda SNS,Slovenská národná strana,82469,562
163449818290,KDH,KDH,78441,1148
335875173768348,Dobrá voľba,Dobrá voľba,69370,250
1928247723902365,Humánny pokrok,Humánny pokrok,69158,904
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,64633,766
557862947737785,Progresívne Slovensko,Progresívne Slovensko,60914,522
312985238719495,Miroslav Beblavý,Progresívne Slovensko,55866,625
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,51582,862
109669047774695,Brainee.sk,"MAFRA Slovakia, a.s.",49913,6573
136393915480,Človek v ohrození,Človek v ohrození with Facebook ads credit,49436,223
101069575386725,Slovensko Zálohuje,‍Správca zálohového systému n.o.,49182,406
162852047168915,Andrej Kiska,Za ľudí,47966,111
457124584400548,Rasťo TRNKA,Rastislav Trnka,46070,483
1057020590987528,SPOLU - občianska demokracia,SPOLU - občianska demokracia,45051,987
312985238719495,Miroslav Beblavý,SPOLU - občianska demokracia,43205,772
732167026967322,Robert Fico,SMER - SD,41688,109
184760561603680,Richard Sulik,Sloboda a Solidarita,40810,125
147166706140048,Martin Hojsík,Martin Hojsík • Progresívne Slovensko,40600,475
403027089864701,Peter Pellegrini,SMER - SD,38869,172
142965026500972,Michal Truban,SPOLU - občianska demokracia,37788,718
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,37726,492
403027089864701,Peter Pellegrini,Peter Pellegrini,37328,360
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,35845,216
1184641245007277,Erik Baláž,SPOLU - občianska demokracia,34334,491
2246560835462358,Juraj Hipš,SPOLU - občianska demokracia,33160,2037
309315359104222,Milan Majerský,KDH,28009,457
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,27377,432
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,26418,227
2073898006252580,Vlasť,Vlasť,25253,91
109216190454517,Szövetség - Összefogás Platform,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,24746,367
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,24682,136
409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR","Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",24406,142
2001358070115171,Jaro Polaček,Jaroslav Polaček,22979,305
891749924316341,Matúš Vallo má rád Bratislavu,Team BA,21033,119
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,20924,495
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,20895,311
732167026967322,Robert Fico,Robert Fico,20829,921
53247283454,Hospodárske noviny,"MAFRA Slovakia, a.s.",20736,2040
53798312370,EURACTIV.sk,EURACTIV.sk,20591,1674
113483823851427,Stop hazardu so zdravím,Iniciatíva Stop hazardu so zdravím,20070,106
403027089864701,Peter Pellegrini,These ads ran without a disclaimer,20033,15
152001744925539,Dobré noviny,"Dobré médiá, s.r.o.",19857,4434
1782047902030177,László Sólymos,Most-Híd (Híd-Most),19466,206
113888835378442,IKEA,IKEA,18958,30
594790970995799,Miriam Lexmann,Miriam Lexmann,18246,429
103101388140837,Marian Kotleba,Marian Kotleba,17960,101
2322076957827734,Ladislav Kamenický,Ladislav Kamenický,17239,1575
1057020590987528,SPOLU - občianska demokracia,SPOLU – občianska demokracia,17070,412
2047997592105476,Ľuboš Blaha,Ľuboš Blaha,16693,1571
254427098315,Tipsport SK,Tipsport SK,16555,4
238750306307024,Juraj Droba,Juraj Droba,16504,311
271619682920012,Tomáš Korček - váš poslanec za BA - Nové Mesto,Tomáš Korček,16471,164
3105213332837346,Martin Borguľa,Martin Borgula,16066,210
945989972108826,Bugár Béla,Most-Híd (Híd-Most),16026,185
100127022511369,Žilina SP21,beNOW media group a.s.,15919,746
106240706496397,Spoločnými Silami Za Rozkvet Gemera,Horváth Csaba,15872,768
106390330706418,Irena Bihariová • Progresívne Slovensko,Progresívne Slovensko,15215,184
109628675248068,JOJ 24,"Slovenská produkčná, a.s.",14965,2782
273654778349,ČSOB,"Československá obchodná banka, a.s.",14962,79
185434848168916,Rudolf Kusý,DOBRÁ VOĽBA a UMIERNENÍ,14596,165
1589080011178196,Zahraničná politika sa nás týka,Zahraničná politika sa nás týka,14400,226
193258414360612,Milan Uhrík • Republika,Kotleba - Ľudová strana Naše Slovensko,14289,21
634042709987309,Post Bellum SK / Príbehy 20. storočia,Post Bellum SK / Príbehy 20. storočia,14217,164
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,14205,32
224843926149648,Podpor slovenský priemysel,Asociácia priemyselných zväzov a dopravy,14151,731
70746153342,VÚB banka,VÚB banka,14150,88
253595649968,Monika Beňová,Monika Beňová,13995,2204
1061086993931165,Petra Krištúfková,Sme rodina,13947,109
232927930575589,Ondrej Lunter,Ondrej Lunter,13913,504
1555021474808039,Richard Takáč - poslanec NR SR,Richard Takáč,13747,1435
935929019771603,Sconto Nábytok,These ads ran without a disclaimer,13737,78
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,12875,136
901093883409554,Budem Voliť,Mediálny Inštitút,12801,93
102200698451761,Gyimesi György - NRSR,Gyimesi György - NRSR,12714,124
103712379040096,Adrian Polóny,Adrian Polóny,12698,140
978554185546219,Ábel Ravasz,Most-Híd (Híd-Most),12673,183
460072524405386,Hlavný denník,Hlavný denník,12470,1191
802573516467334,Juraj Blanár,Juraj Blanár,12421,1208
269221090588670,Bauer Ildikó,Bauer Ildikó,12421,122
1449806428460200,My sme les,My sme les,12360,175
232491033085,Európsky parlament – Kancelária na Slovensku,Európsky parlament – Kancelária na Slovensku,12167,362
259594940734093,Magyar Közösség Pártja,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,12092,1309
128401833854581,Nagy József,Nagy József,12036,189
104943178004127,"Sčítanie obyvateľov, domov a bytov 2021","Creo advertising, s. r. o.",12024,60
260442667324007,dm drogerie markt Slovensko,dm drogerie markt Slovensko,11893,34
102528367902520,Dušan Velič,Dušan Velič,11869,165
110214091799595,Csenger Tibor,Tibor Csenger,11763,55
102570789117968,Jozef Karabin - Kandidát na primátora,Jozef Karabin,11748,231
1464024763918594,Boris Kollar,Sme rodina,11730,24
212517858839474,ZSE,"Západoslovenská energetika, a.s.",11725,57
103165802469488,Ľuboš Micheľ - Prešov na úrovni,Ľuboš Micheľ,11615,86
100171861388723,Branislav Becík,Branislav Becik,11610,68
517511148296579,Daňové a odvodové tipy Jozefa Mihála,SPOLU - občianska demokracia,11581,124
244427796417115,Ján Bednárik - kandidát na primátora mesta Ružomberok,Ján Bednárik,11519,58
552717621530226,Alojz Hlina,KDH,11489,114
364139677032739,Netky.sk - Netky,Netky.sk,11478,988
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,11380,125
2001358070115171,Jaro Polaček,Jaro Polaček,11309,307
194278021265803,Michal Šimečka • Progresívne Slovensko,Michal Šimečka • Progresívne Slovensko,11174,353
104893459551069,Ekotopfilm SK,Ekotopfilm SK,11048,271
118050251681595,BILLA Slovensko,BILLA s.r.o.,10983,117
278345349229163,Tomáš Drucker,Tomáš Drucker,10940,194
1501859650125625,Vladimír Bilčík,SPOLU - občianska demokracia,10924,333
115022806551437,Oskar Dvořák • SPOLU - občianska demokracia,SPOLU - občianska demokracia,10815,439
104936221959583,Úrad na ochranu oznamovateľov,Úrad na ochranu oznamovateľov,10803,150
650218391722484,SPP,SPP,10559,57
2114282595319489,Za ľudí,Za ľudí,10253,78
102219278339340,Štandard,Štandard,10238,47
552717621530226,Alojz Hlina,Alojz Hlina,10106,250
186953775142661,ESET,"ESET, spol. s r.o.",10019,122
2047997592105476,Ľuboš Blaha,ĽUBOŠ BLAHA,9970,329
141217272588202,Ministerstvo zahraničných vecí a európskych záležitostí SR,Ministerstvo zahraničných vecí a európskych záležitostí SR,9837,118
399317000707267,Dalibor Roháč,SPOLU - občianska demokracia,9771,285
103985641822377,Pomôž svojej nemocnici,Asociácia nemocníc Slovenska,9565,104
100826411295924,Miroslav Kollár SPOLU - občianska demokracia,SPOLU – občianska demokracia,9539,224
467066839986458,Erika Jurinová,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,9349,45
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,JUDr. Miroslav Radačovský,9340,167
279200712281963,Martin Šmilňák,KDH,9336,58
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,9265,1360
259594940734093,Magyar Közösség Pártja,Maďarská komunitná spolupatričnosť - Magyar Közösségi Összefogás,9261,81
1243405345708614,Peter Cibulka - starám sa o Žilinu,Peter Cibulka,9116,150
101736658825990,Plán obnovy a odolnosti SR,Úrad vlády Slovenskej republiky,9068,97
140675702940687,Demokratická strana,Demokratická strana,8836,186
552717621530226,Alojz Hlina,Hlina Alojz,8783,232
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,8721,1483
367397770311396,Penta - Zlepšujeme zdravotníctvo,Penta Investments,8676,284
1246198415483598,Milan Ftorek - Reštart Martina,Ftorek Milan,8500,136
237866863359494,Slovensko bez igelitiek,"PS:Digital, s.r.o.",8442,303
489291478219770,"Pavel Macko - bezpečnosť, stratégie, technológie",SPOLU - občianska demokracia,8409,135
194278021265803,Michal Šimečka • Progresívne Slovensko,Projekt Európa o.z.,8331,103
108977687373649,PVO - Predchádzanie vzniku odpadu,"PS:Digital, s.r.o.",8302,309
132353247111236,Simona Petrík • Progresívne Slovensko,SPOLU - občianska demokracia,8181,217
193258414360612,Milan Uhrík • Republika,Milan Uhrík,8165,72
103542525658155,Skúsme to inak.,Skúsme to inak,8146,92
1472836309622380,Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,8080,281
100693598023866,Hlas pravice,Hlas pravice,8074,26
185434848168916,Rudolf Kusý,Rudolf Kusý,8048,377
951009345100113,Ondrej Prostredník • Progresívne Slovensko,Progresívne Slovensko,8028,103
324560137683033,Ivan ŠTEFANEC,Ivan Štefanec,8007,1107
111489951537083,Róbert Suja - kandidát na predsedu KSK 2022,Róbert Suja,7984,104
628172783946255,Dôvera zdravotná poisťovňa,DÔVERA zdravotná poisťovňa,7910,81
108184912015398,Ján Bync - nezávislý kandidát na predsedu PSK,Ján Bync,7724,54
113345716746560,Lucia Plaváková • Progresívne Slovensko,Progresívne Slovensko,7710,114
106943494244877,Ochrana prírody a krajiny,"PS:Digital, s.r.o.",7703,244
133590787230331,Erik Kaliňák,SMER - SD,7698,657
171308816244263,Pavel Hagyari,Pavel Hagyari,7646,35
111784948253016,Dominika Árvaiová - Spolupracovať a vedieť sa dohodnúť,Dominika Árvaiová,7578,152
106908227807663,IDS Východ,IDS Východ,7544,81
240184916628,Bumm.sk,Bumm.sk,7534,68
49067816623,Pravda,Pravda,7508,293
107513417390745,Kovács György,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,7507,74
355021862017547,Norbert Kurilla,Most-Híd (Híd-Most),7503,35
339528979423925,Aktuality.sk,Ringier Axel Springer Media s.r.o.,7487,85
231177683632352,Branislav Gröhling - Vzdelanie je budúcnosť krajiny,Sloboda a Solidarita,7470,71
124771041038345,Magyar Kereszténydemokrata Szövetség,Most-Híd (Híd-Most),7420,115
336180380183278,ÚNIA regionálnych združení vlastníkov neštátnych lesov Slovenska,Milan Ovseník,7311,43
103660101145202,DiEM25 na Slovensku,Michal Gabris,7273,122
1625320827727426,Cziprusz Zoltán,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,7198,83
432346556778213,Ján Laco - pripravený spolupracovať,Ján Laco,7085,105
588989111148781,Košický samosprávny kraj,Košický samosprávny kraj,7073,138
260530294113765,Milan Krajniak,Sme rodina,7022,14
608493236475568,Pavol Slota • DOMOV - Národná strana,Pavol Slota,6945,139
105506688957117,Juraj Sinay - nezávislý kandidát na predsedu KSK,Juraj SINAY,6903,104
264610253564449,Hyundai Slovensko,Hyundai Motor Czech s.r.o.,6890,154
299027620531773,JUDr. Peter Puškár,Puskar Peter,6875,151
2631817786833672,Michal Wiezik • Za zelenú Európu,SPOLU - občianska demokracia,6834,55
106645958517298,Tomáš Klopta - kandidát na primátora mesta Ružomberok,Tomáš Klopta,6831,141
108193933986667,Milan Kabina • mladé KDH,KDH,6743,79
106757647529429,Daniel Miklóš -MKÖ,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,6663,6
1643155275828458,Ján Mažgút,SMER - SD,6654,241
401136680086598,Miloš Mičega,Miloš Mičega,6625,259
113776217018410,Netky,Petsoftmedia,6511,1247
259594940734093,Magyar Közösség Pártja,Magyar Közösség Pártja,6483,2753
889169094587556,"Ján Richter, poslanec NR SR","Ján Richter, poslanec NR SR",6402,154
180274986206827,Zoltán Pék - starosta Podunajských Biskupíc,Zoltán Pék,6350,70
104706055639094,Tímea Sotáková - kandidátka na primátorku Michaloviec,Tímea Sotáková,6271,59
128401833854581,Nagy József,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,6195,78
324560137683033,Ivan ŠTEFANEC,KDH,6182,10
105131888394144,Team Bratislava,Team BA - prípravný výbor,6167,176
2687957954762822,Igor Melicher - Mladí Sociálni Demokrati,Robert Bestro,6150,63
147166706140048,Martin Hojsík,Hojsik Martin,6124,102
278220295964937,Fero Oľha - kandidát na primátora mesta Prešov,František Oľha,6106,76
1287561881391098,Jem pre Zem,Humánny pokrok,6103,126
110432107808548,Ing. Rudolf Huliak - Národná Koalícia,Rudolf Huliak,6103,66
204127420237057,Peter Slysko,Peter Slyško,6077,119
158346924203236,Viliam Zahorčák - kandidát na predsedu Košického samosprávneho kraja,Vilo Zahorčák,6037,77
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",6008,110
460072524405386,Hlavný denník,These ads ran without a disclaimer,5994,60
156395481064391,Michal Šipoš,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,5983,29
168813446552680,Richard Vašečka,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,5940,28
2687957954762822,Igor Melicher - Mladí Sociálni Demokrati,SMER - SD,5879,561
522186401540084,Magyar Fórum - Maďarské fórum,Simon Zsolt,5812,322
239366402785275,Ministerstvo vnútra SR,Ministerstvo vnútra SR,5801,60
124820585577608,Zuzana Števulová • Progresívne Slovensko,Progresívne Slovensko,5778,114
978554185546219,Ábel Ravasz,Ábel Ravasz,5725,200
112008811611824,Igor Choma,Igor Choma,5725,71
255404251995025,Ministerstvo zdravotníctva Slovenskej republiky,These ads ran without a disclaimer,5694,5
175698849124420,Tesco Slovensko,"TESCO STORES SR, a.s.",5633,29
256241975019809,Erik Tomáš,Erik Tomáš,5515,252
1729506960671035,Peter Fiabáne - Váš primátor,Peter Fiabáne,5502,392
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,5481,396
1782047902030177,László Sólymos,These ads ran without a disclaimer,5480,9
416241655198822,Jaroslava Lukačovičová SPOLU - občianska demokracia,SPOLU - občianska demokracia,5457,120
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",5456,284
107921990548568,Opre Roma,Horváth Csaba,5442,50
102713675851590,Artúr Benes - Supermesto,Artúr Benes,5420,64
482492355256037,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky","Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky",5391,53
719361728089991,Peter  Máťoš,Peter Máťoš,5388,207
110389031408012,SZÖVETSÉG,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",5317,64
109606527580798,Politics.social,Gerulata Technologies j. s. a.,5304,7
109216190454517,Szövetség - Összefogás Platform,Összefogás,5269,66
234408327441626,Martina Lubyová,Slovenská národná strana,5257,60
2150817825237430,Miriam Šuteková,Miriam Šuteková,5190,272
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,5190,99
100600579453320,Štefan Lasky - kandidát na primátora Košíc,Štefan Lasky,5184,33
747432352095906,Kominarstvo MxM,Jozef Mičko,5148,10
278345349229163,Tomáš Drucker,DOBRÁ VOĽBA a UMIERNENÍ,5134,51
1464734340450562,Pavel Nechala SPOLU - občianska demokracia,PS:Digital,5131,492
497284713777486,Martin Červenka TTSK,Martin Červenka,5089,83
100686359349358,Martina Holečková,Martina Holečková,5083,69
106390307409654,Bystriny,Bystriny,5046,194
1527856434120951,SOLIDARITA – Hnutie pracujúcej chudoby,SOLIDARITA – Hnutie pracujúcej chudoby,5019,71
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,5014,76
103176581079348,Vladimír Šucha,Progresívne Slovensko,5009,154
145677979100505,NÁRODNÁ KOALÍCIA,Kotlebovci - Ľudová strana Naše Slovensko,5000,9
161166119377,EDS - EURÓPSKA DEMOKRATICKÁ STRANA,Európska Demokratická Strana,4987,176
295432564349839,Jaro Naď - minister obrany SR,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,4917,28
267456060571592,Zora Jaurová • Progresívne Slovensko,Jaurová Zora,4910,39
108840878630655,Martin Mlýnek - zodpovedný primátor,Martin Mlynek,4904,32
103987382366880,Ľubomír Kubáň - primátor mesta Ružomberok,Ľubomír Kubáň,4883,49
826305747496237,Igor Janckulík - kandidát na župana,Igor Janckulík,4876,32
105603301203054,Michal Bartek,Michal Bartek,4816,217
277077069455,Transparency International Slovensko,Transparency International Slovensko,4745,208
2047997592105476,Ľuboš Blaha,SMER - SD,4657,150
340328559476096,Milan Lesňák,ZA ĽUDÍ,4649,130
1996563893732316,Miroslav Dufinec - kandidát na primátora mesta Michalovce,Miroslav Dufinec,4617,65
107621431634080,zaPOIsa do svojho regionu,33D s.r.o.,4599,16
145677979100505,NÁRODNÁ KOALÍCIA,These ads ran without a disclaimer,4581,26
212517858839474,ZSE,These ads ran without a disclaimer,4576,37
822009714820627,Robert Hajšel,Mgr. Hajšel Robert,4542,48
250959315028222,Matúš Čupka je Team Bratislava,Matúš Čupka,4538,134
336510953176462,Lucia Štasselová,SPOLU - občianska demokracia,4535,75
106918014077172,Mózes Szabolcs,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,4534,74
135805949177,FORTUNA stavte sa,These ads ran without a disclaimer,4508,30
278345349229163,Tomáš Drucker,Dobrá voľba,4506,49
2671787962847811,Martin Lancz - kandidát na europoslanca 2019,Švec František,4490,161
2308492039426614,Úrad vlády Slovenskej republiky,Úrad vlády Slovenskej republiky,4489,63
117195501273420,Mali ešte žiť,OZ Pozostalí za spravodlivosť,4466,41
110826907089455,Ján Palenčár,Dobrá voľba,4448,100
113270933763580,ODS - OBČIANSKI DEMOKRATI SLOVENSKA,ODS - Občianski demokrati Slovenska,4404,354
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,4397,225
100892085829456,Matej Vagač má rád Staré Mesto,Matej Vagač,4386,67
28312410177,World Food Programme,These ads ran without a disclaimer,4310,224
1601222556777680,Konfederácia odborových zväzov Slovenskej republiky - KOZ SR,Konfederácia odborových zväzov Slovenskej republiky - KOZ SR,4310,166
363775050920520,Konzervatívny web,Peter Bercik,4302,383
2109897839105854,Bindics László,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,4286,12
314039802486286,Pavol Škápik,SPOLU - občianska demokracia,4274,18
156804601028134,Ministerstvo kultúry Slovenskej republiky,Ministerstvo kultúry SR,4247,46
296619733876807,Byrokratický nezmysel,Sloboda a Solidarita,4193,43
108503483962488,Ján Hoľko,Slovenská národná strana,4179,73
141402462565998,noviny.sk - spravodajstvo TV JOJ,"Slovenská produkčná, a.s.",4142,375
288680881434,Iniciatíva Inakosť,Iniciatíva Inakosť,4128,162
105131888394144,Team Bratislava,Team BA,4099,47
1731409237157829,KRIMI TV JOJ,"Slovenská produkčná, a.s.",4091,110
336693806455466,Radovan Kazda,Radovan Kazda,4069,449
1795556150546258,Dominik Hatiar • Progresívne Slovensko,Progresívne Slovensko,4030,101
