Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
230834147675510,LabXchange,These ads ran without a disclaimer,726,1
104774488921639,Urur Siyaasadeedka Barwaaqo,Barwaaqo Party,375,25
108531475317850,Hon. Jibril Abdirashid Haji,Hon Jibril Abdirashid Haji,341,16
100390862469933,Al-Masri Herbal Hospital,These ads ran without a disclaimer,319,18
105731558707111,Jaalle Siyaad Specialist Hospital,These ads ran without a disclaimer,274,4
109942561631381,Horseed Party - SDDP,Horseed - Somaliland Democratic and Development Party (SDDP),259,12
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,253,7
112876920882236,Ciyaartooyda soomaaliyed,These ads ran without a disclaimer,≤100,13
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,5
104774488921639,Urur Siyaasadeedka Barwaaqo,These ads ran without a disclaimer,≤100,2
104774488921639,Urur Siyaasadeedka Barwaaqo,Urursiyaasadeedka Barwaaqo,≤100,3
100468102699353,Kasmo Books,Abdirisak Ali Said,≤100,2
1332715543432137,Galmudug State House,These ads ran without a disclaimer,≤100,1
1086936791332769,Mohamed Ali Bile,These ads ran without a disclaimer,≤100,3
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
101234448414850,Abdikarin Aden,These ads ran without a disclaimer,≤100,2
413620889084833,European Union in Somalia,These ads ran without a disclaimer,≤100,5
100988789153622,ITus oo ITaabsii,These ads ran without a disclaimer,≤100,10
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
101549102143141,Akram Online Herbal 3,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,6
455303518619569,Dareen Qarsoon,These ads ran without a disclaimer,≤100,4
112102764938710,Dr. Mohamed Abdi Yusuf Gaboose,Khalid Osman Ali,≤100,3
115591005188475,Global Times,These ads ran without a disclaimer,≤100,7
106484265558472,Ibnu-keynan Pharmacy & skin care,These ads ran without a disclaimer,≤100,2
565225540184937,CGTN,These ads ran without a disclaimer,≤100,33
105728562826950,Atlantic International University,These ads ran without a disclaimer,≤100,1
1458669984376948,Ali Hassan Mohamed,These ads ran without a disclaimer,≤100,2
501491853239294,United Nations Assistance Mission in Somalia - UNSOM,These ads ran without a disclaimer,≤100,5
116243117357,National Union of Somali Journalists (NUSOJ),These ads ran without a disclaimer,≤100,1
101499835536468,Tibyan Center for Quranic Sciences,These ads ran without a disclaimer,≤100,1
101374592561155,Hon Abdullahi Omar Abshir-Abshirow,These ads ran without a disclaimer,≤100,1
134278719946186,Bayer,These ads ran without a disclaimer,≤100,4
262265104461273,Wasaaradda Biyaha JSL,These ads ran without a disclaimer,≤100,1
150253531687373,أخبار الآن - Akhbar Al Aan,These ads ran without a disclaimer,≤100,2
1579920062256328,Custom Content from WSJ,These ads ran without a disclaimer,≤100,2
109536147170074,Lt. Mohamed Abdullahi,These ads ran without a disclaimer,≤100,1
109226985018218,STV Somalia,These ads ran without a disclaimer,≤100,3
100552821298068,Newa Ethiopia,These ads ran without a disclaimer,≤100,8
102111671279081,Somali Award,These ads ran without a disclaimer,≤100,4
100256451631764,Himilaya online herbals,These ads ran without a disclaimer,≤100,5
106490930686252,Kaah Books,Abdirisak Ali Said,≤100,2
100360438082779,Raad Goob online market,These ads ran without a disclaimer,≤100,4
110094921925374,Future President,These ads ran without a disclaimer,≤100,2
105340447477982,Maqaamka Banaadir,These ads ran without a disclaimer,≤100,1
1499474980268408,Amb Ahmed Safiina,These ads ran without a disclaimer,≤100,1
107825754329541,Aleen Books,These ads ran without a disclaimer,≤100,2
110965526982669,HaatufOnline,These ads ran without a disclaimer,≤100,4
109849398597745,Suleymaan Fargax,These ads ran without a disclaimer,≤100,1
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
1108711572555122,GE Africa,These ads ran without a disclaimer,≤100,2
108298538814428,𝔻𝕣 𝔸𝕜𝕙𝕚𝕪𝕒𝕣,These ads ran without a disclaimer,≤100,1
104220871871692,Daarul Taqwa,These ads ran without a disclaimer,≤100,1
109695254559595,Daariz,These ads ran without a disclaimer,≤100,1
1591433164421320,Beco,These ads ran without a disclaimer,≤100,1
113389154933460,Al-nasri Herbal Hosbital,These ads ran without a disclaimer,≤100,1
