Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
287683225711,UN Environment Programme,UN Environment Programme,≤100,16
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,10
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,93
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,12
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
845620825830146,Deel,These ads ran without a disclaimer,≤100,9
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,13
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
102587305275074,Gale Force Wins,These ads ran without a disclaimer,≤100,1
102385692569586,"Youth Help Foundation, Inc",These ads ran without a disclaimer,≤100,1
8057376739,The Nature Conservancy,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,3
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,47
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,22
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,4
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,2
103496105344354,Corporate Sustainability Review,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
828542570685712,Turks and Caicos Islands Sports Commission,These ads ran without a disclaimer,≤100,1
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,22
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,22
100254824748185,Jensog-UK,These ads ran without a disclaimer,≤100,15
166258896830103,Porto Montenegro,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,4
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,5
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,7
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,9
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,≤100,5
315603771494,Milaap,These ads ran without a disclaimer,≤100,8
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
107714748645793,Big Buzz,These ads ran without a disclaimer,≤100,5
111783969059,Tony Robbins,These ads ran without a disclaimer,≤100,2
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,17
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,6
274138756817,Architonic,These ads ran without a disclaimer,≤100,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,4
1694446627479899,GBLF - Leaders Summit,These ads ran without a disclaimer,≤100,1
6829493713,(RED),These ads ran without a disclaimer,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
170042611753,American University of Antigua,These ads ran without a disclaimer,≤100,1
101535831469644,ITS America Events,These ads ran without a disclaimer,≤100,1
106120175623925,A-thletes.media,These ads ran without a disclaimer,≤100,6
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,8
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,3
199820173178,Digicel,These ads ran without a disclaimer,≤100,1
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,≤100,2
105806708960852,Webfic - Read Romance Story,These ads ran without a disclaimer,≤100,2
106532464278807,Caribbean Tree Planting Project,These ads ran without a disclaimer,≤100,1
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,≤100,17
102257292713372,Alejandra Morales,These ads ran without a disclaimer,≤100,8
348921302861345,Flow Business,These ads ran without a disclaimer,≤100,1
111014438406253,Trendyspread shop1,These ads ran without a disclaimer,≤100,1
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100,1
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,4
106394965482360,Pedro Cardoso,These ads ran without a disclaimer,≤100,1
174171286017363,The Sister Accord,These ads ran without a disclaimer,≤100,1
94005676787,Hitachi Vantara,These ads ran without a disclaimer,≤100,1
148799861816516,Al-Anwar Al-Najafyia Foundation,These ads ran without a disclaimer,≤100,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
100199989426473,Become A Good Ancestor,These ads ran without a disclaimer,≤100,2
151808344940167,Jevpic Productions,These ads ran without a disclaimer,≤100,1
100490729492964,Sebastian Bello,These ads ran without a disclaimer,≤100,11
1497502300316673,Jeff Mosil - Negocios De Elite,These ads ran without a disclaimer,≤100,2
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,3
