Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
111233451963806,Idriss Mahamat Ali Abdallah Nassour,Idriss Mahamat Ali Abdallah Nassour,2528,34
136540169538366,PCS - Parti Pô,PCS - Parti Pô,1196,50
100441385847134,Mahmoud Ali Seid,Rimbaye Ramadan,670,3
278138392042076,AVEC MIDI,AVEC MIDI,409,45
108304444689803,MPS/Voix du peuple,MPS/Voix du peuple,283,1
235772199628457,Bureau de soutien Synergie,Bureau de soutien Synergie,240,47
113783214869048,Emmanuel Nadingar,Emmanuel Nadingar,220,27
735072763496677,SoluEtude Tchad,These ads ran without a disclaimer,204,2
274937405708020,"MIDI, La force tranquille","MIDI, La force tranquille",139,12
257377197461090,D. Ahmet Guillaume,Agence Press Events Connect,120,4
721033171439999,Kemba Didah Alain,These ads ran without a disclaimer,111,12
104101672470294,Abdel-Nasser Garboa,Abdel-Nasser Garboa Mahamat Ali,106,9
107717692247175,Ali kolotou tchaimi,These ads ran without a disclaimer,≤100,2
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,7
108924268241496,Mahamat Ahmat Lazina,These ads ran without a disclaimer,≤100,7
272951609235519,MAS - MIDI,Agence Press Events Connect,≤100,3
111496511119563,Mahamat Idriss Deby Itno,These ads ran without a disclaimer,≤100,2
1686147598290138,Un Nouveau Jour,Un Nouveau Jour,≤100,6
323075741577170,Mustafa El Araby,These ads ran without a disclaimer,≤100,6
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,2
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
108421528651644,Le Patriote,These ads ran without a disclaimer,≤100,1
103244698175148,𝐀𝐧𝐧𝐨𝐮𝐫 𝐇𝐚𝐥𝐚𝐥 𝐏𝐡𝐨𝐭𝐨,These ads ran without a disclaimer,≤100,3
102868365846757,Adilha,These ads ran without a disclaimer,≤100,2
1199020920114389,EOS Data Analytics,These ads ran without a disclaimer,≤100,2
102156501320780,Djimounoum Ngarnayal,These ads ran without a disclaimer,≤100,12
1580547748884852,Abakar Dangaya,These ads ran without a disclaimer,≤100,3
103934131773622,Bureau de Soutien Case/Mps,These ads ran without a disclaimer,≤100,2
112735485024168,Ahmat Teiro Issa,These ads ran without a disclaimer,≤100,2
110105988793468,Toralta Tell Moyangar,These ads ran without a disclaimer,≤100,2
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
106410639003881,Mahamat Guetti Mahamat,Mahamat Guetti Mahamat,≤100,4
633800993706679,RNDT - Le Réveil,These ads ran without a disclaimer,≤100,6
101799599170050,Plateforme Tous pour la Paix au Tchad . منصة معا من أجل السلام في تشاد,These ads ran without a disclaimer,≤100,1
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,≤100,1
100441385847134,Mahmoud Ali Seid,These ads ran without a disclaimer,≤100,2
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
239488347856,Abdelkerim Yacoub Koundougoumi,These ads ran without a disclaimer,≤100,3
104445655999906,Gouvernorat d’ennedi-est,These ads ran without a disclaimer,≤100,7
108523047286151,Tchad24,These ads ran without a disclaimer,≤100,3
194371460419959,Sensibilisation et Mobilisation pour un OUI Massif,These ads ran without a disclaimer,≤100,3
1550142865197158,حركة الخلاص -MSNT,These ads ran without a disclaimer,≤100,4
105892882426115,Mahamat Ahmat Lazina officiel,These ads ran without a disclaimer,≤100,5
103057858363826,CEC MPS,These ads ran without a disclaimer,≤100,7
908634949215965,ASJT TCHAD,These ads ran without a disclaimer,≤100,1
106530178425415,"Plateforme de 212 Associations prône la paix, stabilité pour soutenir le PT",These ads ran without a disclaimer,≤100,2
106554831178338,RJ.MPS,These ads ran without a disclaimer,≤100,4
102898525798135,Madjid Emené Hachim,These ads ran without a disclaimer,≤100,1
108314941701134,Le N'Djam Post,These ads ran without a disclaimer,≤100,2
105186365579238,Fatima BEYINA-MOUSSA,These ads ran without a disclaimer,≤100,2
119307451103782,Mahamat Sougui Bié,Mahamat Sougui Bié,≤100,3
310748626276060,RFI Fulfulde,These ads ran without a disclaimer,≤100,11
1600262000010146,Mory Conde,These ads ran without a disclaimer,≤100,1
361272984006141,Sup'management TCHAD,These ads ran without a disclaimer,≤100,1
103577622314770,KONI Kellemi,These ads ran without a disclaimer,≤100,2
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,≤100,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,37
240886923043351,Fattaall,These ads ran without a disclaimer,≤100,2
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,64
111233451963806,Idriss Mahamat Ali Abdallah Nassour,These ads ran without a disclaimer,≤100,4
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,82
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,5
102054678571131,FERAM TCHAD,These ads ran without a disclaimer,≤100,1
1664180163882714,Sei Service Immobilier,These ads ran without a disclaimer,≤100,2
106912882294944,Action pour le Développement du Mont Illi - ADMI,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
102896087989301,Soirinfotchad,These ads ran without a disclaimer,≤100,7
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,11
123095770894250,Conseil des Chargeurs du Tchad_COC-TCHAD,These ads ran without a disclaimer,≤100,7
118112296254549,Ambassade de Chine au Tchad,These ads ran without a disclaimer,≤100,4
100954578019635,MADET Christian,These ads ran without a disclaimer,≤100,3
100208646501020,Convergence Victorieuse: La Chine,These ads ran without a disclaimer,≤100,2
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
167853379739453,Citoyen en Quête du Bonheur -CEB,These ads ran without a disclaimer,≤100,1
2065056783567420,Hespress Français,These ads ran without a disclaimer,≤100,1
100122989240188,Gebdanbé Ouateuré Epaphras,These ads ran without a disclaimer,≤100,1
253207738024669,ARPCE Congo,These ads ran without a disclaimer,≤100,1
