Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
312681118935845,Présidence de la République Togolaise,Présidence de la République Togolaise,733,28
1133482703474022,SoluEtude Togo,These ads ran without a disclaimer,307,1
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,28
102130771750567,Kokou Edem Tengue,These ads ran without a disclaimer,≤100,3
102130771750567,Kokou Edem Tengue,Kokou Edem Tengue,≤100,1
117621581593054,TV5MONDE Afrique,These ads ran without a disclaimer,≤100,1
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
202793183876405,INAM - Institut National d'Assurance Maladie du Togo,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
111096161892488,New World : La célébrité,These ads ran without a disclaimer,≤100,3
1673660799313088,Espoir Koudjodji,These ads ran without a disclaimer,≤100,3
105453162341318,Africa Key Stories,These ads ran without a disclaimer,≤100,1
106503408867112,KVN santé bio,These ads ran without a disclaimer,≤100,7
465458790307414,Prof. Robert Dussey,These ads ran without a disclaimer,≤100,1
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
109289614330200,Ripostoclash,These ads ran without a disclaimer,≤100,1
2065056783567420,Hespress Français,These ads ran without a disclaimer,≤100,1
110953814427329,Dieu en Action pour la Délivrance du Togo et de l'Afrique,These ads ran without a disclaimer,≤100,1
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
203258276412823,Fondations Somdiaa,These ads ran without a disclaimer,≤100,1
191453580768,Yeni Şafak,These ads ran without a disclaimer,≤100,1
109980084934101,Houmany Camara,These ads ran without a disclaimer,≤100,2
126739647374777,Herbert Mensah,These ads ran without a disclaimer,≤100,1
436621137103518,Huawei Northern Africa,These ads ran without a disclaimer,≤100,8
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,3
153632746935,FRANCE 24,These ads ran without a disclaimer,≤100,1
112480938779166,Kakande Ministries,These ads ran without a disclaimer,≤100,1
604353106634145,Innocent Kagbara,These ads ran without a disclaimer,≤100,1
107971774849025,Agence de Promotion des Investissements et de la Zone Franche - Togo,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,7
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,≤100,2
251744701613472,Gerry TAAMA Komandega - GETAK,These ads ran without a disclaimer,≤100,3
371227786709544,Refund Express LLC,These ads ran without a disclaimer,≤100,3
321207378328910,President Clinton Bellerye,These ads ran without a disclaimer,≤100,4
103275029367840,FSPI PAPDT,These ads ran without a disclaimer,≤100,1
112586460435003,Dj Mac-KYSFM,These ads ran without a disclaimer,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
101090002988628,Maître spirituel,These ads ran without a disclaimer,≤100,1
1136786203149819,Maliens Tout Court,These ads ran without a disclaimer,≤100,1
2078571719077963,Axx,These ads ran without a disclaimer,≤100,1
105186365579238,Fatima BEYINA-MOUSSA,These ads ran without a disclaimer,≤100,2
1129445490476594,La Tribune Afrique,These ads ran without a disclaimer,≤100,1
101344784921723,messibatint,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,35
102090382831157,Projet FSPI : Leadership et autonomisation des femmes au Togo,These ads ran without a disclaimer,≤100,2
169356717246140,Tobossi Officiel,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,7
107981910696975,Daniel Dangote,These ads ran without a disclaimer,≤100,1
169799706487474,CGTN Français,These ads ran without a disclaimer,≤100,4
103035368477515,Mariam KEITA,These ads ran without a disclaimer,≤100,8
106294240796508,Élégance Shop,These ads ran without a disclaimer,≤100,1
134278719946186,Bayer,These ads ran without a disclaimer,≤100,4
765722410253767,Ghana Investment Promotion Centre - GIPC,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
1108711572555122,GE Africa,These ads ran without a disclaimer,≤100,2
243803586002475,Nasser Photography Offishal,These ads ran without a disclaimer,≤100,3
102608732666540,ecolekatiopa,These ads ran without a disclaimer,≤100,1
102228158885528,miss_voltan,These ads ran without a disclaimer,≤100,1
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,28
107037085989237,RFI Hausa,These ads ran without a disclaimer,≤100,4
105401468885889,Mafata Berete-Awoulaba Cote D’ivoire 2022,These ads ran without a disclaimer,≤100,1
107410862226340,Make Africa Great Again,These ads ran without a disclaimer,≤100,1
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,≤100,13
105387640810892,Dagan Magazine,These ads ran without a disclaimer,≤100,1
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,6
111890023851208,CVPT : Centre de Valorisation Professionnelle de Tunis,These ads ran without a disclaimer,≤100,1
