Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
101673076131930,พรรคเปลี่ยน,พรรคเปลี่ยน,9025269,538
109643600722365,Promise Thailand,These ads ran without a disclaimer,4117280,28
161651553861945,Amnesty International Thailand,Amnesty International Thailand,3835337,334
127610057890,KBank Live,KBank Live,1878908,103
101535845426970,พรรคไทยสร้างไทย,พรรคไทยสร้างไทย,1536343,489
100240152175449,ป้าโส - โสภา กาญจนะ,Dunyawat  Bamrungchan,1220156,1905
697963337240132,Makeup4U,These ads ran without a disclaimer,867108,56
102807719039442,พรรครวมไทยสร้างชาติ United Thai Nation Party,พรรครวมไทยสร้างชาติ United Thai Nation Party,829414,457
693096830706780,SCG,SCG,817657,259
101673076131930,พรรคเปลี่ยน,นอท พันธ์ธวัช นาควิสุทธิ์,716952,37
241115389300595,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,696794,196
101049841770411,ยูนิคแคร์สเตชัน พิษณุโลก,These ads ran without a disclaimer,694608,2
100206651558734,พรรคชาติพัฒนากล้า - ChartpattanaKLA Party,พรรคชาติพัฒนากล้า - ChartpattanaKLA Party,689347,21
546416699215073,ห้องสื่อครูคอม,ห้องสื่อครูคอม,618630,58
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,570958,70
149079361791677,พรรคเพื่อไทย,พรรคเพื่อไทย,560192,60
157659344260788,จุรินทร์ ลักษณวิศิษฏ์ Aoodda,Jurin Laksanawisit,554636,263
2105350112863264,ร้อยเอก ดร.จองชัย วงศ์ทรายทอง - ผู้กองเบิร์ด,ร้อยเอก ดร.จองชัย วงศ์ทรายทอง - ผู้กองเบิร์ด,538117,301
111118934350850,อสังหาแบบมวยวัด,These ads ran without a disclaimer,485049,94
345127652279503,มูลนิธิสากลเพื่อคนพิการ,มูลนิธิสากลเพื่อคนพิการ,446175,53
972019486321939,บู้ จเด็ศ จันทรา,จเด็ด จันทรา,439043,271
681918321922813,ดร.ตั้น กฤชนนท์ อัยยปัญญา,ดร.ตั้น กฤชนนท์ อัยยปัญญา,433775,120
296508406790,"พรรคประชาธิปัตย์ - Democrat Party, Thailand","Democrat Party, Thailand พรรคประชาธิปัตย์",419701,2519
234345809961492,สส.จ๋า - ดร.วชิราภรณ์ กาญจนะ,สส.จ๋า - วชิราภรณ์ กาญจนะ,411665,525
108635927540997,เทมส์ ไกรทัศน์,เทมส์ ไกรทัศน์ - ภูเก็ต,389590,158
109239188766815,ดร. วิทยา อินาลา พรรคไทยพร้อม,Klod Sawadputsra,374217,47
2222987881148969,อดีต ส.ส. กรณิศ งามสุคนธ์รัตนา เขตวัฒนา เขตคลองเตย เบอร์ 1 บัตร สีม่วง,อดีต ส.ส. กรณิศ งามสุคนธ์รัตนา เขตวัฒนา เขตคลองเตย เบอร์ 1 บัตร สีม่วง,374111,153
100240152175449,ป้าโส - โสภา กาญจนะ,ป้าโส - โสภา กาญจนะ,363185,549
111067427367211,กิตติพล รวยฟูพันธ์ เบอร์ 14 ผู้สมัคร สส เขตทุ่งครุ ราษฎร์บูรณะ พรรคเพื่อไทย,กิตติพล รวยฟูพันธ์ เบอร์ 14 ผู้สมัคร สส เขตทุ่งครุ ราษฎร์บูรณะ พรรคเพื่อไทย,357488,18
100240152175449,ป้าโส - โสภา กาญจนะ,น้าสุรินทร์ - สุรินทร์ บุญประสพ,338406,351
104427797605274,พี่ต่อ ดร.เฉลิมชัย ศรีอ่อน “คำไหน-คำนั้น”,ดร.เฉลิมชัย ศรีอ่อน รัฐมนตรีว่าการกระทรวงเกษตรและสหกรณ์,335659,620
105546651850693,วีรนันท์ ฮวดศรี-Weeranan Huadsri-ทนายป๊อก,Weeranan Huadsri,332087,114
105421542338383,บ้านเหมือง - BanMhueng,Dunyawat  Bamrungchan,330851,389
414100949350619,ณัฐนันท์ กัลยาศิริ - ทนายบอน,ณัฐนันท์ กัลยาศิริ,329593,215
101274425792459,กิตติพงศ์ รวยฟูพันธ์ - ส.ก.ไอซ์ เขตทุ่งครุ,กิตติพงศ์ รวยฟูพันธ์ - ส.ก.ไอซ์ เขตทุ่งครุ,326390,56
198061157590467,นโยบายนายกอุ๊ เลือกตั้งนายกอบจ.อยุธยา,นโยบายนายกอุ๊ เลือกตั้งนายกอบจ.อยุธยา,322610,49
183238185051108,อรรถวิชช์ สุวรรณภักดี,อรรถวิชช์ สุวรรณภักดี,313729,78
108515294626891,สอบข้าราชการท้องถิ่น By Thurakan,สอบข้าราชการท้องถิ่น By Thurakan,312550,48
283908908680102,พรรคพลังธรรมใหม่,พรรคพลังธรรมใหม่,300000,33
113818574676752,Lateisha,These ads ran without a disclaimer,296537,6
141934138997690,ทัวร์มาลง,ทัวร์มาลง,279208,236
368356080442700,กำนันพงษ์ศักดิ์ จ่าแก้ว - คนรักสุราษฎร์,กำนันพงษ์ศักดิ์ จ่าแก้ว - คนรักสุราษฎร์,277904,492
137188693021815,สืบจากข่าว,สืบจากข่าว,256839,17
1973111156281141,กอล์ฟ อัครนันท์ กัณณ์กิตตินันท์,Akaranun Khankittinan,255281,13
626952517700280,ลิ้ม ศรัณยสัณฑ์ วีรกุลสุนทร ว่าที่ผู้สมัคร ส.ส. เขตจอมทอง พรรคเพื่อไทย,ลิ้ม ศรัณยสัณฑ์ วีรกุลสุนทร ว่าที่ผู้สมัคร ส.ส. เขตจอมทอง พรรคเพื่อไทย,254978,60
106759921930777,บริการเรียกรถ - ส่งของ Maxim,These ads ran without a disclaimer,250911,88
108261230583781,เอิร์ธ พงศกร ขวัญเมือง - Earth Pongsakorn Kwanmuang,เอิร์ธ พงศกร ขวัญเมือง - Earth Pongsakorn Kwanmuang,249172,56
71254499739,กรณ์ จาติกวณิช - Korn Chatikavanij,กรณ์ จาติกวณิช - Korn Chatikavanij,248835,11
113516956981172,ขจรศักดิ์ ประดิษฐาน,ขจรศักดิ์ ประดิษฐาน,246356,217
480222865705980,สรรเพชญ บุญญามณี,สรรเพชญ บุญญามณี,244473,120
