Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
102177449282512,ПУЛ,Pul.asia,3475,85
897915210257967,DIF Guerrero,These ads ran without a disclaimer,3340,30
499305040258778,Alternativa Web Radio,These ads ran without a disclaimer,243,1
105237292316259,Математика для взрослых,These ads ran without a disclaimer,204,8
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,2
103736054346389,Intravel Тур-агентство,These ads ran without a disclaimer,≤100,1
808172799250204,Wiesbaden Assozial 1697,These ads ran without a disclaimer,≤100,1
100946416008920,Sofkaa,These ads ran without a disclaimer,≤100,1
109580478565738,Advice CUT,These ads ran without a disclaimer,≤100,3
111157205111064,Haer it rek,These ads ran without a disclaimer,≤100,2
116321811346992,Antonova Alisa,These ads ran without a disclaimer,≤100,1
968643809909024,Mubariz Mansimov Gurbanoğlu,These ads ran without a disclaimer,≤100,2
101749125967446,mir.iphone.2018,These ads ran without a disclaimer,≤100,1
144776752025,Голос Америки,These ads ran without a disclaimer,≤100,43
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,6
158378627551817,ЮНИСЕФ на русском языке - UNICEF in Russian,These ads ran without a disclaimer,≤100,1
103023169261614,Expo Health Tourism,These ads ran without a disclaimer,≤100,2
140152156008791,European Union in Tajikistan,These ads ran without a disclaimer,≤100,2
395997227222130,Андеша-Медиа,These ads ran without a disclaimer,≤100,1
101646639439329,Edu Motive Snq,These ads ran without a disclaimer,≤100,3
1565085217098912,Jones Beefmasters,These ads ran without a disclaimer,≤100,2
110008388297707,onebook.tj,These ads ran without a disclaimer,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
110383721804407,Dorukhona 2,These ads ran without a disclaimer,≤100,1
137365066281338,Caravanserai - Pусский,These ads ran without a disclaimer,≤100,3
103348555836948,fashion_nuriya,These ads ran without a disclaimer,≤100,2
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,27
102929744447362,Нити Центральной Азии,These ads ran without a disclaimer,≤100,1
103584007732511,Smeshno Vines,These ads ran without a disclaimer,≤100,1
117353747241622,Мосты сотрудничества,These ads ran without a disclaimer,≤100,1
109062828734912,Юридические услуги,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
105118752361945,greencard_expert,These ads ran without a disclaimer,≤100,1
104001535800065,Zdesenko25,These ads ran without a disclaimer,≤100,1
113082251707244,"Greece, Corfu",These ads ran without a disclaimer,≤100,1
2581283801904795,Go Viral TJ,These ads ran without a disclaimer,≤100,1
110006635179621,business.forum_g5,These ads ran without a disclaimer,≤100,1
110736174880719,norbekov_dushanbe,These ads ran without a disclaimer,≤100,1
100157932958042,Podsian,These ads ran without a disclaimer,≤100,1
112192393947217,Cleanup: Phone Storage Cleaner,These ads ran without a disclaimer,≤100,1
117450321295126,Good News,These ads ran without a disclaimer,≤100,1
110258241441791,Pin-Up.com,These ads ran without a disclaimer,≤100,4
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
107499092116497,Faraoh Poper,These ads ran without a disclaimer,≤100,1
109600871933811,Elena Kalen,These ads ran without a disclaimer,≤100,1
