Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
241937172952527,Centro ASDT,Gilson Alves,731,33
106001598292776,Ko'alia Ba Ha'u,These ads ran without a disclaimer,101,5
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,254
105408188985861,Cristina Dias Quintas,These ads ran without a disclaimer,≤100,4
102343709150579,"TIMOR GAP, E.P.",These ads ran without a disclaimer,≤100,2
116894217959458,Justice TIMOR..COM,These ads ran without a disclaimer,≤100,5
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,15
2253152541618349,Narpov Ateita Air,These ads ran without a disclaimer,≤100,2
111476234762000,CARE in Timor-Leste,These ads ran without a disclaimer,≤100,1
106331474473738,Esport Mobile,These ads ran without a disclaimer,≤100,2
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,48
1518216038506999,CRI - Rádio Internacional da China,These ads ran without a disclaimer,≤100,11
106616679032071,Jack Alexander,These ads ran without a disclaimer,≤100,17
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,≤100,81
208685479508187,U-Report,These ads ran without a disclaimer,≤100,6
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
107841335638756,Dana halal,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,115
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,13
111508197374332,ADB Southeast Asia Development Solutions - SEADS,These ads ran without a disclaimer,≤100,13
107163258083313,"Vice-Ministro do Comércio e Indústria, RDTL, Domingos Lopes Antunes",These ads ran without a disclaimer,≤100,1
109565878387385,Vizionáriu Timoroan,These ads ran without a disclaimer,≤100,1
1537663756289484,Global Mobile Center,These ads ran without a disclaimer,≤100,1
1369314869802971,Knua Juventude Fila-Liman,These ads ran without a disclaimer,≤100,2
108958265607470,Embaixada da RDTL em Londres,These ads ran without a disclaimer,≤100,1
100929648464258,Global Alliance of Territorial Communities,These ads ran without a disclaimer,≤100,1
116727735016048,"U.S. Embassy - Dili, Timor-Leste",These ads ran without a disclaimer,≤100,6
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,4
101392404936719,"Agio Pereira, Ministro da Presidência do Conselho de Ministros",These ads ran without a disclaimer,≤100,4
488992231280813,Hau Timor-oan,These ads ran without a disclaimer,≤100,3
100602915032991,Pedro Tadeu,These ads ran without a disclaimer,≤100,3
103449517822304,CNPC,These ads ran without a disclaimer,≤100,13
422531991438355,Fretilin - Timor-Leste,These ads ran without a disclaimer,≤100,1
358481724165689,UTS International Students,These ads ran without a disclaimer,≤100,19
386930135396467,Even2u,These ads ran without a disclaimer,≤100,1
111173568201581,Militantes Matenek,These ads ran without a disclaimer,≤100,3
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,13
1750798861675565,Versos e Vinhos,These ads ran without a disclaimer,≤100,2
1684724295099974,Trending Taiwan潮台灣,These ads ran without a disclaimer,≤100,5
106700395516360,Merubah Nasib Saya,These ads ran without a disclaimer,≤100,1
122107795658000754,FLORY Green Material,These ads ran without a disclaimer,≤100,2
616409305387140,Ex Primeiro-Ministro: S.E. Taur Matan Ruak,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,86
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,3
490469407792174,Partidu Libertasaun Popular - PLP,These ads ran without a disclaimer,≤100,3
1540868436142045,Australia in Timor-Leste,These ads ran without a disclaimer,≤100,1
371171589575669,China.org.cn,These ads ran without a disclaimer,≤100,7
110917371847867,Marisol Ortiz,These ads ran without a disclaimer,≤100,2
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,52
176104589110851,IEEE,These ads ran without a disclaimer,≤100,4
604009266788505,T-House,These ads ran without a disclaimer,≤100,10
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,≤100,2
103601298983942,Loriku Belun Boot  General TMR,These ads ran without a disclaimer,≤100,2
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
1798952753752660,Fundasaun Hadomi Timor,These ads ran without a disclaimer,≤100,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,15
101835646077102,asean.youth.forum,These ads ran without a disclaimer,≤100,3
1435108640118654,Institute of Internal Auditors Indonesia,These ads ran without a disclaimer,≤100,1
102877471454350,Kande Gao,These ads ran without a disclaimer,≤100,1
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,9
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,39
101901762911269,Miss Spinner 2023,These ads ran without a disclaimer,≤100,1
198147707062670,WDN Brazil Chapter,These ads ran without a disclaimer,≤100,3
101368689303795,New China Research,These ads ran without a disclaimer,≤100,7
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
118724814882454,CPLP - Comunidade dos Países de Língua Portuguesa,These ads ran without a disclaimer,≤100,3
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,46
216795681707605,Many Hands International,These ads ran without a disclaimer,≤100,1
795079500550035,Diário do Povo Online,These ads ran without a disclaimer,≤100,3
388710661319440,Timor-Leste Honorary Consulate in Medan,These ads ran without a disclaimer,≤100,2
100621219452909,Guoou sweater factory,These ads ran without a disclaimer,≤100,1
2289228521345667,TVET entertainment ofisiál,These ads ran without a disclaimer,≤100,2
110250330354380,Discover Beijing,These ads ran without a disclaimer,≤100,6
102224325029636,Sunčica studio,These ads ran without a disclaimer,≤100,1
113695203815367,WFP Timor-Leste,These ads ran without a disclaimer,≤100,4
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,77
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,13
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,37
102860875465067,New Marco Polo,These ads ran without a disclaimer,≤100,4
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,29
284370804968723,"Croatian service, China radio International",These ads ran without a disclaimer,≤100,6
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,9
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,22
146627512070062,International Air Transport Association (IATA),These ads ran without a disclaimer,≤100,3
1174024365982168,Howard的家居好物推荐,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,86
198722273488352,The World's 50 Best Restaurants,These ads ran without a disclaimer,≤100,1
101349122508290,Dr Sanquetta,These ads ran without a disclaimer,≤100,2
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,1
102386009265966,Aline Antunes,These ads ran without a disclaimer,≤100,2
115591005188475,Global Times,These ads ran without a disclaimer,≤100,7
109926774968672,"Shenzhen Top-Peak Electronics Co.,Ltd.",These ads ran without a disclaimer,≤100,2
68793499001,UNICEF,These ads ran without a disclaimer,≤100,4
109362318169174,German Information Centre Southeast Asia,These ads ran without a disclaimer,≤100,4
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
345383962211058,Infineon Technologies AG,These ads ran without a disclaimer,≤100,3
228496943674274,Ridwan santoso,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,2
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,15
109348282057008,Diligente Timor-Leste,These ads ran without a disclaimer,≤100,5
434438863316803,RFI Português,These ads ran without a disclaimer,≤100,2
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,7
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,13
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,5
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,≤100,2
109992798294853,Good View Hunting,These ads ran without a disclaimer,≤100,2
100413328754140,We Will Rank You podcast,These ads ran without a disclaimer,≤100,1
1041958629230034,Breathofairtestimonies,These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,12
101190992007863,BizInsight with Guan Xin,These ads ran without a disclaimer,≤100,4
103725575855620,Kisah Nyata Saya,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,15
110824087752298,Wang Guan - public page,These ads ran without a disclaimer,≤100,7
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,55
525102824185497,Indo-Pacific Defense Forum,These ads ran without a disclaimer,≤100,6
188872144758,CCTV,These ads ran without a disclaimer,≤100,12
1767565640223717,Flodova Clinic,These ads ran without a disclaimer,≤100,3
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,2
178699812177670,CGTN Malay,These ads ran without a disclaimer,≤100,1
176031462779495,海峽導報,These ads ran without a disclaimer,≤100,1
94199711897,Hábitat para la Humanidad,These ads ran without a disclaimer,≤100,2
104929039128172,Hoshi Kem Trẻ Hóa Làn Da - Xóa Nám Tàn Nhang,These ads ran without a disclaimer,≤100,26
1639088469637283,Unitar CIFAL Jeju,These ads ran without a disclaimer,≤100,2
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,≤100,5
103465465114439,Streaming Asia,These ads ran without a disclaimer,≤100,2
174532709290967,FBS Markets Inc.,These ads ran without a disclaimer,≤100,1
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100,4
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,34
191347651290,China Daily,These ads ran without a disclaimer,≤100,4
131189377574,MDPI,These ads ran without a disclaimer,≤100,50
109534787605542,Mohammed Al-Issa محمد العيسى,These ads ran without a disclaimer,≤100,2
598705943508458,ADB Publications,These ads ran without a disclaimer,≤100,3
100823192690476,Jennifer Davis,These ads ran without a disclaimer,≤100,1
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,≤100,9
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,3
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,4
21591025194,The University of Melbourne,These ads ran without a disclaimer,≤100,3
10606591490,TIME,These ads ran without a disclaimer,≤100,3
103096928451939,Lucia studio,These ads ran without a disclaimer,≤100,8
427787940590188,Радио Китай,These ads ran without a disclaimer,≤100,16
541499775894113,Center for Environmental Concerns - Philippines,These ads ran without a disclaimer,≤100,1
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100,2
175846072821088,十方視角,These ads ran without a disclaimer,≤100,6
102081261777076,Thuan Hai Corporation,These ads ran without a disclaimer,≤100,2
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,42
151409322217001,Berlin School of Business & Innovation - BSBI,These ads ran without a disclaimer,≤100,2
1239952466122244,Adtalem Global Education,These ads ran without a disclaimer,≤100,1
110202121842395,Webinar Online Gratis,These ads ran without a disclaimer,≤100,1
341166472895187,The Law Offices of John S. Eliasik,These ads ran without a disclaimer,≤100,1
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,10
1520153948249803,"Jiangsu, China",These ads ran without a disclaimer,≤100,6
102109935792410,Amsal-amsal Salomo - Hikmah Tuhan untuk Kehidupan,These ads ran without a disclaimer,≤100,3
947141812042694,Egypt Energy Show - Egypes,These ads ran without a disclaimer,≤100,17
110839298285111,Portal Mel Cajuina,These ads ran without a disclaimer,≤100,3
1175630379148974,China Xinhua Sci-Tech,These ads ran without a disclaimer,≤100,3
230645183771966,EU SWITCH-Asia Programme,These ads ran without a disclaimer,≤100,28
105011282002918,Christmas is Coming,These ads ran without a disclaimer,≤100,2
105686442303512,CTGI,These ads ran without a disclaimer,≤100,8
103043374799622,itsAbby,These ads ran without a disclaimer,≤100,1
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,12
39759254594,Earth Journalism Network,These ads ran without a disclaimer,≤100,1
106341131134920,Talk it Out with Li Jingjing,These ads ran without a disclaimer,≤100,2
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
267390166679737,IESE - Instituto de Estudos Sociais e Económicos (Moçambique),These ads ran without a disclaimer,≤100,4
102089678252706,Rotary Club for Global Action,These ads ran without a disclaimer,≤100,1
104372528749645,magocorocomete,These ads ran without a disclaimer,≤100,1
323895737657477,KT&G,These ads ran without a disclaimer,≤100,3
837157493122072,CGTN Global Business,These ads ran without a disclaimer,≤100,8
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,39
116178771385080,Localservice,These ads ran without a disclaimer,≤100,2
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,≤100,1
581009929249479,Main Hoon Anjali,These ads ran without a disclaimer,≤100,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,7
124675057404138,"Rudong, Nantong",These ads ran without a disclaimer,≤100,2
100817919462106,Misja: Wolna Polska,These ads ran without a disclaimer,≤100,7
92080024705,Stanford Health Care,These ads ran without a disclaimer,≤100,1
165525366896608,Soka Gakkai,These ads ran without a disclaimer,≤100,6
193394557345243,Devex,These ads ran without a disclaimer,≤100,7
105443772298404,"E aí, China",These ads ran without a disclaimer,≤100,1
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,4
109562720823279,CGTN Sports Scene,These ads ran without a disclaimer,≤100,3
190638967645704,Maersk,These ads ran without a disclaimer,≤100,3
167680266430885,INFO TIMOR LESTE,These ads ran without a disclaimer,≤100,2
684480475094920,Discover Inner Mongolia,These ads ran without a disclaimer,≤100,3
789394817776187,This is Hunan,These ads ran without a disclaimer,≤100,4
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,4
1717497868504337,Truth and Moments,These ads ran without a disclaimer,≤100,2
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
109178858589489,Pro-Photo-Editor,These ads ran without a disclaimer,≤100,2
1881543645439590,Tech It Out with Yang Zhao,These ads ran without a disclaimer,≤100,8
106573632404586,NYCrippyK,These ads ran without a disclaimer,≤100,1
113558234658324,Sabedoria dos Provérbios de Salomão,These ads ran without a disclaimer,≤100,3
2063352940347886,ASEAN Youth Forum,These ads ran without a disclaimer,≤100,5
105405892275345,Sandra Costa,These ads ran without a disclaimer,≤100,1
714631765241932,CRIbangla,These ads ran without a disclaimer,≤100,1
1754956431459064,Intercept Brasil,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,9
454368994983849,Enterprising China,These ads ran without a disclaimer,≤100,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
131709396684250,jhdtimor.com,These ads ran without a disclaimer,≤100,3
274747559049795,Landfill Justice,These ads ran without a disclaimer,≤100,3
