Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
141662475911566,Instance Supérieure Indépendante pour les Élections - ISIE,Instance Supérieure Indépendante pour les Élections - ISIE,120523,240
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,39404,162
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,27286,147
695492003874695,Lotfi M'Raihi لطفي المرايحي,Lotfi M'Raihi لطفي المرايحي,5973,18
68793499001,UNICEF,UNICEF with Facebook Ad Credits,4108,369
106396530710598,برلمان شعب,These ads ran without a disclaimer,3546,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,3490,258
562060647164742,IIDebate - International Institute of Debate,Rafik Akili,3029,18
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,UNICEF,2637,88
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,2535,96
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,2334,7
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,2323,1
107698860605012,Chnowa Barnemjek,Chnowa Barnemjek,2283,38
108976791837500,قاطع الإستفتاء - الصفحة الرسمية,These ads ran without a disclaimer,2083,6
101416266129939,ياسين مامي - Yassine Mami,Hammamet Informatique Services,2034,123
1745861032185440,alqatiba - الكَتيبة,Walid Mejri,2023,24
110514924199743,Fadhel Abdelkefi - فاضل عبد الكافي,Afek Tounes,1955,12
155174084508744,Banque mondiale,These ads ran without a disclaimer,1894,55
158714780827513,UNFPA,UNFPA,1650,76
28312410177,World Food Programme,These ads ran without a disclaimer,1593,128
517098898323855,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,1572,30
102957431109934,نهضة تونس,These ads ran without a disclaimer,1514,18
111491464801745,Learn English with Riadh,These ads ran without a disclaimer,1477,6
59978261217,U.S. Embassy Tunis,U.S. Embassy Tunis,1124,13
1988645351417649,BNA - Banque Nationale Agricole,BNA - Banque Nationale Agricole,1114,6
267423643362445,إبداعات,These ads ran without a disclaimer,943,2
103001109230799,الشريفة المغربية - أشهر روحانية,Servihealth,839,8
150253531687373,أخبار الآن - Akhbar Al Aan,These ads ran without a disclaimer,838,17
114268830265488,Politiket,These ads ran without a disclaimer,800,27
564664896917313,Democracy Reporting International Tunisia - DRI,Walid Mejri,791,10
124252504303223,UNICEF (FR),UNICEF,774,67
105972509425490,KADIST,These ads ran without a disclaimer,756,3
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,705,5
821430017924241,Sungrow,These ads ran without a disclaimer,676,7
142329112477770,البنك الدولي,These ads ran without a disclaimer,647,48
278604126277098,Sofien Bennaceur -سفيان بالناصر,These ads ran without a disclaimer,634,4
141662475911566,Instance Supérieure Indépendante pour les Élections - ISIE,These ads ran without a disclaimer,624,1
1576053462608710,ISIE - Béja,ISIE - Béja,600,3
737821399648193,لطفي الفرجاني - الصفحة الرسمية,لطفي الفرجاني - الصفحة الرسمية,590,12
101229896055669,صوت الجمهورية,صوت الجمهورية,519,14
368119983327926,العربي الجديد,These ads ran without a disclaimer,515,57
101827156003201,𝐃𝐚𝐥𝐲 𝐀𝐛𝐝𝐄𝐥𝐍𝐚𝐛𝐲 وزير الشغل,These ads ran without a disclaimer,513,32
472130523587683,Dhafer Sghiri - ظافر الصغيري,Dhafer Sghiri - ظافر الصغيري,487,10
1417771368474782,بوابة تونس - Tunigate,These ads ran without a disclaimer,471,13
100477638805419,الراجل الي قهرهم,These ads ran without a disclaimer,462,10
10250877124,Arab News,These ads ran without a disclaimer,437,6
100251839372041,لا حياد مع الوطن,These ads ran without a disclaimer,431,2
1238173096287495,Azur Games,These ads ran without a disclaimer,429,5
1006585369390231,Paradigm Marketing and Advertising,These ads ran without a disclaimer,429,1
606721589343692,FIFA World Cup,These ads ran without a disclaimer,421,1
258079200940696,انتخبت قيس سعيد وندمت,These ads ran without a disclaimer,410,5
103583695424358,Hatem Houaoui,Hatem Houaoui,409,1
109648084665010,انور الطعلوش الصفحة الرسمية,Kiwi Softwares,377,4
538840716169777,فكرة وطن,فكرة وطن,360,17
230834147675510,LabXchange,These ads ran without a disclaimer,351,1
464041416970667,مونت كارلو الدولية / Monte Carlo Doualiya,These ads ran without a disclaimer,351,20
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,347,2
101359732304206,Share_M113_x2,These ads ran without a disclaimer,347,6
131965804932078,السياسة بالفلاّقي,These ads ran without a disclaimer,346,51
103527437988087,فالصو Falso,فالصو Falso,343,4
140346369371416,LES Éditions IRIS,These ads ran without a disclaimer,335,3
113018337819617,Booki Voyages,These ads ran without a disclaimer,322,4
68793499001,UNICEF,These ads ran without a disclaimer,320,28
298861020736,فرانس 24 / FRANCE 24 Arabic,These ads ran without a disclaimer,303,43
108426177368030,Arab News en français,These ads ran without a disclaimer,302,5
1717497868504337,Truth and Moments,These ads ran without a disclaimer,300,2
255447598280776,ISIE - Sfax 2,ISIE - Sfax 2,296,4
1917362848505983,ISIE - Sfax 1,ISIE - Sfax 1,294,4
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,293,50
1064842200391081,Aymen Ben Salah - أيمن بن صالح,These ads ran without a disclaimer,292,1
2298020043622602,N'oublie jamais حتى لا ننسى,These ads ran without a disclaimer,286,2
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,276,10
112463061674648,علي العجمي,Ali El Ajmi,274,4
220181031362776,Aziz Ben Ahmed,Aziz Ben Ahmed,270,7
197956664120395,ISIE - Kasserine,ISIE - Kasserine,252,3
102675465987487,برهان الدين الزغلامي  Zoughlami Borhen Eddine,حلمي بن محمد دليقة,252,5
200480966638039,Supremacy 1914,These ads ran without a disclaimer,251,3
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,248,10
391109784247890,Bildungsstätte Bredbeck  - Heimvolkshochschule des Landkreises Osterholz,These ads ran without a disclaimer,247,1
1506043376361490,OLC - Tunisie,These ads ran without a disclaimer,246,1
238906116211044,BIAT,"BIAT ""Banque internationale arabe de Tunisie""",245,1
303651683481268,اندبندنت عربية,These ads ran without a disclaimer,244,15
434498584072613,تونس الجديدة La Nouvelle Tunisie,These ads ran without a disclaimer,237,2
1857481434390862,آفاق تونس - Afek Tounes,Afek Tounes,236,4
104179518531180,Via Mundo Tourisme,These ads ran without a disclaimer,233,3
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,232,33
100904822517086,Non-Trivial,These ads ran without a disclaimer,225,18
103290539288415,عبد الناصر التيجاني,These ads ran without a disclaimer,225,1
59978261217,U.S. Embassy Tunis,U.S. embassy Tunis,220,3
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,207,6
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,207,13
103798515858414,"المترشح أحمد بنور "" تشريعية المهدية 2022""",السلامي محمد عزيز,204,5
106776981769231,حركة النضال الوطني- الموقع الرسمي,حركة النضال الوطني- الموقع الرسمي,200,19
938480269548429,ألترا صوت Ultra Sawt,These ads ran without a disclaimer,195,3
271089180102576,Mohamed Gharred محمد غراد,These ads ran without a disclaimer,193,1
103682291614008,الصفحة الرسمية  نزار الوسلاتى  داكس nizar oueslati,These ads ran without a disclaimer,192,14
781015815319337,ZS Beauty cosmétique naturel,These ads ran without a disclaimer,192,1
1620261278054913,الواو تونس,These ads ran without a disclaimer,192,5
193394557345243,Devex,These ads ran without a disclaimer,191,13
103914602382022,الجمعيات الشريكة لملاحظة الانتخابات,National democratic institute,189,1
107644488638489,El Omrane - 1 0 0 5,These ads ran without a disclaimer,189,1
114331101288501,M'corner-coworking space,These ads ran without a disclaimer,187,3
127187187348820,Kaspersky,These ads ran without a disclaimer,184,6
105049494491593,DREST.TN,These ads ran without a disclaimer,184,1
100126129326486,MSD for Mothers,These ads ran without a disclaimer,180,2
1322028774590822,انحياز - inhiyez.com,انحياز - inhiyez.com,179,15
142375212503142,EU Neighbourhood & Enlargement,These ads ran without a disclaimer,179,6
102178702502077,الدكتور محمد الحموري,These ads ran without a disclaimer,178,3
158088970729446,Politiket - بوليتيكات,These ads ran without a disclaimer,177,33
100457979591531,Moncef Bouzazi - منصف بوزازي,منصف بوزازي,177,9
102062252685161,Turkey Campus,These ads ran without a disclaimer,174,3
100874694997568,Stop The B,These ads ran without a disclaimer,170,1
316496640057,7iber,These ads ran without a disclaimer,170,163
106414188188266,Préservons l'eau نحميو ثرواتنا المائيّة,These ads ran without a disclaimer,170,1
134278719946186,Bayer,These ads ran without a disclaimer,169,9
104557275823271,Islamic Coin,These ads ran without a disclaimer,169,7
107992048668739,قهواجي الداخلية,These ads ran without a disclaimer,166,16
108688221969461,Tous Unis pour un USC libre.,These ads ran without a disclaimer,163,1
101230475938619,Global Initiative for Governance and Sustainability - GIGS,These ads ran without a disclaimer,163,3
484439355318317,Chebba Tv,These ads ran without a disclaimer,161,3
103883852503754,الحكيم حبيب بن يوسف,These ads ran without a disclaimer,157,1
114919021206422,Elections FTHB 2022 - قائمة التحدي,قائمة التحدي,157,1
107556618531442,Troisième République الجمهورية الثالثة,These ads ran without a disclaimer,156,5
145726335465699,صحيفة الشرق الأوسط,These ads ran without a disclaimer,154,8
560529914004452,Amine Manai,These ads ran without a disclaimer,154,3
287842647957979,EU International Partnerships,These ads ran without a disclaimer,151,6
930112943837802,Beverly Hills Lounge,These ads ran without a disclaimer,151,1
104378857660756,StateOfMatTR,These ads ran without a disclaimer,151,3
691246177723161,CGTN Arabic,These ads ran without a disclaimer,150,5
101952821512019,Reedz - ريدز,These ads ran without a disclaimer,145,2
1065631633538453,Medics Across Continents,These ads ran without a disclaimer,142,26
100767059064947,احباء الشبيبة الرياضية بالعمران,These ads ran without a disclaimer,141,1
169799706487474,CGTN Français,These ads ran without a disclaimer,140,19
695669030493619,La Tribune Events,These ads ran without a disclaimer,140,2
529463630760916,Ultra Tunisia الترا تونس,These ads ran without a disclaimer,138,4
109944855350789,News النهضة 24,These ads ran without a disclaimer,136,10
134674343213506,Université Centrale,These ads ran without a disclaimer,134,3
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,132,9
368298316574676,النهضة 24,These ads ran without a disclaimer,131,3
215444005312993,Kawaliss TN,These ads ran without a disclaimer,130,1
188842724507690,مفوضية اللاجئين,These ads ran without a disclaimer,129,10
244108199019564,الأسواق العربية - Al Arabiya Business,These ads ran without a disclaimer,129,9
107847177821253,NOW الشرق,These ads ran without a disclaimer,129,16
965105403550849,Borgi Phones,These ads ran without a disclaimer,129,1
109125678342522,سحب الثقة من قيس سعيد,These ads ran without a disclaimer,125,3
908878692509737,العين الإخبارية,These ads ran without a disclaimer,124,3
194562360560959,Mada Center Qatar,These ads ran without a disclaimer,122,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,121,4
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,121,114
120444487996350,Banque mondiale Région Afrique,These ads ran without a disclaimer,119,2
392479007911399,قهواجي البرلمان,These ads ran without a disclaimer,118,6
1598373943801358,تطبيق نبأ / Nabaa app,These ads ran without a disclaimer,112,28
108317900906805,الاستاذ حبيب بمدينة الدندانpage officiel,These ads ran without a disclaimer,110,2
106621725732852,الرئيس - Le Président,These ads ran without a disclaimer,110,1
102998575654748,Tunisia Makeup,These ads ran without a disclaimer,110,1
590568420991516,Centre International des Etudes Stratégiques Sécuritaires et Militaires,Centre International des Etudes Stratégiques Sécuritaires et Militaires,110,7
48046820798,Veeam Software,These ads ran without a disclaimer,110,1
110486684822674,بلاصة لنادي باريس - Blassa L Club De Paris,These ads ran without a disclaimer,106,23
131189377574,MDPI,These ads ran without a disclaimer,105,79
117357051309598,دولة القانون,These ads ran without a disclaimer,105,11
880241755366761,Theatre of Wrong Decisions,These ads ran without a disclaimer,104,1
125669394202045,STAR - Société Tunisienne d'Assurances et de Réassurances,These ads ran without a disclaimer,104,2
1798435720478073,新華香港,These ads ran without a disclaimer,103,8
103735011445553,Carthage News,These ads ran without a disclaimer,103,25
331477305860,Skander-tej.street-artiste,These ads ran without a disclaimer,101,1
109609691365129,mha.algaith,These ads ran without a disclaimer,101,2
158733427331619,المنذر الظاهري,mondher dahri,101,4
107700665175923,Sommet de la Francophonie de Djerba 2022,These ads ran without a disclaimer,≤100,4
289308307824786,Munathara - مناظرة,These ads ran without a disclaimer,≤100,2
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,219
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,11
199755716798643,TRT Français,These ads ran without a disclaimer,≤100,13
103782948623043,تونس ضد الانقلاب,These ads ran without a disclaimer,≤100,11
101927629433565,الانتخابات التشريعية 2022 المرشح مهدي التومي,المهدي سويسي,≤100,1
100986432813176,النائب الطاهر بن منصور الصفحة الرسمية,إيهاب بن منصور,≤100,1
108575048752819,معتز حسين الصفحة الرسمية,Moatez Hassine,≤100,7
855254981507596,Atheer – أثير,These ads ran without a disclaimer,≤100,54
115591005188475,Global Times,These ads ran without a disclaimer,≤100,20
315224578520990,SOS Village D'enfants Akouda,These ads ran without a disclaimer,≤100,1
107671075489464,تونس ضد الانقلاب,These ads ran without a disclaimer,≤100,2
206030246638167,Sarhan Nasri سرحان الناصري,These ads ran without a disclaimer,≤100,3
101275116233207,haykel dkhil,These ads ran without a disclaimer,≤100,9
715132685512232,كوثر بن الهاشمي الجربوعي عمادة حي  الشباب دوار هيشر,كوثر بن الهاشمي الجربوعي عمادة حي  الشباب دوار هيشر,≤100,4
