Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
28312410177,World Food Programme,These ads ran without a disclaimer,133,155
130945820519,FIMI,These ads ran without a disclaimer,≤100,2
102874232203527,New Page,These ads ran without a disclaimer,≤100,153
84898104708,Waitt Institute,These ads ran without a disclaimer,≤100,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,22
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,24
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,52
267531623325362,New Zealand Customs,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,23
287683225711,UN Environment Programme,UN Environment Programme,≤100,16
149967275070170,Pacific Islands International,These ads ran without a disclaimer,≤100,1
102040384983884,進之道,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,48
101516212181501,AIO Browser,These ads ran without a disclaimer,≤100,7
248986568895243,Speechify,These ads ran without a disclaimer,≤100,8
68793499001,UNICEF,These ads ran without a disclaimer,≤100,39
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,120
101004705279299,EMRU,These ads ran without a disclaimer,≤100,1
110801873957389,Australia Pacific Security College,These ads ran without a disclaimer,≤100,12
108002477431551,The Green Space,These ads ran without a disclaimer,≤100,6
102674628464801,We Need to Talk About West Papua,These ads ran without a disclaimer,≤100,2
696039257092916,ARISE Church,These ads ran without a disclaimer,≤100,6
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,3
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,≤100,3
115591005188475,Global Times,These ads ran without a disclaimer,≤100,32
98352830843,Tagata Pasifika,These ads ran without a disclaimer,≤100,2
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100,26
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,6
6013004059,The Economist,These ads ran without a disclaimer,≤100,26
117592091643709,Tree of Life Ministries｜Evangelism in Israel,These ads ran without a disclaimer,≤100,9
106267871566885,Instant Monitor,These ads ran without a disclaimer,≤100,5
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,≤100,3
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,25
119405895873,Huawei,These ads ran without a disclaimer,≤100,19
100137592682964,erictu222,These ads ran without a disclaimer,≤100,1
18523396549,The Church of Jesus Christ of Latter-day Saints,These ads ran without a disclaimer,≤100,1
104188435942570,Langafonua A Fafine Tonga,These ads ran without a disclaimer,≤100,1
104399134715456,Pacific Advocate,These ads ran without a disclaimer,≤100,3
1635938359966629,Tonga Rugby Union,These ads ran without a disclaimer,≤100,1
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100,14
345421755527109,Ever Accountable,These ads ran without a disclaimer,≤100,1
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100,64
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,11
1262867700453646,"ANU Institute for Climate, Energy & Disaster Solutions",These ads ran without a disclaimer,≤100,1
128323707185817,deVere Group,These ads ran without a disclaimer,≤100,5
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,27
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,13
461484337565161,Pacific Island Food Revolution,These ads ran without a disclaimer,≤100,4
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
106905656797560,Nia Tero,These ads ran without a disclaimer,≤100,2
1355426087883151,Crypto.com,These ads ran without a disclaimer,≤100,1
21987463952,McKinsey & Company,These ads ran without a disclaimer,≤100,3
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,6
103733302465216,New Page,These ads ran without a disclaimer,≤100,2
112030187156021,GNMNZ,These ads ran without a disclaimer,≤100,3
102328765911090,INFO OPM TPNPB-OPM News,These ads ran without a disclaimer,≤100,2
609245665885381,The University of the South Pacific Students' Association,These ads ran without a disclaimer,≤100,5
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,≤100,6
126052760507,Mama Cash,These ads ran without a disclaimer,≤100,73
307619925937720,ITC's Market Analysis Tools,These ads ran without a disclaimer,≤100,2
119006106155684,PI Energy,These ads ran without a disclaimer,≤100,4
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,8
417660238637189,Ngaluope,These ads ran without a disclaimer,≤100,3
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
120201091012610,Atlantis Oceanians,These ads ran without a disclaimer,≤100,1
107356790909972,See You in Heaven,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,23
105808001847701,Populist Online,These ads ran without a disclaimer,≤100,19
1986751961549256,SVTV Network,These ads ran without a disclaimer,≤100,4
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,18
804997446264798,Chic Me,These ads ran without a disclaimer,≤100,1
145643245456953,Jack Hibbs,These ads ran without a disclaimer,≤100,2
366218547263232,Algorand Foundation,These ads ran without a disclaimer,≤100,3
109787684975930,StoryLight,These ads ran without a disclaimer,≤100,2
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,22
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,≤100,10
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,44
101151465723556,New Page,These ads ran without a disclaimer,≤100,7
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
1367852156605258,Pasifikabydesign,These ads ran without a disclaimer,≤100,2
101481461436455,Explore Indonesia,These ads ran without a disclaimer,≤100,5
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,15
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,17
101359732304206,Share_M113_x2,These ads ran without a disclaimer,≤100,6
1730630540553065,Curio,These ads ran without a disclaimer,≤100,4
113704773876975,Sustainable Japan by The Japan Times,These ads ran without a disclaimer,≤100,3
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100,32
201662943328320,Royal Society of Victoria,These ads ran without a disclaimer,≤100,1
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100,1
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,4
21218780346,Foreign Policy,These ads ran without a disclaimer,≤100,1
988562504488681,Sciences at University of Otago,These ads ran without a disclaimer,≤100,1
6651543066,CNN Business,These ads ran without a disclaimer,≤100,12
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,≤100,8
102857754432157,Asia Pacific Network of Environment Defenders - APNED,These ads ran without a disclaimer,≤100,2
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,37
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,13
352746421411753,No Deep Sea Mining,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,22
525102824185497,Indo-Pacific Defense Forum,These ads ran without a disclaimer,≤100,8
171795872872353,ISPI - Istituto per gli studi di politica internazionale,These ads ran without a disclaimer,≤100,5
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
712936602124528,"Pacific Theological College, Suva, Fiji Islands",These ads ran without a disclaimer,≤100,2
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,≤100,10
197708646922970,IMF Finance & Development Magazine,These ads ran without a disclaimer,≤100,4
520639961303602,Nature Arabic Edition,These ads ran without a disclaimer,≤100,3
845620825830146,Deel,These ads ran without a disclaimer,≤100,3
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,≤100,11
320788968000582,Center for Israel Education,These ads ran without a disclaimer,≤100,3
143784343079023,PCRIC,These ads ran without a disclaimer,≤100,2
125292411482862,New Zealand Ministry of Foreign Affairs and Trade,These ads ran without a disclaimer,≤100,2
182073298490036,Gaia,These ads ran without a disclaimer,≤100,1
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,3
105143981952671,Jewish Peoplehood עמיות יהודית,These ads ran without a disclaimer,≤100,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,2
1349653641813542,Business Link Pacific,These ads ran without a disclaimer,≤100,2
126166480762310,SelectScience,These ads ran without a disclaimer,≤100,2
101414535360571,Raise Three Fingers,These ads ran without a disclaimer,≤100,10
136428433091172,Tv5monde Asie Pacifique,These ads ran without a disclaimer,≤100,2
193394557345243,Devex,These ads ran without a disclaimer,≤100,14
101368738938397,Redefined Kindness,These ads ran without a disclaimer,≤100,8
230024023872672,Tonga Red Cross Society,These ads ran without a disclaimer,≤100,1
105417708352480,New Page,These ads ran without a disclaimer,≤100,8
579218015834979,Trauma Research Foundation,These ads ran without a disclaimer,≤100,1
109862414188910,My Business Caught on Fire now Homeless need help Go Fund Me,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,10
111950294598677,Kapelieli Militoni Lanumata,These ads ran without a disclaimer,≤100,1
