Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
127290640672745,Cumhuriyet Halk Partisi - CHP,Cumhuriyet Halk Partisi - CHP,46582312,351
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,12710659,1628
1160506840785202,Murat Kurum,Murat Kurum,11061663,206
102095934751904,Deva Partisi,Deva Partisi,8830683,1843
141870402543282,AK Parti,AK Parti,8209527,107
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,7850069,437
1445726515639735,Hakan Tütüncü,Hakan Tütüncü,5722992,197
141870402543282,AK Parti,Ak Parti,4734395,74
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),4209512,755
141311632555208,Bağımsız Türkiye Partisi,Bağımsız Türkiye Partisi,4097214,440
100910024639566,Ali Babacan,Deva Partisi,3411874,217
1374606626186872,Hamza Dağ,Hamza Dağ,3166826,868
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,3054970,466
130147920189908,İstanbul Gerçekleri,İstanbul Gerçekleri,2714293,166
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,2647389,904
575755372513811,Muhittin Böcek,Muhittin Böcek,2597935,1315
103332962391978,Mehmet Altınöz,Mehmet Altınöz,2523558,1005
562429187164086,Hilmi Türkmen,Üsküdar Belediyesi,2460079,106
268544196532365,Saadet Partisi İstanbul İl Başkanlığı,Saadet Partisi İstanbul İl Başkanlığı,2410855,478
344704883576,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,2389877,71
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,2293174,154
191453580768,Yeni Şafak,Yeni Şafak,2283790,506
108214242593152,Mansur Yavaş,Mansur Yavaş,2013126,148
1885081341783708,Özlem Çerçioğlu,Özlem Çerçioğlu,1905018,255
231327076720592,Osman Tarık Özçelik,Osman Tarık Özçelik,1765929,518
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,1651493,304
104467829291062,Smaberfinada,Smaberfinada,1625695,91
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,1446906,611
160299890701550,Zeydan Karalar,Zeydan Karalar,1445338,161
796058554104202,Kadem Ekşi,Kadem Ekşi,1388873,141
877839188967827,Büyük Türkiye,Adem Demirkol,1335302,140
1126247144131559,Cambly Türkiye,These ads ran without a disclaimer,1295400,12
101490908746353,Zafer Partisi,Zafer Partisi,1279443,160
199244216594658,Resul Emrah Şahan,Resul Emrah Şahan,1275222,301
462963834529864,Levent Uysal,Levent Uysal,1232374,173
1407664829448583,Dem Parti,Dem Parti,1190174,21
176338225842984,Yeşil Sol Parti,Yeşil Sol Parti,1173875,86
255623134454073,Veli Ağbaba,Veli Ağbaba,1145624,248
125971147774849,Şeyma Döğücü,Şeyma Döğücü,1121787,329
2156627307736352,Buğra Kavuncu,Buğra Kavuncu,1091043,91
580908135734040,Abdullah Küçükoğlu,Abdullah Küçükoğlu,1046704,102
216843168173689,Mithat Bülent Özmen,Mithat Bülent Özmen,1046571,414
103973085706404,Mesut Kocagöz,Mesut Kocagöz,1043374,680
1439683329600228,Ümit Uysal,Ümit Uysal,1020277,796
1882729428686091,M. Oktay Aksu,Oktay Aksu,979986,201
614634851905255,Turgut Altınok,Turgut Altınok,973271,151
1407759386141852,Ahmet Akın,Ahmet Akın,952690,374
303048049842901,hygazete.com,hygazete.com,938439,1094
510344522371733,Oy ve Ötesi,Oy ve Ötesi,931752,989
483282718428036,Meral Akşener,İYİ Parti,922847,163
1057639254636318,Övünç Demir,Övünç Demir,897416,206
41427278726,Cengiz Ergün,Cengiz Ergün,896082,354
101726388406507,Tabuta Sığmayanlar,Tabuta Sığmayanlar,889807,25
225432543988727,Mesut Öksüz CHP,Mesut Öksüz,887766,212
118519987873082,Nebi Hatipoğlu,Nebi Hatipoğlu,852769,69
211198052392956,Mimar Hüseyin Karakaya,Mimar Hüseyin Karakaya,851557,68
221536127713513,Dr. Halil Nacar,Halil Nacar,825247,241
1534332603514319,Av.Rıza Sümer,Av.Rıza Sümer,819455,181
198696229985123,İrfan Önal,İrfan Önal,815172,169
2234782036766963,Dr. Cemil Tugay,Dr. Cemil Tugay,814557,294
100675732413915,Anket Adam,Anket Adam,801124,824
1509424776002655,İnan Güney,İnan Güney,787771,195
137308272804414,Antalya Gerçekleri,Antalya Gerçekleri,786557,28
194901500550020,Özgür Özel,Özgür Özel,772917,86
2348574612045911,Murat Kurum Fan,Murat Kurum Fan,749975,31
183688368167703,Ferdi Zeyrek,Ferdi Zeyrek,737665,155
101510914946267,Mahir Polat,Mahir Polat - CHP Fatih Belediye Başkan Adayı,727211,130
103536752705365,Nazmi Ceylan,Nazmi Ceylan,718789,35
210993622366044,TVNET,TVNET,690792,246
200099626528167,Dr. Ayyüce Türkeş Taş,Invictum Bilişim Ajans Hizmetleri Tic. Ltd. Şti.,678568,39
1430492427188997,Turhan ÇÖMEZ,Turhan ÇÖMEZ,644159,22
198582493330348,Ali Demirçalı,Ali Demirçalı,639613,359
124377320959905,Dr. Mehmet Hilmi Güler,Dr. Mehmet Hilmi Güler,633094,280
122123747498001463,Sma_baybarsalim,These ads ran without a disclaimer,630726,3
206151709240329,Prof. Dr. Ümit Özlale,Ümit Özlale,613670,39
315707528634723,Alinur Aktaş,Alinur Aktaş,612932,104
104156024801697,Hüseyin Coşkun,Hüseyin Coşkun,611615,164
427347220687844,Mehmet Dönmez,Mehmet Dönmez,611479,374
261499947037430,Gündem Ankara,The Mediology,607588,42
363361037347874,Mehmet ŞAHİN,Mehmet ŞAHİN,598467,235
206541136053869,Behçet SAATCI,Behçet SAATCI,596571,250
110402623821206,Abdulkadir Aydoğan,Acom Medya,589726,123
396578547036596,Şükrü Genç Başkan,Şükrü Genç Başkan,589046,120
220213571181463,İsmail Çiftçioğlu,İsmail Çiftçioğlu,581393,393
107621395263001,Bilge Yılmaz,Bilge Yılmaz,577198,45
106187277979172,Dijital Gaste,Dijital Gaste,569450,59
201645356663719,Cengiz Topel Yıldırım,Cengiz Topel Yıldırım,568265,113
954321377912146,Av. Adem GÜNEY,Av. Adem GÜNEY,568086,171
162643753879231,Deniz Köken,Deniz Köken,564998,188
210774878778445,Recep Erol,Recep Erol,556809,431
104673902279375,Yankı Haber,Yankı Haber,545627,539
1930515630390459,Rıza Akpolat,Rıza Akpolat,539177,176
326403044634322,Abdurrahman Dursun,Abdurrahman Dursun,537008,147
