Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
102264685970318,TG Warrior,These ads ran without a disclaimer,≤100,1
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,60
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,43
287683225711,UN Environment Programme,UN Environment Programme,≤100,12
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
110801873957389,Pacific Security College,These ads ran without a disclaimer,≤100,7
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
101910088783823,Mana Pacific Consultants Ltd,These ads ran without a disclaimer,≤100,1
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,15
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,4
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,3
119405895873,Huawei,These ads ran without a disclaimer,≤100,15
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
712936602124528,"Pacific Theological College, Suva, Fiji Islands",These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,10
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,8
68793499001,UNICEF,These ads ran without a disclaimer,≤100,6
108988888625598,E-Com System,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,58
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,3
461484337565161,Pacific Island Food Revolution,These ads ran without a disclaimer,≤100,3
7297163299,Greenpeace International,These ads ran without a disclaimer,≤100,3
102874232203527,New Page,These ads ran without a disclaimer,≤100,9
103733302465216,New Page,These ads ran without a disclaimer,≤100,2
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,12
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,8
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,4
105808001847701,Populist Online,These ads ran without a disclaimer,≤100,19
115591005188475,Global Times,These ads ran without a disclaimer,≤100,6
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
102328765911090,INFO OPM TPNPB-OPM News,These ads ran without a disclaimer,≤100,2
101082842736363,The world of reader,These ads ran without a disclaimer,≤100,4
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,4
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,4
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
6651543066,CNN Business,These ads ran without a disclaimer,≤100,5
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100,14
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,13
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,2
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,17
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,10
102114825976458,The novels,These ads ran without a disclaimer,≤100,6
101368689303795,New China Research,These ads ran without a disclaimer,≤100,5
791961090884741,BenarNews,These ads ran without a disclaimer,≤100,1
212428362170262,"NGO & Civil Society Center, Asian Development Bank ADB",These ads ran without a disclaimer,≤100,3
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,11
168599115038,UNICEF Pacific,These ads ran without a disclaimer,≤100,1
265345800469382,Hyundai Motor Group,These ads ran without a disclaimer,≤100,1
