Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,35297410,13292
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),34493966,9062
261813197541354,侯友宜,侯友宜,18092857,413
343347583411734,歡樂大東家,These ads ran without a disclaimer,11438151,118
152472278103133,賴清德,賴清德,10459785,212
467933563234921,南門書局,玉河 孫,9615578,371
106801464127093,目目非營利 MUVE NPO,目目非營利,7868292,1615
136845026417486,柯文哲,柯文哲,7854685,475
106801464127093,目目非營利 MUVE NPO,目目非營利 MUVE NPO,7414625,1080
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,7102693,145
108276455187681,神將風雲錄,These ads ran without a disclaimer,6838149,14
286487218798,遠見雜誌,遠見雜誌,6641946,2261
693907914395620,良杯製所 Oolab,良杯製所 Oolab,6392743,141
217517810298674,地方政治觀察家,皮爾森數據,6014610,11111
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,4448465,1426
106987027752157,雲上城之歌,These ads ran without a disclaimer,4386473,32
150336441057,民主進步黨,民主進步黨,4301312,105
1649523455281990,遠山呼喚,遠山呼喚,3699055,362
211730475524462,大陸委員會,大陸委員會,3551667,1445
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,3388381,867
1744817065775156,ShopBack 曉寶返現,These ads ran without a disclaimer,3096778,120
177161918975981,基督教芥菜種會,基督教芥菜種會,2863566,2043
158025223269,今周刊,今周刊,2783994,1330
693727081042993,茂鴻電力,煜昌 洪,2741301,260
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,2653299,335
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,2569913,40
467933563234921,南門書局,These ads ran without a disclaimer,2565093,49
292149730822140,AMC 空中美語,These ads ran without a disclaimer,2480380,18
100489613340306,Samsung,Samsung,2393345,74
2430390413849261,奕綸有限公司,京昀,2375888,844
215213505975,FUNDAY英語教育,FUNDAY英語教育,2270531,1019
1497340690559711,鄭運鵬 Cheng Yun-Peng,鄭運鵬,2228657,157
101861069223591,沈慧虹,慧虹沈,2167851,105
866920619990655,BuzzOrange 報橘,BuzzOrange報橘,2121109,636
1631636303804927,湛・Azure,湛,2119400,283
105864701769057,眾曜智庫學院,瑞馳智庫股份有限公司,2119347,126
235679595900,民視新聞,民視新聞,2117798,1917
891084220962935,時代力量 New Power Party,時代力量 New Power Party,2006046,347
436843193180529,Unipapa,Unipapa,2003107,963
281219301931458,蔡其昌,蔡其昌,1998059,971
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。(師友文化),玉河 孫,1925808,71
1537741526464370,桃園市議長邱奕勝,奕勝 邱,1923142,1704
555403217887724,台灣國際器官移植關懷協會（Taicot）,台灣國際器官移植關懷協會（Taicot）,1907307,224
101318359366239,臺灣非賣藥電台,臺灣非賣藥電台,1906100,627
140282406003843,486先生,486團購網,1817333,50
132666307449531,溏風報傳媒,fongnews.net,1752182,611
219315794887869,聯合報,聯合報股份有限公司,1731627,2328
805460986214082,蔣萬安,蔣萬安,1709940,131
105023015712531,廖裕德,奕維陳,1665435,316
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,1640175,587
215213505975,FUNDAY英語教育,These ads ran without a disclaimer,1625992,360
1855418728011324,鏡週刊,鏡週刊,1612696,1202
1413658198866930,柯建銘,柯建銘,1606272,139
219146163517,黃珊珊,黃珊珊,1459657,36
720960531296072,社團法人台灣芒草心慈善協會,社團法人台灣芒草心慈善協會,1450925,418
110699089014688,三立新聞,三立新聞,1448353,922
102865163127981,孩子的書屋,財團法人孩子的書屋文教基金會,1330097,331
2076907659231946,謝榮雅,Chen Shan,1311721,8
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,1304516,97
131181017972,中國國民黨 KMT,中國國民黨 KMT,1293280,251
101896272489490,調查員皮爾森,皮爾森數據Pearson Data,1267540,2394
847656288723256,Giloo紀實影音,Giloo紀實影音,1262687,103
113021403762187,法律協會-債務協商 更生 清算 -全台服務,法律協會-債務協商 更生 清算 -全台服務,1220330,27
911433142308383,柯志恩,柯志恩,1197455,343
192165170847259,李眉蓁,李眉蓁,1193671,430
102884532662,NOWnews 今日新聞,NOWnews 今日新聞,1192533,255
223859621447410,VITABOX 維他盒子,These ads ran without a disclaimer,1190483,5
1765791806973716,徐榛蔚,Evonne Hu,1184454,178
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,1184383,1416
573474646459145,郭台銘,OMNINSIGHT,1182354,72
150288101715378,桃園少年之家財團法人基督教更生團契桃園市私立少年之家,財團法人基督教更生團契桃園市私立少年之家,1161918,273
109243777232364,ReTissue 在乎衛生紙,PackAge+,1161424,402
105145851969444,遺跡探險sa,These ads ran without a disclaimer,1153126,1
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),無國界醫生 / Médecins Sans Frontières (MSF),1122123,176
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,1120205,107
100101279183109,湠臺灣電影 thuànn TAIWAN,貝殼放大股份有限公司,1101749,437
748193915263885,羅廷瑋,羅廷瑋,1096988,213
104360068410819,大悲學苑《回眸》Review,大悲學苑,1084822,559
179608846121604,富達投信 Fidelity International - Taiwan,富達投信 Fidelity International - Taiwan,1067368,48
107723404822007,地球迷航,正盛林,1064523,376
101046209392101,國峯厝好貸,新事貸-新鑫特優經銷商,1057919,19
1283248558476115,長榮當舖-汽機車借款,These ads ran without a disclaimer,1043181,648
300320033502806,立法委員林為洲,為洲 林,1023918,1426
361714417657194,浪人食堂,浪人食堂,1019438,428
172835866095977,我是中壢人,我是中壢人,997997,116
191290960914397,林耕仁,耕仁 林,958272,1521
445352675829719,Nestlé 雀巢,Nestle Taiwan 台灣雀巢,914177,266
102764756435823,黃柏霖,柏霖黃,881518,202
151405678864363,全民Party,These ads ran without a disclaimer,862787,61
219315794887869,聯合報,聯合報,851773,1434
390569611008641,願景工程 Vision Project,願景工程基金會,836421,811
113115841660729,廖偉翔,廖偉翔,826807,447
106906605263454,魔戒：開戰時刻,These ads ran without a disclaimer,826781,9
108541027668420,盛世芳華,These ads ran without a disclaimer,823505,9
139800702555445,Victor Fang,方俊力,808798,51
237483602952352,黃適卓,適卓 黃,808269,3118
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,804026,1424
102002721267282,王婉諭,王婉諭,804009,157
