Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
101090858962676,Mama yuko Kazini,Watanzania,64647,434
278029242253904,Twitter,These ads ran without a disclaimer,31268,1
106411238719021,Tanzania Post,Tanzania Post,7582,56
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,4201,15
564930266902258,Serengeti Premium Lager,These ads ran without a disclaimer,2618,3
183801671774281,Chama Cha Mapinduzi,Zakayo Alishi Kishiwa,2303,39
2245527852196352,Dr Hussein Mwinyi,Wananchi,2005,20
308211949550826,Phoenix browser,These ads ran without a disclaimer,1949,17
100356775158044,Kura ya Mtandao,Maoni,1907,5
102657886079408,Cheche Times,Cheche Times,1893,10
113684353703584,Zanzibar Tunayoitaka,Wananchi,1620,13
2119732698342937,Vodafone Group,These ads ran without a disclaimer,1445,15
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,1305,16
108043531043346,The Source Initiative,Wananchi,1294,13
924670980889820,ACT Wazalendo,ACT Wazalendo,1151,57
100998292278237,Jobs in Canada,These ads ran without a disclaimer,1150,59
100126129326486,MSD for Mothers,These ads ran without a disclaimer,1143,4
103335725360168,Jobs Vacancies in Canada,These ads ran without a disclaimer,1045,25
584311918440395,World Health Organization African Region,These ads ran without a disclaimer,1024,12
28312410177,World Food Programme,These ads ran without a disclaimer,1018,209
1724168201017339,Summer beach paje,Hassan Simai,997,16
244473822571385,Swahili Times,Swahili Times,989,4
158714780827513,UNFPA,UNFPA,886,243
68793499001,UNICEF,UNICEF with Facebook Ad Credits,714,23
104232685338721,Samia Suluhu Hassan,Watanzania,709,9
106524325036276,Canada Job Opportunity,These ads ran without a disclaimer,666,36
204481689593803,January Makamba,Wananchi,611,1
104584234455863,Opera News Lite,These ads ran without a disclaimer,586,25
216311481960,Bill Gates,These ads ran without a disclaimer,552,59
502554513617975,CUF - Chama Cha Wananchi,Juma Hussein Kilaghai,526,21
244473822571385,Swahili Times,Wananchi,495,14
167449763393196,Joti,Wananchi,495,14
101516212181501,AIO Browser,These ads ran without a disclaimer,466,7
68793499001,UNICEF,UNICEF,423,92
102794965319126,Canada Jobs,These ads ran without a disclaimer,319,26
248986568895243,Speechify,These ads ran without a disclaimer,316,20
837286056286301,Elevate - Brain Training,These ads ran without a disclaimer,308,2
312683175769867,Free VPN - Unseen Online,These ads ran without a disclaimer,298,1
101883827871767,UWC East Africa,KidsRights,290,2
277441125605570,FXTM,These ads ran without a disclaimer,283,8
1619969771657694,Yidan Prize,These ads ran without a disclaimer,264,29
102354811237005,kurayetu,Tanzania Bora Initiative,252,42
1553424368288943,Zitto Kabwe Ruyagwa,ACT Wazalendo,248,9
144393622272640,DW Kiswahili,These ads ran without a disclaimer,236,4
112030681144381,Canada Jobs For Foreign Workers,These ads ran without a disclaimer,223,28
428157337550611,ICMM,These ads ran without a disclaimer,193,13
157438094324143,The Nature Conservancy in Africa,These ads ran without a disclaimer,192,24
68793499001,UNICEF,These ads ran without a disclaimer,190,56
1698839257005538,Tanzania Bora Initiative,Tanzania Bora Initiative,180,39
359443220872849,Summer Dream Lodge,Hassan Simai,168,3
112673454569158,Ukweli Daily,Amplify Tanzania,166,3
1355426087883151,Crypto.com,These ads ran without a disclaimer,166,1
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,165,18
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,164,90
203525053017188,Tigo Tanzania,These ads ran without a disclaimer,163,3
100458848682601,Queen Irene,These ads ran without a disclaimer,162,15
102247655973539,Msumba News Blog,Msumba News Blog,154,6
1008155585910031,Jamvi la habari,These ads ran without a disclaimer,143,7
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,141,3
1192909250720311,Bayport Tanzania,These ads ran without a disclaimer,140,1
1730630540553065,Curio,These ads ran without a disclaimer,139,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,131,3
440459709390224,Hitachi Energy,These ads ran without a disclaimer,131,46
158402677555776,European External Action Service - EEAS,These ads ran without a disclaimer,128,16
100614852100576,Ecla Africa Consult,Lauden Michael Cheyo,123,13
198317336853861,Qatar Airways,These ads ran without a disclaimer,110,5
113615355316959,WIRED UK,These ads ran without a disclaimer,109,52
31292782350,Deutschland.de,These ads ran without a disclaimer,102,81
581812981838021,湖南卫视 芒果TV,These ads ran without a disclaimer,≤100,31
235123059866368,"Hitachi, Ltd. -Global",These ads ran without a disclaimer,≤100,11
108513688105167,Canada Jobs Available,These ads ran without a disclaimer,≤100,15
606117676714191,Yoyoasema,These ads ran without a disclaimer,≤100,8
342497842533188,StarTimes,These ads ran without a disclaimer,≤100,1
100343302552118,zittokabwe,These ads ran without a disclaimer,≤100,4
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,13
101412564951950,Essence Driving School,These ads ran without a disclaimer,≤100,4
199105454128,German Information Centre Africa,These ads ran without a disclaimer,≤100,13
268202636612625,EY Careers,These ads ran without a disclaimer,≤100,1
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
100903165742639,Piga Kura,These ads ran without a disclaimer,≤100,1
111656136903306,mukiiinternational_inc,These ads ran without a disclaimer,≤100,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,4
115241755163096,World Bank Africa,These ads ran without a disclaimer,≤100,10
349837788460874,CRI Kiswahili,These ads ran without a disclaimer,≤100,13
733834003367100,Green Acres Schools Tanzania,These ads ran without a disclaimer,≤100,1
132590636767639,Umoja wa Mataifa,These ads ran without a disclaimer,≤100,2
215138065124,Louis Vuitton,These ads ran without a disclaimer,≤100,1
183801671774281,Chama Cha Mapinduzi,Evans Expery Makundi,≤100,1
107208324844645,thesignature100,These ads ran without a disclaimer,≤100,1
101211555291859,Phoenix Browser-give you more,These ads ran without a disclaimer,≤100,7
6013004059,The Economist,These ads ran without a disclaimer,≤100,51
104997047802852,voice9316,These ads ran without a disclaimer,≤100,12
565225540184937,CGTN,These ads ran without a disclaimer,≤100,42
108748384706291,GED Africa,These ads ran without a disclaimer,≤100,1
112480938779166,Kakande Ministries,These ads ran without a disclaimer,≤100,1
105728562826950,Atlantic International University,These ads ran without a disclaimer,≤100,1
575991459097167,International Partnership for Microbicides,These ads ran without a disclaimer,≤100,3
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,≤100,12
243416745755575,Maji Safi Group,These ads ran without a disclaimer,≤100,6
830015703781124,Arden University,These ads ran without a disclaimer,≤100,39
2236670239895467,Mtaalamu wa Kiingereza Online English Course,These ads ran without a disclaimer,≤100,7
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,14
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100,10
1048215361885037,معرض الكانتون,These ads ran without a disclaimer,≤100,5
101406265059339,Magereli for Kigamboni,Shaban R Said,≤100,6
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,266
537406009612079,Fancy wallpaper-1,These ads ran without a disclaimer,≤100,6
554405848049694,All Translator Pro-1,These ads ran without a disclaimer,≤100,3
108798714253136,Compare Finance,These ads ran without a disclaimer,≤100,14
