Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
316920938976083,Голос,an advertiser in Ukraine,301257,764
110540080668074,Політична партія «ЗА МАЙБУТНЄ»,an advertiser in Ukraine,238312,2027
596991260806877,Слуга Народу,an advertiser in Ukraine,228127,5449
474409562693441,Петро Порошенко,an advertiser in Ukraine,199676,624
832922343451368,Європейська Солідарність,an advertiser in Ukraine,190912,202
1681746348718469,НАШ КРАЙ,an advertiser in Ukraine,171232,2031
284545724993213,Олександр Шевченко,an advertiser in Ukraine,143476,1438
100933798374527,Ігор Палиця,an advertiser in Ukraine,130195,619
238601382960671,Арсеній Яценюк,an advertiser in Ukraine,111095,2562
697986830280363,Спільна Справа,an advertiser in Ukraine,109318,24
2146764502111758,Партія Шарія,an advertiser in Ukraine,101881,2757
102620228208757,"Жіночий рух ""ЗА Майбутнє""",an advertiser in Ukraine,81134,1990
145276418816044,Obozrevatel,an advertiser in Ukraine,79411,1008
149481385220784,Volodymyr Groysman,an advertiser in Ukraine,78820,515
102918915827968,КОЛО ЖИТТЯ,an advertiser in Ukraine,75153,752
348669076008,Шустер online,an advertiser in Ukraine,69932,1053
426507261147892,Демократична Сокира,an advertiser in Ukraine,66937,295
2245813635668524,Європейська Солідарність - Київ,an advertiser in Ukraine,65854,333
187313651306746,Юлія Тимошенко,an advertiser in Ukraine,59893,66
655437887913312,Святослав Вакарчук,an advertiser in Ukraine,55643,54
2165627750243590,Бойко - лидер,an advertiser in Ukraine,52171,2397
583667251688444,Leonid Chernovetskyi,an advertiser in Ukraine,49345,280
638594323269319,Слуга Народу — Запоріжжя,an advertiser in Ukraine,43977,445
102389113168855,RegioNews.ua,an advertiser in Ukraine,42861,898
103385935126249,Перший Незалежний,an advertiser in Ukraine,41916,173
377914983005700,Українська стратегія,an advertiser in Ukraine,41614,139
195616963870435,Центр Протидії Корупції,an advertiser in Ukraine,40929,683
1875174596128785,Яценко Антон,an advertiser in Ukraine,40822,1350
100256071760821,Перемога Пальчевського,an advertiser in Ukraine,40011,146
252053305192690,Ірина Верещук,an advertiser in Ukraine,38318,1358
328137994675845,Оппозиционный Блок,an advertiser in Ukraine,36230,325
156923714844831,Соціальна Справедливість,an advertiser in Ukraine,34091,734
697986830280363,Спільна Справа,These ads ran without a disclaimer,33781,10
366079347282774,Слуга Народу - Команда Зеленського у Києві,an advertiser in Ukraine,32809,363
617418912236122,Довіра Полтавщини,an advertiser in Ukraine,32751,1049
