Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,1884422,401
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,1108633,229
514863868878779,Crédito Amigo - Uruguay,Crédito Amigo - Uruguay,989809,12
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,405773,118
102337244995366,Prudencia Uruguay,Santiago Raffo Arias,293985,264
292074670808351,Frente Amplio,Frente Amplio,254244,69
106319624727298,Votá Sí,Comisión Nacional por el SÍ,227806,156
2229936167288652,Juan Sartori,Equipo Juan Sartori,226692,43
105778855257280,Jóvenes por el SÍ,Jóvenes x el SI,221345,33
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,198895,246
100404842262261,Fuerza Renovadora,Fuerza Renovadora,186870,43
409758545881921,Intendencia de Colonia,Intendencia de Colonia,158534,60
165920193432209,Intendencia de Montevideo,These ads ran without a disclaimer,134043,80
106319624727298,Votá Sí,Amira Nicol Fagúndez Lodeiro,131533,79
339506493370193,Richard Sander,Richard Saul Sander Darín,107519,405
1383563601898960,Asamblea Uruguay,Asamblea Uruguay,105170,10
705156272952509,Juventud Partido Nacional - Uruguay,Partido Nacional,96499,84
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,89386,31
682047678477157,Intendencia de Maldonado,Intendencia de Maldonado,88749,36
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,82996,175
1633909283493941,Ert Bps,Director Representante del Sector Trabajadores Ramón Ruiz,79660,39
227537964299216,Javier Radiccioni,Javier Radiccioni,71159,13
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,61751,80
287677194603697,Nuevo Espacio Frente Amplio,Nuevo Espacio,59707,22
236106566875556,Espacio 2040 - CUF,Espacio 2040,59204,29
857096944310280,Ismael Blanco,Ismael Blanco Martino,58994,13
235602956642526,Martin Laventure,Ápice,56093,38
1447518335486179,Federación Ancap,Federación Ancap,54263,27
1663909410533738,Pit-Cnt - oficial,PITCNT,47523,25
103364351021902,Álvaro Lima Diputado,Alvaro Lima,46009,47
487382181357231,Diego Echeverría,Javier Guadalupe,45764,13
111347087317819,Cash'em All,These ads ran without a disclaimer,41040,1
118843371534548,AUTE - Agrupación UTE - Sitio Oficial,AUTE,40323,5
114986235237547,CERES Uruguay,CERES Uruguay,39613,18
34839376970,Infobae,These ads ran without a disclaimer,35171,12
1451998975071651,Mario Silvera Intendente,Mario Fabian Silvera Araujo,33603,61
141135149173,Partido Independiente,Partido Independiente,32432,19
105745185244181,Votá no derogar,These ads ran without a disclaimer,31485,7
2046744538749336,Biblioteca País,These ads ran without a disclaimer,30517,8
1022169637817162,Sintep Pitcnt,Alejandro Humberto Villa López,30299,31
505949466127461,Cotidiano Mujer,Cotidiano Mujer,29014,10
100641784733064,Sebastian Arballo,Sebastián Gabriel Arballo Fassi,28645,65
860395507438977,Compromiso con el Cambio,Santiago Raffo Arias,26994,33
1172013502827312,Movimiento Socialista,Enrique Leonel Rivero Pardini,26112,33
383445061841675,Casa Grande FA,Martin Nicolas Branco Zapata,26083,25
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,25180,4
1663909410533738,Pit-Cnt - oficial,Pit Cnt,24775,3
105753548904671,Vientojovenuy,Communicare Consulting Group,23341,9
668626516485308,Enred Frenteamplista - Enred Socialista,Partido Socialista del Uruguay,21934,55
902278749807863,Lista 1 Colegio Médico del Uruguay,Andrés San Vicente,21085,2
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,21019,3
716662108461645,Doña Coca,Doña Coca,19342,2
1496397947313142,Edil Diego Guevara,Diego Enmanuel Guevara Crosi,18141,133
101576612559854,Encuentro ENFA,Encuentro EnFA,17815,8
1135215406654560,Diego Vergara,Diego Jourden Vergara Viera,17601,44
267486156716842,Constanza Moreira,Martin Nicolas Branco Zapata,17506,7
100932382174826,El Popular - Oficial,El Popular,16703,78
796545767131544,Espacio 1001,Espacio 1001,16208,36
493412680704282,Partido Comunista de Uruguay,Partido Comunista de Uruguay,16165,28
383445061841675,Casa Grande FA,Casa Grande,15801,13
200449364236710,Enzo Malán Diputado,Diego Enmanuel Guevara Crosi,15708,156
28312410177,World Food Programme,These ads ran without a disclaimer,15609,140
462231230512015,Carlos Albisu,Carlos Gabriel Albisu Emed,15427,9
102652064888705,REDUY.net,José Manuel Gutiérrez Pereira Das Neves,15258,26
837084259652515,Gonzalo Civila,Gonzalo Presidente FA,15052,6
248986568895243,Speechify,These ads ran without a disclaimer,14966,9
103862186481468,La Vertiente,These ads ran without a disclaimer,14661,16
1696033350665584,Justin Graside,Justin Graside Vera,14429,29
496868560336941,ANONG,ANONG,14376,4
100413902444892,Gabriele Gambaro - Unitalia,Gambaro Unitalia,14323,7
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,14252,14
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,13728,62
101973368951687,Voces del interior,Programas Radiales PCU,13524,35
143923892393748,Instituto Nacional de la Juventud (MIDES-INJU),Instituto Nacional de la Juventud,13362,6
194049980769458,Vestite PLZ Polarizado,These ads ran without a disclaimer,13087,4
111770051122560,Gustavo Lopez,These ads ran without a disclaimer,12563,74
1028353700566412,MUNICIPIO DE MALDONADO,Municipio de Maldonado,12441,7
103988995047541,Diputada Nancy Nuñez Soler,Alfonso Stevenson,12382,29
106631228048802,SALTO VOTA SÍ,Claudio Alejandro Silveira,12249,21
100265355096831,Imperio: Rising Civilization,These ads ran without a disclaimer,12091,12
1013323835449673,Inddhhuruguay,INDDHH Uruguay,11886,6
209162673317699,ManoBook,These ads ran without a disclaimer,11787,8
114494837074225,Rodrigo Vercellino,Rodrigo Vercellino,11758,46
101031605841842,Viento de Cambio Uruguay,Communicare Consulting Group,11407,8
108282098658865,Pablo Constenla,José Luis Ambrosoni Secco,11062,7
260130691485088,Diputado Carlucho Moreno,Matías Sebastián Casco Videverrigain,10939,10
100451933698060,AdVenture Communist,These ads ran without a disclaimer,10804,8
110428376298152,Ricardo Planchon,Facundo Maffoni Manitto,10786,9
102151455372203,Movimiento Laborista Rio Negro,Alejandro Matias Roverano Ayala,10553,13
293186997529825,La Fuerza del Adulto Mayor Julio César Talamás,Julio Cesar Talamas Moreno,10022,14
105905894524170,Costenses.com,Agustin Montemuiño González,10000,1
285614768451342,Periodico Federacion,Sergio Núñez Moraes Fuentes,9876,11
112242977308119,José Manuel Arenas Díaz,José Manuel Arenas Díaz,9555,28
215611715290660,Casa Grande Canelones,CASA GRANDE FA,8874,3
105853488326466,ONU Cambio Climático,These ads ran without a disclaimer,8870,2
108176811816633,Soriano NO deroga,Ruben Mauricio Loroña Casadei,8695,11
1424003061235730,Asociación Autismo en Uruguay,Arlene Raquel Navarro Aguiar,8684,90
108283064958951,Lista 54,These ads ran without a disclaimer,8602,3
898263160186035,USEI,PRZ,8562,3
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,8255,114
406814673488369,Democracia Avanzada 1001 Maldonado,PCU Departamental Maldonado,8222,5
158714780827513,UNFPA,UNFPA,8049,225
100695741925657,Juan Pablo Rocca Selgas,Juan Pablo Rocca Selgas,7972,30
246656179016578,Susana Hernández 1946,These ads ran without a disclaimer,7944,8
107680212029365,Todos Por Río Negro,Alejandro Matias Roverano Ayala,7760,36
303883126339575,Bimbo Uruguay,These ads ran without a disclaimer,7737,3
100469625566327,Programas radiales PCU,Programas Radiales PCU,7690,17
1663909410533738,Pit-Cnt - oficial,These ads ran without a disclaimer,7605,7
246656179016578,Susana Hernández 1946,Daniel Cajarville,7500,1
105372794744976,Intendencia de Paysandú,These ads ran without a disclaimer,7311,14
242483566108002,Whetu,These ads ran without a disclaimer,7114,74
278770992224901,Partido Obrero Revolucionario,Partido Obrero Revolucionario,7059,10
853965164614813,MPP Maldonado,Joaquin Garlo Alonsoperez,6999,3
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,6989,90
1025772570829484,S.O.S Laboral Abogados,These ads ran without a disclaimer,6928,6
105113412006855,Leopoldo Font Leo candidato a concejal zona 8 - Municipio E - Montevideo,Leopoldo Javier Font Echarte,6898,20
151203664917967,Departamental  Flores PCU,Departamental Flores PCU,6880,34
325720417500561,InfoCasas,These ads ran without a disclaimer,6825,1
1095986937086366,Frente Amplio de Flores,Frente Amplio de Flores,6750,11
107703570780726,Unidos por Rio Negro,Alejandro Matias Roverano Ayala,6505,3
100492222711808,Somos Todos Uruguayos,Blythe Marie York,6500,2
102652064888705,REDUY.net,REDUY,6440,9
101331025677439,Jaaklac,José Manuel Madrid,6337,5
102667892095404,Banca Ética Lat Uruguay,These ads ran without a disclaimer,6292,19
360954108205985,Maldonado mi lugar,Irene Gonçalvez Mautone,6236,7
189870355035034,Espacio 738 Salto,Gabriel Scabino González,5996,4
112079815665114,Cat Lifestyle Uruguay,These ads ran without a disclaimer,5981,1
109427902414390,Verde,These ads ran without a disclaimer,5977,2
126929217494457,Dove,These ads ran without a disclaimer,5957,1
149302295093685,Uruguay Natural,These ads ran without a disclaimer,5803,1
503951883021764,ShareTheMeal,These ads ran without a disclaimer,5683,33
100784662396531,Silvana Amoroso - Presidenta FA,Daniel Cajarville,5617,2
58895017663,Banco Interamericano de Desarrollo,These ads ran without a disclaimer,5576,39
162880980862726,Red Hat,These ads ran without a disclaimer,5534,2
1754061334886564,Barraca Imperio,These ads ran without a disclaimer,5395,1
67788460738,Gerardo Amarilla,Leandro Fleitas Menes,5299,15
997389183638303,Partido Socialista de Soriano,Diego Enmanuel Guevara Crosi,5236,28
102807685873350,Facundo Marziotte,AE Comunicacion Visual,5221,10
105100581738184,Lista 400 Salto,José Luis Ambrosoni Secco,5220,4
605540860101596,Diario Criollo,Diario Criollo,5058,9
110085291465302,Susana Muñiz Presidenta FA Canelones,Espacio 2040,5000,2
338547702942981,Juventud Socialista Paysandú,Emiliano Molinari,4995,10
891176547730632,Unsolouruguay,These ads ran without a disclaimer,4847,4
107165022058284,Agustin da Cunha,Agustin Federico Da Cunha,4688,5
919483364747305,Jóvenes Nuevo Espacio,Nuevo Espacio,4603,1
636553173645148,Lista 82,Fabio Exequiel Reboiras Mederos,4576,14
719853864726295,Mindvalley,These ads ran without a disclaimer,4569,51
1211098012279806,ADEOM Maldonado,These ads ran without a disclaimer,4438,4
147751821930575,Salud Digital Fundación Carlos Slim,These ads ran without a disclaimer,4374,3
497787573736655,Municipio CH,These ads ran without a disclaimer,4371,1
118843371534548,AUTE - Agrupación UTE - Sitio Oficial,These ads ran without a disclaimer,4358,1
1447518335486179,Federación Ancap,These ads ran without a disclaimer,4354,8
518564558675769,Vertiente Artiguista San José,Daniel Fernando Blanco D'Oliveira,4332,12
107574220629167,Carolina Batista,Norma Valentina Pérez Nunez,4276,11
105296848970775,Dr. Martín Pérez de Palleja,These ads ran without a disclaimer,4247,2
107678274350407,Jhans Acosta,Jhans Christian Acosta Ledesma,4226,26
116206531782887,Wise,These ads ran without a disclaimer,4176,2
150227643823099,A la izquierda late el corazón,Programas Radiales PCU,4105,12
984834781647717,Diputada Alexandra Inzaurralde,Alexandra Inzaurralde,4023,5
101190545318437,Mensuario La Vacuna,Agrupación Liber Arce PCU Atlántida,3893,23
105120851121250,Ignacio Munyo,Ignacio Munyo,3868,1
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,3845,6
110647840532680,Merge Mayor,These ads ran without a disclaimer,3758,3
204673702927948,Frente Amplio San José,These ads ran without a disclaimer,3751,18
102973278804921,Volvé,These ads ran without a disclaimer,3719,3
1021050167970839,Seguros SURA Uruguay,These ads ran without a disclaimer,3530,2
177447499061656,Fórmula Groups FB,These ads ran without a disclaimer,3527,1
104833482049938,Greg Mortimer - La película,These ads ran without a disclaimer,3482,1
104275628829399,Financiera Pronacional,These ads ran without a disclaimer,3437,2
160988954318078,SUTEL / Pit-Cnt,These ads ran without a disclaimer,3391,6
106065484513801,Merge Friends,These ads ran without a disclaimer,3274,4
558302461216393,Ps joyas por mayor,These ads ran without a disclaimer,3247,6
1612671242284520,Partido Digital,Partido Digital,3211,1
103104755438299,Movimiento Maldonado,Norton Propiedades,3195,9
106319624727298,Votá Sí,These ads ran without a disclaimer,3189,2
1604229066471179,MPP Durazno,MPP Durazno,3171,6
502665456448329,Federico Barolin,These ads ran without a disclaimer,3134,1
207165142635644,CSA - Confederación Sindical de Trabajadores/as de las Américas,These ads ran without a disclaimer,3130,13
113087996730993,El Abrazo - Lista 949,These ads ran without a disclaimer,3077,3
397224460413309,Casa Grande FA Maldonado,Irene Gonçalvez Mautone,3048,9
959291374109807,Alipay,These ads ran without a disclaimer,3046,1
1427539834142509,Álvaro Dastugue,Matías Fabian Rodríguez Diaz,3000,1
674404249330640,Play.uy,These ads ran without a disclaimer,2960,1
111425357899388,Opcion2021,These ads ran without a disclaimer,2955,4
140441793233304,Cooking Madness - A Chef's Game Community,These ads ran without a disclaimer,2940,1
563187413768247,Centro Politécnico de Estudios - Oficial,These ads ran without a disclaimer,2907,3
273327063387053,GENERACIÓN,Generación,2901,6
176030149182426,"Partido Socialista De Los Trabajadores, Espacio 1968 Frente Amplio",Dayana Pérez Fornelli,2891,24
200858503278858,Salus Uruguay,These ads ran without a disclaimer,2863,1
101511578973418,Fábula - Resúmenes de Libros,These ads ran without a disclaimer,2812,3
519312064878407,Revista Martes,Pablo Manuel Méndez Delgado,2800,5
119582258127974,Nayib Bukele,These ads ran without a disclaimer,2799,2
316246769083069,Corruptos Radio,Juan Andrés Gómez Robaina,2771,14
104200688194532,Oscar Amigo al Frente,Antonio Gonzalez,2750,4
110183097933312,Yocumplouy,These ads ran without a disclaimer,2747,2
1697696027227303,Walter Verri,Marcos Sebastián Pereyra Nievas,2704,11
101408759010524,Ingrid Urroz presidenta FA Salto,Claudio Alejandro Silveira,2686,7
668626516485308,Enred Frenteamplista - Enred Socialista,José Manuel Arenas Díaz,2669,7
857096944310280,Ismael Blanco,These ads ran without a disclaimer,2648,4
2101531243300191,Facundo Maffoni,Facundo Maffoni Manitto,2646,14
248493855826670,Nathanael Ferreira,Jonathan Nathanael Ferreira Denis,2641,12
106960984994930,31 De Enero,These ads ran without a disclaimer,2625,1
710472649019595,Frente Amplio Maldonado,These ads ran without a disclaimer,2615,3
103791318180880,GCTraffickerDigital,Graciela Cami,2563,4
1730630540553065,Curio,These ads ran without a disclaimer,2537,4
105043231110676,Veterinaria Teles,These ads ran without a disclaimer,2474,4
607518212786429,La Campaña,Marcelo Mario Linale Agostini,2437,3
324027561107639,María De Lima,These ads ran without a disclaimer,2402,11
101141362593364,CAM en Español,These ads ran without a disclaimer,2398,10
2363606573685894,Fiorella Buzeta Carminatti,These ads ran without a disclaimer,2377,2
902278749807863,Lista 1 Colegio Médico del Uruguay,These ads ran without a disclaimer,2376,1
152479438248050,eToro,These ads ran without a disclaimer,2321,1
636553173645148,Lista 82,These ads ran without a disclaimer,2302,6
530640683655093,President,These ads ran without a disclaimer,2282,2
204673702927948,Frente Amplio San José,Frente Amplio San José,2259,1
565108056966122,Curiosity Stream,These ads ran without a disclaimer,2228,31
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,2221,14
914812531904532,Jóvenes con la 12,Facundo Maffoni Manitto,2199,4
105896849068225,Great job,These ads ran without a disclaimer,2170,20
152914224736727,Banco Mundial,These ads ran without a disclaimer,2137,238
104547384377876,Gerardo Viñales,Liliana Beatriz Berna,2080,3
158354924222447,Apart Hotel Aguasol,Aguasol Apart Hotel,2078,3
167728210320227,Marne Osorio Lima,Marne Yohn Osorio Lima,2078,13
330483733823390,Municipio F Montevideo,These ads ran without a disclaimer,2067,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,2054,57
491045330065,RFI Español,These ads ran without a disclaimer,2033,178
101348069446194,Fobecap,These ads ran without a disclaimer,2000,1
103770405448437,MARCELO presidente FA Colonia,Josué Charbonnier Dalmas,1991,5
397400393999988,EME Training,These ads ran without a disclaimer,1985,6
101477971502969,La 23 • Unidos Podemos,These ads ran without a disclaimer,1973,8
2076761189301782,Matias Barreto,Matias Gustavo  Barreto Gonzalez,1973,1
232619070264140,Luciano Andriolo Gutman,Luciano Andres Andriolo Gutman,1952,6
198423454085215,Porto Seguro Uruguay,These ads ran without a disclaimer,1934,2
480134161999878,Simagro,These ads ran without a disclaimer,1934,1
508745562990453,Partido Socialista PS90 Rivera,Jhonnatan Daniel Perez Da Silva,1900,4
107216211439574,La otra cara del Fútbol,These ads ran without a disclaimer,1891,5
1521244408114572,Líber Arce Atlántida,Agrupación Liber Arce PCU Atlántida,1850,5
109121179159737,Grupo Bimbo,These ads ran without a disclaimer,1830,6
446428955397339,Departamental Canelones PCU,Departamental Canelones PCU,1829,6
192381083777,Hyundai Worldwide,These ads ran without a disclaimer,1828,9
182735475112782,República AFAP,These ads ran without a disclaimer,1810,1
110428376298152,Ricardo Planchon,Ricardo Mario Planchon Geymonat,1780,2
199776786853118,Bodega Familia Irurtia,These ads ran without a disclaimer,1747,4
1671836523064145,School of Holistic Design,These ads ran without a disclaimer,1741,1
984834781647717,Diputada Alexandra Inzaurralde,Jorge Acosta Romano,1741,3
1474094456233324,Shopping de Usados Salto,These ads ran without a disclaimer,1736,2
109520860481223,El Abrazo Durazno,These ads ran without a disclaimer,1735,3
106265072180881,UruguaySi,Uruguay Si,1720,3
225968600759645,Andrés Lima,These ads ran without a disclaimer,1676,5
224813727505,Instituto Dreams,These ads ran without a disclaimer,1675,2
156514087702491,Lancôme,These ads ran without a disclaimer,1664,3
145719785624965,guappa - resto & caffe,These ads ran without a disclaimer,1663,3
804997446264798,Chic Me,These ads ran without a disclaimer,1655,1
184351709000374,Cristina Lustemberg,These ads ran without a disclaimer,1619,3
782846321738864,Marfrig,These ads ran without a disclaimer,1607,2
109313750835074,Granjas Frachia,These ads ran without a disclaimer,1599,2
1816626558554475,Mundo Electro,These ads ran without a disclaimer,1586,1
167878593236712,UNICEF en español,UNICEF,1574,45
1896684277254815,Sebastian Beja,These ads ran without a disclaimer,1561,1
106636121786848,Arriba Flores,These ads ran without a disclaimer,1547,5
1238173096287495,Azur Games,These ads ran without a disclaimer,1545,14
2177235832497283,Ignacio Garateguy,Ignacio Garateguy,1524,13
112767830454576,Emma Giglió Mayorista,These ads ran without a disclaimer,1515,4
383445061841675,Casa Grande FA,These ads ran without a disclaimer,1514,5
1212643442135657,Chandelier Antigüedades,These ads ran without a disclaimer,1511,6
109134085235837,Contratos de consumo en Uruguay,These ads ran without a disclaimer,1509,1
123259362601990,Lightning Stickers,These ads ran without a disclaimer,1509,2
1428408544046887,Flacso Uruguay,Flacso Uruguay,1500,1
102658895494661,Irene Gonçalvez Mautone,Irene Gonçalvez Mautone,1500,5
100774692523489,Carmelo NO deroga,Facundo Maffoni Manitto,1487,2
111754363834755,Nicolás Billar,Nicolas Angel Billar Pereyra,1486,3
108074601783385,Remates República,These ads ran without a disclaimer,1478,8
481090095376398,Pit-cnt Salto,Claudio Alejandro Silveira,1467,3
104934995820181,Lil Pages,These ads ran without a disclaimer,1461,2
104410661212251,Esdrújula Tv,These ads ran without a disclaimer,1444,2
383445061841675,Casa Grande FA,Sylvia Maria Rotunno Gagliardi,1434,5
848180981983419,Kömet Mayorista,These ads ran without a disclaimer,1431,1
777990588880607,Sergio Botana,These ads ran without a disclaimer,1419,2
1358396247570713,Greentech • Educación Ambiental - Hispanoamérica,These ads ran without a disclaimer,1409,9
966094286814864,21 de junio Humanidades,Andrés Fernández,1403,6
313869225995411,Acción,Gonzalo Eduardo Acosta Sierra,1401,1
101601459317277,Generación Z,Carlos Marcelo Caporale Rebella,1393,2
284722471859469,Mario Ayala,These ads ran without a disclaimer,1359,5
552016588239565,Unión Cívica,Camilo Frutos,1354,2
100641784733064,Sebastian Arballo,These ads ran without a disclaimer,1338,8
440200309391562,Movimiento De Integración Alternativo,These ads ran without a disclaimer,1315,1
107178538748255,Acción País Salto,Facundo Esteche,1299,5
227620454008249,Remate Morales,These ads ran without a disclaimer,1286,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1267,3
