Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
897915210257967,DIF Guerrero,These ads ran without a disclaimer,3842,49
106685604000635,Quiero Aprender Sobre,These ads ran without a disclaimer,2685,1
103690352471762,Mind in Play,These ads ran without a disclaimer,2665,1
106877655433703,Business finance,These ads ran without a disclaimer,2498,14
114297067934300,For You 3,These ads ran without a disclaimer,2243,4
103591998978077,Handmade Map,These ads ran without a disclaimer,2238,6
102343802586251,Brazil Trader Limited.,These ads ran without a disclaimer,2133,14
0,Instagram User 9770329431,These ads ran without a disclaimer,1481,15
105291608960382,Chase Moran,These ads ran without a disclaimer,1352,1
104081029101248,Threshold Business,These ads ran without a disclaimer,1207,10
832286717112482,O'zbekiston Respublikasi Markaziy saylov komissiyasi,O'zbekiston Respublikasi Markaziy saylov komissiyasi,1112,59
101513222614858,Внутренний потенциал,These ads ran without a disclaimer,991,1
101971368707959,Kerry Express สาขาฝายหลวง,These ads ran without a disclaimer,924,1
111286758318911,Mamie Hubert Finance Analytics,These ads ran without a disclaimer,912,10
115415608136227,Design Anchor,These ads ran without a disclaimer,722,3
108222332200224,Recomendaciones,These ads ran without a disclaimer,595,1
105360122329786,Sorokina Maria,These ads ran without a disclaimer,525,1
110134641820178,Langley business,These ads ran without a disclaimer,455,18
109386348269055,Realeffect,These ads ran without a disclaimer,437,1
108217908652643,Bridges Blankenship,These ads ran without a disclaimer,394,2
104482548961445,Lesia,These ads ran without a disclaimer,367,1
375003275926917,Darakchi.uz,Darakchi.uz,330,17
108668778663230,Online Store 42214,These ads ran without a disclaimer,325,1
108896050893495,Sweet seduccion,These ads ran without a disclaimer,324,1
135885212933814,Extravaganza perfectly 32,These ads ran without a disclaimer,313,1
107657105208616,Tomy Blue,These ads ran without a disclaimer,300,1
103749002409007,Jolidj,These ads ran without a disclaimer,266,3
283576519138268,Opel Babo,These ads ran without a disclaimer,246,1
104643525594273,Laurina,These ads ran without a disclaimer,244,1
575709732521763,WEB RADIO Alternativa,These ads ran without a disclaimer,240,1
281633755526607,Studio #Project6,These ads ran without a disclaimer,228,2
103018465966267,Fp f bm,These ads ran without a disclaimer,204,1
107994432065226,Online Store 47273,These ads ran without a disclaimer,195,2
103328412545729,Ipoteka Xizmati,These ads ran without a disclaimer,192,2
131922499999163,Paintball compass 63,These ads ran without a disclaimer,182,1
1542923339149938,Marcos Ccama Nina,These ads ran without a disclaimer,182,1
103451135812785,Единый Портал Узбекистана,These ads ran without a disclaimer,173,1
101731382738670,Englify School,These ads ran without a disclaimer,166,2
105531928492637,Aktualno.uz,Aktualno.uz,161,24
103736054346389,Intravel Тур-агентство,These ads ran without a disclaimer,160,1
115005804540958,Awful creator,These ads ran without a disclaimer,155,12
200480966638039,Supremacy 1914,These ads ran without a disclaimer,141,3
101120944941308,Янги Ўзбекистон,Янги Ўзбекистон,141,23
103023169261614,Expo Health Tourism,These ads ran without a disclaimer,140,5
102739485145815,Alisher Isaev blogi,These ads ran without a disclaimer,137,3
107307652135605,Epic Demons,These ads ran without a disclaimer,129,2
103623615766131,Marketing Ingenious,These ads ran without a disclaimer,127,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,125,8
968643809909024,Mubariz Mansimov Gurbanoğlu,These ads ran without a disclaimer,122,3
105173278984700,Ashlely,These ads ran without a disclaimer,119,15
105425408943562,Tips for Starting Your Own Company,These ads ran without a disclaimer,118,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,117,10
110196551787521,Advice for you,These ads ran without a disclaimer,113,1
106348038526035,Kislorod,These ads ran without a disclaimer,112,4
832286717112482,O'zbekiston Respublikasi Markaziy saylov komissiyasi,These ads ran without a disclaimer,110,5
111826451628664,Государственный Портал,These ads ran without a disclaimer,110,1
107015728807961,UzModniy,These ads ran without a disclaimer,110,1
373536278864,UNICEF Europe & Central Asia,These ads ran without a disclaimer,103,6
137365066281338,Caravanserai - Pусский,These ads ran without a disclaimer,103,3
137101846358633,Megafone,These ads ran without a disclaimer,103,1
751477318343611,Maxwin Zeus Mendadakk,These ads ran without a disclaimer,101,7
153907014479037,Gorodetskaya Daria,These ads ran without a disclaimer,≤100,1
117450321295126,Good News,These ads ran without a disclaimer,≤100,2
282561815754725,Zdrowe kiszonki,These ads ran without a disclaimer,≤100,4
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
102188595618756,Just For You,These ads ran without a disclaimer,≤100,2
104951975907771,Sea Aviation,These ads ran without a disclaimer,≤100,1
116441371420613,Cannon Becker,These ads ran without a disclaimer,≤100,2
379516769306555,IT-Park,These ads ran without a disclaimer,≤100,4
321291411544418,Univero.cc,These ads ran without a disclaimer,≤100,2
108819378509544,K Store 25170383,These ads ran without a disclaimer,≤100,1
104533205347709,Spine Center,These ads ran without a disclaimer,≤100,7
375620572469709,Kun.uz,These ads ran without a disclaimer,≤100,2
329159101258482,"Christ The King Shrine - Gingoog City, Philippines",These ads ran without a disclaimer,≤100,18
101035439238926,Monumental Math,These ads ran without a disclaimer,≤100,3
111445291597273,Vien Tam,These ads ran without a disclaimer,≤100,3
172200776876514,BILLZ,These ads ran without a disclaimer,≤100,2
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,32
108365468229054,MayorTayyor,These ads ran without a disclaimer,≤100,3
107287450948993,Деловой Квартал,These ads ran without a disclaimer,≤100,1
110085398475887,Climatehouse,These ads ran without a disclaimer,≤100,2
107499092116497,Faraoh Poper,These ads ran without a disclaimer,≤100,1
197801046760471,Susarenko Eva,These ads ran without a disclaimer,≤100,31
105046332328218,Violet Snow,These ads ran without a disclaimer,≤100,1
298901126643668,Nina Zhitar,These ads ran without a disclaimer,≤100,6
100610596187213,USM,These ads ran without a disclaimer,≤100,2
108121892181103,Management,These ads ran without a disclaimer,≤100,2
589968784520940,Smart School,These ads ran without a disclaimer,≤100,4
162678203751209,Gilead Sciences,These ads ran without a disclaimer,≤100,1
680853165295873,"Сеть многопрофильных клиник ""Medion""",These ads ran without a disclaimer,≤100,1
105876632247114,Alluring gh1,These ads ran without a disclaimer,≤100,2
107838124264171,Meesho Reseller,These ads ran without a disclaimer,≤100,1
111061731503008,rasulsadykov,These ads ran without a disclaimer,≤100,2
157393064128774,Nolik,These ads ran without a disclaimer,≤100,8
102098318936962,Us Fastion Sale 1,These ads ran without a disclaimer,≤100,1
