Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
114061055053463,Ojo pelado,an advertiser in Venezuela,18433629258,447
110796658935065,Antonio Ecarri,an advertiser in Venezuela,10707547208,91
258138027555902,Javier Bertucci,an advertiser in Venezuela,8502362707,50
333566379844819,VE Hasta el Final,an advertiser in Venezuela,6864413720,76
11449543593,Carlos Ocariz,an advertiser in Venezuela,5032234558,1601
564188034075673,Roberto Enriquez,an advertiser in Venezuela,4559996631,55
105428965854403,Comisión Nacional de Primaria VE,an advertiser in Venezuela,4478679058,7
199200900429071,Asamblea Nacional de Venezuela,an advertiser in Venezuela,3750253399,29
107610985494719,NicoLike,an advertiser in Venezuela,3152720362,67
645406838886541,Freddy Superlano,an advertiser in Venezuela,2510974775,13
100112745687674,Creemos Alianza Ciudadana,an advertiser in Venezuela,2134311934,140
106297255064534,Julio Fuenmayor,an advertiser in Venezuela,1906286732,18
105561381892975,Luis Eduardo Martinez,an advertiser in Venezuela,1906241727,75
288469374339113,Movimiento Futuro Venezuela,an advertiser in Venezuela,1887784210,10
104605522713164,Exterior_ven,an advertiser in Venezuela,1876036700,41
109473508862435,El memecito lindo,an advertiser in Venezuela,1694906537,18
272794672831993,Partido El Cambio,an advertiser in Venezuela,1508128866,30
273935265792194,Daniel Ceballos 6,an advertiser in Venezuela,1323256431,124
341721517096411,Radio Asamblea Nacional,an advertiser in Venezuela,1250151133,21
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,1164043555,90
122824350906367,El Plan B,an advertiser in Venezuela,1154371046,20
100426612940178,Concejo Municipal de San Diego,an advertiser in Venezuela,1150343542,16
108236238428619,Concejo Municipal de Maracaibo,an advertiser in Venezuela,1142916035,17
114588254559934,Concejo Municipal de San Francisco,an advertiser in Venezuela,904058319,12
148231808588187,Gatorade Venezuela,an advertiser in Venezuela,814908239,23
113498637779282,Venezuela News,an advertiser in Venezuela,728733160,25
110530401611698,real.termometronacional,an advertiser in Venezuela,579303006,72
112759588312679,cesaralmeida2024,an advertiser in Venezuela,565000000,14
1387178681545505,Concejo Municipal de Junin,an advertiser in Venezuela,551075499,9
102909028767557,Nabil Maalouf,an advertiser in Venezuela,541500000,92
155439457852149,Henrique Capriles Radonski,an advertiser in Venezuela,539602989,24
333721726763601,Darwin Gonzalez,an advertiser in Venezuela,519610471,74
100919972450100,Alcaldía de Maracaibo,an advertiser in Venezuela,518937970,28
147504058455560,Anber Venezuela,an advertiser in Venezuela,479682935,2
317535981437275,Claudio Fermín,an advertiser in Venezuela,465127921,19
203010570527820,Cambiemos - Movimiento - Ciudadano,an advertiser in Venezuela,408762870,40
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,378220138,37
110530401611698,real.termometronacional,an advertiser in Venezuela,372312837,68
1382843902038454,Jony Rahal Oficial,an advertiser in Venezuela,366587832,141
111657317280046,Generación Democrática,an advertiser in Venezuela,356417823,18
105426119313326,DataViva,an advertiser in Venezuela,340167808,41
312039538663002,Amor por Venezuela,These ads ran without a disclaimer,315160286,4
596206767151427,Julio Borges,an advertiser in Venezuela,264810132,45
373546572732957,Eric Daniel Ondarroa,an advertiser in Venezuela,250687727,12
636083079869147,COPEI Legítimo ODCA,an advertiser in Venezuela,250000226,6
559836910796201,Alcaldía de Valencia,an advertiser in Venezuela,246490223,8
116093674518,César Pérez Vivas,an advertiser in Venezuela,241590219,65
111838814067641,El Cuarto Rojo,an advertiser in Venezuela,234955213,35
106297255064534,Julio Fuenmayor,an advertiser in Venezuela,230250000,10
150130821715740,Er Conde del Guacharo,an advertiser in Venezuela,230090208,8
225739507299283,Indira Urbaneja,an advertiser in Venezuela,229357708,10
102629942648693,venezuela_searreglo,These ads ran without a disclaimer,205402028,3
457464611714598,The World Around,These ads ran without a disclaimer,190336944,4
