Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
252234575543,UK in Vietnam,British Embassy Hanoi,2655332159,240
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,332888398,1994
114230434965167,MAYSA Store,These ads ran without a disclaimer,331062382,10
712294912284531,Trạm Đọc - Book Store,These ads ran without a disclaimer,303537019,171
102654808090612,Lương Y Phạm Văn Thanh - Việc Tử Tế VTV1,These ads ran without a disclaimer,255880890,133
106128284947266,Lương Y Phạm Văn Thanh Xương Khớp - Việc Tử Tế VTV1,These ads ran without a disclaimer,255209032,41
108423630983964,XKLĐ Nhật Bản - Của Bộ Lao Động Thương Binh Xã Hội,These ads ran without a disclaimer,231344486,204
108390095364515,Phạm Văn Thanh- Lương Y Của Nhân Dân,These ads ran without a disclaimer,194456896,17
106476091689860,Bartra Wealth Advisors,Bartra Wealth Advisors,191341767,77
1420686158260753,Mọt Sách BookStore,These ads ran without a disclaimer,190292786,27
111393385189940,Lương Y Phạm Văn Thanh Tiểu Đường,These ads ran without a disclaimer,178669574,34
912918568785331,Thông tin Chính phủ,These ads ran without a disclaimer,178383820,2
110217707397855,Sách Giá Rẻ,These ads ran without a disclaimer,178105216,38
433021940073910,WWF-Việt Nam,WWF-Việt Nam,123926554,119
109227108575875,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,122138610,12
107232715778523,PGS TS Trần Quốc Bình - Sinh Khoa Việt I,These ads ran without a disclaimer,121259153,4
185061704983484,Nha Khoa Paris,These ads ran without a disclaimer,118420391,56
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,116735398,601
111699118279374,Hồng Nhung Store,These ads ran without a disclaimer,104269891,63
111649914996393,Viên đại tràng Nhất Nhất,These ads ran without a disclaimer,103491690,164
654396084640049,IMM GROUP,IMM Group,98976239,32
104886699028196,Đại Tràng HG - Nam Dược Mạc Minh,These ads ran without a disclaimer,90823051,5
102283302096463,Trường học Công nghệ MindX,These ads ran without a disclaimer,81458154,39
102126442343767,Lương Y Nguyễn Thị Nghê - Hòa Bình 0984790740,These ads ran without a disclaimer,80719453,266
100812259471492,Nhật Bản Chờ Tôi Nhé,These ads ran without a disclaimer,76391175,50
100814681589990,"Tiệm Ăn Ngon - Đồ nấu ăn, pha chế, ăn vặt",These ads ran without a disclaimer,72102298,85
339883746138885,Colores en fb srcew,These ads ran without a disclaimer,70860366,737
107555122072874,Phạm Văn Thanh - Lương Y Vùng Cao,These ads ran without a disclaimer,69519789,12
