Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,101
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
110801873957389,Pacific Security College,These ads ran without a disclaimer,≤100,7
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,15
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,67
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,3
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,5
104015742220554,Mimic,These ads ran without a disclaimer,≤100,6
1262867700453646,"ANU Institute for Climate, Energy & Disaster Solutions",These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,3
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,6
68793499001,UNICEF,These ads ran without a disclaimer,≤100,9
7297163299,Greenpeace International,These ads ran without a disclaimer,≤100,3
461484337565161,Pacific Island Food Revolution,These ads ran without a disclaimer,≤100,4
108095021969820,Archipelago Story,These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,12
609245665885381,The University of the South Pacific Students' Association,These ads ran without a disclaimer,≤100,3
513491955397746,Pacific Energy,These ads ran without a disclaimer,≤100,7
211113992385727,It's a Penalty,These ads ran without a disclaimer,≤100,1
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,8
119405895873,Huawei,These ads ran without a disclaimer,≤100,15
9480502970,Greenpeace Australia Pacific,These ads ran without a disclaimer,≤100,6
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,12
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,2
109649454603118,FAO Pacific,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,16
106905656797560,Nia Tero,These ads ran without a disclaimer,≤100,4
102874232203527,New Page,These ads ran without a disclaimer,≤100,10
105345438740811,Insight Papua,These ads ran without a disclaimer,≤100,2
100929648464258,Global Alliance of Territorial Communities,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,13
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,6
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,11
106903467464832,View Information,These ads ran without a disclaimer,≤100,5
147075582050749,Pacific-Community-SPC,These ads ran without a disclaimer,≤100,1
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,30
105712015594786,Diego Andrade,These ads ran without a disclaimer,≤100,2
101337529525178,David Mae,These ads ran without a disclaimer,≤100,1
125292411482862,New Zealand Ministry of Foreign Affairs and Trade,These ads ran without a disclaimer,≤100,2
712936602124528,"Pacific Theological College, Suva, Fiji Islands",These ads ran without a disclaimer,≤100,1
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,12
101462499658434,Easy PdF/08,These ads ran without a disclaimer,≤100,1
1514424372026146,IOM Vanuatu,These ads ran without a disclaimer,≤100,1
168599115038,UNICEF Pacific,These ads ran without a disclaimer,≤100,1
102328765911090,INFO OPM TPNPB-OPM News,These ads ran without a disclaimer,≤100,2
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,≤100,1
101082842736363,The world of reader,These ads ran without a disclaimer,≤100,4
791961090884741,BenarNews,These ads ran without a disclaimer,≤100,1
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,11
6651543066,CNN Business,These ads ran without a disclaimer,≤100,9
103733302465216,New Page,These ads ran without a disclaimer,≤100,2
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,43
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,9
105808001847701,Populist Online,These ads ran without a disclaimer,≤100,17
265345800469382,Hyundai Motor Group,These ads ran without a disclaimer,≤100,3
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,19
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,17
131189377574,MDPI,These ads ran without a disclaimer,≤100,40
195596497157953,Alliance for Financial Inclusion (AFI),These ads ran without a disclaimer,≤100,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,5
398610380712044,River Cleanup,These ads ran without a disclaimer,≤100,8
106649554035261,Caio_Vitor07,These ads ran without a disclaimer,≤100,1
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100,3
143784343079023,PCRIC,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,6
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,35
115591005188475,Global Times,These ads ran without a disclaimer,≤100,6
122107795658000754,FLORY Green Material,These ads ran without a disclaimer,≤100,2
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,30
111361091313,NICABM,These ads ran without a disclaimer,≤100,7
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,54
102721402667167,Isabel Santana,These ads ran without a disclaimer,≤100,13
108966741644172,Koray Beserler 1,These ads ran without a disclaimer,≤100,2
111934001883608,Emília Anastasia,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,4
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,9
110559427889571,Financial Centre Association of Vanuatu,These ads ran without a disclaimer,≤100,1
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,3
107898798686030,Postcards from Ukraine,These ads ran without a disclaimer,≤100,2
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,2
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
106300009132183,Pacific Women in Power,These ads ran without a disclaimer,≤100,1
