Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1394042770925884,Samoa Chamber of Commerce & Industry,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,167
117592091643709,Tree of Life Ministries｜Evangelism in Israel,These ads ran without a disclaimer,≤100,11
287683225711,UN Environment Programme,UN Environment Programme,≤100,16
102874232203527,New Page,These ads ran without a disclaimer,≤100,153
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
101872965810949,EPOP En,These ads ran without a disclaimer,≤100,2
68793499001,UNICEF,These ads ran without a disclaimer,≤100,45
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,23
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,20
102674628464801,We Need to Talk About West Papua,These ads ran without a disclaimer,≤100,2
102040384983884,進之道,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,23
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,3
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,58
108449794644135,HRPP,These ads ran without a disclaimer,≤100,2
107356790909972,See You in Heaven,These ads ran without a disclaimer,≤100,1
311648455929717,Manuia,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,119
149967275070170,Pacific Islands International,These ads ran without a disclaimer,≤100,1
267531623325362,New Zealand Customs,These ads ran without a disclaimer,≤100,1
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,55
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,102
696039257092916,ARISE Church,These ads ran without a disclaimer,≤100,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,10
108002477431551,The Green Space,These ads ran without a disclaimer,≤100,6
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
110801873957389,Pacific Security College,These ads ran without a disclaimer,≤100,12
115591005188475,Global Times,These ads ran without a disclaimer,≤100,33
104399134715456,CRC Public Relations Pacific,These ads ran without a disclaimer,≤100,4
