Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
305998376205259,Memli Krasniqi,Partia Demokratike e Kosoves,12048,152
590118427700874,Partia Demokratike e Kosovës - PDK,Partia Demokratike e Kosoves,1736,14
224363277704428,Gazmend Aziz Abrashi,Fatlum Haxhiu,496,14
332286840274427,Perspektiva,New Perspektiva,393,29
136088969880141,AirHelp,These ads ran without a disclaimer,243,139
106879125716648,Arian Tahiri,Arian Tahiri,239,19
117021323481607,INTERLAJMI,Albion Rexha,236,15
128214581065178,Besnik Tahiri,Besnik Tahiri,206,12
224363277704428,Gazmend Aziz Abrashi,Exclusive SH.P.K.,150,1
484832534878918,Instituti GAP,Instituti GAP,135,27
1023130284375539,Dardan Molliqaj,PSD,120,4
102251318064432,Organon,These ads ran without a disclaimer,117,5
110178328228079,NinjaOne Europe,These ads ran without a disclaimer,114,8
463704000312151,Videonewsharing,These ads ran without a disclaimer,108,1
195129224003211,Faton Bislimi,Faton Bislimi,105,18
384415698323752,CEDE - Center for Education and Development of Environment,CEDE - Center for Education and Development of Environment,≤100,3
1611607142483889,Lidhja Demokratike e Kosovës,Lidhja Demokratike e Kosovës,≤100,4
1440529359518793,Decentralisation and Municipal Support - DEMOS,Decentralisation and Municipal Support - DEMOS,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,5
295808230535530,PDK - Dega në Kamenicë,Granit R. Berisha,≤100,6
111397813917062,Komisioni Qendror i Zgjedhjeve - Republika e Kosovës,Bardhyl Bejtullahu,≤100,17
20031443281,Namecheap.com,These ads ran without a disclaimer,≤100,2
105424005887330,Liberale,These ads ran without a disclaimer,≤100,2
1970625186548684,Rrezarta I. Krasniqi,Rrezarta I. Krasniqi,≤100,2
158402677555776,European External Action Service - EEAS,These ads ran without a disclaimer,≤100,1
346879785945052,Prishtina Gastronomy Festival,These ads ran without a disclaimer,≤100,1
133969887250137,BeWanted Colombia,These ads ran without a disclaimer,≤100,62
107999635378352,Jehona Lushaku Sadriu,These ads ran without a disclaimer,≤100,1
113096808370289,Prishtina Sot,These ads ran without a disclaimer,≤100,1
161707728106607,BayWa r.e. Global,These ads ran without a disclaimer,≤100,2
437241682996744,Radio Ejani,These ads ran without a disclaimer,≤100,19
124071237604702,KOSOVO 2.0,These ads ran without a disclaimer,≤100,2
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,4
105179241498166,Canadian North Resources Inc,These ads ran without a disclaimer,≤100,1
112710845055703,Fans Luiz Ejlli,These ads ran without a disclaimer,≤100,2
105960251506799,Alban Bajrami,These ads ran without a disclaimer,≤100,1
852370551453606,GARP,These ads ran without a disclaimer,≤100,4
105222824794764,Block the hatred. Share the love.,These ads ran without a disclaimer,≤100,2
179643115493444,Ramush Haradinaj,These ads ran without a disclaimer,≤100,2
102911232549925,Nacionale Videos,These ads ran without a disclaimer,≤100,4
603730553030272,Kosovo Local Government Institute,Kosovo Local Government Institute,≤100,1
118356801554598,EU Food & Farming,These ads ran without a disclaimer,≤100,3
109151715334265,Recasty - AI Mashups Generator,These ads ran without a disclaimer,≤100,1
137122629631820,Discover America Kosova - Work and Travel USA,These ads ran without a disclaimer,≤100,1
104266985656130,Fresh Fish,These ads ran without a disclaimer,≤100,1
110501967920349,daimlalaofficial,These ads ran without a disclaimer,≤100,1
107999635378352,Jehona Lushaku Sadriu,Jehona Lushaku Sadriu,≤100,2
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,6
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,4
320788968000582,Center for Israel Education,These ads ran without a disclaimer,≤100,1
57373793897,RedR UK,These ads ran without a disclaimer,≤100,2
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,3
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100,11
500373933477874,Daim Lala,These ads ran without a disclaimer,≤100,1
626456354136358,FNF Western Balkans,These ads ran without a disclaimer,≤100,1
1119781134699791,ACG,These ads ran without a disclaimer,≤100,1
418714784834927,Organizata Çohu / Preportr,These ads ran without a disclaimer,≤100,1
130524243634087,EU Science & Innovation,These ads ran without a disclaimer,≤100,1
1226454600750558,Laboratori HomeLab Plus,These ads ran without a disclaimer,≤100,2
113427673773662,Ms. Indefinite,These ads ran without a disclaimer,≤100,3
116022729047087,Mahagoni,These ads ran without a disclaimer,≤100,1
110367919014958,ERGO,These ads ran without a disclaimer,≤100,6
235514469947141,Libraria Artini - Toena,These ads ran without a disclaimer,≤100,2
