Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
103786786106051,سؤال+,an advertiser in Yemen,699,84
101379696174165,"صحيفة الجماهير ""اسبوعية-سياسية عامة""",an advertiser in Yemen,498,22
377711155937443,بن داراني باوزير للتجارة,an advertiser in Yemen,452,26
323588103454,منظمة العفو الدولية,These ads ran without a disclaimer,437,3
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,435,7
100790535309185,المكتب الإعلامي لوزارة النقل - عدن,an advertiser in Yemen,371,76
103145105103652,حِميَر,an advertiser in Yemen,196,13
112886241167185,اللجنة الوطنية للمرأة -  Women National Committee,an advertiser in Yemen,181,27
104037822495803,سماء مدينة الخليج العربي,an advertiser in Yemen,167,11
106632705361833,وزارة الداخلية- الجمهورية اليمنية,an advertiser in Yemen,164,26
821430017924241,Sungrow,These ads ran without a disclaimer,146,14
111338908521990,مكتب رئاسة الجمهورية Office of the Presidency of the Republic of Yemen,an advertiser in Yemen,136,10
1798435720478073,新華香港,These ads ran without a disclaimer,124,8
442306293169627,دائرة الشباب والرياضة في المجلس الانتقالي الجنوبي,an advertiser in Yemen,122,27
100425194926383,وكالة الأنباء اليمنية سبأ - محافظة المهرة,an advertiser in Yemen,≤100,8
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,10
112028621919924,الشرق نيوز,an advertiser in Yemen,≤100,13
102648238074021,أسبوع العلوم العربي,These ads ran without a disclaimer,≤100,2
145726335465699,صحيفة الشرق الأوسط,These ads ran without a disclaimer,≤100,1
10250877124,Arab News,These ads ran without a disclaimer,≤100,1
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,≤100,1
234065639997481,Women Journalists Without Chains صحفيات بلا قيود,These ads ran without a disclaimer,≤100,1
150253531687373,أخبار الآن - Akhbar Al Aan,These ads ran without a disclaimer,≤100,4
109401818363100,رئاسة مصلحة الأحوال المدنية والسجل المدني - الجمهورية اليمنية,an advertiser in Yemen,≤100,3
105106032582618,الهبة الحضرمية الثانية,an advertiser in Yemen,≤100,9
105416139174430,المكتب السياسي للمقاومة الوطنية,an advertiser in Yemen,≤100,40
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,81
