Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
6011868110,Democratic Alliance,Democratic Alliance,14290008,3190
142220055851036,Electoral Commission of South Africa (IEC),Mediamix360 (Pty) Ltd,2140083,403
740116816003959,Western Cape Government,Western Cape Government,2137296,490
116657351312927,Pledge To Vote SA,Pledge to Vote,1714659,274
144985128871748,City of Cape Town,City of Cape Town,1704482,394
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,1632284,337
276208887520693,Unsmoke South Africa,Unsmoke South Africa,1501141,117
11309713071,Gates Foundation,MediaCom,1263023,89
297994620053331,We Are The People,We Are The People,991557,59
171090380838,Daily Maverick,Daily Maverick,944654,274
114693323618746,Constitution Hill,Constitution Hill,939960,98
136956534616,Times LIVE,TimesLIVE,851737,2924
1482645265280695,amandla.mobi,amandla.mobi,692160,28
133307190069756,Amnesty International South Africa,Amnesty International South Africa,624787,92
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,617019,440
106247942465530,Ask SA,Freedom Advocacy Network,610489,40
195909420099,Solidariteit,Solidariteit,603082,181
311936835992045,Dear South Africa,DearSA,552486,251
57206003848,Greenpeace Africa,Greenpeace Africa,522938,305
100326729576675,RISE Mzansi,RISE Mzansi,522468,80
144985128871748,City of Cape Town,City of Cape Town,512353,508
102765088210163,Action SA,ActionSA,446358,268
2145594122138312,Action Society,Action Society,426597,399
105277125868031,Referendum Party,Referendum Party,417759,171
106350564887774,Freedom Advocacy Network,Freedom Advocacy Network,402650,414
817419378298114,Herman Mashaba,ActionSA,392997,108
105398335585126,Western Cape Education Department,Western Cape Education Department,389339,53
178713262328364,DA KZN,Democratic Alliance,367448,271
106172744063430,The Daily Friend,The Daily Friend,348808,249
106863257383566,Your Debt Helping Hand,These ads ran without a disclaimer,335846,30
190104684357654,MyANC,African National Congress,327851,73
28312410177,World Food Programme,These ads ran without a disclaimer,306370,200
114506216924214,Centre For Risk Analysis,Centre For Risk Analysis,305039,372
448191278579586,Democratic Alliance Gauteng,Democratic Alliance Gauteng,290490,163
101765051230517,Finance News South Africa,These ads ran without a disclaimer,286388,43
86579745433,South African Institute of Race Relations,South African Institute of Race Relations,286228,306
111247355576572,Free Market Foundation South Africa,Free Market Foundation South Africa,280321,148
581475018952196,GOOD,GOOD Political Party,276042,236
102265308016316,Al Jama-ah,Al Jama-ah,275252,298
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,268731,508
1544903435791346,Sanral,Media Mix 360,264333,34
104579211610339,Aunty Karen,These ads ran without a disclaimer,256123,8
478479492268974,Sunday Times ZA,Sunday Times,244100,752
1742410059361710,AwakeMzansi,AwakeMzansi,243955,404
181204251979581,NEASA,National Employers' Association of South Africa,237211,274
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,234509,192
119736861394881,Financial Mail,BusinessLIVE,227563,1211
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance Western Cape,224880,98
104579211610339,Aunty Karen,Leads Elite,216603,20
165736836881428,GroundUp,GroundUp News NPC,208368,810
2093351790978732,Imprint: Learn Visually,These ads ran without a disclaimer,208256,3
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,192023,274
107169379305548,TLU SA,TLU SA,190373,138
142220055851036,Electoral Commission of South Africa (IEC),These ads ran without a disclaimer,189884,2
116060620222889,Covid Debt Relief,These ads ran without a disclaimer,189590,12
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,178824,42
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,178486,94
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),159804,65
100935644982367,MACUA & WAMUA,MACUA WAMUA Advice Office,159595,69
379138726819,ACDP,ACDP,156196,100
530927007388252,Vrye Weekblad,Vrye Weekblad,149367,1312
601583776591843,Inkatha Freedom Party - IFP,Inkatha Freedom Party - IFP,148512,83
165246196904704,Sakeliga,Sakeliga,144159,157
188258421272216,Investec,Investec Ltd,131265,19
1742410059361710,AwakeMzansi,Awake Mzansi,130575,311
102268322635915,The Finance Daily,The Finance Daily,126716,153
101162372423667,Michael Beaumont,ActionSA,126389,110
581475018952196,GOOD,Good Party,125276,46
584566048684873,Premier Alan Winde,Western Cape Government,120475,29
108903502317398,African Congress for Transformation,African Congress For Transformation,113603,28
336794296437261,DA GPL,DA Gauteng Provincial Legislature,111363,237
851583741584116,DA Gauteng North Region,Jacqueline Uys,106354,112
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,101522,28
240439639158309,Save our South Africa,Good Marketing Limited Inc,99004,72
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,95097,66
11309713071,Gates Foundation,These ads ran without a disclaimer,91644,1
601583776591843,Inkatha Freedom Party - IFP,Inkatha Freedom Party,91600,55
150610068952880,Futurelect,Futurelect,91377,34
111326403969815,DA Nelson Mandela Bay,Democratic Alliance,89806,150
110901495091012,Crtve Development,Crtve Development with Facebook Ad credits,88974,23
358792120941804,Department of Water and Sanitation South Africa,Department of Water and Sanitation Republic of South Africa,85635,111
202411219782842,Mmusi Maimane,BOSA,80251,28
352750108111863,LexisNexis South Africa,LexisNexis South Africa,80224,42
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,80179,63
68793499001,UNICEF,UNICEF with Facebook Ad Credits,74351,23
107681864296588,Western Cape Gambling and Racing Board,Western Cape Gambling and Racing Board,73650,14
1005394976243306,Friedrich Naumann Foundation Africa,Friedrich Naumann Foundation,72382,62
629021617133721,Judges Matter,Judges Matter,66370,321
336794296437261,DA GPL,Democratic Alliance Gauteng,63351,118
2215254718532346,Democratic Alliance - Northern Areas,Democratic Alliance,62380,227
200480966638039,Supremacy 1914,These ads ran without a disclaimer,59901,4
2346236245392936,VF Plus - Tshwane Metropolitaanse Munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,59374,53
342643596115773,Safely Home by Western Cape Government,Safely Home by Western Cape Government,57887,14
597918073626793,Democratic Alliance Free State,Democratic Alliance,51095,458
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,50175,250
54779960819,United Nations,United Nations with Facebook Ad Credits,49850,49
98673036962,ROLDA,These ads ran without a disclaimer,49132,88
115864538089777,Dear SA - Have Your Say,Dear S Africa,49078,44
170381763427734,Solly Msimanga,Solly Msimanga,47461,15
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,46182,202
57206003848,Greenpeace Africa,These ads ran without a disclaimer,45800,7
1481228995425841,Nova Pioneer South Africa,These ads ran without a disclaimer,44637,7
100340357979334,Break,These ads ran without a disclaimer,44538,73
104579211610339,Aunty Karen,Advantage Digital Marketing,44467,30
1576436882443790,"Antonio Amatulli - candidato PD Camera - Asia, Africa, Oceania",Lynette Pillay,44260,15
182843381896565,Democratic Alliance Northern Cape,Democratic Alliance,44000,24
295342903925145,Big Debate South Africa,Big Debate South Africa,43383,13
111691761299082,wealth_minister_,These ads ran without a disclaimer,43000,5
1217843184899788,HellVenge,These ads ran without a disclaimer,42914,1
1269614596416020,National Education Collaboration Trust,These ads ran without a disclaimer,42449,6
446648162438519,Thisisacumen,Acumen Media Management,41880,94
259922021421962,VF Plus - Vrystaat,Vryheidsfront Plus / Freedom Front Plus,41600,19
171090380838,Daily Maverick,These ads ran without a disclaimer,39006,34
106620807391911,Roche,These ads ran without a disclaimer,38038,19
202411219782842,Mmusi Maimane,BUILD ONE SOUTH AFRICA NPC,37640,11
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,37606,8
2043555235937273,Newzroom Afrika,Newzroom Afrika,36485,5
153698181363705,Democratic Alliance Eastern Cape,Democratic Alliance,36086,74
295342903925145,Big Debate South Africa,e.tv,35812,16
194109891221,South African Government,These ads ran without a disclaimer,35656,3
