Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
827021447354082,Edgar Chagwa Lungu,These ads ran without a disclaimer,4764,15
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,925,13
28312410177,World Food Programme,These ads ran without a disclaimer,822,176
100998292278237,Jobs in Canada,These ads ran without a disclaimer,816,59
135902689825228,Hakainde Hichilema,These ads ran without a disclaimer,765,3
216311481960,Bill Gates,These ads ran without a disclaimer,637,21
121631277916434,ACCA,These ads ran without a disclaimer,572,2
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,554,6
101460842681784,TRT Afrika,These ads ran without a disclaimer,553,8
1756277194451271,Dr Fred M'membe,These ads ran without a disclaimer,494,45
68793499001,UNICEF,UNICEF with Facebook Ad Credits,446,23
158714780827513,UNFPA,UNFPA,439,231
100606618751803,Hon Sipho Hlazo - Chilanga Constituency.,These ads ran without a disclaimer,372,53
101516212181501,AIO Browser,These ads ran without a disclaimer,337,7
103335725360168,Jobs Vacancies in Canada,These ads ran without a disclaimer,312,25
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,228,13
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,218,81
106524325036276,Canada Job Opportunity,These ads ran without a disclaimer,212,36
550280998481446,Rasha Kelej,These ads ran without a disclaimer,194,34
112030681144381,Canada Jobs For Foreign Workers,These ads ran without a disclaimer,170,28
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,168,7
455133101359253,Tax Consulting South Africa,These ads ran without a disclaimer,156,4
683920581812916,Fred M'membe,These ads ran without a disclaimer,147,45
114938970634895,John Image Media,These ads ran without a disclaimer,144,11
1750180111886827,HandMade Graphix Ltd,These ads ran without a disclaimer,135,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,123,3
105929171741398,Maama mubiita,These ads ran without a disclaimer,121,1
126052760507,Mama Cash,These ads ran without a disclaimer,113,82
104908714808309,Zambian Wildlife by Mark Townsend,These ads ran without a disclaimer,109,2
1632490733667911,Pastor John Anosike,These ads ran without a disclaimer,105,1
320233828353148,News Diggers,These ads ran without a disclaimer,105,3
399213823441419,Transparency International Zambia,These ads ran without a disclaimer,≤100,7
584311918440395,World Health Organization African Region,These ads ran without a disclaimer,≤100,8
107829624939366,George Mwanza,These ads ran without a disclaimer,≤100,4
